Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,24.3,16.9,0.0,07:20:00,18:05:00
2015-01-02,23.7,17.3,0.0,07:20:00,18:05:00
2015-01-03,25.4,15.1,0.0,07:21:00,18:06:00
2015-01-04,26.4,14.6,0.0,07:21:00,18:07:00
2015-01-05,25.5,13.7,0.0,07:21:00,18:07:00
2015-01-06,26.7,11.6,0.0,07:21:00,18:08:00
2015-01-07,26.4,10.6,0.0,07:21:00,18:09:00
2015-01-08,27.7,13.1,0.0,07:22:00,18:09:00
2015-01-09,27.4,13.1,0.0,07:22:00,18:10:00
2015-01-10,27.8,13.0,0.0,07:22:00,18:11:00
2015-01-11,28.4,12.7,0.0,07:22:00,18:12:00
2015-01-12,28.8,12.0,0.0,07:22:00,18:12:00
2015-01-13,27.5,12.5,0.0,07:22:00,18:13:00
2015-01-14,25.3,13.6,0.2,07:22:00,18:14:00
2015-01-15,26.8,15.3,0.0,07:22:00,18:14:00
2015-01-16,26.8,14.9,0.0,07:22:00,18:15:00
2015-01-17,26.2,14.5,0.0,07:22:00,18:16:00
2015-01-18,25.9,13.3,0.0,07:22:00,18:17:00
2015-01-19,27.1,13.3,0.0,07:22:00,18:17:00
2015-01-20,27.6,16.6,0.0,07:22:00,18:18:00
2015-01-21,26.1,16.1,3.3,07:22:00,18:19:00
2015-01-22,25.9,16.2,0.0,07:22:00,18:19:00
2015-01-23,25.5,13.1,0.0,07:21:00,18:20:00
2015-01-24,25.4,14.2,0.0,07:21:00,18:21:00
2015-01-25,25.7,16.4,0.2,07:21:00,18:21:00
2015-01-26,24.4,13.1,0.0,07:21:00,18:22:00
2015-01-27,24.4,13.0,0.0,07:21:00,18:23:00
2015-01-28,24.2,12.9,0.0,07:20:00,18:23:00
2015-01-29,25.6,11.8,0.0,07:20:00,18:24:00
2015-01-30,26.7,13.2,0.0,07:20:00,18:25:00
2015-01-31,27.8,13.3,0.0,07:19:00,18:26:00
2015-02-01,29.2,12.7,0.0,07:19:00,18:26:00
2015-02-02,28.7,13.7,0.0,07:18:00,18:27:00
2015-02-03,28.7,15.0,0.0,07:18:00,18:28:00
2015-02-04,29.0,17.0,0.0,07:18:00,18:28:00
2015-02-05,29.1,16.7,0.0,07:17:00,18:29:00
2015-02-06,29.9,16.7,0.0,07:17:00,18:29:00
2015-02-07,29.6,16.2,0.0,07:16:00,18:30:00
2015-02-08,28.7,14.6,0.0,07:16:00,18:31:00
2015-02-09,29.1,14.7,0.0,07:15:00,18:31:00
2015-02-10,29.5,17.9,0.0,07:15:00,18:32:00
2015-02-11,29.6,16.7,0.0,07:14:00,18:33:00
2015-02-12,29.9,15.6,0.0,07:13:00,18:33:00
2015-02-13,30.4,14.9,0.0,07:13:00,18:34:00
2015-02-14,31.3,14.9,0.0,07:12:00,18:34:00
2015-02-15,31.3,15.7,0.0,07:12:00,18:35:00
2015-02-16,32.3,15.5,0.0,07:11:00,18:35:00
2015-02-17,31.2,17.5,0.0,07:10:00,18:36:00
2015-02-18,31.9,17.1,0.0,07:10:00,18:36:00
2015-02-19,32.2,16.7,0.0,07:09:00,18:37:00
2015-02-20,32.7,16.8,0.0,07:08:00,18:38:00
2015-02-21,33.8,17.8,0.0,07:07:00,18:38:00
2015-02-22,35.1,18.7,0.0,07:07:00,18:39:00
2015-02-23,34.7,19.0,0.0,07:06:00,18:39:00
2015-02-24,32.9,19.3,0.0,07:05:00,18:40:00
2015-02-25,29.0,19.0,0.0,07:04:00,18:40:00
2015-02-26,27.7,15.4,0.0,07:03:00,18:41:00
2015-02-27,28.5,12.7,0.0,07:03:00,18:41:00
2015-02-28,29.9,15.1,0.0,07:02:00,18:42:00
2015-03-01,21.5,17.1,33.0,07:01:00,18:42:00
2015-03-02,24.0,15.1,0.0,07:00:00,18:42:00
2015-03-03,24.2,12.6,0.0,06:59:00,18:43:00
