Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,26.4,18.4,4.8,06:41:00,18:04:00
2015-01-02,26.2,18.8,0.8,06:42:00,18:04:00
2015-01-03,26.5,18.1,0.0,06:42:00,18:05:00
2015-01-04,27.1,16.5,0.0,06:42:00,18:05:00
2015-01-05,26.7,17.7,0.0,06:43:00,18:06:00
2015-01-06,25.7,16.0,0.0,06:43:00,18:07:00
2015-01-07,26.1,17.1,0.0,06:43:00,18:07:00
2015-01-08,26.3,16.8,0.0,06:44:00,18:08:00
2015-01-09,25.7,17.1,0.0,06:44:00,18:08:00
2015-01-10,27.0,15.7,0.0,06:44:00,18:09:00
2015-01-11,26.3,10.8,0.0,06:44:00,18:09:00
2015-01-12,26.1,12.2,0.0,06:45:00,18:10:00
2015-01-13,26.4,12.2,0.0,06:45:00,18:11:00
2015-01-14,26.4,12.2,0.0,06:45:00,18:11:00
2015-01-15,26.7,12.9,0.0,06:45:00,18:12:00
2015-01-16,26.6,14.6,0.0,06:45:00,18:12:00
2015-01-17,26.9,15.5,0.0,06:46:00,18:13:00
2015-01-18,27.7,14.7,0.0,06:46:00,18:13:00
2015-01-19,28.0,14.5,0.0,06:46:00,18:14:00
2015-01-20,26.9,14.8,0.0,06:46:00,18:14:00
2015-01-21,26.8,14.3,0.0,06:46:00,18:15:00
2015-01-22,27.6,14.2,0.0,06:46:00,18:15:00
2015-01-23,27.3,16.8,0.0,06:46:00,18:16:00
2015-01-24,26.2,17.5,0.4,06:46:00,18:16:00
2015-01-25,28.4,17.6,0.0,06:46:00,18:17:00
2015-01-26,26.9,13.2,0.0,06:46:00,18:17:00
2015-01-27,27.1,13.5,0.0,06:46:00,18:18:00
2015-01-28,27.0,16.0,0.0,06:46:00,18:18:00
2015-01-29,28.2,16.5,0.0,06:46:00,18:19:00
2015-01-30,28.5,17.4,0.0,06:46:00,18:19:00
2015-01-31,28.3,15.8,0.0,06:46:00,18:20:00
2015-02-01,27.7,14.8,0.0,06:45:00,18:20:00
2015-02-02,27.2,15.8,0.0,06:45:00,18:20:00
2015-02-03,27.2,13.6,0.0,06:45:00,18:21:00
2015-02-04,27.3,14.4,0.0,06:45:00,18:21:00
2015-02-05,27.8,14.6,0.0,06:45:00,18:22:00
2015-02-06,28.5,13.8,0.0,06:44:00,18:22:00
2015-02-07,28.7,15.6,0.0,06:44:00,18:22:00
2015-02-08,29.1,15.1,0.0,06:44:00,18:23:00
2015-02-09,29.1,15.0,0.0,06:44:00,18:23:00
2015-02-10,27.7,14.1,0.0,06:43:00,18:23:00
2015-02-11,28.4,14.6,0.0,06:43:00,18:24:00
2015-02-12,28.7,17.3,0.0,06:43:00,18:24:00
2015-02-13,29.3,16.6,0.0,06:43:00,18:24:00
2015-02-14,30.8,16.6,0.0,06:42:00,18:25:00
2015-02-15,30.6,16.4,0.0,06:42:00,18:25:00
2015-02-16,30.6,16.5,0.0,06:41:00,18:25:00
2015-02-17,30.8,15.6,0.0,06:41:00,18:25:00
2015-02-18,30.9,15.3,0.0,06:41:00,18:26:00
2015-02-19,30.4,15.9,0.0,06:40:00,18:26:00
2015-02-20,29.8,15.7,0.0,06:40:00,18:26:00
2015-02-21,29.5,15.4,0.0,06:39:00,18:26:00
2015-02-22,29.6,15.2,0.0,06:39:00,18:27:00
2015-02-23,29.7,15.3,0.0,06:38:00,18:27:00
2015-02-24,30.1,13.8,0.0,06:38:00,18:27:00
2015-02-25,30.4,14.3,0.0,06:37:00,18:27:00
2015-02-26,31.2,16.0,0.0,06:37:00,18:27:00
2015-02-27,31.1,19.2,0.0,06:36:00,18:28:00
2015-02-28,30.0,19.6,0.6,06:36:00,18:28:00
2015-03-01,29.5,19.6,1.6,06:35:00,18:28:00
2015-03-02,29.9,19.8,0.0,06:35:00,18:28:00
2015-03-03,29.6,20.1,0.3,06:34:00,18:28:00
2015-03-04,28.8,18.5,1.1,06:34:00,18:28:00
2015-03-05,29.8,19.0,1.9,06:33:00,18:29:00
2015-03-06,29.6,19.7,3.0,06:33:00,18:29:00
2015-03-07,28.7,19.5,3.4,06:32:00,18:29:00
2015-03-08,29.0,19.3,0.0,06:31:00,18:29:00
2015-03-09,29.7,17.7,0.0,06:31:00,18:29:00
2015-03-10,30.7,18.1,0.0,06:30:00,18:29:00
2015-03-11,30.1,13.8,0.0,06:29:00,18:29:00
2015-03-12,30.0,16.5,0.0,06:29:00,18:29:00
2015-03-13,30.7,17.3,0.0,06:28:00,18:29:00
2015-03-14,30.8,15.9,0.0,06:28:00,18:30:00
2015-03-15,30.2,19.8,0.1,06:27:00,18:30:00
2015-03-16,31.3,21.2,0.0,06:26:00,18:30:00
2015-03-17,33.4,17.9,0.0,06:26:00,18:30:00
2015-03-18,33.8,17.1,0.0,06:25:00,18:30:00
2015-03-19,33.8,17.7,0.0,06:24:00,18:30:00
2015-03-20,33.7,17.4,0.0,06:24:00,18:30:00
2015-03-21,33.8,18.0,0.0,06:23:00,18:30:00
2015-03-22,34.7,18.1,0.0,06:22:00,18:30:00
2015-03-23,34.0,19.5,0.0,06:22:00,18:30:00
2015-03-24,35.0,20.7,0.0,06:21:00,18:30:00
2015-03-25,33.7,19.9,0.0,06:20:00,18:30:00
2015-03-26,33.8,19.3,0.0,06:20:00,18:30:00
2015-03-27,33.2,18.0,0.0,06:19:00,18:31:00
2015-03-28,33.2,17.6,0.0,06:18:00,18:31:00
2015-03-29,33.6,18.9,0.0,06:18:00,18:31:00
2015-03-30,33.4,19.5,0.0,06:17:00,18:31:00
2015-03-31,32.0,20.2,0.0,06:16:00,18:31:00
2015-04-01,30.9,20.9,1.9,06:16:00,18:31:00
2015-04-02,32.4,21.4,0.1,06:15:00,18:31:00
2015-04-03,32.4,22.1,0.0,06:14:00,18:31:00
2015-04-04,34.0,21.6,0.0,06:14:00,18:31:00
2015-04-05,34.4,23.5,0.2,06:13:00,18:31:00
2015-04-06,33.3,23.1,0.5,06:12:00,18:31:00
2015-04-07,33.7,22.3,0.1,06:12:00,18:31:00
2015-04-08,33.4,22.3,0.0,06:11:00,18:31:00
2015-04-09,33.6,22.3,0.0,06:11:00,18:31:00
2015-04-10,33.0,22.2,0.0,06:10:00,18:31:00
2015-04-11,32.8,21.8,0.1,06:09:00,18:32:00
2015-04-12,30.4,20.4,22.7,06:09:00,18:32:00
2015-04-13,26.6,19.3,16.1,06:08:00,18:32:00
2015-04-14,27.0,18.6,9.8,06:08:00,18:32:00
2015-04-15,26.2,18.1,1.0,06:07:00,18:32:00
2015-04-16,27.7,19.2,1.5,06:06:00,18:32:00
2015-04-17,28.0,19.1,0.0,06:06:00,18:32:00
2015-04-18,28.5,19.4,0.4,06:05:00,18:32:00
2015-04-19,29.8,19.4,0.0,06:05:00,18:32:00
2015-04-20,30.2,19.9,0.0,06:04:00,18:32:00
2015-04-21,30.5,20.2,0.8,06:04:00,18:33:00
2015-04-22,31.3,20.8,2.2,06:03:00,18:33:00
2015-04-23,29.5,21.5,4.8,06:02:00,18:33:00
