Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,21.3,19.3,39.6,06:22:00,17:17:00
2015-01-02,26.2,20.6,8.2,06:22:00,17:18:00
2015-01-03,27.5,21.6,0.1,06:22:00,17:18:00
2015-01-04,27.0,20.8,1.1,06:23:00,17:19:00
2015-01-05,26.4,18.5,0.6,06:23:00,17:20:00
2015-01-06,25.5,15.7,0.0,06:23:00,17:20:00
2015-01-07,25.2,15.0,0.0,06:23:00,17:21:00
2015-01-08,25.1,14.4,0.0,06:23:00,17:22:00
2015-01-09,24.4,14.3,0.0,06:24:00,17:22:00
2015-01-10,24.1,12.4,0.0,06:24:00,17:23:00
2015-01-11,24.1,12.9,0.0,06:24:00,17:24:00
2015-01-12,24.0,12.5,0.0,06:24:00,17:24:00
2015-01-13,24.1,13.1,0.0,06:24:00,17:25:00
2015-01-14,25.3,13.1,0.0,06:24:00,17:26:00
2015-01-15,26.0,13.9,0.0,06:24:00,17:26:00
2015-01-16,25.9,14.7,0.0,06:24:00,17:27:00
2015-01-17,26.2,13.7,0.0,06:24:00,17:28:00
2015-01-18,24.6,14.5,0.0,06:24:00,17:28:00
2015-01-19,24.1,13.7,0.0,06:24:00,17:29:00
2015-01-20,24.3,12.7,0.0,06:24:00,17:30:00
2015-01-21,24.7,12.2,0.0,06:24:00,17:30:00
2015-01-22,25.2,14.2,0.0,06:24:00,17:31:00
2015-01-23,26.1,14.7,0.0,06:24:00,17:31:00
2015-01-24,27.8,15.1,0.0,06:24:00,17:32:00
2015-01-25,27.6,14.7,0.0,06:24:00,17:33:00
2015-01-26,27.4,15.4,0.0,06:24:00,17:33:00
2015-01-27,28.0,16.3,0.0,06:23:00,17:34:00
2015-01-28,28.3,16.6,0.0,06:23:00,17:35:00
2015-01-29,28.0,16.3,0.0,06:23:00,17:35:00
2015-01-30,27.2,16.6,0.0,06:23:00,17:36:00
2015-01-31,24.6,16.9,0.0,06:22:00,17:36:00
2015-02-01,25.9,14.2,0.0,06:22:00,17:37:00
2015-02-02,26.9,14.0,0.0,06:22:00,17:38:00
2015-02-03,28.8,14.2,0.0,06:21:00,17:38:00
2015-02-04,29.5,15.0,0.0,06:21:00,17:39:00
2015-02-05,30.3,17.3,0.0,06:21:00,17:39:00
2015-02-06,29.4,16.4,0.0,06:20:00,17:40:00
2015-02-07,28.6,16.6,0.0,06:20:00,17:41:00
2015-02-08,28.8,17.1,0.0,06:19:00,17:41:00
2015-02-09,29.2,16.4,0.0,06:19:00,17:42:00
2015-02-10,29.1,16.6,0.0,06:18:00,17:42:00
2015-02-11,29.4,17.7,0.2,06:18:00,17:43:00
2015-02-12,28.9,18.8,1.7,06:17:00,17:43:00
2015-02-13,28.7,19.3,0.2,06:17:00,17:44:00
2015-02-14,29.6,19.3,0.0,06:16:00,17:44:00
2015-02-15,30.3,19.0,0.0,06:16:00,17:45:00
2015-02-16,29.3,21.2,0.0,06:15:00,17:45:00
2015-02-17,30.1,20.2,0.0,06:15:00,17:46:00
2015-02-18,30.8,21.7,0.0,06:14:00,17:46:00
2015-02-19,31.8,22.1,0.3,06:13:00,17:47:00
2015-02-20,30.7,21.6,0.0,06:13:00,17:47:00
2015-02-21,31.0,19.9,0.2,06:12:00,17:47:00
2015-02-22,32.6,21.1,0.0,06:11:00,17:48:00
2015-02-23,33.6,19.8,0.0,06:11:00,17:48:00
2015-02-24,33.4,20.4,0.0,06:10:00,17:49:00
2015-02-25,33.4,21.2,0.0,06:09:00,17:49:00
2015-02-26,32.9,21.0,0.0,06:09:00,17:50:00
2015-02-27,32.7,21.7,0.0,06:08:00,17:50:00
2015-02-28,31.2,19.9,0.0,06:07:00,17:50:00
2015-03-01,31.7,19.0,0.0,06:06:00,17:51:00
2015-03-02,31.4,19.4,0.0,06:06:00,17:51:00
2015-03-03,32.3,21.4,0.9,06:05:00,17:51:00
2015-03-04,31.4,22.1,4.9,06:04:00,17:52:00
2015-03-05,31.3,22.0,0.1,06:03:00,17:52:00
2015-03-06,30.8,19.7,0.0,06:03:00,17:53:00
2015-03-07,30.9,21.7,0.0,06:02:00,17:53:00
2015-03-08,31.7,21.6,0.0,06:01:00,17:53:00
2015-03-09,33.0,22.0,0.0,06:00:00,17:54:00
2015-03-10,34.3,21.8,0.0,05:59:00,17:54:00
2015-03-11,34.3,22.3,0.0,05:58:00,17:54:00
2015-03-12,34.2,22.0,0.0,05:57:00,17:54:00
2015-03-13,34.2,22.7,0.0,05:57:00,17:55:00
2015-03-14,34.9,23.3,0.2,05:56:00,17:55:00
2015-03-15,35.4,23.1,0.0,05:55:00,17:55:00
2015-03-16,33.8,21.7,0.0,05:54:00,17:56:00
2015-03-17,34.6,21.3,0.0,05:53:00,17:56:00
2015-03-18,35.1,23.1,0.8,05:52:00,17:56:00
2015-03-19,33.7,23.8,0.1,05:51:00,17:57:00
2015-03-20,34.3,23.3,0.0,05:51:00,17:57:00
2015-03-21,35.1,23.9,0.0,05:50:00,17:57:00
2015-03-22,35.5,23.0,0.0,05:49:00,17:57:00
2015-03-23,35.9,22.9,0.0,05:48:00,17:58:00
2015-03-24,35.3,24.8,1.3,05:47:00,17:58:00
2015-03-25,33.5,25.7,1.8,05:46:00,17:58:00
2015-03-26,33.3,25.3,0.0,05:45:00,17:59:00
2015-03-27,33.5,24.1,0.0,05:44:00,17:59:00
2015-03-28,33.1,24.7,0.1,05:44:00,17:59:00
2015-03-29,33.9,25.8,0.3,05:43:00,17:59:00
2015-03-30,33.4,25.6,0.2,05:42:00,18:00:00
2015-03-31,34.4,25.2,0.3,05:41:00,18:00:00
2015-04-01,35.3,25.1,0.8,05:40:00,18:00:00
2015-04-02,36.2,26.0,1.3,05:39:00,18:01:00
2015-04-03,39.0,26.1,0.0,05:38:00,18:01:00
2015-04-04,37.1,25.3,1.0,05:37:00,18:01:00
2015-04-05,34.5,26.9,0.0,05:36:00,18:01:00
2015-04-06,35.5,26.2,0.8,05:36:00,18:02:00
