Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,23.2,6.1,0.0,07:20:00,17:31:00
2015-01-02,18.5,7.6,6.5,07:20:00,17:32:00
2015-01-03,15.2,11.0,17.2,07:20:00,17:33:00
2015-01-04,17.5,9.7,0.0,07:20:00,17:33:00
2015-01-05,17.7,8.9,0.0,07:20:00,17:34:00
2015-01-06,17.2,8.3,0.0,07:21:00,17:35:00
2015-01-07,16.7,6.6,0.0,07:21:00,17:36:00
2015-01-08,16.5,6.3,0.0,07:21:00,17:37:00
2015-01-09,16.4,7.1,0.0,07:21:00,17:37:00
2015-01-10,15.8,7.0,0.0,07:21:00,17:38:00
2015-01-11,16.8,6.6,0.0,07:21:00,17:39:00
2015-01-12,14.1,7.8,0.0,07:21:00,17:40:00
2015-01-13,18.0,7.2,0.0,07:21:00,17:41:00
2015-01-14,14.6,7.3,4.6,07:21:00,17:42:00
2015-01-15,19.1,4.6,0.0,07:20:00,17:42:00
2015-01-16,18.7,6.2,0.0,07:20:00,17:43:00
2015-01-17,18.7,4.8,0.0,07:20:00,17:44:00
2015-01-18,18.2,4.7,0.0,07:20:00,17:45:00
2015-01-19,17.9,5.1,0.0,07:20:00,17:46:00
2015-01-20,17.3,6.6,0.0,07:19:00,17:47:00
2015-01-21,15.5,8.5,6.3,07:19:00,17:48:00
2015-01-22,16.8,10.2,9.8,07:19:00,17:48:00
2015-01-23,17.6,9.0,1.3,07:18:00,17:49:00
2015-01-24,17.5,6.3,0.0,07:18:00,17:50:00
2015-01-25,15.8,8.0,0.6,07:18:00,17:51:00
2015-01-26,15.4,10.7,1.3,07:17:00,17:52:00
2015-01-27,15.4,8.9,0.6,07:17:00,17:53:00
2015-01-28,16.2,5.0,0.0,07:16:00,17:54:00
2015-01-29,15.1,6.3,0.3,07:16:00,17:55:00
2015-01-30,17.1,3.3,0.0,07:15:00,17:56:00
2015-01-31,18.2,5.3,0.0,07:14:00,17:57:00
2015-02-01,18.7,5.7,0.0,07:14:00,17:57:00
2015-02-02,19.8,8.3,1.5,07:13:00,17:58:00
2015-02-03,20.2,10.1,9.6,07:13:00,17:59:00
2015-02-04,20.6,7.5,0.0,07:12:00,18:00:00
2015-02-05,19.2,6.1,0.0,07:11:00,18:01:00
2015-02-06,18.3,6.4,0.0,07:11:00,18:02:00
2015-02-07,20.5,5.0,0.0,07:10:00,18:03:00
2015-02-08,21.3,7.2,0.0,07:09:00,18:04:00
2015-02-09,21.3,6.7,0.0,07:08:00,18:04:00
2015-02-10,20.8,8.0,0.0,07:08:00,18:05:00
2015-02-11,20.6,10.0,0.0,07:07:00,18:06:00
2015-02-12,21.0,8.4,0.0,07:06:00,18:07:00
2015-02-13,22.2,8.4,0.0,07:05:00,18:08:00
2015-02-14,24.1,8.8,0.0,07:04:00,18:08:00
2015-02-15,23.3,9.1,0.0,07:03:00,18:09:00
2015-02-16,23.1,13.9,1.3,07:02:00,18:10:00
2015-02-17,24.5,12.2,1.0,07:01:00,18:11:00
2015-02-18,23.8,11.2,4.3,07:00:00,18:12:00
