Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,28.7,22.0,0.0,06:31:00,17:53:00
2015-01-02,28.6,23.3,0.3,06:31:00,17:53:00
2015-01-03,28.4,23.3,2.0,06:31:00,17:54:00
2015-01-04,28.3,23.0,1.2,06:32:00,17:54:00
2015-01-05,28.4,21.6,0.1,06:32:00,17:55:00
2015-01-06,27.7,21.5,0.3,06:32:00,17:56:00
2015-01-07,28.0,20.8,0.1,06:33:00,17:56:00
2015-01-08,27.6,21.5,0.8,06:33:00,17:57:00
2015-01-09,26.8,21.3,0.4,06:33:00,17:57:00
2015-01-10,27.0,18.1,0.0,06:34:00,17:58:00
2015-01-11,26.4,19.8,0.0,06:34:00,17:58:00
2015-01-12,26.7,20.8,0.0,06:34:00,17:59:00
2015-01-13,27.2,19.0,0.0,06:34:00,18:00:00
2015-01-14,26.7,19.8,0.0,06:35:00,18:00:00
2015-01-15,27.7,18.9,0.0,06:35:00,18:01:00
2015-01-16,27.6,21.6,0.1,06:35:00,18:01:00
2015-01-17,28.1,21.0,0.0,06:35:00,18:02:00
2015-01-18,27.7,21.2,0.0,06:35:00,18:02:00
2015-01-19,27.5,21.1,0.0,06:35:00,18:03:00
2015-01-20,27.5,20.3,0.0,06:35:00,18:03:00
2015-01-21,27.2,20.5,0.0,06:35:00,18:04:00
2015-01-22,27.0,21.1,1.1,06:35:00,18:04:00
2015-01-23,27.3,22.3,1.0,06:35:00,18:05:00
2015-01-24,27.3,22.3,1.1,06:35:00,18:05:00
2015-01-25,26.9,21.1,0.0,06:35:00,18:06:00
2015-01-26,27.2,21.3,0.0,06:35:00,18:06:00
2015-01-27,26.8,21.8,0.0,06:35:00,18:07:00
2015-01-28,27.2,21.4,0.0,06:35:00,18:07:00
2015-01-29,27.7,21.6,0.0,06:35:00,18:08:00
2015-01-30,28.2,22.2,0.0,06:35:00,18:08:00
2015-01-31,28.2,21.0,0.0,06:35:00,18:09:00
2015-02-01,28.0,21.1,0.0,06:35:00,18:09:00
2015-02-02,28.1,21.6,0.0,06:35:00,18:09:00
2015-02-03,28.3,22.3,0.0,06:35:00,18:10:00
2015-02-04,28.2,22.5,0.0,06:34:00,18:10:00
2015-02-05,28.6,21.2,0.0,06:34:00,18:11:00
2015-02-06,28.7,21.5,0.0,06:34:00,18:11:00
2015-02-07,28.7,20.1,0.0,06:34:00,18:11:00
2015-02-08,28.7,20.9,0.0,06:33:00,18:12:00
2015-02-09,28.4,22.1,0.0,06:33:00,18:12:00
2015-02-10,28.4,21.8,0.0,06:33:00,18:12:00
2015-02-11,27.5,21.4,1.1,06:33:00,18:13:00
2015-02-12,29.5,22.5,0.0,06:32:00,18:13:00
2015-02-13,30.3,20.7,0.0,06:32:00,18:13:00
2015-02-14,30.9,19.3,0.0,06:32:00,18:14:00
2015-02-15,31.6,20.5,0.0,06:31:00,18:14:00
2015-02-16,30.7,21.4,0.0,06:31:00,18:14:00
2015-02-17,30.8,20.0,0.0,06:30:00,18:15:00
2015-02-18,30.2,19.2,0.0,06:30:00,18:15:00
2015-02-19,30.3,19.6,0.0,06:30:00,18:15:00
2015-02-20,29.6,21.1,0.0,06:29:00,18:15:00
2015-02-21,29.8,20.4,0.0,06:29:00,18:16:00
2015-02-22,30.5,20.1,0.0,06:28:00,18:16:00
2015-02-23,30.4,19.7,0.0,06:28:00,18:16:00
2015-02-24,30.9,19.4,0.0,06:27:00,18:16:00
2015-02-25,30.8,18.9,0.0,06:27:00,18:16:00
2015-02-26,30.9,20.1,0.0,06:26:00,18:17:00
2015-02-27,30.5,23.2,0.5,06:26:00,18:17:00
2015-02-28,29.5,24.1,1.0,06:25:00,18:17:00
2015-03-01,30.0,24.6,0.1,06:25:00,18:17:00
2015-03-02,30.0,24.3,0.9,06:24:00,18:17:00
2015-03-03,31.7,23.9,0.1,06:24:00,18:18:00
2015-03-04,32.3,24.1,0.0,06:23:00,18:18:00
2015-03-05,32.0,24.4,0.6,06:22:00,18:18:00
2015-03-06,31.9,25.2,0.6,06:22:00,18:18:00
2015-03-07,31.5,25.0,0.5,06:21:00,18:18:00
2015-03-08,31.4,24.2,0.7,06:21:00,18:18:00
2015-03-09,30.9,23.5,0.0,06:20:00,18:18:00
2015-03-10,30.9,22.8,0.0,06:19:00,18:18:00
2015-03-11,31.0,22.3,0.0,06:19:00,18:19:00
2015-03-12,31.4,24.8,0.0,06:18:00,18:19:00
2015-03-13,31.9,23.7,0.0,06:17:00,18:19:00
2015-03-14,31.7,23.8,0.0,06:17:00,18:19:00
2015-03-15,31.5,24.5,0.3,06:16:00,18:19:00
2015-03-16,32.0,22.4,0.0,06:16:00,18:19:00
2015-03-17,32.2,21.9,0.0,06:15:00,18:19:00
2015-03-18,34.4,21.2,0.0,06:14:00,18:19:00
2015-03-19,33.8,21.9,0.0,06:14:00,18:19:00
2015-03-20,32.4,22.4,0.0,06:13:00,18:19:00
2015-03-21,33.9,22.0,0.0,06:12:00,18:19:00
2015-03-22,35.2,21.5,0.0,06:12:00,18:19:00
2015-03-23,34.2,24.0,0.0,06:11:00,18:20:00
2015-03-24,33.9,23.5,0.0,06:10:00,18:20:00
2015-03-25,32.8,24.0,0.0,06:10:00,18:20:00
2015-03-26,32.1,24.4,0.0,06:09:00,18:20:00
2015-03-27,32.4,24.9,0.0,06:08:00,18:20:00
2015-03-28,33.6,24.1,0.0,06:08:00,18:20:00
2015-03-29,33.3,25.1,0.0,06:07:00,18:20:00
2015-03-30,33.2,25.9,0.0,06:06:00,18:20:00
2015-03-31,33.1,26.0,0.3,06:06:00,18:20:00
2015-04-01,33.1,26.1,0.8,06:05:00,18:20:00
2015-04-02,34.6,26.5,0.0,06:04:00,18:20:00
2015-04-03,36.8,26.4,0.0,06:04:00,18:20:00
2015-04-04,36.6,27.5,0.0,06:03:00,18:20:00
2015-04-05,35.5,27.3,0.0,06:02:00,18:20:00
2015-04-06,34.8,26.9,0.0,06:02:00,18:20:00
