Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,7.3,-0.7,0.0,06:24:00,16:51:00
2015-01-02,7.2,-0.2,1.2,06:24:00,16:52:00
2015-01-03,7.0,0.5,11.8,06:25:00,16:52:00
2015-01-04,4.8,-0.5,14.0,06:25:00,16:53:00
2015-01-05,5.5,-2.0,1.8,06:25:00,16:54:00
2015-01-06,3.6,-0.3,0.8,06:25:00,16:55:00
2015-01-07,2.1,-1.9,1.8,06:25:00,16:55:00
2015-01-08,2.1,-3.2,2.2,06:25:00,16:56:00
2015-01-09,3.8,-6.1,0.0,06:25:00,16:57:00
2015-01-10,6.2,-6.1,0.0,06:26:00,16:58:00
2015-01-11,6.4,-4.8,0.0,06:26:00,16:58:00
2015-01-12,6.0,-2.7,0.0,06:26:00,16:59:00
2015-01-13,5.7,-3.1,0.0,06:26:00,17:00:00
2015-01-14,4.0,-2.1,0.0,06:26:00,17:01:00
2015-01-15,4.5,-3.3,0.4,06:26:00,17:02:00
2015-01-16,4.4,-2.7,1.0,06:25:00,17:02:00
2015-01-17,2.8,-4.0,0.5,06:25:00,17:03:00
2015-01-18,3.8,-7.5,1.6,06:25:00,17:04:00
2015-01-19,3.1,-4.8,0.0,06:25:00,17:05:00
2015-01-20,4.8,-5.3,0.0,06:25:00,17:05:00
2015-01-21,6.4,-5.2,0.0,06:25:00,17:06:00
2015-01-22,7.2,-2.1,0.0,06:24:00,17:07:00
2015-01-23,5.7,-0.6,0.9,06:24:00,17:08:00
2015-01-24,5.1,-1.5,0.0,06:24:00,17:09:00
2015-01-25,5.2,-0.1,0.1,06:23:00,17:09:00
2015-01-26,5.4,-0.7,0.0,06:23:00,17:10:00
2015-01-27,5.6,-0.0,1.3,06:23:00,17:11:00
2015-01-28,5.6,-1.3,0.7,06:22:00,17:12:00
2015-01-29,2.2,-2.1,0.9,06:22:00,17:13:00
2015-01-30,0.8,-3.6,0.5,06:21:00,17:13:00
2015-01-31,2.5,-2.6,1.1,06:21:00,17:14:00
