Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,21.7,11.8,0.0,07:13:00,17:34:00
2015-01-02,16.7,14.1,4.2,07:13:00,17:34:00
2015-01-03,18.1,14.1,0.8,07:13:00,17:35:00
2015-01-04,19.2,11.0,0.0,07:13:00,17:36:00
2015-01-05,20.7,9.8,0.0,07:14:00,17:37:00
2015-01-06,20.3,10.7,0.0,07:14:00,17:37:00
2015-01-07,18.3,10.7,0.0,07:14:00,17:38:00
2015-01-08,19.8,7.2,0.0,07:14:00,17:39:00
2015-01-09,18.6,6.2,0.0,07:14:00,17:40:00
2015-01-10,18.0,7.6,0.0,07:14:00,17:40:00
2015-01-11,17.4,7.1,0.0,07:14:00,17:41:00
2015-01-12,17.7,6.0,0.0,07:14:00,17:42:00
2015-01-13,17.8,6.0,0.0,07:14:00,17:43:00
2015-01-14,16.8,9.9,6.7,07:14:00,17:44:00
2015-01-15,18.7,7.4,0.0,07:14:00,17:45:00
2015-01-16,19.6,7.7,0.0,07:14:00,17:45:00
2015-01-17,20.4,8.1,0.0,07:14:00,17:46:00
2015-01-18,20.4,7.8,0.0,07:13:00,17:47:00
2015-01-19,19.6,6.1,0.0,07:13:00,17:48:00
2015-01-20,19.0,6.3,0.0,07:13:00,17:49:00
2015-01-21,15.8,9.4,5.2,07:13:00,17:49:00
2015-01-22,15.4,11.0,13.3,07:12:00,17:50:00
2015-01-23,18.3,10.8,0.0,07:12:00,17:51:00
2015-01-24,17.8,10.9,0.0,07:12:00,17:52:00
2015-01-25,17.7,9.2,0.0,07:11:00,17:53:00
2015-01-26,18.3,8.6,0.0,07:11:00,17:54:00
2015-01-27,17.9,8.9,0.0,07:11:00,17:54:00
2015-01-28,17.5,7.0,0.0,07:10:00,17:55:00
2015-01-29,17.9,5.1,0.0,07:10:00,17:56:00
2015-01-30,18.8,5.5,0.0,07:09:00,17:57:00
2015-01-31,20.0,7.8,0.0,07:09:00,17:58:00
2015-02-01,20.6,6.4,0.0,07:08:00,17:59:00
2015-02-02,21.8,10.8,0.4,07:08:00,17:59:00
2015-02-03,21.9,13.4,12.5,07:07:00,18:00:00
2015-02-04,20.3,9.7,0.0,07:07:00,18:01:00
2015-02-05,20.6,9.5,0.0,07:06:00,18:02:00
2015-02-06,20.7,6.6,0.0,07:05:00,18:03:00
2015-02-07,22.2,7.4,0.0,07:05:00,18:03:00
2015-02-08,22.4,9.2,0.7,07:04:00,18:04:00
2015-02-09,23.4,9.8,0.0,07:03:00,18:05:00
2015-02-10,22.3,9.7,0.0,07:03:00,18:06:00
2015-02-11,22.0,8.1,0.0,07:02:00,18:07:00
2015-02-12,22.2,8.4,0.0,07:01:00,18:07:00
2015-02-13,24.1,9.9,0.0,07:00:00,18:08:00
2015-02-14,26.3,10.6,0.0,06:59:00,18:09:00
2015-02-15,25.5,11.4,0.0,06:59:00,18:10:00
2015-02-16,26.1,13.8,1.4,06:58:00,18:10:00
2015-02-17,26.4,15.8,4.6,06:57:00,18:11:00
2015-02-18,25.9,15.3,7.6,06:56:00,18:12:00
