Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,28.2,18.8,0.0,06:46:00,17:52:00
2015-01-02,27.5,19.6,0.5,06:46:00,17:53:00
2015-01-03,26.6,19.6,4.3,06:46:00,17:53:00
2015-01-04,25.7,19.6,0.2,06:47:00,17:54:00
2015-01-05,27.6,17.6,0.0,06:47:00,17:55:00
2015-01-06,27.4,16.5,0.0,06:47:00,17:55:00
2015-01-07,28.3,15.5,0.0,06:47:00,17:56:00
2015-01-08,27.5,16.0,0.0,06:48:00,17:56:00
2015-01-09,26.6,14.1,0.0,06:48:00,17:57:00
2015-01-10,26.8,11.1,0.0,06:48:00,17:58:00
2015-01-11,26.9,11.2,0.0,06:48:00,17:58:00
2015-01-12,27.0,11.6,0.0,06:48:00,17:59:00
2015-01-13,27.2,13.7,0.0,06:49:00,18:00:00
2015-01-14,27.9,12.2,0.0,06:49:00,18:00:00
2015-01-15,27.3,15.4,0.0,06:49:00,18:01:00
2015-01-16,27.7,14.6,0.0,06:49:00,18:02:00
2015-01-17,27.8,14.2,0.0,06:49:00,18:02:00
2015-01-18,28.1,13.8,0.0,06:49:00,18:03:00
2015-01-19,27.7,15.4,0.0,06:49:00,18:03:00
2015-01-20,27.6,16.0,0.0,06:49:00,18:04:00
2015-01-21,27.3,16.4,0.0,06:49:00,18:04:00
2015-01-22,27.9,16.2,0.0,06:49:00,18:05:00
2015-01-23,28.2,16.0,0.0,06:49:00,18:06:00
2015-01-24,28.6,16.6,0.0,06:49:00,18:06:00
2015-01-25,28.6,16.5,0.0,06:49:00,18:07:00
2015-01-26,27.9,16.0,0.0,06:49:00,18:07:00
2015-01-27,28.0,15.6,0.0,06:48:00,18:08:00
2015-01-28,27.9,15.2,0.0,06:48:00,18:08:00
2015-01-29,28.4,16.2,0.0,06:48:00,18:09:00
2015-01-30,28.1,15.9,0.0,06:48:00,18:10:00
2015-01-31,28.9,16.8,0.0,06:48:00,18:10:00
2015-02-01,28.9,14.8,0.0,06:47:00,18:11:00
2015-02-02,28.8,16.8,0.0,06:47:00,18:11:00
2015-02-03,28.0,18.0,0.0,06:47:00,18:12:00
2015-02-04,29.2,14.3,0.0,06:47:00,18:12:00
2015-02-05,29.6,15.0,0.0,06:46:00,18:13:00
2015-02-06,29.6,15.8,0.0,06:46:00,18:13:00
2015-02-07,29.3,16.0,0.0,06:46:00,18:14:00
2015-02-08,29.7,16.9,0.0,06:45:00,18:14:00
2015-02-09,29.8,17.0,0.0,06:45:00,18:15:00
2015-02-10,28.8,16.4,0.0,06:45:00,18:15:00
2015-02-11,28.8,16.1,0.0,06:44:00,18:15:00
2015-02-12,30.0,15.8,0.0,06:44:00,18:16:00
2015-02-13,31.3,17.2,0.0,06:43:00,18:16:00
2015-02-14,31.6,18.5,0.0,06:43:00,18:17:00
2015-02-15,32.6,18.5,0.0,06:42:00,18:17:00
2015-02-16,32.6,17.5,0.0,06:42:00,18:17:00
2015-02-17,33.2,17.2,0.0,06:41:00,18:18:00
2015-02-18,33.2,19.4,0.0,06:41:00,18:18:00
2015-02-19,31.4,18.4,0.0,06:40:00,18:19:00
2015-02-20,30.1,19.6,0.0,06:40:00,18:19:00
2015-02-21,30.4,19.1,0.0,06:39:00,18:19:00
2015-02-22,32.4,17.6,0.0,06:39:00,18:20:00
2015-02-23,32.5,19.2,0.0,06:38:00,18:20:00
2015-02-24,33.0,19.3,0.0,06:37:00,18:20:00
2015-02-25,33.1,19.6,0.0,06:37:00,18:21:00
2015-02-26,33.5,19.5,0.0,06:36:00,18:21:00
2015-02-27,33.1,20.0,0.0,06:35:00,18:21:00
2015-02-28,32.1,19.6,0.0,06:35:00,18:22:00
2015-03-01,29.7,20.9,5.2,06:34:00,18:22:00
