Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,21.8,13.6,0.8,05:58:00,16:36:00
2015-01-02,23.4,14.8,0.0,05:58:00,16:36:00
2015-01-03,24.1,13.5,0.0,05:59:00,16:37:00
2015-01-04,22.6,15.3,0.3,05:59:00,16:38:00
2015-01-05,18.1,11.1,2.7,05:59:00,16:38:00
2015-01-06,19.5,10.6,0.0,05:59:00,16:39:00
2015-01-07,20.3,10.4,0.0,05:59:00,16:40:00
2015-01-08,19.4,10.8,1.9,06:00:00,16:40:00
2015-01-09,16.6,9.8,8.0,06:00:00,16:41:00
2015-01-10,18.8,11.1,0.0,06:00:00,16:42:00
2015-01-11,19.6,8.8,0.0,06:00:00,16:43:00
2015-01-12,19.4,7.2,0.0,06:00:00,16:43:00
2015-01-13,19.6,6.6,0.0,06:00:00,16:44:00
2015-01-14,20.5,10.1,0.1,06:00:00,16:45:00
2015-01-15,21.2,12.1,0.0,06:00:00,16:46:00
2015-01-16,20.9,11.4,0.0,06:00:00,16:46:00
2015-01-17,20.3,10.5,1.7,06:00:00,16:47:00
2015-01-18,18.2,9.1,4.3,06:00:00,16:48:00
2015-01-19,18.8,9.2,0.0,06:00:00,16:49:00
2015-01-20,20.2,9.2,0.0,06:00:00,16:49:00
2015-01-21,21.5,8.6,0.0,05:59:00,16:50:00
2015-01-22,21.9,9.9,0.0,05:59:00,16:51:00
2015-01-23,21.0,12.3,0.0,05:59:00,16:52:00
2015-01-24,21.0,11.5,0.0,05:59:00,16:52:00
2015-01-25,21.0,10.2,0.0,05:59:00,16:53:00
2015-01-26,21.7,9.5,0.0,05:58:00,16:54:00
2015-01-27,22.4,10.4,0.0,05:58:00,16:55:00
2015-01-28,22.4,11.5,0.0,05:58:00,16:55:00
2015-01-29,22.9,11.1,0.0,05:57:00,16:56:00
2015-01-30,21.0,12.1,0.3,05:57:00,16:57:00
2015-01-31,18.8,10.3,0.0,05:56:00,16:57:00
2015-02-01,21.0,7.3,0.0,05:56:00,16:58:00
2015-02-02,21.9,9.2,0.0,05:56:00,16:59:00
2015-02-03,23.3,11.6,0.0,05:55:00,17:00:00
2015-02-04,22.9,11.3,0.0,05:55:00,17:00:00
2015-02-05,22.1,12.0,0.0,05:54:00,17:01:00
2015-02-06,21.3,11.1,0.0,05:54:00,17:02:00
2015-02-07,21.9,10.6,0.0,05:53:00,17:02:00
2015-02-08,22.6,10.2,0.0,05:53:00,17:03:00
2015-02-09,23.3,11.2,0.0,05:52:00,17:04:00
2015-02-10,22.2,12.4,0.0,05:51:00,17:04:00
2015-02-11,21.9,11.8,0.0,05:51:00,17:05:00
2015-02-12,22.4,11.0,0.0,05:50:00,17:06:00
