Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,17.8,14.2,36.8,07:06:00,17:52:00
2015-01-02,17.5,14.9,0.0,07:07:00,17:53:00
2015-01-03,21.5,14.5,0.0,07:07:00,17:54:00
2015-01-04,21.3,12.0,0.0,07:07:00,17:54:00
2015-01-05,21.6,9.6,0.0,07:07:00,17:55:00
2015-01-06,23.1,9.4,0.0,07:08:00,17:56:00
2015-01-07,23.7,8.8,0.0,07:08:00,17:56:00
2015-01-08,23.0,9.5,0.0,07:08:00,17:57:00
2015-01-09,23.0,9.2,0.0,07:08:00,17:58:00
2015-01-10,23.8,10.5,0.0,07:08:00,17:58:00
2015-01-11,25.4,13.0,0.0,07:08:00,17:59:00
2015-01-12,25.8,12.9,0.0,07:09:00,18:00:00
2015-01-13,25.1,9.4,0.0,07:09:00,18:00:00
2015-01-14,25.2,13.4,0.0,07:09:00,18:01:00
2015-01-15,24.4,10.3,0.0,07:09:00,18:02:00
2015-01-16,24.2,11.5,0.0,07:09:00,18:03:00
2015-01-17,22.8,11.7,0.0,07:09:00,18:03:00
2015-01-18,23.2,10.3,0.0,07:09:00,18:04:00
2015-01-19,23.8,10.5,0.0,07:09:00,18:05:00
2015-01-20,24.4,13.1,0.0,07:08:00,18:05:00
2015-01-21,25.6,13.8,0.0,07:08:00,18:06:00
2015-01-22,24.8,15.9,0.8,07:08:00,18:07:00
2015-01-23,22.9,14.6,0.5,07:08:00,18:07:00
2015-01-24,21.2,14.5,0.2,07:08:00,18:08:00
2015-01-25,24.5,15.5,2.9,07:08:00,18:09:00
2015-01-26,23.7,14.9,0.0,07:07:00,18:09:00
2015-01-27,19.5,14.5,0.6,07:07:00,18:10:00
2015-01-28,20.9,11.5,0.6,07:07:00,18:11:00
2015-01-29,22.9,10.8,0.0,07:06:00,18:12:00
2015-01-30,23.2,9.8,0.0,07:06:00,18:12:00
2015-01-31,24.7,8.8,0.0,07:06:00,18:13:00
2015-02-01,26.9,11.1,0.0,07:05:00,18:14:00
2015-02-02,28.9,14.3,0.0,07:05:00,18:14:00
2015-02-03,28.2,16.4,0.2,07:05:00,18:15:00
2015-02-04,25.7,15.8,0.1,07:04:00,18:16:00
2015-02-05,26.5,14.5,0.0,07:04:00,18:16:00
2015-02-06,28.2,16.1,0.0,07:03:00,18:17:00
2015-02-07,28.2,15.1,0.0,07:03:00,18:17:00
2015-02-08,26.1,16.3,0.2,07:02:00,18:18:00
2015-02-09,26.4,14.0,0.0,07:02:00,18:19:00
2015-02-10,24.3,15.6,2.6,07:01:00,18:19:00
2015-02-11,26.7,14.8,0.0,07:01:00,18:20:00
2015-02-12,28.1,13.3,0.0,07:00:00,18:20:00
2015-02-13,28.2,12.5,0.0,07:00:00,18:21:00
2015-02-14,30.5,18.3,0.0,06:59:00,18:22:00
2015-02-15,30.9,15.3,0.0,06:58:00,18:22:00
2015-02-16,32.3,17.1,0.0,06:58:00,18:23:00
2015-02-17,31.9,15.3,0.0,06:57:00,18:23:00
2015-02-18,30.9,16.9,0.0,06:56:00,18:24:00
2015-02-19,30.4,17.9,0.0,06:56:00,18:24:00
