Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,21.2,11.6,0.0,06:00:00,16:33:00
2015-01-02,21.0,13.2,0.7,06:00:00,16:34:00
2015-01-03,20.6,13.1,1.5,06:00:00,16:34:00
2015-01-04,19.5,13.4,13.7,06:00:00,16:35:00
2015-01-05,17.2,11.6,4.5,06:00:00,16:36:00
2015-01-06,17.3,11.0,0.1,06:01:00,16:36:00
2015-01-07,18.2,9.0,0.3,06:01:00,16:37:00
2015-01-08,18.1,7.8,4.9,06:01:00,16:38:00
2015-01-09,16.9,6.9,7.9,06:01:00,16:39:00
2015-01-10,16.4,9.5,0.9,06:01:00,16:39:00
2015-01-11,17.9,5.9,0.0,06:01:00,16:40:00
2015-01-12,19.0,5.4,0.0,06:01:00,16:41:00
2015-01-13,19.4,5.2,0.0,06:01:00,16:42:00
2015-01-14,18.6,6.7,0.0,06:01:00,16:42:00
2015-01-15,19.2,8.0,0.0,06:01:00,16:43:00
2015-01-16,19.5,8.2,0.0,06:01:00,16:44:00
2015-01-17,18.9,8.2,1.4,06:01:00,16:45:00
2015-01-18,17.6,7.0,5.2,06:01:00,16:45:00
2015-01-19,16.5,7.3,0.9,06:01:00,16:46:00
2015-01-20,18.2,7.8,0.4,06:01:00,16:47:00
2015-01-21,19.9,6.5,0.0,06:01:00,16:48:00
2015-01-22,20.1,7.3,0.0,06:00:00,16:48:00
2015-01-23,18.6,9.3,0.7,06:00:00,16:49:00
2015-01-24,17.8,10.9,1.2,06:00:00,16:50:00
2015-01-25,18.7,9.4,0.0,06:00:00,16:51:00
2015-01-26,19.6,9.9,0.2,05:59:00,16:52:00
2015-01-27,19.8,8.8,0.0,05:59:00,16:52:00
2015-01-28,19.9,9.4,0.0,05:59:00,16:53:00
2015-01-29,19.6,10.3,0.4,05:58:00,16:54:00
2015-01-30,19.0,9.5,0.1,05:58:00,16:55:00
2015-01-31,15.9,9.6,1.9,05:57:00,16:55:00
2015-02-01,18.1,5.9,0.0,05:57:00,16:56:00
2015-02-02,20.0,6.2,0.0,05:56:00,16:57:00
2015-02-03,20.6,7.7,0.0,05:56:00,16:58:00
2015-02-04,20.5,8.2,0.0,05:55:00,16:58:00
2015-02-05,18.9,11.0,0.0,05:55:00,16:59:00
2015-02-06,18.9,8.4,0.0,05:54:00,17:00:00
2015-02-07,19.2,10.1,0.1,05:54:00,17:00:00
2015-02-08,20.3,7.7,0.0,05:53:00,17:01:00
2015-02-09,20.0,9.0,0.0,05:53:00,17:02:00
2015-02-10,18.8,10.6,0.0,05:52:00,17:02:00
2015-02-11,18.8,12.0,0.0,05:51:00,17:03:00
2015-02-12,19.6,10.8,0.0,05:51:00,17:04:00
2015-02-13,17.9,7.6,5.5,05:50:00,17:04:00
2015-02-14,17.0,7.5,0.0,05:49:00,17:05:00
2015-02-15,18.1,8.0,1.3,05:48:00,17:06:00
2015-02-16,18.5,6.1,0.3,05:48:00,17:06:00
2015-02-17,20.6,7.7,0.0,05:47:00,17:07:00
2015-02-18,19.7,8.2,0.2,05:46:00,17:08:00
2015-02-19,18.7,9.2,5.7,05:45:00,17:08:00
2015-02-20,19.4,7.2,0.0,05:45:00,17:09:00
2015-02-21,19.5,10.1,1.9,05:44:00,17:10:00
2015-02-22,19.3,9.2,1.1,05:43:00,17:10:00
2015-02-23,21.9,8.8,0.0,05:42:00,17:11:00
2015-02-24,21.5,12.1,0.0,05:41:00,17:11:00
2015-02-25,21.0,14.9,2.5,05:40:00,17:12:00
2015-02-26,20.8,13.6,0.7,05:39:00,17:13:00
2015-02-27,23.4,12.1,2.1,05:38:00,17:13:00
2015-02-28,23.5,12.1,0.0,05:38:00,17:14:00
2015-03-01,24.1,12.4,0.3,05:37:00,17:14:00
2015-03-02,25.1,12.8,0.0,05:36:00,17:15:00
2015-03-03,22.8,14.1,1.4,05:35:00,17:15:00
2015-03-04,21.1,11.0,2.2,05:34:00,17:16:00
2015-03-05,19.9,9.6,0.7,05:33:00,17:16:00
2015-03-06,20.4,12.3,0.1,05:32:00,17:17:00
2015-03-07,20.8,11.9,0.0,05:31:00,17:17:00
2015-03-08,22.6,10.3,0.0,05:30:00,17:18:00
2015-03-09,24.7,11.0,0.0,05:29:00,17:18:00
2015-03-10,25.1,12.4,0.0,05:28:00,17:19:00
2015-03-11,24.2,14.6,0.0,05:27:00,17:19:00
2015-03-12,25.0,11.8,0.0,05:26:00,17:20:00
2015-03-13,24.8,13.3,0.0,05:25:00,17:20:00
2015-03-14,24.3,14.1,0.9,05:24:00,17:21:00
2015-03-15,24.8,13.7,0.0,05:23:00,17:21:00
2015-03-16,26.0,13.4,0.3,05:22:00,17:22:00
2015-03-17,25.3,16.7,0.5,05:21:00,17:22:00
2015-03-18,24.9,15.5,0.0,05:20:00,17:23:00
2015-03-19,24.3,13.4,0.0,05:19:00,17:23:00
2015-03-20,24.2,14.5,0.0,05:17:00,17:24:00
2015-03-21,26.5,12.7,0.0,05:16:00,17:24:00
2015-03-22,26.9,15.2,0.0,05:15:00,17:25:00
2015-03-23,27.8,14.0,0.2,05:14:00,17:25:00
2015-03-24,25.2,14.3,3.1,05:13:00,17:26:00
2015-03-25,25.5,12.6,6.4,05:12:00,17:26:00
2015-03-26,24.3,12.3,8.1,05:11:00,17:27:00
2015-03-27,23.5,13.8,8.0,05:10:00,17:27:00
2015-03-28,22.1,13.0,9.5,05:09:00,17:28:00
2015-03-29,23.5,12.5,0.2,05:08:00,17:28:00
2015-03-30,24.5,14.5,6.7,05:07:00,17:28:00
2015-03-31,21.3,15.4,6.3,05:06:00,17:29:00
2015-04-01,22.2,14.3,3.6,05:05:00,17:29:00
2015-04-02,22.2,14.0,5.1,05:04:00,17:30:00
2015-04-03,20.6,14.4,12.2,05:03:00,17:30:00
2015-04-04,22.8,14.6,19.3,05:02:00,17:31:00
2015-04-05,25.4,14.5,8.9,05:01:00,17:31:00
2015-04-06,23.5,14.7,15.3,05:00:00,17:32:00
2015-04-07,23.4,14.1,0.5,04:59:00,17:32:00
2015-04-08,23.9,14.4,7.2,04:57:00,17:33:00
2015-04-09,24.7,13.5,4.2,04:56:00,17:33:00
2015-04-10,23.6,13.5,4.3,04:56:00,17:33:00
2015-04-11,23.3,13.6,0.6,04:55:00,17:34:00
2015-04-12,24.4,15.0,0.0,04:54:00,17:34:00
2015-04-13,23.6,16.2,3.0,04:53:00,17:35:00
2015-04-14,25.0,15.2,4.6,04:52:00,17:35:00
2015-04-15,26.9,16.1,0.0,04:51:00,17:36:00
2015-04-16,26.3,17.4,0.9,04:50:00,17:36:00
2015-04-17,24.3,17.1,9.0,04:49:00,17:37:00
2015-04-18,23.5,15.6,12.3,04:48:00,17:37:00
2015-04-19,21.3,15.2,5.4,04:47:00,17:38:00
2015-04-20,23.6,15.0,2.6,04:46:00,17:38:00
