Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,21.3,18.1,22.3,06:16:00,17:03:00
2015-01-02,25.6,19.2,1.7,06:17:00,17:03:00
2015-01-03,27.5,20.8,7.2,06:17:00,17:04:00
2015-01-04,24.2,18.7,0.2,06:17:00,17:05:00
2015-01-05,23.7,15.2,0.0,06:17:00,17:05:00
2015-01-06,23.3,13.9,0.0,06:18:00,17:06:00
2015-01-07,23.2,12.0,0.0,06:18:00,17:07:00
2015-01-08,23.3,12.8,0.0,06:18:00,17:07:00
2015-01-09,23.0,12.0,0.0,06:18:00,17:08:00
2015-01-10,23.6,12.0,0.0,06:18:00,17:09:00
2015-01-11,22.5,11.8,0.0,06:18:00,17:09:00
2015-01-12,23.0,11.0,0.0,06:18:00,17:10:00
2015-01-13,23.3,10.7,0.0,06:19:00,17:11:00
2015-01-14,24.3,12.2,0.0,06:19:00,17:12:00
2015-01-15,24.8,12.8,0.0,06:19:00,17:12:00
2015-01-16,24.8,14.0,0.0,06:19:00,17:13:00
2015-01-17,24.6,14.8,0.0,06:19:00,17:14:00
2015-01-18,23.0,12.1,0.0,06:19:00,17:14:00
2015-01-19,22.6,12.1,0.0,06:18:00,17:15:00
2015-01-20,23.5,12.7,0.0,06:18:00,17:16:00
2015-01-21,24.1,12.5,0.0,06:18:00,17:16:00
2015-01-22,24.8,11.7,0.0,06:18:00,17:17:00
2015-01-23,25.7,11.6,0.0,06:18:00,17:18:00
2015-01-24,26.4,13.5,0.0,06:18:00,17:18:00
2015-01-25,26.3,14.7,0.0,06:18:00,17:19:00
2015-01-26,26.4,14.6,0.0,06:17:00,17:20:00
2015-01-27,27.0,14.9,0.0,06:17:00,17:21:00
2015-01-28,27.6,15.9,0.0,06:17:00,17:21:00
2015-01-29,26.2,16.2,0.0,06:16:00,17:22:00
2015-01-30,22.6,15.3,0.0,06:16:00,17:23:00
2015-01-31,23.6,12.5,0.0,06:16:00,17:23:00
2015-02-01,24.2,10.8,0.0,06:15:00,17:24:00
2015-02-02,25.5,11.5,0.0,06:15:00,17:25:00
2015-02-03,27.7,13.2,0.0,06:15:00,17:25:00
2015-02-04,29.1,15.6,0.0,06:14:00,17:26:00
2015-02-05,28.4,15.2,0.0,06:14:00,17:26:00
