Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,23.7,16.8,0.2,07:06:00,18:08:00
2015-01-02,25.2,14.3,0.0,07:07:00,18:09:00
2015-01-03,25.4,16.5,0.0,07:07:00,18:10:00
2015-01-04,26.2,15.6,0.0,07:07:00,18:10:00
2015-01-05,27.4,15.3,0.0,07:07:00,18:11:00
2015-01-06,28.4,16.0,0.0,07:08:00,18:11:00
2015-01-07,29.0,16.8,0.0,07:08:00,18:12:00
2015-01-08,28.0,15.0,0.0,07:08:00,18:13:00
2015-01-09,27.4,12.7,0.0,07:08:00,18:13:00
2015-01-10,27.6,13.1,0.0,07:09:00,18:14:00
2015-01-11,28.3,13.3,0.0,07:09:00,18:15:00
2015-01-12,27.8,12.6,0.0,07:09:00,18:15:00
2015-01-13,28.2,14.8,0.0,07:09:00,18:16:00
2015-01-14,29.0,14.9,0.0,07:09:00,18:17:00
2015-01-15,28.3,14.1,0.0,07:09:00,18:17:00
2015-01-16,28.2,13.7,0.0,07:09:00,18:18:00
2015-01-17,28.1,14.4,0.0,07:09:00,18:19:00
2015-01-18,28.7,14.7,0.0,07:09:00,18:19:00
2015-01-19,29.2,16.1,0.0,07:09:00,18:20:00
2015-01-20,28.2,14.4,0.0,07:09:00,18:20:00
2015-01-21,29.0,15.2,0.0,07:09:00,18:21:00
2015-01-22,28.5,16.5,0.0,07:09:00,18:22:00
2015-01-23,27.6,16.4,0.0,07:09:00,18:22:00
2015-01-24,29.3,17.5,0.0,07:09:00,18:23:00
2015-01-25,28.7,18.6,0.0,07:09:00,18:23:00
2015-01-26,28.2,17.5,0.0,07:09:00,18:24:00
2015-01-27,29.6,17.2,0.0,07:09:00,18:25:00
2015-01-28,29.5,15.5,0.0,07:08:00,18:25:00
2015-01-29,29.3,16.2,0.0,07:08:00,18:26:00
2015-01-30,29.3,15.9,0.0,07:08:00,18:26:00
2015-01-31,29.8,15.7,0.0,07:08:00,18:27:00
2015-02-01,30.8,18.5,0.0,07:07:00,18:27:00
2015-02-02,31.6,17.3,0.0,07:07:00,18:28:00
2015-02-03,30.5,16.9,0.0,07:07:00,18:28:00
2015-02-04,30.8,16.7,0.0,07:07:00,18:29:00
2015-02-05,30.2,17.3,0.0,07:06:00,18:30:00
2015-02-06,30.3,15.7,0.0,07:06:00,18:30:00
2015-02-07,30.9,17.4,0.0,07:06:00,18:31:00
2015-02-08,28.8,14.6,0.0,07:05:00,18:31:00
2015-02-09,30.3,15.2,0.0,07:05:00,18:32:00
2015-02-10,31.5,16.7,0.7,07:04:00,18:32:00
2015-02-11,30.2,16.9,0.0,07:04:00,18:33:00
2015-02-12,30.3,18.3,0.0,07:03:00,18:33:00
2015-02-13,31.3,18.1,0.0,07:03:00,18:33:00
2015-02-14,32.0,18.5,0.0,07:02:00,18:34:00
2015-02-15,33.0,19.3,0.0,07:02:00,18:34:00
2015-02-16,33.9,19.9,0.0,07:01:00,18:35:00
2015-02-17,34.0,19.6,0.0,07:01:00,18:35:00
2015-02-18,32.9,15.6,0.0,07:00:00,18:36:00
2015-02-19,32.0,17.4,0.0,07:00:00,18:36:00
2015-02-20,32.7,17.7,0.0,06:59:00,18:36:00
2015-02-21,32.7,17.7,0.0,06:58:00,18:37:00
2015-02-22,33.2,18.3,0.0,06:58:00,18:37:00
2015-02-23,33.3,19.6,0.0,06:57:00,18:38:00
2015-02-24,33.7,19.6,0.0,06:57:00,18:38:00
2015-02-25,32.9,17.8,0.0,06:56:00,18:38:00
2015-02-26,31.9,18.0,0.0,06:55:00,18:39:00
2015-02-27,31.0,16.4,0.0,06:55:00,18:39:00
2015-02-28,28.8,16.2,22.8,06:54:00,18:39:00
2015-03-01,23.5,16.2,20.7,06:53:00,18:40:00
2015-03-02,24.7,15.7,1.2,06:53:00,18:40:00
2015-03-03,24.4,14.2,0.0,06:52:00,18:40:00
2015-03-04,25.9,13.2,0.0,06:51:00,18:41:00
2015-03-05,29.2,14.2,0.0,06:50:00,18:41:00
2015-03-06,30.7,16.6,0.0,06:50:00,18:41:00
2015-03-07,30.7,15.8,0.0,06:49:00,18:41:00
2015-03-08,31.6,17.3,0.0,06:48:00,18:42:00
2015-03-09,31.7,18.1,0.1,06:47:00,18:42:00
2015-03-10,31.3,18.3,2.0,06:47:00,18:42:00
2015-03-11,30.8,19.0,0.2,06:46:00,18:43:00
2015-03-12,32.0,18.9,0.7,06:45:00,18:43:00
2015-03-13,32.9,18.0,1.1,06:44:00,18:43:00
2015-03-14,32.2,19.3,1.6,06:43:00,18:43:00
2015-03-15,30.5,20.2,0.0,06:42:00,18:44:00
2015-03-16,30.9,17.2,0.0,06:42:00,18:44:00
2015-03-17,32.9,17.5,0.0,06:41:00,18:44:00
2015-03-18,33.6,18.5,0.0,06:40:00,18:44:00
2015-03-19,35.0,18.8,0.0,06:39:00,18:45:00
2015-03-20,35.2,21.0,0.0,06:38:00,18:45:00
2015-03-21,35.8,22.1,0.0,06:38:00,18:45:00
2015-03-22,36.5,21.6,0.7,06:37:00,18:45:00
2015-03-23,36.3,22.2,0.0,06:36:00,18:46:00
2015-03-24,37.4,21.3,0.0,06:35:00,18:46:00
2015-03-25,37.6,22.8,0.0,06:34:00,18:46:00
2015-03-26,37.2,23.2,0.5,06:34:00,18:46:00
2015-03-27,36.6,23.0,2.9,06:33:00,18:46:00
2015-03-28,36.5,21.8,1.6,06:32:00,18:47:00
2015-03-29,34.3,23.6,2.4,06:31:00,18:47:00
2015-03-30,34.3,21.7,1.0,06:30:00,18:47:00
2015-03-31,35.3,20.8,0.0,06:29:00,18:47:00
2015-04-01,35.5,19.8,0.0,06:29:00,18:48:00
2015-04-02,36.1,18.8,0.0,06:28:00,18:48:00
2015-04-03,33.9,20.4,0.0,06:27:00,18:48:00
2015-04-04,34.3,18.1,0.0,06:26:00,18:48:00
2015-04-05,35.4,17.7,0.0,06:25:00,18:48:00
2015-04-06,36.7,18.9,0.0,06:24:00,18:49:00
2015-04-07,36.1,17.9,0.0,06:24:00,18:49:00
2015-04-08,37.0,20.3,0.0,06:23:00,18:49:00
2015-04-09,37.4,21.2,0.0,06:22:00,18:49:00
2015-04-10,35.0,22.9,0.4,06:21:00,18:50:00
2015-04-11,33.3,22.4,2.2,06:21:00,18:50:00
2015-04-12,33.3,20.4,0.0,06:20:00,18:50:00
2015-04-13,31.8,18.7,0.2,06:19:00,18:50:00
2015-04-14,30.5,19.0,0.8,06:18:00,18:51:00
2015-04-15,32.5,19.3,0.3,06:18:00,18:51:00
2015-04-16,32.5,21.0,0.0,06:17:00,18:51:00
2015-04-17,36.1,21.8,0.0,06:16:00,18:51:00
2015-04-18,38.0,20.7,0.0,06:15:00,18:52:00
2015-04-19,39.7,22.7,0.0,06:15:00,18:52:00
2015-04-20,38.6,24.1,0.4,06:14:00,18:52:00
2015-04-21,38.6,24.4,2.0,06:13:00,18:52:00
2015-04-22,37.1,24.9,0.4,06:13:00,18:53:00
2015-04-23,36.2,24.3,0.0,06:12:00,18:53:00
2015-04-24,36.3,22.5,0.0,06:11:00,18:53:00
2015-04-25,36.7,19.5,0.0,06:11:00,18:54:00
2015-04-26,38.3,20.1,0.0,06:10:00,18:54:00
2015-04-27,38.7,21.0,0.0,06:09:00,18:54:00
2015-04-28,38.3,22.5,0.0,06:09:00,18:54:00
2015-04-29,38.7,22.2,0.0,06:08:00,18:55:00
2015-04-30,38.0,21.7,0.0,06:07:00,18:55:00
2015-05-01,37.9,21.4,0.0,06:07:00,18:55:00
2015-05-02,39.9,21.2,0.0,06:06:00,18:56:00
2015-05-03,39.0,22.7,0.0,06:06:00,18:56:00
2015-05-04,39.9,21.8,0.0,06:05:00,18:56:00
2015-05-05,38.7,23.3,1.9,06:05:00,18:57:00
2015-05-06,38.3,24.4,2.0,06:04:00,18:57:00
2015-05-07,38.8,23.0,0.6,06:04:00,18:57:00
2015-05-08,39.3,23.9,0.5,06:03:00,18:58:00
2015-05-09,39.1,24.8,1.0,06:03:00,18:58:00
2015-05-10,38.7,24.2,0.0,06:02:00,18:59:00
2015-05-11,38.6,24.0,1.3,06:02:00,18:59:00
2015-05-12,38.7,24.3,0.6,06:02:00,18:59:00
2015-05-13,36.2,24.5,0.4,06:01:00,19:00:00
2015-05-14,31.8,24.7,0.1,06:01:00,19:00:00
2015-05-15,35.4,25.2,4.3,06:00:00,19:00:00
2015-05-16,36.4,24.6,0.1,06:00:00,19:01:00
2015-05-17,39.0,24.4,0.0,06:00:00,19:01:00
2015-05-18,38.9,23.7,0.0,05:59:00,19:01:00
2015-05-19,36.9,24.1,0.0,05:59:00,19:02:00
2015-05-20,38.3,23.0,0.0,05:59:00,19:02:00
2015-05-21,36.0,23.1,0.0,05:59:00,19:03:00
2015-05-22,37.3,23.1,0.0,05:58:00,19:03:00
2015-05-23,36.4,23.4,0.0,05:58:00,19:03:00
2015-05-24,35.4,23.2,0.0,05:58:00,19:04:00
2015-05-25,34.9,23.0,0.0,05:58:00,19:04:00
2015-05-26,35.6,22.8,0.0,05:58:00,19:04:00
2015-05-27,37.2,22.2,0.0,05:57:00,19:05:00
2015-05-28,37.7,22.3,0.0,05:57:00,19:05:00
2015-05-29,37.2,22.9,0.7,05:57:00,19:06:00
2015-05-30,36.0,24.7,1.1,05:57:00,19:06:00
2015-05-31,37.5,25.2,0.3,05:57:00,19:06:00
2015-06-01,35.2,23.8,0.0,05:57:00,19:07:00
2015-06-02,34.6,21.6,0.0,05:57:00,19:07:00
2015-06-03,36.4,21.6,0.0,05:57:00,19:08:00
2015-06-04,37.3,22.2,0.0,05:57:00,19:08:00
2015-06-05,37.0,24.2,28.4,05:57:00,19:08:00
2015-06-06,34.2,24.0,3.9,05:57:00,19:09:00
2015-06-07,34.1,24.7,11.6,05:57:00,19:09:00
2015-06-08,32.5,24.2,5.4,05:57:00,19:09:00
2015-06-09,33.2,23.6,1.5,05:57:00,19:10:00
2015-06-10,32.2,24.1,4.1,05:57:00,19:10:00
2015-06-11,31.7,23.8,12.9,05:57:00,19:10:00
2015-06-12,28.5,23.7,12.5,05:57:00,19:10:00
2015-06-13,26.5,23.0,17.7,05:57:00,19:11:00
2015-06-14,23.8,22.4,38.1,05:57:00,19:11:00
2015-06-15,26.0,22.3,16.6,05:57:00,19:11:00
2015-06-16,27.9,22.3,7.9,05:57:00,19:12:00
2015-06-17,28.5,22.2,8.9,05:58:00,19:12:00
2015-06-18,28.2,22.8,15.9,05:58:00,19:12:00
2015-06-19,25.1,22.9,20.7,05:58:00,19:12:00
2015-06-20,25.8,23.1,19.5,05:58:00,19:13:00
2015-06-21,26.6,22.9,35.8,05:58:00,19:13:00
2015-06-22,25.2,22.9,26.1,05:59:00,19:13:00
2015-06-23,25.8,22.9,40.5,05:59:00,19:13:00
2015-06-24,26.7,23.5,31.5,05:59:00,19:14:00
2015-06-25,27.5,22.8,7.2,05:59:00,19:14:00
2015-06-26,28.5,22.9,7.1,06:00:00,19:14:00
2015-06-27,28.1,23.0,3.9,06:00:00,19:14:00
2015-06-28,28.4,22.6,2.8,06:00:00,19:14:00
2015-06-29,29.0,22.2,2.9,06:00:00,19:14:00
2015-06-30,27.7,22.5,4.5,06:01:00,19:14:00
2015-07-01,28.2,22.6,4.2,06:01:00,19:15:00
2015-07-02,29.4,22.1,0.6,06:01:00,19:15:00
2015-07-03,29.4,22.2,0.5,06:02:00,19:15:00
2015-07-04,28.4,22.5,2.1,06:02:00,19:15:00
2015-07-05,28.8,22.5,3.0,06:02:00,19:15:00
2015-07-06,28.5,22.4,3.7,06:03:00,19:15:00
2015-07-07,27.6,22.6,5.7,06:03:00,19:15:00
2015-07-08,27.9,22.9,7.3,06:03:00,19:15:00
2015-07-09,28.4,22.9,8.0,06:04:00,19:15:00
2015-07-10,27.4,23.1,10.7,06:04:00,19:15:00
2015-07-11,27.3,22.6,8.4,06:04:00,19:15:00
2015-07-12,28.3,22.8,5.1,06:05:00,19:15:00
2015-07-13,29.1,22.8,2.0,06:05:00,19:14:00
2015-07-14,29.9,22.6,1.3,06:05:00,19:14:00
2015-07-15,29.1,22.8,2.2,06:06:00,19:14:00
2015-07-16,28.7,23.0,7.0,06:06:00,19:14:00
2015-07-17,27.6,22.8,7.0,06:06:00,19:14:00
2015-07-18,27.9,23.1,9.8,06:07:00,19:14:00
2015-07-19,27.2,22.8,11.7,06:07:00,19:13:00
2015-07-20,25.5,22.7,11.7,06:07:00,19:13:00
2015-07-21,25.8,22.9,14.0,06:08:00,19:13:00
2015-07-22,26.1,22.5,9.5,06:08:00,19:13:00
2015-07-23,27.4,22.5,14.3,06:08:00,19:12:00
2015-07-24,27.7,22.7,11.4,06:09:00,19:12:00
2015-07-25,26.8,22.7,7.9,06:09:00,19:12:00
2015-07-26,26.4,22.1,14.1,06:10:00,19:11:00
2015-07-27,25.7,21.9,18.8,06:10:00,19:11:00
2015-07-28,25.8,21.7,14.4,06:10:00,19:11:00
2015-07-29,25.2,21.8,14.8,06:11:00,19:10:00
2015-07-30,26.5,21.6,8.8,06:11:00,19:10:00
2015-07-31,26.2,22.0,9.6,06:11:00,19:10:00
2015-08-01,26.9,22.1,6.2,06:12:00,19:09:00
2015-08-02,27.0,21.7,4.2,06:12:00,19:09:00
2015-08-03,26.2,22.5,7.0,06:12:00,19:08:00
2015-08-04,25.7,22.1,8.9,06:12:00,19:08:00
