Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,22.1,13.0,0.0,06:30:00,17:13:00
2015-01-02,18.8,15.5,7.1,06:30:00,17:14:00
2015-01-03,23.4,17.3,0.0,06:30:00,17:14:00
2015-01-04,20.7,15.5,0.2,06:30:00,17:15:00
2015-01-05,20.1,12.8,0.0,06:31:00,17:16:00
2015-01-06,20.8,10.2,0.0,06:31:00,17:16:00
2015-01-07,21.2,8.4,0.0,06:31:00,17:17:00
2015-01-08,19.3,11.0,0.4,06:31:00,17:18:00
2015-01-09,19.3,10.0,0.0,06:31:00,17:18:00
2015-01-10,20.7,8.6,0.0,06:31:00,17:19:00
2015-01-11,20.0,7.1,0.0,06:32:00,17:20:00
2015-01-12,19.6,9.5,0.0,06:32:00,17:21:00
2015-01-13,19.6,8.2,0.0,06:32:00,17:21:00
2015-01-14,21.2,9.1,0.0,06:32:00,17:22:00
2015-01-15,21.8,11.3,0.0,06:32:00,17:23:00
2015-01-16,20.8,9.0,0.0,06:32:00,17:23:00
2015-01-17,19.0,10.5,0.0,06:32:00,17:24:00
2015-01-18,18.6,8.0,0.0,06:32:00,17:25:00
2015-01-19,20.0,6.1,0.0,06:32:00,17:26:00
2015-01-20,20.8,9.6,0.0,06:32:00,17:26:00
2015-01-21,22.0,9.5,0.0,06:31:00,17:27:00
2015-01-22,23.7,10.9,0.0,06:31:00,17:28:00
2015-01-23,24.1,10.0,0.0,06:31:00,17:28:00
2015-01-24,23.8,12.8,0.0,06:31:00,17:29:00
2015-01-25,24.0,10.9,0.0,06:31:00,17:30:00
2015-01-26,24.2,11.7,0.0,06:30:00,17:30:00
2015-01-27,24.6,14.1,0.0,06:30:00,17:31:00
2015-01-28,22.9,14.9,0.7,06:30:00,17:32:00
2015-01-29,19.9,14.1,3.8,06:29:00,17:33:00
2015-01-30,20.5,11.5,0.2,06:29:00,17:33:00
2015-01-31,20.1,8.4,0.0,06:29:00,17:34:00
2015-02-01,22.0,9.6,0.0,06:28:00,17:35:00
2015-02-02,24.0,8.8,0.0,06:28:00,17:35:00
2015-02-03,26.7,12.5,0.0,06:27:00,17:36:00
2015-02-04,27.0,12.4,0.0,06:27:00,17:37:00
2015-02-05,24.4,14.0,0.0,06:27:00,17:37:00
2015-02-06,23.8,10.2,0.0,06:26:00,17:38:00
2015-02-07,25.4,9.5,0.0,06:26:00,17:39:00
2015-02-08,26.1,13.1,0.0,06:25:00,17:39:00
2015-02-09,23.3,13.4,0.0,06:25:00,17:40:00
2015-02-10,24.1,12.9,0.1,06:24:00,17:40:00
2015-02-11,24.8,11.7,0.0,06:23:00,17:41:00
2015-02-12,23.4,14.1,5.5,06:23:00,17:42:00
2015-02-13,23.5,11.3,0.0,06:22:00,17:42:00
2015-02-14,25.0,10.9,0.0,06:22:00,17:43:00
2015-02-15,26.9,12.2,0.0,06:21:00,17:43:00
2015-02-16,25.0,13.5,0.0,06:20:00,17:44:00
2015-02-17,26.2,13.9,0.0,06:20:00,17:44:00
2015-02-18,28.4,14.3,0.6,06:19:00,17:45:00
2015-02-19,27.4,12.6,0.0,06:18:00,17:46:00
2015-02-20,28.5,16.6,0.0,06:17:00,17:46:00
2015-02-21,28.6,15.6,0.0,06:17:00,17:47:00
2015-02-22,29.0,15.0,0.0,06:16:00,17:47:00
2015-02-23,29.7,17.8,0.0,06:15:00,17:48:00
2015-02-24,29.4,14.4,0.0,06:14:00,17:48:00
2015-02-25,30.5,17.9,0.0,06:13:00,17:49:00
2015-02-26,32.0,16.5,0.0,06:13:00,17:49:00
2015-02-27,28.8,16.9,0.9,06:12:00,17:50:00
2015-02-28,30.4,17.0,0.0,06:11:00,17:50:00
2015-03-01,29.4,19.3,0.0,06:10:00,17:51:00
2015-03-02,24.4,15.7,7.6,06:09:00,17:51:00
2015-03-03,25.8,16.0,0.0,06:08:00,17:52:00
2015-03-04,23.8,15.7,1.1,06:08:00,17:52:00
2015-03-05,24.8,13.5,0.0,06:07:00,17:53:00
2015-03-06,26.3,11.4,0.0,06:06:00,17:53:00
2015-03-07,26.7,14.9,0.0,06:05:00,17:53:00
2015-03-08,28.4,14.2,0.0,06:04:00,17:54:00
2015-03-09,30.1,16.7,0.0,06:03:00,17:54:00
2015-03-10,30.0,16.7,0.0,06:02:00,17:55:00
2015-03-11,30.1,17.0,0.0,06:01:00,17:55:00
2015-03-12,31.1,15.8,0.0,06:00:00,17:56:00
2015-03-13,31.1,16.2,0.0,05:59:00,17:56:00
2015-03-14,31.2,17.1,2.1,05:58:00,17:56:00
2015-03-15,29.9,16.9,1.4,05:57:00,17:57:00
2015-03-16,28.0,16.9,0.1,05:56:00,17:57:00
2015-03-17,29.7,17.4,1.0,05:55:00,17:58:00
2015-03-18,27.9,18.1,0.0,05:54:00,17:58:00
2015-03-19,28.9,16.1,0.0,05:53:00,17:58:00
2015-03-20,30.0,14.7,0.0,05:52:00,17:59:00
2015-03-21,30.6,16.2,0.0,05:52:00,17:59:00
2015-03-22,31.3,18.9,0.0,05:51:00,18:00:00
2015-03-23,32.4,18.0,0.0,05:50:00,18:00:00
2015-03-24,32.2,18.2,0.0,05:49:00,18:00:00
2015-03-25,33.2,18.8,0.0,05:48:00,18:01:00
2015-03-26,32.8,20.0,0.0,05:47:00,18:01:00
2015-03-27,32.2,21.6,5.3,05:46:00,18:02:00
2015-03-28,31.7,20.8,0.2,05:45:00,18:02:00
2015-03-29,33.2,18.7,0.0,05:44:00,18:02:00
2015-03-30,32.9,20.6,1.1,05:43:00,18:03:00
2015-03-31,29.7,19.4,0.0,05:42:00,18:03:00
2015-04-01,33.2,20.2,0.0,05:41:00,18:03:00
2015-04-02,34.6,20.0,0.0,05:40:00,18:04:00
2015-04-03,35.4,21.0,0.0,05:39:00,18:04:00
2015-04-04,35.7,21.9,0.0,05:38:00,18:04:00
2015-04-05,33.1,22.0,0.3,05:37:00,18:05:00
2015-04-06,31.0,20.6,0.9,05:36:00,18:05:00
2015-04-07,32.0,20.1,9.7,05:35:00,18:06:00
2015-04-08,31.3,19.9,3.8,05:34:00,18:06:00
2015-04-09,32.0,21.2,0.1,05:33:00,18:06:00
2015-04-10,33.2,19.0,0.0,05:32:00,18:07:00
2015-04-11,32.9,22.1,0.2,05:31:00,18:07:00
2015-04-12,24.8,19.9,7.7,05:30:00,18:08:00
2015-04-13,28.9,17.6,0.2,05:29:00,18:08:00
2015-04-14,28.4,20.1,4.4,05:29:00,18:08:00
2015-04-15,28.5,18.8,5.6,05:28:00,18:09:00
2015-04-16,30.0,18.6,0.0,05:27:00,18:09:00
2015-04-17,29.4,20.6,4.8,05:26:00,18:10:00
2015-04-18,32.6,20.9,0.2,05:25:00,18:10:00
2015-04-19,35.5,23.3,0.0,05:24:00,18:10:00
2015-04-20,36.1,21.4,0.0,05:23:00,18:11:00
2015-04-21,36.3,21.7,0.0,05:22:00,18:11:00
2015-04-22,35.5,23.7,0.0,05:22:00,18:12:00
2015-04-23,34.9,22.4,2.0,05:21:00,18:12:00
2015-04-24,33.9,21.3,4.7,05:20:00,18:13:00
2015-04-25,28.4,20.5,5.7,05:19:00,18:13:00
2015-04-26,27.8,19.6,11.4,05:18:00,18:13:00
2015-04-27,28.2,19.2,5.4,05:18:00,18:14:00
2015-04-28,31.0,21.2,8.9,05:17:00,18:14:00
2015-04-29,30.9,20.1,1.7,05:16:00,18:15:00
2015-04-30,32.9,20.6,0.0,05:16:00,18:15:00
