Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,11.8,-4.0,0.0,07:19:00,17:29:00
2015-01-02,8.5,-1.2,10.1,07:19:00,17:29:00
2015-01-03,7.0,1.4,19.1,07:19:00,17:30:00
2015-01-04,7.3,-2.2,6.2,07:19:00,17:31:00
2015-01-05,9.8,-4.2,0.0,07:19:00,17:32:00
2015-01-06,10.5,-3.2,0.0,07:20:00,17:32:00
2015-01-07,7.7,-3.7,0.0,07:20:00,17:33:00
2015-01-08,10.0,-5.4,0.0,07:20:00,17:34:00
2015-01-09,11.1,-4.3,0.0,07:20:00,17:35:00
2015-01-10,13.3,-2.9,0.0,07:20:00,17:36:00
2015-01-11,15.3,-1.5,0.0,07:20:00,17:36:00
2015-01-12,14.4,-0.4,0.0,07:20:00,17:37:00
2015-01-13,11.9,-1.8,0.6,07:20:00,17:38:00
2015-01-14,4.5,-2.4,13.6,07:19:00,17:39:00
2015-01-15,8.3,-3.9,0.2,07:19:00,17:40:00
2015-01-16,8.7,-4.8,0.0,07:19:00,17:41:00
2015-01-17,9.1,-5.8,0.0,07:19:00,17:42:00
2015-01-18,9.4,-5.3,0.0,07:19:00,17:43:00
2015-01-19,10.5,-4.7,0.0,07:18:00,17:43:00
2015-01-20,11.2,-5.0,0.0,07:18:00,17:44:00
2015-01-21,7.0,-1.7,7.6,07:18:00,17:45:00
2015-01-22,6.8,0.5,27.0,07:18:00,17:46:00
2015-01-23,7.6,-2.0,5.3,07:17:00,17:47:00
2015-01-24,9.1,-4.9,0.0,07:17:00,17:48:00
2015-01-25,9.6,-1.3,0.1,07:16:00,17:49:00
2015-01-26,7.0,0.1,8.1,07:16:00,17:50:00
2015-01-27,4.7,-3.0,6.1,07:15:00,17:50:00
2015-01-28,7.2,-5.1,0.2,07:15:00,17:51:00
2015-01-29,2.4,-6.1,8.1,07:14:00,17:52:00
2015-01-30,6.0,-10.3,0.0,07:14:00,17:53:00
2015-01-31,9.0,-5.8,0.0,07:13:00,17:54:00
2015-02-01,9.2,-4.6,1.8,07:13:00,17:55:00
2015-02-02,7.8,-1.4,11.1,07:12:00,17:56:00
2015-02-03,4.9,-0.3,31.1,07:11:00,17:57:00
2015-02-04,8.9,-4.2,0.0,07:11:00,17:58:00
2015-02-05,11.1,-5.7,0.0,07:10:00,17:59:00
2015-02-06,9.8,-6.0,0.0,07:09:00,17:59:00
2015-02-07,10.1,-4.1,0.0,07:09:00,18:00:00
2015-02-08,9.8,-1.8,0.1,07:08:00,18:01:00
2015-02-09,10.1,-3.8,0.0,07:07:00,18:02:00
2015-02-10,11.5,-4.3,0.0,07:06:00,18:03:00
2015-02-11,11.1,-1.8,0.0,07:05:00,18:04:00
2015-02-12,11.5,-3.5,0.0,07:05:00,18:05:00
2015-02-13,13.1,-2.2,0.0,07:04:00,18:05:00
2015-02-14,13.3,-1.3,0.1,07:03:00,18:06:00
2015-02-15,13.4,-2.3,0.1,07:02:00,18:07:00
2015-02-16,12.5,3.0,5.8,07:01:00,18:08:00
2015-02-17,12.9,1.9,0.6,07:00:00,18:09:00
2015-02-18,11.3,0.2,0.6,06:59:00,18:10:00
2015-02-19,11.3,1.0,7.7,06:58:00,18:10:00
2015-02-20,10.8,2.2,22.4,06:57:00,18:11:00
2015-02-21,14.7,0.1,0.2,06:56:00,18:12:00
2015-02-22,17.6,0.6,0.0,06:55:00,18:13:00
2015-02-23,17.6,4.0,0.0,06:54:00,18:13:00
2015-02-24,16.8,5.1,0.1,06:53:00,18:14:00
2015-02-25,8.7,3.7,31.0,06:52:00,18:15:00
2015-02-26,10.3,1.0,10.6,06:51:00,18:16:00
2015-02-27,10.2,-0.3,3.5,06:50:00,18:17:00
2015-02-28,11.7,0.1,0.4,06:49:00,18:17:00
2015-03-01,6.7,2.4,24.6,06:48:00,18:18:00
2015-03-02,4.8,0.9,68.2,06:46:00,18:19:00
2015-03-03,6.5,-1.8,16.0,06:45:00,18:20:00
2015-03-04,7.8,-5.5,0.0,06:44:00,18:20:00
2015-03-05,8.9,-5.2,6.0,06:43:00,18:21:00
2015-03-06,9.1,-1.2,6.8,06:42:00,18:22:00
2015-03-07,11.6,-4.7,1.3,06:41:00,18:22:00
2015-03-08,9.6,0.6,11.9,06:39:00,18:23:00
2015-03-09,7.2,-2.2,13.9,06:38:00,18:24:00
2015-03-10,13.3,-5.1,0.0,06:37:00,18:24:00
2015-03-11,15.5,-3.1,0.0,06:36:00,18:25:00
2015-03-12,15.8,0.9,0.0,06:35:00,18:26:00
2015-03-13,14.7,2.9,0.0,06:33:00,18:27:00
2015-03-14,13.9,2.6,1.0,06:32:00,18:27:00
2015-03-15,8.9,4.5,16.4,06:31:00,18:28:00
2015-03-16,10.5,2.0,8.8,06:30:00,18:29:00
2015-03-17,12.8,0.1,2.9,06:28:00,18:29:00
2015-03-18,13.4,-1.6,0.1,06:27:00,18:30:00
2015-03-19,14.9,-0.1,0.2,06:26:00,18:31:00
2015-03-20,16.2,1.3,0.0,06:25:00,18:31:00
2015-03-21,16.6,2.9,0.1,06:23:00,18:32:00
2015-03-22,18.3,3.4,0.0,06:22:00,18:33:00
2015-03-23,19.0,2.6,0.0,06:21:00,18:33:00
2015-03-24,20.0,3.1,0.0,06:20:00,18:34:00
2015-03-25,18.6,5.1,0.0,06:19:00,18:35:00
2015-03-26,19.5,4.8,0.0,06:17:00,18:35:00
2015-03-27,20.0,5.8,0.0,06:16:00,18:36:00
2015-03-28,20.7,3.5,0.0,06:15:00,18:36:00
2015-03-29,14.5,7.5,16.7,06:14:00,18:37:00
2015-03-30,14.1,4.9,16.0,06:12:00,18:38:00
2015-03-31,14.0,3.6,1.8,06:11:00,18:38:00
2015-04-01,15.1,3.9,7.7,06:10:00,18:39:00
2015-04-02,15.5,6.6,12.5,06:08:00,18:40:00
2015-04-03,13.2,5.6,42.8,06:07:00,18:40:00
2015-04-04,13.9,3.2,7.7,06:06:00,18:41:00
2015-04-05,14.5,0.3,3.3,06:05:00,18:42:00
2015-04-06,15.3,2.2,0.6,06:04:00,18:42:00
2015-04-07,12.8,4.7,6.0,06:02:00,18:43:00
2015-04-08,14.1,2.2,4.9,06:01:00,18:44:00
2015-04-09,17.7,2.5,0.0,06:00:00,18:44:00
2015-04-10,18.8,3.4,0.0,05:59:00,18:45:00
2015-04-11,19.1,4.0,1.1,05:58:00,18:46:00
2015-04-12,17.9,5.6,2.3,05:56:00,18:46:00
2015-04-13,16.0,5.2,0.3,05:55:00,18:47:00
2015-04-14,16.7,6.9,0.0,05:54:00,18:47:00
