Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,25.8,17.9,0.3,07:16:00,18:08:00
2015-01-02,25.5,18.9,0.0,07:16:00,18:08:00
2015-01-03,26.2,17.5,0.0,07:16:00,18:09:00
2015-01-04,27.8,18.4,0.0,07:16:00,18:09:00
2015-01-05,27.4,18.3,0.0,07:17:00,18:10:00
2015-01-06,27.6,17.0,0.0,07:17:00,18:11:00
2015-01-07,26.7,16.1,0.0,07:17:00,18:11:00
2015-01-08,28.1,16.3,0.0,07:17:00,18:12:00
2015-01-09,28.5,17.7,0.0,07:18:00,18:13:00
2015-01-10,28.5,17.3,0.0,07:18:00,18:13:00
2015-01-11,28.9,16.7,0.0,07:18:00,18:14:00
2015-01-12,28.9,16.6,0.0,07:18:00,18:15:00
2015-01-13,28.2,16.3,0.0,07:18:00,18:16:00
2015-01-14,27.1,14.8,0.0,07:18:00,18:16:00
2015-01-15,28.2,17.8,0.0,07:18:00,18:17:00
2015-01-16,28.3,17.5,0.0,07:18:00,18:18:00
2015-01-17,27.8,17.4,0.0,07:18:00,18:18:00
2015-01-18,27.5,17.2,0.0,07:18:00,18:19:00
2015-01-19,28.1,17.9,0.0,07:18:00,18:20:00
2015-01-20,26.2,17.8,0.0,07:18:00,18:20:00
2015-01-21,26.8,17.9,0.0,07:18:00,18:21:00
2015-01-22,25.5,19.1,0.5,07:18:00,18:22:00
2015-01-23,26.7,17.1,0.0,07:18:00,18:22:00
2015-01-24,26.9,18.2,0.0,07:18:00,18:23:00
2015-01-25,26.0,18.7,0.0,07:17:00,18:24:00
2015-01-26,25.0,17.2,0.0,07:17:00,18:24:00
2015-01-27,25.8,16.5,0.0,07:17:00,18:25:00
2015-01-28,26.9,17.1,0.0,07:17:00,18:25:00
2015-01-29,27.4,16.7,0.0,07:16:00,18:26:00
2015-01-30,28.6,17.8,0.0,07:16:00,18:27:00
2015-01-31,29.0,17.9,0.0,07:16:00,18:27:00
2015-02-01,28.1,16.3,0.0,07:16:00,18:28:00
2015-02-02,27.2,16.1,0.0,07:15:00,18:29:00
2015-02-03,29.2,16.6,0.0,07:15:00,18:29:00
2015-02-04,30.3,20.0,0.0,07:14:00,18:30:00
2015-02-05,30.4,20.9,0.0,07:14:00,18:30:00
2015-02-06,29.2,19.9,0.0,07:14:00,18:31:00
2015-02-07,28.9,19.3,0.0,07:13:00,18:32:00
2015-02-08,28.0,18.3,0.0,07:13:00,18:32:00
2015-02-09,29.2,18.1,0.0,07:12:00,18:33:00
2015-02-10,30.4,21.0,0.2,07:12:00,18:33:00
2015-02-11,28.7,19.9,0.0,07:11:00,18:34:00
2015-02-12,29.1,19.0,0.0,07:11:00,18:34:00
2015-02-13,30.2,18.9,0.0,07:10:00,18:35:00
2015-02-14,29.8,18.6,0.0,07:10:00,18:35:00
2015-02-15,29.6,16.8,0.0,07:09:00,18:36:00
2015-02-16,30.3,17.2,0.0,07:08:00,18:36:00
2015-02-17,30.3,18.0,0.0,07:08:00,18:37:00
2015-02-18,29.6,19.8,0.0,07:07:00,18:37:00
2015-02-19,29.9,18.4,0.0,07:06:00,18:38:00
2015-02-20,31.1,19.0,0.0,07:06:00,18:38:00
2015-02-21,33.1,21.9,0.0,07:05:00,18:39:00
2015-02-22,33.7,21.8,0.0,07:04:00,18:39:00
2015-02-23,32.9,20.5,0.0,07:04:00,18:40:00
