Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,26.8,18.4,0.1,07:11:00,18:11:00
2015-01-02,27.0,18.0,0.0,07:11:00,18:11:00
2015-01-03,28.5,18.6,0.0,07:12:00,18:12:00
2015-01-04,30.9,18.5,0.0,07:12:00,18:12:00
2015-01-05,31.1,19.8,0.0,07:12:00,18:13:00
2015-01-06,31.1,18.2,0.0,07:12:00,18:14:00
2015-01-07,30.1,16.7,0.0,07:13:00,18:14:00
2015-01-08,31.1,15.3,0.0,07:13:00,18:15:00
2015-01-09,31.4,17.4,0.0,07:13:00,18:16:00
2015-01-10,31.3,15.6,0.0,07:13:00,18:16:00
2015-01-11,31.7,14.4,0.0,07:13:00,18:17:00
2015-01-12,31.2,15.7,0.0,07:14:00,18:18:00
2015-01-13,30.3,14.2,0.0,07:14:00,18:18:00
2015-01-14,30.1,16.3,0.0,07:14:00,18:19:00
2015-01-15,30.9,14.8,0.0,07:14:00,18:20:00
2015-01-16,31.0,15.4,0.0,07:14:00,18:20:00
2015-01-17,31.3,16.0,0.0,07:14:00,18:21:00
2015-01-18,30.9,16.4,0.0,07:14:00,18:21:00
2015-01-19,29.6,17.4,0.0,07:14:00,18:22:00
2015-01-20,28.3,16.5,0.0,07:14:00,18:23:00
2015-01-21,29.4,16.6,0.0,07:14:00,18:23:00
2015-01-22,27.3,18.2,0.0,07:14:00,18:24:00
2015-01-23,29.1,18.9,0.0,07:14:00,18:25:00
2015-01-24,30.3,20.4,0.0,07:14:00,18:25:00
2015-01-25,30.4,18.9,0.0,07:14:00,18:26:00
2015-01-26,29.4,18.9,0.0,07:13:00,18:26:00
2015-01-27,28.9,18.7,0.0,07:13:00,18:27:00
2015-01-28,30.4,19.1,0.0,07:13:00,18:28:00
2015-01-29,30.6,18.8,0.0,07:13:00,18:28:00
2015-01-30,32.5,20.6,0.0,07:12:00,18:29:00
2015-01-31,33.0,20.2,0.0,07:12:00,18:29:00
2015-02-01,32.4,18.4,0.0,07:12:00,18:30:00
2015-02-02,31.1,17.3,0.0,07:12:00,18:30:00
2015-02-03,32.9,17.9,0.0,07:11:00,18:31:00
2015-02-04,33.1,21.1,0.0,07:11:00,18:32:00
2015-02-05,33.0,18.1,0.0,07:11:00,18:32:00
2015-02-06,31.6,19.9,0.0,07:10:00,18:33:00
2015-02-07,30.4,19.0,0.0,07:10:00,18:33:00
2015-02-08,29.8,17.2,0.0,07:09:00,18:34:00
2015-02-09,32.3,17.2,0.0,07:09:00,18:34:00
2015-02-10,32.5,18.3,0.0,07:09:00,18:35:00
2015-02-11,31.8,18.9,0.0,07:08:00,18:35:00
2015-02-12,32.3,17.8,0.0,07:08:00,18:36:00
2015-02-13,33.0,18.0,0.0,07:07:00,18:36:00
2015-02-14,32.9,18.8,0.0,07:07:00,18:37:00
2015-02-15,32.8,17.2,0.0,07:06:00,18:37:00
2015-02-16,33.3,17.9,0.0,07:06:00,18:38:00
2015-02-17,34.0,18.6,0.0,07:05:00,18:38:00
2015-02-18,31.8,19.2,0.0,07:04:00,18:38:00
2015-02-19,32.5,19.8,0.0,07:04:00,18:39:00
2015-02-20,32.9,18.3,0.0,07:03:00,18:39:00
2015-02-21,36.0,18.8,0.0,07:03:00,18:40:00
2015-02-22,36.2,19.8,0.0,07:02:00,18:40:00
2015-02-23,34.7,21.6,0.0,07:01:00,18:40:00
2015-02-24,33.5,21.1,0.0,07:01:00,18:41:00
2015-02-25,32.3,21.1,0.0,07:00:00,18:41:00
2015-02-26,30.4,20.0,0.0,06:59:00,18:42:00
2015-02-27,30.1,18.7,0.0,06:59:00,18:42:00
2015-02-28,28.1,18.3,6.1,06:58:00,18:42:00
2015-03-01,25.4,19.1,13.0,06:57:00,18:43:00
2015-03-02,26.1,19.4,0.4,06:56:00,18:43:00
2015-03-03,26.5,15.9,0.0,06:56:00,18:43:00
2015-03-04,28.2,15.9,0.0,06:55:00,18:44:00
2015-03-05,31.0,16.8,0.0,06:54:00,18:44:00
2015-03-06,34.2,17.2,0.0,06:53:00,18:44:00
2015-03-07,33.8,18.5,0.0,06:53:00,18:45:00
2015-03-08,32.9,18.9,0.0,06:52:00,18:45:00
2015-03-09,34.8,19.4,0.0,06:51:00,18:45:00
2015-03-10,34.2,20.1,0.0,06:50:00,18:46:00
2015-03-11,35.0,21.5,0.0,06:49:00,18:46:00
2015-03-12,37.0,23.0,0.0,06:49:00,18:46:00
2015-03-13,36.2,24.0,0.2,06:48:00,18:46:00
2015-03-14,33.7,22.2,0.0,06:47:00,18:47:00
2015-03-15,31.1,23.3,0.0,06:46:00,18:47:00
2015-03-16,31.1,22.3,0.0,06:45:00,18:47:00
2015-03-17,34.1,18.6,0.0,06:44:00,18:47:00
2015-03-18,35.8,21.3,0.0,06:44:00,18:48:00
2015-03-19,36.7,20.1,0.0,06:43:00,18:48:00
2015-03-20,36.7,22.4,0.0,06:42:00,18:48:00
2015-03-21,36.3,23.4,0.0,06:41:00,18:49:00
2015-03-22,35.9,23.8,0.0,06:40:00,18:49:00
2015-03-23,35.9,24.2,0.0,06:39:00,18:49:00
2015-03-24,37.2,24.1,0.0,06:39:00,18:49:00
2015-03-25,40.1,24.1,0.0,06:38:00,18:50:00
2015-03-26,35.0,25.7,0.0,06:37:00,18:50:00
2015-03-27,34.5,25.6,0.0,06:36:00,18:50:00
2015-03-28,35.0,24.8,0.0,06:35:00,18:50:00
2015-03-29,36.1,25.2,0.2,06:34:00,18:51:00
2015-03-30,36.4,24.6,0.0,06:33:00,18:51:00
2015-03-31,35.9,22.2,0.0,06:33:00,18:51:00
2015-04-01,34.6,21.6,0.0,06:32:00,18:51:00
2015-04-02,34.6,20.4,0.0,06:31:00,18:52:00
2015-04-03,33.3,21.4,0.0,06:30:00,18:52:00
2015-04-04,33.6,21.7,0.0,06:29:00,18:52:00
2015-04-05,32.8,22.3,0.0,06:28:00,18:52:00
2015-04-06,33.3,22.6,0.0,06:28:00,18:52:00
2015-04-07,33.2,21.7,0.0,06:27:00,18:53:00
2015-04-08,33.0,23.3,0.0,06:26:00,18:53:00
2015-04-09,33.9,24.5,0.0,06:25:00,18:53:00
2015-04-10,32.8,24.4,0.0,06:24:00,18:54:00
2015-04-11,32.7,25.0,0.0,06:24:00,18:54:00
2015-04-12,33.2,24.4,0.0,06:23:00,18:54:00
2015-04-13,32.0,24.5,0.2,06:22:00,18:54:00
2015-04-14,32.0,23.6,1.8,06:21:00,18:55:00
2015-04-15,33.1,23.0,0.5,06:20:00,18:55:00
2015-04-16,35.3,24.5,0.2,06:20:00,18:55:00
2015-04-17,35.7,25.7,0.0,06:19:00,18:55:00
2015-04-18,35.2,24.3,0.0,06:18:00,18:56:00
2015-04-19,37.4,24.6,0.0,06:17:00,18:56:00
2015-04-20,35.5,25.2,0.0,06:17:00,18:56:00
2015-04-21,36.1,26.7,0.0,06:16:00,18:57:00
2015-04-22,34.0,27.2,0.0,06:15:00,18:57:00
2015-04-23,34.2,26.8,0.0,06:15:00,18:57:00
2015-04-24,34.6,25.3,0.0,06:14:00,18:58:00
2015-04-25,33.7,23.9,0.0,06:13:00,18:58:00
2015-04-26,33.7,23.4,0.0,06:13:00,18:58:00
2015-04-27,35.1,25.6,0.0,06:12:00,18:58:00
2015-04-28,34.4,25.2,0.0,06:11:00,18:59:00
2015-04-29,34.7,24.3,0.0,06:11:00,18:59:00
2015-04-30,34.2,24.6,0.0,06:10:00,18:59:00
2015-05-01,34.5,23.9,0.0,06:10:00,19:00:00
2015-05-02,34.6,24.4,0.0,06:09:00,19:00:00
2015-05-03,34.4,25.4,0.0,06:08:00,19:00:00
2015-05-04,35.7,25.3,0.0,06:08:00,19:01:00
2015-05-05,35.5,25.0,0.0,06:07:00,19:01:00
2015-05-06,36.5,26.6,0.0,06:07:00,19:02:00
2015-05-07,35.9,26.3,0.0,06:06:00,19:02:00
2015-05-08,36.2,26.5,0.0,06:06:00,19:02:00
2015-05-09,37.2,27.6,0.0,06:05:00,19:03:00
2015-05-10,36.8,27.0,0.0,06:05:00,19:03:00
