Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,27.0,23.6,0.9,06:36:00,18:14:00
2015-01-02,28.1,22.4,0.0,06:36:00,18:15:00
2015-01-03,28.3,22.7,0.0,06:37:00,18:15:00
2015-01-04,28.5,22.9,0.0,06:37:00,18:16:00
2015-01-05,28.8,23.7,0.0,06:37:00,18:16:00
2015-01-06,28.9,23.7,0.8,06:38:00,18:17:00
2015-01-07,28.1,22.2,1.1,06:38:00,18:17:00
2015-01-08,27.3,23.4,0.6,06:39:00,18:18:00
2015-01-09,26.9,22.4,2.0,06:39:00,18:18:00
2015-01-10,28.6,22.0,0.0,06:39:00,18:19:00
2015-01-11,28.3,22.8,0.0,06:39:00,18:19:00
2015-01-12,28.1,21.8,0.0,06:40:00,18:20:00
2015-01-13,28.2,21.7,0.0,06:40:00,18:20:00
2015-01-14,28.9,20.6,0.0,06:40:00,18:21:00
2015-01-15,28.7,22.1,0.0,06:41:00,18:21:00
2015-01-16,28.7,21.4,0.0,06:41:00,18:22:00
2015-01-17,28.7,23.6,0.0,06:41:00,18:22:00
2015-01-18,29.7,24.1,0.0,06:41:00,18:23:00
2015-01-19,29.8,23.3,0.0,06:41:00,18:23:00
2015-01-20,29.7,23.4,0.0,06:42:00,18:24:00
2015-01-21,30.2,23.3,0.0,06:42:00,18:24:00
2015-01-22,29.3,23.4,0.0,06:42:00,18:24:00
2015-01-23,29.2,22.3,0.0,06:42:00,18:25:00
2015-01-24,29.1,23.8,0.0,06:42:00,18:25:00
2015-01-25,29.4,24.4,0.0,06:42:00,18:26:00
2015-01-26,29.9,23.3,0.2,06:42:00,18:26:00
2015-01-27,29.7,23.3,0.0,06:42:00,18:26:00
2015-01-28,29.3,24.2,0.0,06:42:00,18:27:00
2015-01-29,30.2,24.2,0.0,06:42:00,18:27:00
2015-01-30,30.5,23.6,0.0,06:42:00,18:28:00
2015-01-31,30.3,24.6,0.0,06:42:00,18:28:00
2015-02-01,30.5,23.8,0.0,06:42:00,18:28:00
2015-02-02,31.0,23.7,0.0,06:42:00,18:28:00
2015-02-03,31.3,23.0,0.0,06:42:00,18:29:00
2015-02-04,31.3,24.8,0.0,06:42:00,18:29:00
2015-02-05,31.1,25.3,0.0,06:42:00,18:29:00
2015-02-06,30.8,24.9,0.0,06:42:00,18:30:00
2015-02-07,30.7,25.2,0.0,06:42:00,18:30:00
2015-02-08,31.0,24.6,0.2,06:42:00,18:30:00
2015-02-09,31.1,23.6,0.0,06:41:00,18:30:00
2015-02-10,29.7,24.7,0.0,06:41:00,18:31:00
2015-02-11,31.0,24.3,0.4,06:41:00,18:31:00
2015-02-12,30.2,24.8,0.0,06:41:00,18:31:00
2015-02-13,29.5,23.3,0.9,06:41:00,18:31:00
2015-02-14,29.7,23.7,0.2,06:40:00,18:31:00
2015-02-15,30.1,23.7,1.1,06:40:00,18:32:00
2015-02-16,30.3,21.4,0.0,06:40:00,18:32:00
2015-02-17,29.8,22.1,0.3,06:40:00,18:32:00
2015-02-18,28.7,23.1,0.0,06:39:00,18:32:00
2015-02-19,29.8,21.2,0.7,06:39:00,18:32:00
2015-02-20,29.9,20.6,0.0,06:39:00,18:32:00
2015-02-21,31.1,23.1,0.0,06:38:00,18:32:00
2015-02-22,31.3,23.5,0.0,06:38:00,18:32:00
2015-02-23,31.3,23.0,0.0,06:38:00,18:33:00
2015-02-24,30.4,22.5,0.0,06:37:00,18:33:00
2015-02-25,30.3,25.0,0.0,06:37:00,18:33:00
2015-02-26,29.2,23.9,1.1,06:37:00,18:33:00
2015-02-27,29.2,24.7,0.4,06:36:00,18:33:00
2015-02-28,29.2,23.8,3.1,06:36:00,18:33:00
2015-03-01,29.9,23.2,0.9,06:35:00,18:33:00
2015-03-02,29.5,23.7,0.7,06:35:00,18:33:00
2015-03-03,28.9,24.8,1.8,06:35:00,18:33:00
2015-03-04,28.5,24.1,2.7,06:34:00,18:33:00
2015-03-05,29.2,23.3,0.7,06:34:00,18:33:00
2015-03-06,29.3,24.0,0.8,06:33:00,18:33:00
2015-03-07,29.4,24.0,1.6,06:33:00,18:33:00
2015-03-08,29.2,23.0,2.2,06:32:00,18:33:00
2015-03-09,29.1,24.2,0.5,06:32:00,18:33:00
2015-03-10,29.4,24.6,0.2,06:31:00,18:33:00
2015-03-11,29.7,23.2,0.0,06:31:00,18:33:00
2015-03-12,30.2,24.3,0.0,06:30:00,18:33:00
2015-03-13,29.4,24.8,0.2,06:30:00,18:33:00
2015-03-14,29.0,24.7,14.2,06:29:00,18:33:00
2015-03-15,29.2,25.0,3.3,06:29:00,18:33:00
2015-03-16,29.5,25.2,4.9,06:28:00,18:33:00
2015-03-17,29.2,24.5,0.8,06:28:00,18:33:00
2015-03-18,29.3,23.1,0.2,06:27:00,18:33:00
2015-03-19,29.1,23.3,0.0,06:27:00,18:33:00
2015-03-20,29.3,22.6,0.0,06:26:00,18:33:00
2015-03-21,29.6,23.2,0.0,06:26:00,18:33:00
2015-03-22,29.9,22.7,0.0,06:25:00,18:32:00
2015-03-23,30.0,24.3,0.0,06:25:00,18:32:00
2015-03-24,30.7,25.3,0.1,06:24:00,18:32:00
2015-03-25,29.7,23.6,0.0,06:24:00,18:32:00
2015-03-26,29.6,22.9,0.0,06:23:00,18:32:00
2015-03-27,30.5,24.8,0.1,06:22:00,18:32:00
2015-03-28,29.5,24.7,0.0,06:22:00,18:32:00
2015-03-29,29.8,24.4,1.1,06:21:00,18:32:00
2015-03-30,29.8,23.9,0.8,06:21:00,18:32:00
2015-03-31,29.5,24.7,3.8,06:20:00,18:32:00
2015-04-01,28.3,24.9,10.1,06:20:00,18:32:00
2015-04-02,29.0,24.6,0.7,06:19:00,18:32:00
2015-04-03,30.1,25.2,1.9,06:19:00,18:32:00
2015-04-04,30.7,25.9,0.1,06:18:00,18:32:00
2015-04-05,30.0,26.5,0.0,06:18:00,18:32:00
2015-04-06,29.9,25.5,0.8,06:17:00,18:31:00
2015-04-07,29.7,25.4,3.8,06:17:00,18:31:00
2015-04-08,28.1,25.1,0.3,06:16:00,18:31:00
2015-04-09,30.0,26.0,0.1,06:16:00,18:31:00
2015-04-10,29.7,24.9,3.4,06:15:00,18:31:00
2015-04-11,29.4,24.7,2.1,06:15:00,18:31:00
2015-04-12,28.7,25.1,0.4,06:14:00,18:31:00
2015-04-13,28.5,24.3,11.3,06:14:00,18:31:00
2015-04-14,28.8,24.2,5.2,06:13:00,18:31:00
2015-04-15,29.0,24.1,4.7,06:13:00,18:31:00
2015-04-16,29.3,24.7,2.9,06:12:00,18:31:00
2015-04-17,29.9,25.0,2.2,06:12:00,18:31:00
2015-04-18,29.7,24.7,1.0,06:11:00,18:31:00
2015-04-19,30.0,25.6,2.9,06:11:00,18:31:00
2015-04-20,29.3,24.8,5.5,06:10:00,18:31:00
2015-04-21,26.9,24.2,35.4,06:10:00,18:31:00
2015-04-22,28.4,24.5,7.1,06:10:00,18:31:00
2015-04-23,29.1,24.8,4.6,06:09:00,18:31:00
2015-04-24,29.6,24.9,13.0,06:09:00,18:31:00
2015-04-25,29.4,24.1,10.7,06:08:00,18:31:00
2015-04-26,28.8,24.2,12.4,06:08:00,18:31:00
2015-04-27,29.5,23.9,7.3,06:08:00,18:31:00
2015-04-28,29.3,24.4,3.2,06:07:00,18:31:00
2015-04-29,29.3,25.5,0.7,06:07:00,18:31:00
2015-04-30,28.9,25.5,2.3,06:07:00,18:31:00
2015-05-01,29.9,25.5,0.5,06:06:00,18:32:00
2015-05-02,30.1,26.2,0.7,06:06:00,18:32:00
2015-05-03,30.5,25.9,0.0,06:06:00,18:32:00
2015-05-04,30.2,26.4,0.6,06:05:00,18:32:00
2015-05-05,30.0,25.7,2.8,06:05:00,18:32:00
2015-05-06,29.5,25.1,2.1,06:05:00,18:32:00
2015-05-07,29.8,25.5,6.8,06:05:00,18:32:00
2015-05-08,30.0,25.4,7.1,06:04:00,18:32:00
2015-05-09,28.8,25.3,13.8,06:04:00,18:32:00
2015-05-10,28.4,24.9,6.0,06:04:00,18:33:00
2015-05-11,27.4,24.6,34.7,06:04:00,18:33:00
2015-05-12,27.7,24.7,17.4,06:03:00,18:33:00
2015-05-13,27.8,24.1,32.8,06:03:00,18:33:00
2015-05-14,28.3,25.1,10.6,06:03:00,18:33:00
2015-05-15,28.9,25.8,3.6,06:03:00,18:33:00
2015-05-16,27.5,25.0,21.1,06:03:00,18:34:00
2015-05-17,26.5,25.1,25.9,06:03:00,18:34:00
2015-05-18,26.8,25.0,27.4,06:03:00,18:34:00
2015-05-19,26.9,24.9,18.7,06:02:00,18:34:00
2015-05-20,28.7,25.4,4.1,06:02:00,18:34:00
2015-05-21,28.5,25.3,8.4,06:02:00,18:34:00
2015-05-22,28.4,25.6,2.8,06:02:00,18:35:00
2015-05-23,28.6,25.6,2.6,06:02:00,18:35:00
2015-05-24,28.7,25.6,3.9,06:02:00,18:35:00
2015-05-25,29.6,25.6,2.2,06:02:00,18:35:00
2015-05-26,29.2,25.8,3.1,06:02:00,18:36:00
2015-05-27,30.1,25.5,2.1,06:02:00,18:36:00
