Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Sunrise Time,Sunset Time
2015-01-01,26.1,18.4,0.5,07:16:00,18:04:00
2015-01-02,24.9,18.7,0.0,07:17:00,18:05:00
2015-01-03,26.3,15.8,0.0,07:17:00,18:05:00
2015-01-04,27.7,15.4,0.0,07:17:00,18:06:00
2015-01-05,27.1,15.0,0.0,07:17:00,18:07:00
2015-01-06,28.2,13.2,0.0,07:18:00,18:07:00
2015-01-07,27.4,11.9,0.0,07:18:00,18:08:00
2015-01-08,28.9,12.8,0.0,07:18:00,18:09:00
2015-01-09,28.7,13.5,0.0,07:18:00,18:09:00
2015-01-10,28.9,13.3,0.0,07:18:00,18:10:00
2015-01-11,29.9,13.2,0.0,07:18:00,18:11:00
2015-01-12,30.3,13.8,0.0,07:19:00,18:11:00
2015-01-13,29.2,13.0,0.0,07:19:00,18:12:00
2015-01-14,28.3,12.8,0.0,07:19:00,18:13:00
2015-01-15,28.8,17.0,0.0,07:19:00,18:13:00
2015-01-16,28.7,16.1,0.0,07:19:00,18:14:00
2015-01-17,28.1,15.7,0.0,07:19:00,18:15:00
2015-01-18,27.9,15.2,0.0,07:19:00,18:16:00
2015-01-19,29.3,15.9,0.0,07:19:00,18:16:00
2015-01-20,28.5,17.5,0.0,07:19:00,18:17:00
2015-01-21,28.2,16.5,0.0,07:18:00,18:18:00
2015-01-22,27.0,18.9,0.8,07:18:00,18:18:00
2015-01-23,27.1,14.0,0.0,07:18:00,18:19:00
2015-01-24,27.4,15.8,0.0,07:18:00,18:20:00
2015-01-25,27.2,17.4,0.0,07:18:00,18:20:00
2015-01-26,25.7,14.3,0.0,07:17:00,18:21:00
2015-01-27,25.9,14.0,0.0,07:17:00,18:22:00
2015-01-28,26.1,15.5,0.0,07:17:00,18:22:00
2015-01-29,27.3,14.6,0.0,07:17:00,18:23:00
2015-01-30,28.4,15.0,0.0,07:16:00,18:24:00
2015-01-31,29.8,15.3,0.0,07:16:00,18:24:00
2015-02-01,31.0,14.1,0.0,07:16:00,18:25:00
2015-02-02,30.2,14.0,0.0,07:15:00,18:26:00
2015-02-03,30.0,15.5,0.0,07:15:00,18:26:00
2015-02-04,31.0,17.9,0.0,07:14:00,18:27:00
2015-02-05,31.1,18.9,0.0,07:14:00,18:28:00
2015-02-06,31.5,19.1,0.2,07:14:00,18:28:00
2015-02-07,30.8,17.9,0.0,07:13:00,18:29:00
2015-02-08,29.6,15.0,0.0,07:13:00,18:29:00
2015-02-09,30.2,14.5,0.0,07:12:00,18:30:00
2015-02-10,30.7,19.5,0.5,07:12:00,18:31:00
2015-02-11,30.7,18.1,0.0,07:11:00,18:31:00
2015-02-12,31.1,16.9,0.0,07:10:00,18:32:00
2015-02-13,32.3,15.7,0.0,07:10:00,18:32:00
2015-02-14,32.3,15.6,0.0,07:09:00,18:33:00
2015-02-15,32.5,17.6,0.0,07:09:00,18:33:00
2015-02-16,33.0,16.0,0.0,07:08:00,18:34:00
2015-02-17,32.4,16.4,0.0,07:07:00,18:34:00
2015-02-18,32.7,18.6,0.0,07:07:00,18:35:00
2015-02-19,33.4,17.3,0.0,07:06:00,18:35:00
2015-02-20,33.7,18.2,0.0,07:05:00,18:36:00
2015-02-21,35.0,19.0,0.0,07:04:00,18:36:00
2015-02-22,36.1,19.0,0.0,07:04:00,18:37:00
2015-02-23,36.4,19.6,0.0,07:03:00,18:37:00
2015-02-24,34.7,19.5,0.0,07:02:00,18:38:00
2015-02-25,31.1,20.9,0.0,07:01:00,18:38:00
2015-02-26,29.2,17.9,0.0,07:01:00,18:39:00
2015-02-27,29.8,16.4,0.0,07:00:00,18:39:00
2015-02-28,31.5,16.2,0.0,06:59:00,18:40:00
2015-03-01,23.5,19.5,3.1,06:58:00,18:40:00
2015-03-02,26.0,18.0,0.0,06:58:00,18:41:00
2015-03-03,26.7,16.6,0.0,06:57:00,18:41:00
2015-03-04,28.4,15.5,0.0,06:56:00,18:42:00
2015-03-05,30.7,15.5,0.0,06:55:00,18:42:00
2015-03-06,32.1,16.9,0.0,06:54:00,18:42:00
2015-03-07,33.8,17.6,0.0,06:53:00,18:43:00
2015-03-08,32.7,18.8,0.0,06:52:00,18:43:00
2015-03-09,33.2,18.6,0.0,06:51:00,18:44:00
2015-03-10,34.3,21.3,0.0,06:51:00,18:44:00
2015-03-11,35.9,21.8,0.0,06:50:00,18:44:00
2015-03-12,36.8,21.9,0.0,06:49:00,18:45:00
2015-03-13,31.1,22.2,0.3,06:48:00,18:45:00
2015-03-14,33.3,20.8,0.9,06:47:00,18:45:00
2015-03-15,31.2,20.5,0.2,06:46:00,18:46:00
2015-03-16,30.3,17.9,0.0,06:45:00,18:46:00
2015-03-17,32.8,17.2,0.0,06:44:00,18:47:00
2015-03-18,33.7,19.9,0.0,06:43:00,18:47:00
2015-03-19,35.3,20.1,0.0,06:42:00,18:47:00
2015-03-20,37.3,21.4,0.0,06:41:00,18:48:00
2015-03-21,38.5,22.7,0.0,06:40:00,18:48:00
2015-03-22,39.8,22.6,0.0,06:39:00,18:48:00
2015-03-23,40.2,24.6,0.0,06:39:00,18:49:00
2015-03-24,40.1,23.7,0.0,06:38:00,18:49:00
2015-03-25,41.3,23.4,0.0,06:37:00,18:49:00
2015-03-26,40.7,25.8,0.0,06:36:00,18:50:00
2015-03-27,39.6,25.2,1.0,06:35:00,18:50:00
2015-03-28,39.4,24.7,0.0,06:34:00,18:50:00
2015-03-29,37.7,26.1,0.7,06:33:00,18:51:00
2015-03-30,37.1,23.8,0.0,06:32:00,18:51:00
2015-03-31,35.4,21.6,0.0,06:31:00,18:51:00
2015-04-01,36.8,21.0,0.0,06:30:00,18:52:00
2015-04-02,36.9,22.6,0.0,06:29:00,18:52:00
2015-04-03,36.0,22.7,0.0,06:28:00,18:52:00
2015-04-04,33.9,22.4,0.0,06:27:00,18:53:00
2015-04-05,35.1,23.4,0.0,06:26:00,18:53:00
2015-04-06,36.1,22.4,0.0,06:25:00,18:54:00
2015-04-07,36.4,22.6,0.0,06:24:00,18:54:00
2015-04-08,38.1,23.9,0.0,06:23:00,18:54:00
2015-04-09,39.0,24.1,0.0,06:23:00,18:55:00
2015-04-10,37.7,24.5,0.0,06:22:00,18:55:00
2015-04-11,36.0,24.2,0.0,06:21:00,18:55:00
2015-04-12,32.6,23.9,2.7,06:20:00,18:56:00
2015-04-13,34.1,22.0,4.9,06:19:00,18:56:00
2015-04-14,34.1,22.5,0.0,06:18:00,18:56:00
2015-04-15,34.4,23.6,0.1,06:17:00,18:57:00
2015-04-16,37.4,23.9,0.0,06:17:00,18:57:00
2015-04-17,40.0,24.6,0.0,06:16:00,18:58:00
2015-04-18,41.1,25.5,0.0,06:15:00,18:58:00
2015-04-19,41.6,24.5,0.0,06:14:00,18:58:00
2015-04-20,42.3,27.0,0.0,06:13:00,18:59:00
2015-04-21,40.9,25.3,0.0,06:12:00,18:59:00
2015-04-22,40.5,25.0,0.0,06:12:00,18:59:00
2015-04-23,39.4,24.8,0.0,06:11:00,19:00:00
2015-04-24,39.3,24.0,0.0,06:10:00,19:00:00
2015-04-25,38.9,24.5,0.0,06:09:00,19:01:00
2015-04-26,39.6,24.9,0.0,06:08:00,19:01:00
2015-04-27,40.5,25.6,0.0,06:08:00,19:01:00
2015-04-28,40.6,25.5,0.0,06:07:00,19:02:00
2015-04-29,40.4,25.3,0.0,06:06:00,19:02:00
2015-04-30,41.0,25.6,0.0,06:06:00,19:03:00
2015-05-01,40.5,25.7,0.0,06:05:00,19:03:00
2015-05-02,42.4,25.9,0.0,06:04:00,19:03:00
2015-05-03,41.6,24.6,0.0,06:04:00,19:04:00
2015-05-04,41.6,25.8,0.0,06:03:00,19:04:00
2015-05-05,41.8,25.5,0.0,06:03:00,19:05:00
2015-05-06,40.8,26.6,0.0,06:02:00,19:05:00
2015-05-07,41.2,25.9,0.0,06:01:00,19:06:00
2015-05-08,41.3,25.8,0.0,06:01:00,19:06:00
2015-05-09,41.2,26.9,0.0,06:00:00,19:07:00
2015-05-10,40.7,26.6,0.0,06:00:00,19:07:00
2015-05-11,40.5,26.4,0.0,05:59:00,19:07:00
2015-05-12,39.7,27.3,0.0,05:59:00,19:08:00
2015-05-13,39.9,27.6,0.2,05:58:00,19:08:00
2015-05-14,40.2,27.9,0.0,05:58:00,19:09:00
2015-05-15,41.3,28.3,0.0,05:57:00,19:09:00
2015-05-16,42.1,27.9,0.0,05:57:00,19:10:00
2015-05-17,42.4,27.8,0.0,05:56:00,19:10:00
2015-05-18,42.1,27.6,0.0,05:56:00,19:11:00
2015-05-19,41.4,27.6,0.0,05:56:00,19:11:00
2015-05-20,40.6,27.5,0.0,05:55:00,19:11:00
2015-05-21,40.4,27.7,0.0,05:55:00,19:12:00
2015-05-22,40.6,27.8,0.0,05:55:00,19:12:00
2015-05-23,39.9,28.0,0.0,05:54:00,19:13:00
2015-05-24,38.7,28.0,0.0,05:54:00,19:13:00
2015-05-25,38.9,27.9,0.0,05:54:00,19:14:00
2015-05-26,39.4,27.6,0.0,05:54:00,19:14:00
2015-05-27,39.5,27.8,0.0,05:53:00,19:15:00
