Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,29.3,25.8,1.5,14.8
2022-01-02,29.0,24.8,2.3,14.8
2022-01-03,28.8,25.0,5.0,12.7
2022-01-04,29.1,24.3,2.1,13.1
2022-01-05,29.8,24.6,0.9,12.8
2022-01-06,29.9,24.0,5.4,14.8
2022-01-07,29.6,24.5,1.5,12.4
2022-01-08,31.0,25.3,0.5,17.7
2022-01-09,31.3,24.5,0.1,14.3
2022-01-10,31.3,23.4,0.1,15.3
2022-01-11,31.5,23.6,0.0,17.6
2022-01-12,30.3,25.3,0.6,17.3
2022-01-13,30.1,25.9,2.3,18.6
2022-01-14,30.3,26.2,2.6,17.1
2022-01-15,29.6,25.5,1.6,21.2
2022-01-16,31.8,25.3,0.5,16.6
2022-01-17,30.7,23.3,0.3,16.1
2022-01-18,29.6,24.5,1.2,14.4
2022-01-19,30.1,23.9,0.2,12.6
2022-01-20,31.3,23.5,0.0,15.3
2022-01-21,32.0,23.4,0.0,14.2
2022-01-22,32.0,22.5,0.0,16.3
2022-01-23,31.4,23.1,0.0,13.8
2022-01-24,32.4,24.0,0.0,13.7
2022-01-25,32.8,22.5,0.0,11.8
2022-01-26,31.6,22.0,0.0,14.3
2022-01-27,31.2,25.4,0.7,14.8
2022-01-28,29.5,25.6,2.5,13.8
2022-01-29,30.2,24.0,0.5,14.8
2022-01-30,31.5,25.5,0.1,15.8
2022-01-31,31.0,24.2,1.3,15.6
2022-02-01,33.6,24.7,0.3,17.6
2022-02-02,32.4,24.6,0.5,17.3
2022-02-03,30.0,25.2,1.6,19.4
2022-02-04,30.4,25.7,1.3,13.0
2022-02-05,29.9,25.3,2.2,14.4
2022-02-06,30.0,23.2,9.5,18.1
2022-02-07,28.0,25.2,2.5,14.4
2022-02-08,28.2,23.6,1.1,14.3
2022-02-09,29.7,25.3,1.0,12.6
2022-02-10,30.3,25.7,1.1,15.7
2022-02-11,29.9,26.2,2.1,15.9
2022-02-12,28.8,25.6,1.3,13.8
2022-02-13,28.1,24.3,6.0,15.0
2022-02-14,28.7,24.8,13.5,14.2
2022-02-15,27.5,24.9,20.6,16.1
2022-02-16,29.4,26.0,3.2,14.7
2022-02-17,28.4,25.6,1.0,15.5
2022-02-18,30.4,24.1,1.6,19.3
2022-02-19,29.9,25.7,0.4,18.8
2022-02-20,29.1,24.7,14.5,16.4
2022-02-21,29.1,25.0,2.4,16.2
2022-02-22,29.1,25.9,3.1,17.2
2022-02-23,28.5,25.5,0.6,15.5
2022-02-24,29.1,25.5,0.9,13.5
2022-02-25,28.6,25.7,1.9,13.8
2022-02-26,29.4,25.7,1.0,15.5
2022-02-27,29.6,25.3,1.9,17.9
2022-02-28,29.2,24.1,1.3,14.7
2022-03-01,31.0,25.0,1.5,16.5
2022-03-02,28.0,24.3,1.3,17.5
2022-03-03,29.7,24.6,0.0,15.5
2022-03-04,30.7,24.1,1.2,20.1
2022-03-05,29.1,25.2,0.7,15.1
2022-03-06,30.4,25.3,0.0,15.6
2022-03-07,30.8,24.4,0.0,14.9
2022-03-08,31.1,25.3,0.5,14.6
2022-03-09,30.2,25.6,4.2,15.7
2022-03-10,31.0,26.0,0.9,19.1
2022-03-11,31.0,26.3,0.3,18.3
2022-03-12,30.7,25.8,0.9,13.6
