Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,32.1,21.7,0.0,11.9
2022-01-02,33.2,21.4,0.0,15.7
2022-01-03,32.2,20.7,0.0,16.0
2022-01-04,30.8,20.9,0.0,14.5
2022-01-05,32.0,20.1,0.0,9.5
2022-01-06,33.3,21.9,0.0,12.7
2022-01-07,33.9,20.6,0.0,9.7
2022-01-08,33.5,20.1,0.0,9.5
2022-01-09,33.4,23.2,0.0,11.0
2022-01-10,33.1,23.0,0.0,16.3
2022-01-11,32.7,20.0,0.0,12.6
2022-01-12,33.6,19.6,0.0,9.2
2022-01-13,33.6,19.9,0.0,9.4
2022-01-14,32.2,22.1,0.0,12.5
2022-01-15,33.9,23.1,0.0,13.2
2022-01-16,32.4,20.8,0.0,9.5
2022-01-17,31.4,22.0,0.2,16.6
2022-01-18,30.7,19.8,0.0,13.0
2022-01-19,31.7,20.4,0.0,16.6
2022-01-20,32.2,19.9,0.0,15.3
2022-01-21,31.9,19.3,0.0,13.5
2022-01-22,33.1,19.4,0.0,13.4
2022-01-23,33.5,20.0,0.0,15.0
2022-01-24,33.7,21.0,0.0,16.6
2022-01-25,33.9,20.7,0.0,17.0
2022-01-26,33.7,20.6,0.0,17.4
2022-01-27,32.8,18.9,0.0,10.7
2022-01-28,32.8,20.1,0.0,16.0
2022-01-29,34.9,20.3,0.0,19.4
2022-01-30,33.8,20.5,0.0,20.9
2022-01-31,32.4,20.4,0.0,21.9
2022-02-01,32.1,19.3,0.0,15.8
2022-02-02,33.3,19.8,0.0,12.6
2022-02-03,32.3,20.6,0.0,13.3
2022-02-04,33.4,20.5,0.0,17.4
2022-02-05,34.3,20.7,0.0,16.9
2022-02-06,33.1,20.7,0.0,15.0
2022-02-07,34.4,19.4,0.0,10.5
2022-02-08,35.0,20.5,0.0,12.6
2022-02-09,34.9,21.5,0.0,15.8
2022-02-10,35.7,24.2,0.0,18.8
2022-02-11,36.2,23.0,0.0,18.1
2022-02-12,35.4,22.6,0.0,16.3
2022-02-13,35.8,21.1,0.0,14.8
2022-02-14,37.1,23.5,0.0,16.8
2022-02-15,36.1,23.9,0.0,15.9
2022-02-16,34.7,20.8,0.0,10.9
2022-02-17,35.9,21.5,0.0,12.5
2022-02-18,36.1,23.4,0.0,15.6
2022-02-19,36.2,24.8,0.0,19.9
2022-02-20,33.9,23.2,0.0,17.4
2022-02-21,35.4,22.5,0.0,13.7
2022-02-22,35.4,23.1,0.0,15.6
2022-02-23,35.3,21.2,0.0,9.6
2022-02-24,35.0,23.8,0.0,14.0
2022-02-25,36.6,24.4,0.0,18.3
2022-02-26,36.3,23.9,0.0,16.8
2022-02-27,35.2,21.9,0.0,9.0
2022-02-28,36.6,24.2,0.0,14.1
2022-03-01,35.6,22.8,0.0,9.4
2022-03-02,34.9,24.4,0.0,9.6
