Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,16.3,7.5,0.1,11.0
2022-01-02,18.0,10.5,0.1,13.0
2022-01-03,19.1,12.1,0.0,14.0
2022-01-04,17.6,11.9,0.2,22.3
2022-01-05,18.2,10.1,0.0,13.4
2022-01-06,18.6,9.0,0.0,10.2
2022-01-07,18.2,9.1,0.4,12.6
2022-01-08,19.7,9.7,0.0,13.6
2022-01-09,16.2,10.0,0.0,29.4
2022-01-10,16.5,9.8,0.0,30.2
2022-01-11,18.6,9.4,0.0,24.7
2022-01-12,17.7,9.5,0.0,20.3
2022-01-13,15.3,11.6,6.5,25.9
2022-01-14,14.6,11.9,0.7,29.3
2022-01-15,16.1,12.0,1.8,22.7
2022-01-16,16.2,11.4,0.2,28.0
2022-01-17,14.1,7.6,0.4,18.1
2022-01-18,14.4,8.4,0.0,24.2
2022-01-19,13.6,10.9,2.0,31.3
2022-01-20,13.6,10.1,0.0,21.8
2022-01-21,14.2,8.6,0.0,10.3
2022-01-22,16.3,6.4,0.0,26.6
2022-01-23,13.6,10.4,4.5,31.1
2022-01-24,11.8,6.7,2.7,24.7
2022-01-25,14.1,6.6,0.2,30.0
2022-01-26,11.5,8.4,15.3,35.5
2022-01-27,13.3,10.3,3.0,33.7
2022-01-28,14.3,8.1,5.3,26.7
2022-01-29,14.9,8.0,1.2,12.7
2022-01-30,16.1,7.6,0.3,25.5
2022-01-31,16.0,8.0,1.9,27.8
2022-02-01,17.8,10.2,0.0,18.1
2022-02-02,19.0,7.7,0.0,17.2
2022-02-03,14.8,10.4,1.0,35.3
2022-02-04,15.9,10.3,5.2,31.6
2022-02-05,15.9,12.6,0.0,28.3
2022-02-06,16.9,9.0,0.0,18.3
2022-02-07,17.6,8.6,0.0,15.9
2022-02-08,20.6,8.0,0.0,20.6
2022-02-09,15.1,10.7,0.1,39.9
2022-02-10,15.4,12.2,0.0,37.9
2022-02-11,16.6,9.1,0.0,13.2
2022-02-12,18.4,7.8,0.0,24.5
2022-02-13,17.6,8.9,0.0,16.2
2022-02-14,17.4,10.5,0.1,18.1
2022-02-15,16.6,12.4,0.0,21.3
2022-02-16,17.2,10.9,0.0,15.6
2022-02-17,16.0,7.9,0.0,13.5
2022-02-18,16.2,10.3,0.3,20.6
2022-02-19,15.7,12.7,6.5,41.0
2022-02-20,18.8,8.0,0.0,15.6
2022-02-21,19.6,9.2,0.0,17.3
2022-02-22,22.8,9.2,0.0,15.8
2022-02-23,23.2,9.6,1.3,29.6
2022-02-24,15.5,8.9,0.8,29.3
2022-02-25,16.3,11.5,5.0,36.7
2022-02-26,17.5,10.6,0.0,20.7
2022-02-27,17.9,6.9,0.0,15.6
2022-02-28,19.4,6.9,0.0,14.8
2022-03-01,21.3,8.9,0.0,14.4
2022-03-02,23.9,12.7,0.1,31.6
2022-03-03,16.5,13.4,0.0,38.4
2022-03-04,17.4,13.2,0.3,18.4
2022-03-05,21.2,8.3,0.0,21.8
2022-03-06,23.7,12.2,1.5,35.1
2022-03-07,19.6,11.2,0.0,14.4
2022-03-08,22.3,11.2,1.3,21.8
2022-03-09,17.6,13.0,9.5,21.4
2022-03-10,15.4,11.8,2.3,40.3
2022-03-11,14.3,11.2,0.3,35.1
2022-03-12,14.5,9.0,0.0,23.2
2022-03-13,13.5,9.2,2.6,27.2
2022-03-14,13.1,9.3,0.6,25.1
2022-03-15,15.4,9.9,0.4,25.8
2022-03-16,16.2,8.6,0.0,15.2
2022-03-17,16.8,5.0,0.0,16.4
2022-03-18,18.1,12.7,0.0,19.4
2022-03-19,15.7,11.1,0.0,24.3
2022-03-20,15.4,9.9,0.0,27.9
2022-03-21,14.8,9.5,0.0,20.8
2022-03-22,15.0,9.7,0.2,19.8
2022-03-23,13.9,8.5,7.5,29.0
2022-03-24,14.3,10.8,4.1,30.7
2022-03-25,17.1,11.8,0.1,29.8
2022-03-26,18.1,11.7,0.0,21.1
2022-03-27,17.9,11.8,0.0,19.7
2022-03-28,19.7,11.2,0.0,27.8
2022-03-29,20.4,10.5,0.0,19.4
2022-03-30,22.7,9.6,0.0,12.9
2022-03-31,27.6,9.6,0.0,21.4
2022-04-01,27.2,11.5,0.0,12.8
2022-04-02,24.1,13.2,0.0,14.2
2022-04-03,26.1,14.6,0.0,22.5
2022-04-04,28.6,13.3,0.0,24.3
2022-04-05,36.6,16.5,0.0,17.9
2022-04-06,26.7,15.5,0.0,22.4
2022-04-07,37.9,13.8,0.0,22.4
2022-04-08,20.0,15.2,0.0,27.8
2022-04-09,21.3,13.6,0.0,18.2
2022-04-10,22.0,12.7,0.0,20.0
2022-04-11,20.5,13.2,0.0,26.7
2022-04-12,18.6,14.3,0.0,22.2
2022-04-13,19.6,13.3,0.0,20.4
2022-04-14,20.7,12.9,0.0,26.9
2022-04-15,21.4,12.0,0.0,26.3
2022-04-16,29.3,13.6,0.0,22.2
2022-04-17,40.9,17.3,0.0,32.1
2022-04-18,21.6,16.4,0.0,20.7
2022-04-19,21.5,13.9,0.0,22.0
2022-04-20,19.8,13.8,0.0,18.8
2022-04-21,20.3,12.1,0.0,22.2
2022-04-22,21.4,13.6,0.0,23.8
2022-04-23,23.8,12.4,0.0,21.4
2022-04-24,23.3,13.2,0.0,18.3
2022-04-25,24.0,14.7,0.0,20.6
2022-04-26,25.3,13.5,0.0,16.9
2022-04-27,25.5,14.1,0.0,18.8
2022-04-28,25.0,14.3,0.0,17.7
2022-04-29,32.7,14.6,0.0,24.3
2022-04-30,23.7,18.4,0.0,27.2
2022-05-01,24.2,17.0,0.0,15.6
2022-05-02,28.8,15.4,0.1,24.3
2022-05-03,23.6,17.5,0.4,30.1
2022-05-04,21.8,17.0,0.0,25.0
2022-05-05,21.2,17.1,0.0,27.1
2022-05-06,23.1,17.0,0.0,24.3
2022-05-07,23.5,13.9,0.0,16.9
2022-05-08,28.1,14.8,0.0,26.9
2022-05-09,30.0,18.1,0.0,33.3
2022-05-10,24.2,15.6,0.0,18.1
2022-05-11,24.2,15.7,0.0,17.7
2022-05-12,24.0,15.2,0.0,23.9
2022-05-13,26.3,16.7,0.1,27.3
2022-05-14,24.0,17.9,0.7,24.5
2022-05-15,23.5,17.2,0.0,18.6
2022-05-16,23.7,16.1,0.0,17.1
2022-05-17,24.7,16.3,0.0,17.7
2022-05-18,27.3,16.2,0.0,17.7
2022-05-19,32.1,16.3,0.0,21.1
2022-05-20,27.2,19.5,0.0,26.3
2022-05-21,23.2,18.5,0.0,25.6
2022-05-22,24.1,17.6,0.2,35.6
2022-05-23,24.6,18.8,0.0,23.7
2022-05-24,25.5,17.9,0.0,20.1
2022-05-25,26.8,16.5,0.0,19.6
2022-05-26,27.3,17.7,0.0,19.8
2022-05-27,27.6,19.7,0.0,17.6
2022-05-28,28.4,19.2,0.0,19.5
2022-05-29,32.1,18.9,0.0,19.9
2022-05-30,35.3,19.9,0.0,22.7
2022-05-31,27.1,20.8,0.0,19.6
2022-06-01,27.4,20.3,0.0,20.4
2022-06-02,27.1,21.4,0.0,21.6
2022-06-03,27.9,20.1,0.0,15.9
2022-06-04,28.7,18.3,0.0,20.4
2022-06-05,27.4,19.2,0.0,20.0
2022-06-06,28.1,20.3,0.0,18.7
2022-06-07,28.9,21.8,0.0,24.8
2022-06-08,31.3,21.0,0.0,17.1
2022-06-09,33.1,21.6,0.0,24.0
2022-06-10,32.4,19.7,0.0,17.8
2022-06-11,42.2,22.4,0.0,29.9
2022-06-12,27.7,20.2,0.5,25.9
2022-06-13,27.4,21.1,0.0,21.3
2022-06-14,27.6,20.1,0.0,19.6
2022-06-15,28.4,21.1,0.0,19.9
2022-06-16,28.4,22.0,0.0,19.9
2022-06-17,28.2,22.2,0.0,22.7
2022-06-18,27.9,22.3,0.0,21.1
2022-06-19,28.3,21.1,0.0,19.1
2022-06-20,28.3,21.1,0.0,18.6
2022-06-21,27.6,19.3,0.0,21.7
2022-06-22,28.8,23.0,0.0,26.3
2022-06-23,30.7,23.0,0.0,20.7
2022-06-24,31.4,22.9,0.0,18.7
2022-06-25,30.5,24.1,0.0,22.1
2022-06-26,30.1,23.0,0.0,20.4
2022-06-27,29.5,23.4,0.0,23.9
2022-06-28,29.2,22.9,0.0,20.5
2022-06-29,29.0,23.0,0.0,23.3
2022-06-30,28.5,22.7,0.0,20.8
2022-07-01,28.7,21.0,0.0,20.6
2022-07-02,29.8,22.1,0.0,21.5
2022-07-03,30.3,21.7,0.0,21.6
2022-07-04,30.0,22.9,0.0,20.5
2022-07-05,30.2,22.9,0.0,20.9
2022-07-06,30.2,21.6,0.0,20.2
2022-07-07,30.0,20.9,0.0,22.9
2022-07-08,29.7,24.5,0.0,25.0
2022-07-09,30.7,23.6,0.0,22.2
2022-07-10,29.3,23.2,0.0,21.6
2022-07-11,29.4,23.6,0.0,21.2
2022-07-12,29.7,23.4,0.0,24.0
2022-07-13,29.3,23.7,0.0,30.0
2022-07-14,29.3,23.7,0.0,24.5
2022-07-15,29.3,22.5,0.0,23.0
2022-07-16,29.3,23.1,0.0,22.7
2022-07-17,29.9,23.3,0.0,20.2
2022-07-18,32.4,23.5,0.0,18.7
2022-07-19,31.7,24.4,0.0,22.2
2022-07-20,31.5,23.6,0.0,23.4
2022-07-21,29.4,23.7,0.0,24.0
2022-07-22,30.1,23.8,0.0,21.7
2022-07-23,30.2,23.3,0.0,24.2
2022-07-24,30.6,23.6,0.0,24.2
2022-07-25,32.3,22.9,0.0,18.3
2022-07-26,31.5,22.0,0.0,20.4
2022-07-27,31.5,22.4,0.0,19.1
2022-07-28,31.5,21.8,0.0,20.7
