Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,15.3,5.5,0.0,9.2
2022-01-02,17.4,7.8,0.0,12.1
2022-01-03,16.0,8.0,0.0,11.8
2022-01-04,15.8,6.6,0.0,8.4
2022-01-05,16.1,9.5,0.0,13.0
2022-01-06,16.0,11.9,0.2,21.6
2022-01-07,16.5,10.5,1.4,13.9
2022-01-08,13.7,9.0,5.6,11.2
2022-01-09,13.7,8.2,9.2,14.3
2022-01-10,12.8,7.2,0.8,15.3
2022-01-11,13.2,8.2,14.8,18.9
2022-01-12,9.6,4.5,15.6,29.9
2022-01-13,5.3,2.0,0.0,23.2
2022-01-14,9.4,1.6,0.0,12.3
2022-01-15,13.5,1.1,0.0,17.3
2022-01-16,10.1,3.4,0.0,13.0
2022-01-17,11.6,2.2,0.0,10.8
2022-01-18,10.8,3.8,0.0,24.9
2022-01-19,7.9,1.9,0.8,17.4
2022-01-20,11.7,1.7,0.0,11.1
2022-01-21,14.5,5.9,0.0,14.8
2022-01-22,7.1,0.0,4.6,25.6
2022-01-23,5.0,-1.8,0.0,23.9
2022-01-24,3.8,-2.0,4.1,27.2
2022-01-25,5.3,-0.6,1.1,22.1
2022-01-26,6.0,-1.7,0.0,16.9
2022-01-27,9.0,-1.6,0.0,12.4
2022-01-28,10.5,0.1,0.0,12.1
2022-01-29,10.2,2.0,3.4,23.9
2022-01-30,11.3,3.1,0.2,18.7
2022-01-31,12.3,2.1,0.0,13.7
2022-02-01,15.0,8.9,10.5,28.9
2022-02-02,12.3,6.6,9.2,27.1
2022-02-03,8.8,5.4,2.3,28.5
2022-02-04,11.3,3.9,0.0,12.2
2022-02-05,13.2,6.2,0.0,10.6
2022-02-06,14.3,5.4,0.0,16.2
2022-02-07,15.3,7.7,0.0,14.5
2022-02-08,12.2,4.9,7.3,28.1
2022-02-09,11.1,3.9,0.0,18.4
2022-02-10,13.8,2.7,0.0,13.0
2022-02-11,13.9,2.8,0.0,10.7
2022-02-12,13.7,6.9,0.7,9.4
2022-02-13,12.1,6.0,0.9,14.4
2022-02-14,11.6,3.3,0.0,11.4
2022-02-15,13.3,4.7,0.0,10.6
2022-02-16,14.5,7.1,0.0,17.2
2022-02-17,13.5,9.7,7.9,17.7
2022-02-18,17.0,6.8,0.0,17.7
2022-02-19,14.6,5.5,0.0,13.0
2022-02-20,14.8,11.6,0.0,9.1
2022-02-21,16.6,11.0,0.0,9.8
2022-02-22,16.1,10.0,0.0,14.3
2022-02-23,14.5,8.0,0.5,21.4
2022-02-24,10.9,6.9,0.3,25.9
2022-02-25,14.2,4.3,0.0,12.2
2022-02-26,13.8,4.6,0.0,11.5
2022-02-27,14.6,7.3,12.4,32.1
2022-02-28,10.7,6.1,1.9,17.2
2022-03-01,10.3,5.9,0.2,18.1
2022-03-02,8.7,4.0,0.2,26.6
2022-03-03,11.0,2.3,0.0,12.4
2022-03-04,12.5,5.6,0.2,10.6
2022-03-05,13.8,7.5,6.2,10.6
2022-03-06,15.2,8.3,2.4,12.8
2022-03-07,14.5,5.5,0.1,15.5
2022-03-08,12.5,6.3,1.3,13.1
2022-03-09,8.3,4.4,2.0,21.2
2022-03-10,6.4,1.2,0.8,21.3
2022-03-11,5.8,-0.6,0.1,15.8
2022-03-12,5.8,-1.9,1.4,22.0
2022-03-13,7.6,-1.8,0.0,12.6
2022-03-14,9.7,1.3,0.1,16.8
2022-03-15,12.9,1.0,0.0,11.2
2022-03-16,13.3,4.0,0.0,13.3
2022-03-17,16.3,5.0,0.7,18.4
2022-03-18,8.4,3.8,0.0,21.4
2022-03-19,7.6,2.7,0.0,21.1
2022-03-20,8.0,2.5,0.4,27.3
2022-03-21,8.2,2.8,0.0,24.6
2022-03-22,12.8,4.2,1.5,29.5
2022-03-23,10.4,5.3,1.2,24.9
2022-03-24,16.5,5.0,0.0,16.9
2022-03-25,21.3,8.5,0.0,13.4
2022-03-26,18.2,7.7,0.0,16.3
2022-03-27,18.1,8.5,0.0,12.3
2022-03-28,15.7,10.7,0.3,6.9
2022-03-29,17.7,8.7,0.0,13.0
2022-03-30,16.8,10.1,0.0,15.9
2022-03-31,17.8,12.2,0.2,20.9
2022-04-01,20.2,13.3,1.4,25.8
2022-04-02,20.5,10.5,0.0,18.8
2022-04-03,17.6,10.3,0.0,15.8
2022-04-04,18.0,8.6,0.0,11.6
2022-04-05,19.9,10.3,0.0,14.5
2022-04-06,19.1,8.4,0.0,12.9
2022-04-07,22.0,13.6,1.6,23.4
2022-04-08,23.8,11.5,0.0,19.3
2022-04-09,21.7,13.2,0.0,18.1
2022-04-10,20.5,11.3,0.0,23.9
2022-04-11,17.6,9.8,0.0,21.4
2022-04-12,17.3,6.5,0.0,20.1
2022-04-13,18.3,8.2,0.0,17.9
