Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,23.2,19.3,2.8,29.7
2022-01-02,20.3,12.9,28.3,31.1
2022-01-03,13.1,-1.1,8.3,42.2
2022-01-04,8.9,-2.8,0.0,18.7
2022-01-05,13.5,5.1,0.0,19.8
2022-01-06,16.0,1.7,3.8,29.6
2022-01-07,3.8,-4.4,0.0,28.3
2022-01-08,8.8,-3.2,0.0,21.0
2022-01-09,16.8,3.2,15.1,20.9
2022-01-10,10.2,1.3,0.0,24.8
2022-01-11,8.2,-1.4,0.0,23.6
2022-01-12,10.2,-2.7,0.0,10.3
2022-01-13,12.8,0.8,0.0,18.4
2022-01-14,10.9,1.9,0.0,16.1
2022-01-15,9.0,2.8,1.3,25.2
2022-01-16,4.3,-0.4,30.1,34.5
2022-01-17,4.0,-1.5,0.0,29.2
2022-01-18,10.0,-3.0,0.0,17.2
2022-01-19,14.5,0.0,0.0,18.8
2022-01-20,10.1,0.2,8.6,21.4
2022-01-21,3.9,0.1,0.3,18.0
2022-01-22,5.5,-1.9,0.0,10.8
2022-01-23,8.6,-4.7,0.0,17.3
2022-01-24,12.7,-2.0,0.0,14.3
2022-01-25,14.1,5.8,0.0,13.2
2022-01-26,9.1,-2.1,0.0,21.3
2022-01-27,9.3,-1.5,0.0,16.2
2022-01-28,8.5,-1.0,0.0,29.4
2022-01-29,1.7,-4.4,0.0,28.0
2022-01-30,11.0,-4.3,0.0,22.3
2022-01-31,11.0,-0.5,0.0,10.0
2022-02-01,12.7,0.1,0.0,21.6
2022-02-02,12.2,4.5,2.5,28.3
2022-02-03,18.2,8.3,57.0,28.4
2022-02-04,17.3,2.4,50.6,29.2
2022-02-05,6.5,-3.0,0.0,27.8
2022-02-06,8.3,-1.9,0.0,20.8
2022-02-07,10.6,4.1,0.0,13.7
2022-02-08,11.1,-0.2,0.0,18.3
2022-02-09,14.4,-1.2,0.0,17.8
2022-02-10,16.9,1.8,0.0,18.4
2022-02-11,17.5,4.4,0.0,19.6
2022-02-12,17.5,6.3,0.0,20.1
2022-02-13,6.9,1.9,0.2,27.2
2022-02-14,11.6,-2.2,0.0,17.1
2022-02-15,14.3,0.3,0.0,16.2
2022-02-16,18.8,4.8,0.3,23.3
2022-02-17,22.4,11.7,1.1,37.9
2022-02-18,18.5,0.3,8.8,32.2
2022-02-19,11.8,-2.4,0.0,19.9
2022-02-20,13.5,-0.9,0.0,16.1
2022-02-21,14.9,4.6,7.1,16.0
2022-02-22,22.6,11.2,3.6,22.2
2022-02-23,22.0,15.6,13.9,22.8
2022-02-24,22.7,15.7,1.2,15.3
2022-02-25,17.0,6.5,2.4,24.0
2022-02-26,15.8,2.5,0.0,19.9
2022-02-27,12.2,7.1,8.5,14.4
2022-02-28,15.0,6.0,0.0,11.7
2022-03-01,17.4,2.3,0.0,10.9
2022-03-02,22.0,6.0,0.0,12.7
2022-03-03,23.2,8.2,0.0,12.3
2022-03-04,21.0,8.2,0.0,19.9
2022-03-05,23.3,8.4,0.0,20.1
2022-03-06,25.5,12.6,0.0,21.6
2022-03-07,24.4,12.8,11.0,35.1
2022-03-08,13.5,6.5,18.9,16.6
2022-03-09,15.3,9.1,8.0,19.7
2022-03-10,18.0,5.6,0.0,14.0
2022-03-11,16.1,6.0,0.7,14.9
2022-03-12,12.0,-2.6,17.9,41.1
2022-03-13,10.5,-5.7,0.0,16.5
2022-03-14,15.7,1.0,0.0,15.1
2022-03-15,17.8,7.6,8.9,23.5
2022-03-16,19.1,10.4,24.2,22.7
2022-03-17,21.0,9.5,0.0,12.2
2022-03-18,18.1,10.9,19.0,26.3
2022-03-19,17.4,9.0,7.6,25.5
2022-03-20,18.0,4.1,0.0,21.9
2022-03-21,19.5,4.4,0.0,15.6
2022-03-22,21.7,9.6,0.0,28.0
2022-03-23,24.2,14.2,15.7,36.4
2022-03-24,17.2,6.5,0.0,21.5
2022-03-25,14.5,5.9,0.0,30.3
2022-03-26,15.3,6.6,0.0,34.2
2022-03-27,15.2,3.8,0.2,22.6
2022-03-28,16.8,4.3,0.0,16.4
2022-03-29,23.2,6.0,0.0,15.0
2022-03-30,25.9,11.9,0.0,33.6
2022-03-31,22.3,13.0,13.2,48.5
2022-04-01,16.7,7.1,0.0,18.8
2022-04-02,18.1,4.2,0.0,12.9
2022-04-03,18.2,7.5,0.0,20.6
2022-04-04,22.4,5.6,0.0,14.1
2022-04-05,20.1,11.6,35.6,38.5
2022-04-06,22.9,13.9,13.0,21.8
2022-04-07,19.2,11.4,0.3,29.5
2022-04-08,13.9,6.1,0.6,33.0
2022-04-09,11.8,2.4,0.7,32.9
2022-04-10,20.9,1.8,0.0,12.7
2022-04-11,19.8,8.9,0.0,14.3
2022-04-12,26.8,11.4,0.1,19.1
2022-04-13,26.5,17.7,0.2,28.2
2022-04-14,22.4,13.8,2.3,22.6
2022-04-15,23.4,7.7,0.0,20.0
2022-04-16,24.6,13.5,7.8,21.2
2022-04-17,24.4,11.9,0.8,10.3
2022-04-18,19.8,9.4,25.0,28.5
2022-04-19,15.3,5.6,0.0,22.0
2022-04-20,20.3,5.0,0.0,22.5
2022-04-21,23.2,11.5,0.1,19.1
2022-04-22,25.2,11.2,0.0,9.5
2022-04-23,26.9,13.0,0.0,20.7
2022-04-24,26.7,13.5,0.0,15.6
2022-04-25,28.4,14.5,0.1,15.0
2022-04-26,20.1,14.4,4.8,25.3
2022-04-27,23.3,7.8,0.0,19.7
2022-04-28,25.0,11.1,0.0,12.4
2022-04-29,25.7,13.0,0.0,14.1
2022-04-30,26.7,14.0,1.6,19.5
2022-05-01,27.2,16.7,2.3,20.4
2022-05-02,30.0,14.4,0.6,13.6
2022-05-03,30.1,17.8,1.4,27.4
2022-05-04,30.2,16.3,7.3,16.7
2022-05-05,31.0,16.2,0.2,15.4
2022-05-06,26.0,18.2,11.5,36.7
2022-05-07,19.8,13.8,0.1,26.3
2022-05-08,19.2,11.1,0.2,19.1
2022-05-09,21.3,10.6,0.0,18.9
2022-05-10,24.7,11.1,0.0,15.2
2022-05-11,27.2,13.6,0.0,15.5
2022-05-12,27.8,14.7,0.0,17.0
2022-05-13,24.9,16.9,11.1,22.3
2022-05-14,26.8,15.7,0.0,8.7
2022-05-15,27.8,17.0,6.3,11.2
2022-05-16,29.1,16.0,0.4,20.4
2022-05-17,27.7,13.6,0.0,14.9
2022-05-18,31.6,14.1,0.0,15.3
2022-05-19,32.3,19.9,0.0,19.1
2022-05-20,32.1,20.1,0.0,21.2
2022-05-21,31.0,20.7,0.7,16.9
2022-05-22,30.8,19.8,1.3,25.3
2022-05-23,23.8,19.5,18.9,31.2
2022-05-24,26.2,17.6,3.1,18.9
2022-05-25,26.8,18.5,3.7,26.6
2022-05-26,24.2,18.5,26.2,27.0
2022-05-27,25.7,17.9,0.6,23.1
2022-05-28,26.2,14.3,0.0,10.9
2022-05-29,27.5,15.0,0.0,12.2
2022-05-30,28.8,18.5,1.2,19.7
2022-05-31,28.9,18.9,0.4,12.2
2022-06-01,31.2,18.7,0.0,9.0
2022-06-02,31.0,19.8,0.1,19.1
2022-06-03,28.7,19.5,1.0,20.5
2022-06-04,29.3,18.9,0.1,18.4
2022-06-05,28.3,17.5,0.1,13.3
2022-06-06,29.2,17.9,1.9,19.1
2022-06-07,29.1,19.7,14.7,19.7
2022-06-08,28.6,20.5,34.9,22.5
2022-06-09,28.1,20.5,0.5,18.2
2022-06-10,27.6,15.3,0.0,12.2
2022-06-11,29.3,18.9,0.0,10.2
2022-06-12,31.7,20.1,0.4,8.6
2022-06-13,31.2,21.5,1.7,14.4
2022-06-14,32.4,22.0,1.6,9.2
2022-06-15,35.0,23.2,16.2,16.3
2022-06-16,34.0,22.4,0.6,25.3
2022-06-17,35.5,21.9,0.5,16.2
2022-06-18,33.5,22.8,0.0,23.1
2022-06-19,30.1,19.5,0.0,18.9
2022-06-20,31.6,17.5,0.0,8.7
2022-06-21,35.0,19.9,0.0,15.5
2022-06-22,35.8,19.5,0.0,18.9
2022-06-23,35.2,23.3,0.2,18.0
2022-06-24,32.0,23.3,3.7,17.9
2022-06-25,33.2,22.3,0.0,17.5
2022-06-26,32.3,21.9,4.5,15.9
2022-06-27,31.0,22.0,22.6,5.5
2022-06-28,28.2,21.3,25.7,14.4
2022-06-29,26.0,20.8,11.4,14.7
2022-06-30,28.9,20.7,2.7,11.5
2022-07-01,28.4,21.3,15.0,9.8
2022-07-02,30.7,20.6,0.9,11.1
2022-07-03,30.4,22.4,17.5,13.3
2022-07-04,29.2,21.9,55.6,11.3
2022-07-05,30.7,22.0,0.8,11.6
2022-07-06,30.8,22.4,7.4,20.2
2022-07-07,30.9,23.8,2.9,17.9
2022-07-08,28.7,22.6,34.1,11.5
2022-07-09,30.9,22.0,28.8,20.2
2022-07-10,29.6,22.8,24.6,20.0
2022-07-11,26.5,20.8,1.1,18.0
2022-07-12,28.8,20.8,2.3,11.1
2022-07-13,28.6,22.0,7.7,13.6
2022-07-14,29.7,21.2,0.9,12.5
2022-07-15,31.2,18.5,0.0,21.0
2022-07-16,30.7,20.1,0.0,14.1
2022-07-17,31.1,21.1,0.0,10.7
2022-07-18,32.5,22.0,6.8,17.8
2022-07-19,29.8,21.0,23.3,18.4
2022-07-20,30.6,21.2,19.2,19.4
2022-07-21,27.8,23.0,18.2,18.6
2022-07-22,29.9,21.0,0.8,9.2
2022-07-23,30.5,21.0,0.7,9.6
2022-07-24,30.4,21.6,2.4,10.0
2022-07-25,31.5,22.3,1.5,16.9
2022-07-26,31.4,22.1,0.1,12.7
2022-07-27,32.0,22.8,0.7,12.4
2022-07-28,31.9,23.0,1.3,15.8
2022-07-29,32.1,23.1,3.0,14.7
2022-07-30,28.4,22.4,25.2,15.3
2022-07-31,32.8,22.3,2.3,17.8
2022-08-01,29.6,21.3,5.1,13.6
2022-08-02,32.3,21.8,1.0,16.6
2022-08-03,30.3,21.5,4.7,13.6
2022-08-04,30.2,21.4,0.9,12.5
2022-08-05,30.2,21.2,0.6,13.5
2022-08-06,29.3,22.0,8.8,14.5
2022-08-07,30.6,21.0,7.9,10.9
2022-08-08,29.7,21.5,9.4,14.4
2022-08-09,28.7,21.3,13.9,13.5
2022-08-10,29.1,21.6,5.6,17.2
2022-08-11,28.5,19.9,7.0,13.7
2022-08-12,29.7,20.6,1.1,13.0
2022-08-13,28.3,20.9,0.5,19.3
2022-08-14,29.9,18.9,0.5,10.5
2022-08-15,30.5,21.0,1.9,17.7
2022-08-16,30.9,19.5,0.0,15.9
2022-08-17,26.0,19.6,3.5,10.8
2022-08-18,27.9,20.8,6.9,11.9
2022-08-19,26.6,20.4,12.2,10.5
2022-08-20,27.7,20.8,15.9,10.9
2022-08-21,28.0,21.2,10.0,13.4
2022-08-22,27.1,20.9,3.9,12.7
2022-08-23,28.2,20.8,0.0,11.4
2022-08-24,26.9,20.6,2.5,9.3
2022-08-25,27.3,21.3,9.6,9.7
2022-08-26,28.8,19.3,2.6,11.7
2022-08-27,29.8,19.8,1.7,10.0
2022-08-28,30.0,20.7,2.1,14.0
2022-08-29,30.9,20.7,0.6,12.3
2022-08-30,31.8,21.2,0.7,14.0
2022-08-31,31.0,21.0,0.2,9.8
2022-09-01,31.0,17.1,0.4,21.4
2022-09-02,27.3,21.7,6.3,16.9
2022-09-03,28.5,20.8,14.1,15.1
2022-09-04,26.1,20.6,80.3,16.9
2022-09-05,27.7,21.0,51.9,23.7
2022-09-06,28.3,19.7,0.5,11.7
2022-09-07,29.4,20.7,1.0,17.9
2022-09-08,27.4,19.5,1.9,19.9
2022-09-09,26.1,19.3,1.5,27.0
2022-09-10,25.2,19.0,3.6,21.4
2022-09-11,27.3,20.7,4.0,14.8
2022-09-12,26.5,18.6,1.3,15.3
2022-09-13,25.6,12.6,0.0,15.5
2022-09-14,26.8,14.3,0.0,9.9
2022-09-15,27.2,16.5,0.0,13.1
2022-09-16,27.4,15.5,0.0,13.0
2022-09-17,28.1,16.0,0.0,12.6
2022-09-18,28.4,15.8,0.0,10.7
2022-09-19,29.5,16.1,0.0,11.6
2022-09-20,31.3,18.7,3.6,12.7
2022-09-21,31.7,18.5,0.0,9.1
2022-09-22,32.0,19.8,0.1,28.5
2022-09-23,24.8,14.2,0.0,18.5
2022-09-24,25.6,12.1,0.0,11.1
2022-09-25,28.0,16.4,5.3,20.4
2022-09-26,25.8,16.3,0.0,18.1
2022-09-27,23.3,11.6,0.0,23.0
2022-09-28,22.9,10.6,0.0,18.9
2022-09-29,22.3,11.8,0.0,30.3
2022-09-30,25.6,13.5,0.0,20.6
2022-10-01,23.2,12.5,0.0,27.6
2022-10-02,25.2,12.7,0.0,21.7
2022-10-03,24.0,11.5,0.0,13.0
2022-10-04,23.5,12.0,0.0,14.5
2022-10-05,24.3,9.1,0.0,14.8
2022-10-06,25.0,9.5,0.0,11.0
2022-10-07,26.9,11.2,0.0,18.3
2022-10-08,22.3,12.5,0.0,21.9
2022-10-09,21.3,7.6,0.1,14.3
2022-10-10,22.6,8.5,0.0,12.2
2022-10-11,25.2,12.5,0.1,17.6
2022-10-12,23.6,16.1,3.6,17.1
2022-10-13,24.5,14.4,0.2,21.3
2022-10-14,21.8,8.6,0.0,11.3
2022-10-15,25.3,9.7,0.0,13.3
2022-10-16,26.2,11.6,0.0,12.1
2022-10-17,22.9,12.8,0.1,26.3
2022-10-18,11.5,3.6,0.0,27.9
2022-10-19,13.6,2.5,0.0,16.6
2022-10-20,15.3,1.4,0.0,14.0
2022-10-21,18.3,2.9,0.0,9.7
2022-10-22,20.5,4.6,0.0,10.7
2022-10-23,21.3,5.9,0.0,10.7
2022-10-24,22.7,8.9,0.0,12.0
2022-10-25,24.3,11.4,15.7,22.5
2022-10-26,19.0,9.6,10.1,21.3
2022-10-27,20.9,7.3,0.0,18.5
2022-10-28,20.0,11.1,0.0,20.5
2022-10-29,18.3,9.6,0.0,22.4
2022-10-30,16.5,12.8,21.6,23.5
2022-10-31,22.0,13.7,9.2,20.9
2022-11-01,21.2,10.6,0.0,15.2
2022-11-02,21.3,12.9,0.5,14.1
2022-11-03,21.8,11.6,0.1,13.1
2022-11-04,22.2,12.0,0.0,16.4
2022-11-05,24.5,15.8,0.5,29.1
2022-11-06,26.5,17.3,0.3,18.8
2022-11-07,26.5,18.9,0.4,11.1
2022-11-08,24.9,16.9,0.0,21.6
2022-11-09,19.0,9.7,0.0,24.7
2022-11-10,18.3,12.1,5.9,34.5
2022-11-11,21.2,16.4,24.3,35.4
2022-11-12,19.9,5.9,1.0,25.9
2022-11-13,8.5,0.6,0.0,24.5
2022-11-14,10.1,-0.1,0.0,20.2
2022-11-15,10.4,6.8,17.6,25.1
2022-11-16,9.2,3.6,0.0,23.1
2022-11-17,6.5,-0.1,0.0,17.4
2022-11-18,9.9,-1.7,0.0,12.7
2022-11-19,10.8,0.0,0.0,15.8
2022-11-20,7.1,-0.1,0.0,18.4
2022-11-21,11.9,-2.4,0.0,11.9
2022-11-22,15.4,2.9,0.1,10.5
2022-11-23,19.1,2.2,0.0,9.4
2022-11-24,16.5,8.9,0.0,19.2
2022-11-25,14.9,9.7,15.5,16.3
2022-11-26,18.0,9.0,0.3,19.7
2022-11-27,17.3,10.8,13.1,27.9
2022-11-28,15.9,7.4,0.0,18.5
2022-11-29,18.6,6.0,0.3,20.9
2022-11-30,17.9,5.8,23.3,27.8
