Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,22.2,17.8,0.0,28.2
2022-01-02,23.7,17.6,0.0,28.6
2022-01-03,23.8,17.6,0.0,17.4
2022-01-04,24.4,17.4,0.0,13.5
2022-01-05,24.6,18.5,0.0,24.2
2022-01-06,24.0,19.1,0.0,24.8
2022-01-07,21.9,18.9,3.6,22.1
2022-01-08,23.1,17.4,3.6,10.9
2022-01-09,25.5,18.9,0.4,17.1
2022-01-10,24.8,19.4,0.0,16.3
2022-01-11,25.4,18.3,0.0,17.6
2022-01-12,23.9,18.9,1.3,23.7
2022-01-13,23.9,18.1,0.6,34.3
2022-01-14,22.2,17.4,0.3,29.1
2022-01-15,23.4,17.3,0.1,22.3
2022-01-16,24.9,16.4,0.0,23.2
2022-01-17,24.7,16.6,0.0,27.7
2022-01-18,24.4,18.7,0.0,21.5
2022-01-19,24.9,17.3,1.1,18.9
2022-01-20,23.1,18.5,1.2,24.2
2022-01-21,22.1,17.4,0.0,27.7
2022-01-22,23.2,15.4,0.2,18.7
2022-01-23,22.3,16.4,0.4,17.1
2022-01-24,20.3,19.2,12.0,26.7
2022-01-25,24.3,19.3,5.2,32.8
2022-01-26,25.0,19.5,17.7,22.0
2022-01-27,22.6,19.1,0.1,36.4
2022-01-28,22.7,18.0,0.4,29.5
2022-01-29,22.7,18.3,0.0,17.6
2022-01-30,23.5,16.7,0.0,10.1
2022-01-31,24.3,17.2,0.0,32.4
2022-02-01,23.8,20.9,0.3,35.2
2022-02-02,24.0,20.9,0.7,36.9
2022-02-03,23.9,20.9,0.6,32.7
2022-02-04,24.2,20.5,1.5,32.8
2022-02-05,23.7,21.4,2.0,37.0
2022-02-06,24.3,21.7,29.0,35.8
2022-02-07,23.0,20.3,34.9,39.0
2022-02-08,25.6,22.0,3.6,29.6
2022-02-09,24.5,22.0,1.3,30.0
2022-02-10,24.3,22.0,2.1,25.8
2022-02-11,24.6,22.2,7.7,27.4
2022-02-12,25.6,23.2,1.1,44.4
2022-02-13,24.7,17.1,0.6,56.6
2022-02-14,22.2,16.2,0.3,24.4
2022-02-15,21.3,15.0,0.0,16.8
2022-02-16,21.6,17.3,0.1,21.8
2022-02-17,21.6,15.2,0.5,14.8
2022-02-18,23.1,17.2,0.1,17.7
2022-02-19,22.5,19.5,1.2,17.6
2022-02-20,23.3,18.4,0.8,13.4
2022-02-21,23.4,18.1,0.6,14.9
2022-02-22,24.2,19.6,1.0,17.4
2022-02-23,26.4,18.5,0.2,15.6
2022-02-24,25.0,17.8,0.4,16.3
2022-02-25,24.5,17.7,0.7,20.3
