Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,33.6,19.8,0.0,18.9
2022-01-02,33.0,19.4,0.0,17.7
2022-01-03,32.6,19.1,0.0,17.4
2022-01-04,32.3,18.1,0.0,15.7
2022-01-05,32.5,17.9,0.0,15.6
2022-01-06,32.2,17.5,0.0,13.7
2022-01-07,32.1,17.3,0.0,14.3
2022-01-08,32.5,17.9,0.0,16.9
2022-01-09,32.2,18.0,0.0,18.0
2022-01-10,31.0,16.8,0.0,13.0
2022-01-11,31.6,16.9,0.0,11.9
2022-01-12,34.3,19.8,0.0,12.0
2022-01-13,35.3,21.5,0.0,13.2
2022-01-14,35.0,22.3,0.0,20.0
2022-01-15,32.8,21.7,0.0,17.6
2022-01-16,32.8,20.7,0.0,19.0
2022-01-17,31.9,20.1,0.0,15.9
2022-01-18,32.3,18.6,0.0,18.1
2022-01-19,32.0,18.0,0.0,18.2
2022-01-20,32.6,17.8,0.0,16.8
2022-01-21,32.3,18.4,0.0,16.1
2022-01-22,32.3,18.3,0.0,17.2
2022-01-23,31.7,18.3,0.0,19.2
2022-01-24,32.2,18.1,0.0,18.7
2022-01-25,32.4,18.9,0.0,19.0
2022-01-26,32.0,17.7,0.0,13.8
2022-01-27,33.7,17.8,0.0,10.8
2022-01-28,35.7,19.3,0.0,13.0
2022-01-29,35.6,19.7,0.0,15.1
2022-01-30,35.2,21.4,0.0,19.1
2022-01-31,35.3,20.7,0.0,22.3
2022-02-01,33.6,20.3,0.0,20.2
2022-02-02,32.9,18.7,0.0,19.2
2022-02-03,32.4,18.3,0.0,15.9
2022-02-04,34.0,18.3,0.0,16.2
2022-02-05,34.2,18.6,0.0,14.6
2022-02-06,34.4,18.4,0.0,12.3
2022-02-07,34.8,18.6,0.0,13.7
2022-02-08,35.0,19.0,0.0,15.6
2022-02-09,35.5,20.4,0.0,16.9
2022-02-10,35.3,20.9,0.0,20.6
2022-02-11,34.2,19.9,0.0,19.1
2022-02-12,33.8,18.3,0.0,16.7
2022-02-13,33.8,18.3,0.0,16.9
2022-02-14,34.0,19.0,0.0,16.8
2022-02-15,34.5,19.1,0.0,15.0
2022-02-16,34.9,19.2,0.0,15.3
2022-02-17,35.7,20.0,0.0,15.0
2022-02-18,37.1,20.0,0.0,13.2
2022-02-19,36.6,21.1,0.0,15.3
2022-02-20,38.7,21.7,0.0,17.4
2022-02-21,38.7,23.0,0.0,13.4
2022-02-22,37.9,22.5,0.0,15.2
2022-02-23,38.0,21.1,0.0,16.4
2022-02-24,38.5,21.3,0.0,13.8
2022-02-25,39.1,22.3,0.0,12.5
2022-02-26,39.3,22.6,0.0,10.1
2022-02-27,38.5,25.0,0.0,14.3
2022-02-28,38.0,26.6,0.0,18.4
2022-03-01,36.2,25.8,0.0,18.6
2022-03-02,36.4,23.7,0.0,14.0
2022-03-03,36.5,24.4,0.0,16.2
2022-03-04,34.8,24.3,0.0,16.6
2022-03-05,35.3,22.5,0.0,13.9
2022-03-06,36.5,22.1,0.0,12.3
2022-03-07,36.4,22.5,0.0,17.2
2022-03-08,34.2,23.4,0.0,16.3
2022-03-09,37.0,22.0,0.0,15.6
2022-03-10,38.3,23.1,0.0,14.1
2022-03-11,38.4,24.3,0.0,20.0
2022-03-12,38.0,24.5,0.0,19.5
2022-03-13,38.4,24.2,0.0,14.9
2022-03-14,38.8,24.0,0.0,11.4
2022-03-15,38.3,23.5,0.0,18.4
2022-03-16,37.4,27.1,0.0,12.3
2022-03-17,36.9,25.6,0.0,10.5
2022-03-18,37.5,25.0,0.0,13.6
2022-03-19,38.7,25.4,0.0,10.0
2022-03-20,39.1,27.7,0.0,16.5
2022-03-21,37.6,26.4,0.2,19.3
2022-03-22,38.1,24.7,0.0,13.9
2022-03-23,40.2,25.6,0.0,17.6
2022-03-24,36.8,27.9,0.1,15.1
2022-03-25,37.5,25.9,0.1,21.2
2022-03-26,38.3,27.2,0.0,14.5
2022-03-27,38.3,25.4,0.1,26.4
2022-03-28,40.2,27.2,0.0,16.1
2022-03-29,40.7,25.1,0.0,13.4
2022-03-30,40.9,25.1,0.0,14.8
2022-03-31,40.1,25.6,0.0,16.1
2022-04-01,39.9,27.9,0.0,13.0
2022-04-02,39.3,25.7,0.0,12.1
2022-04-03,38.7,26.2,0.0,18.6
2022-04-04,40.3,27.4,0.0,18.7
2022-04-05,40.1,28.9,0.0,14.5
2022-04-06,38.1,29.5,0.1,13.7
2022-04-07,40.9,27.8,0.0,16.6
2022-04-08,40.9,26.9,0.0,17.1
2022-04-09,41.9,27.4,0.0,18.8
2022-04-10,41.2,26.6,0.0,13.1
2022-04-11,40.1,28.3,0.0,19.2
2022-04-12,39.0,27.9,0.0,19.9
2022-04-13,39.5,27.4,0.0,14.5
2022-04-14,39.9,27.3,0.0,21.8
2022-04-15,39.0,27.9,1.0,30.3
2022-04-16,39.4,24.9,0.1,24.7
2022-04-17,37.5,25.0,0.0,14.5
2022-04-18,38.4,26.4,0.0,15.5
2022-04-19,39.2,26.3,0.0,14.9
2022-04-20,39.6,24.4,0.0,13.8
2022-04-21,41.2,27.3,0.0,18.3
2022-04-22,38.8,25.2,0.0,14.1
2022-04-23,39.8,28.4,0.0,16.5
2022-04-24,40.1,27.0,0.0,20.9
2022-04-25,40.5,26.8,0.0,20.2
2022-04-26,40.0,26.6,0.0,12.9
2022-04-27,38.1,25.6,0.0,12.4
2022-04-28,37.2,26.6,0.4,18.1
2022-04-29,39.0,24.2,0.0,12.9
2022-04-30,38.0,28.8,0.0,15.6
2022-05-01,37.9,24.5,1.4,23.0
2022-05-02,37.5,26.1,0.1,13.1
2022-05-03,37.3,24.7,0.8,19.6
2022-05-04,38.4,27.2,0.0,10.9
2022-05-05,40.9,28.1,0.0,18.1
2022-05-06,40.9,28.2,0.0,15.3
2022-05-07,38.9,28.2,0.6,24.5
2022-05-08,38.4,26.3,0.0,18.1
2022-05-09,36.9,24.8,0.0,20.9
2022-05-10,40.2,24.6,0.0,11.0
2022-05-11,39.0,26.3,0.0,13.6
2022-05-12,39.6,27.4,0.0,18.0
2022-05-13,41.4,27.0,0.0,21.6
2022-05-14,41.1,26.1,0.0,21.7
2022-05-15,40.2,25.6,0.0,18.7
2022-05-16,39.7,25.8,0.0,11.3
2022-05-17,39.6,30.9,0.0,15.5
2022-05-18,40.7,27.9,0.0,14.5
2022-05-19,40.3,27.0,0.0,14.6
2022-05-20,38.5,28.7,0.0,16.3
2022-05-21,37.2,24.5,1.6,25.4
2022-05-22,34.4,24.2,2.1,13.8
2022-05-23,35.4,25.3,10.4,17.8
2022-05-24,31.6,25.6,0.0,15.2
2022-05-25,32.2,24.3,2.2,14.4
2022-05-26,32.3,24.2,0.7,12.5
2022-05-27,31.6,23.0,19.1,17.9
2022-05-28,35.8,24.7,0.0,15.4
2022-05-29,39.2,25.8,0.0,14.1
2022-05-30,37.0,26.0,0.2,17.7
2022-05-31,36.3,24.9,0.0,14.6
2022-06-01,38.4,25.8,0.0,15.8
2022-06-02,38.9,27.2,0.0,14.6
2022-06-03,39.0,27.4,0.0,13.8
2022-06-04,38.1,27.9,0.0,15.8
2022-06-05,39.1,25.8,0.0,20.8
2022-06-06,36.3,26.5,0.9,18.4
2022-06-07,32.5,26.2,0.0,15.8
2022-06-08,36.1,25.6,1.3,23.1
2022-06-09,36.6,25.6,1.8,14.2
2022-06-10,39.4,26.0,0.0,13.0
2022-06-11,38.4,25.5,0.0,21.3
2022-06-12,34.6,25.0,0.0,19.1
2022-06-13,31.5,24.1,7.0,20.2
2022-06-14,33.5,24.4,12.7,11.7
2022-06-15,32.6,24.2,0.0,21.5
2022-06-16,33.8,25.1,1.4,16.9
2022-06-17,31.6,23.5,0.6,15.8
2022-06-18,30.4,22.8,1.6,18.4
2022-06-19,32.4,24.2,3.1,11.7
2022-06-20,32.6,22.8,0.5,13.7
2022-06-21,30.0,24.0,0.5,13.4
2022-06-22,31.9,23.0,13.2,21.0
2022-06-23,30.7,22.8,0.0,9.8
2022-06-24,32.2,23.7,0.0,12.7
2022-06-25,28.1,23.3,12.0,18.0
2022-06-26,32.6,22.0,0.0,10.3
2022-06-27,33.7,24.0,10.0,11.9
2022-06-28,28.8,22.8,3.0,15.0
2022-06-29,33.2,23.5,0.0,22.9
2022-06-30,32.3,23.7,17.3,20.0
2022-07-01,30.8,21.8,20.1,20.2
2022-07-02,29.5,23.5,5.3,12.3
2022-07-03,29.3,22.7,11.6,10.9
2022-07-04,28.7,22.7,12.4,17.2
2022-07-05,30.9,22.9,2.0,16.5
2022-07-06,30.9,23.1,0.3,11.7
2022-07-07,30.9,22.7,2.3,17.6
2022-07-08,31.4,24.7,0.0,13.4
2022-07-09,30.2,23.6,0.1,16.3
2022-07-10,31.6,23.5,0.1,12.5
2022-07-11,30.2,23.6,2.9,13.0
2022-07-12,31.2,23.2,0.3,13.0
2022-07-13,31.9,24.5,0.1,10.8
2022-07-14,32.2,23.6,3.7,10.4
2022-07-15,31.0,23.4,27.9,17.9
2022-07-16,30.0,23.3,8.7,16.2
2022-07-17,26.0,22.4,17.5,15.8
2022-07-18,29.2,23.0,2.1,14.6
2022-07-19,30.5,22.8,2.0,17.6
2022-07-20,27.4,21.9,28.3,12.0
2022-07-21,26.8,22.2,46.5,20.2
2022-07-22,29.5,22.3,0.3,9.8
2022-07-23,30.4,22.8,15.4,13.0
2022-07-24,28.1,22.4,14.6,8.9
2022-07-25,28.9,21.3,2.1,15.4
2022-07-26,31.6,22.8,5.0,12.4
