Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,30.0,20.4,0.0,10.4
2022-01-02,30.7,20.7,0.0,13.5
2022-01-03,31.4,21.4,0.0,12.0
2022-01-04,31.3,21.7,0.0,10.5
2022-01-05,32.3,21.4,0.0,8.9
2022-01-06,32.3,21.4,0.0,9.8
2022-01-07,32.9,21.7,0.0,12.5
2022-01-08,32.9,22.4,0.0,10.2
2022-01-09,33.1,21.3,0.0,12.5
2022-01-10,32.9,21.1,0.0,9.0
2022-01-11,33.9,21.7,0.0,12.8
2022-01-12,33.3,23.5,0.1,12.0
2022-01-13,33.1,22.8,0.0,12.5
2022-01-14,32.8,23.1,0.0,12.1
2022-01-15,32.8,22.0,0.0,10.8
2022-01-16,32.8,22.4,0.0,13.7
2022-01-17,32.8,22.0,0.1,9.2
2022-01-18,33.0,22.8,0.0,14.1
2022-01-19,32.3,22.3,0.0,17.5
2022-01-20,32.6,22.3,0.0,15.0
2022-01-21,28.6,22.3,31.9,15.7
2022-01-22,28.4,22.6,1.2,16.3
2022-01-23,31.2,22.1,0.2,13.3
2022-01-24,31.5,22.2,0.1,11.0
2022-01-25,32.2,21.1,0.0,11.2
2022-01-26,31.8,21.9,0.1,10.5
2022-01-27,32.7,24.0,1.1,10.7
2022-01-28,32.4,24.2,0.3,11.9
2022-01-29,34.6,24.8,0.0,16.5
2022-01-30,34.5,23.6,0.0,15.7
2022-01-31,32.6,24.1,0.2,17.1
2022-02-01,31.9,25.4,0.3,19.5
2022-02-02,30.9,23.9,2.7,17.2
2022-02-03,31.9,24.4,0.2,12.8
2022-02-04,32.5,23.0,1.6,15.8
2022-02-05,32.5,23.5,0.8,15.5
2022-02-06,33.0,22.9,0.0,12.9
2022-02-07,33.9,23.5,0.0,13.4
2022-02-08,34.4,24.5,0.0,13.7
2022-02-09,32.9,25.3,1.3,12.8
2022-02-10,33.0,23.5,8.4,18.7
2022-02-11,32.1,25.1,12.1,12.0
2022-02-12,29.8,24.1,4.3,10.0
2022-02-13,31.3,24.5,1.0,11.2
2022-02-14,30.7,23.3,3.9,12.9
2022-02-15,28.0,24.1,11.8,13.7
2022-02-16,28.5,23.2,17.2,13.8
2022-02-17,28.4,23.5,7.0,16.2
2022-02-18,29.4,23.7,7.9,14.5
2022-02-19,30.0,23.5,15.9,21.0
2022-02-20,30.7,24.9,2.0,19.2
2022-02-21,28.7,23.5,2.0,16.6
2022-02-22,28.9,21.0,0.0,13.7
2022-02-23,29.9,22.0,0.0,10.6
2022-02-24,29.0,20.4,0.0,13.6
2022-02-25,29.9,20.0,0.0,12.6
2022-02-26,30.7,20.1,0.0,12.8
2022-02-27,32.5,20.6,0.0,15.9
2022-02-28,33.8,21.9,0.0,8.5
2022-03-01,32.7,24.9,0.7,11.3
2022-03-02,31.8,25.4,1.9,11.3
2022-03-03,32.8,25.4,0.4,13.4
2022-03-04,33.8,24.9,0.0,15.0
2022-03-05,33.7,26.4,0.2,14.8
2022-03-06,33.3,26.7,0.0,18.9
2022-03-07,32.6,24.5,20.4,17.8
2022-03-08,30.2,24.1,4.8,14.1
2022-03-09,32.1,23.5,0.0,10.0
2022-03-10,31.6,25.1,0.8,13.1
2022-03-11,31.8,25.7,1.1,12.8
2022-03-12,33.2,26.1,0.2,11.2
2022-03-13,32.9,26.1,0.1,13.4
2022-03-14,32.9,26.8,0.0,21.2
2022-03-15,34.2,25.9,0.0,19.8
2022-03-16,32.6,26.9,1.3,18.8
2022-03-17,33.5,26.5,0.0,18.3
2022-03-18,32.7,25.3,13.4,16.4
2022-03-19,32.6,24.1,0.0,12.7
2022-03-20,31.9,24.9,5.0,15.6
2022-03-21,30.3,25.0,9.4,21.7
2022-03-22,30.3,24.8,8.7,21.7
2022-03-23,29.4,25.0,4.0,14.4
2022-03-24,30.5,25.9,4.2,13.2
2022-03-25,30.8,25.0,6.5,12.5
2022-03-26,32.2,26.2,0.0,13.1
2022-03-27,33.3,26.5,0.9,15.1
2022-03-28,32.5,25.5,2.9,16.9
2022-03-29,31.3,24.6,6.5,10.8
2022-03-30,31.8,24.5,7.1,11.1
2022-03-31,32.9,25.3,11.4,13.7
2022-04-01,32.4,24.4,0.2,16.9
2022-04-02,27.7,22.2,0.0,20.2
2022-04-03,25.2,19.6,0.6,17.8
2022-04-04,30.9,21.1,0.0,13.8
2022-04-05,32.1,21.7,0.0,10.7
2022-04-06,34.7,23.7,0.0,13.2
2022-04-07,34.6,25.1,0.0,17.2
2022-04-08,34.2,24.1,0.0,15.0
2022-04-09,35.4,23.9,0.0,13.2
2022-04-10,34.9,25.0,0.0,12.3
2022-04-11,33.8,25.8,1.9,15.1
2022-04-12,34.5,27.5,0.9,15.1
2022-04-13,35.8,27.2,0.5,18.2
2022-04-14,37.5,26.9,0.0,13.1
2022-04-15,37.2,26.4,0.0,14.7
2022-04-16,37.0,26.9,0.0,18.0
2022-04-17,33.0,28.0,2.7,16.2
2022-04-18,30.6,24.9,32.8,9.8
2022-04-19,30.1,24.6,12.2,11.9
2022-04-20,32.0,24.6,5.5,8.6
2022-04-21,31.1,25.7,4.0,13.8
2022-04-22,31.5,26.3,11.3,16.0
2022-04-23,32.7,26.6,0.5,16.6
2022-04-24,33.7,26.7,0.3,16.6
2022-04-25,32.6,27.2,0.3,18.9
2022-04-26,33.1,28.0,1.1,17.7
2022-04-27,35.7,27.0,0.0,14.5
2022-04-28,35.2,27.3,5.0,19.1
2022-04-29,33.1,24.7,2.3,11.1
2022-04-30,32.5,25.9,3.0,10.7
2022-05-01,32.1,25.2,4.9,12.3
2022-05-02,29.3,23.6,44.7,19.0
2022-05-03,26.7,22.0,0.0,11.5
2022-05-04,27.7,21.2,0.0,11.1
2022-05-05,31.5,23.0,0.0,9.9
2022-05-06,32.4,24.7,14.8,16.3
