Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,17.6,6.1,0.0,11.8
2022-01-02,14.7,4.5,0.0,8.5
2022-01-03,16.0,5.3,0.0,12.8
2022-01-04,19.7,9.2,0.0,13.1
2022-01-05,14.1,6.6,5.3,21.4
2022-01-06,11.3,2.1,0.0,16.9
2022-01-07,11.3,0.9,0.0,13.6
2022-01-08,12.9,3.8,0.0,21.3
2022-01-09,14.2,8.3,0.0,25.3
2022-01-10,10.8,7.5,3.7,10.4
2022-01-11,15.1,5.7,0.9,9.5
2022-01-12,11.9,4.9,0.5,11.4
2022-01-13,12.3,1.4,0.0,10.2
2022-01-14,12.4,0.3,0.0,10.1
2022-01-15,12.6,0.5,0.0,16.7
2022-01-16,13.2,-0.2,0.0,14.7
2022-01-17,14.0,0.6,0.0,16.8
2022-01-18,12.1,1.4,0.0,16.2
2022-01-19,12.0,0.7,0.0,11.5
2022-01-20,13.5,1.7,0.0,14.4
2022-01-21,11.8,2.7,2.3,13.4
2022-01-22,11.4,1.3,0.2,13.6
2022-01-23,11.9,0.5,0.0,10.0
2022-01-24,13.1,0.8,0.0,12.3
2022-01-25,13.3,0.7,0.0,11.2
2022-01-26,14.6,1.0,0.0,12.4
2022-01-27,14.1,1.4,0.0,15.2
2022-01-28,18.2,2.2,0.0,20.8
2022-01-29,17.0,3.5,0.0,18.6
2022-01-30,18.4,2.5,0.0,16.1
2022-01-31,14.9,5.0,0.0,15.6
2022-02-01,16.3,6.5,0.9,11.1
2022-02-02,17.4,6.7,0.0,23.1
2022-02-03,17.9,4.2,0.0,12.2
2022-02-04,15.2,3.6,0.1,14.1
2022-02-05,13.9,7.7,0.8,9.4
2022-02-06,15.0,6.1,0.0,14.0
2022-02-07,17.7,4.9,0.0,16.1
2022-02-08,15.4,4.5,0.0,15.3
2022-02-09,14.8,3.4,0.0,14.8
2022-02-10,14.8,2.3,0.0,13.5
2022-02-11,15.9,4.3,0.0,10.4
2022-02-12,11.7,6.1,1.7,13.1
2022-02-13,14.6,8.5,1.1,24.4
