Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,6.4,-6.3,0.0,31.1
2022-01-02,0.9,-7.0,0.0,17.1
2022-01-03,4.5,-6.6,0.0,10.5
2022-01-04,1.9,-6.6,0.0,12.3
2022-01-05,2.3,-5.9,0.0,10.3
2022-01-06,3.5,-6.6,0.0,13.4
2022-01-07,4.1,-5.8,0.0,12.3
2022-01-08,7.6,-6.5,0.0,13.4
2022-01-09,0.8,-5.1,0.0,11.9
2022-01-10,1.6,-6.0,0.0,24.7
2022-01-11,-0.8,-8.1,0.0,11.2
2022-01-12,2.2,-7.3,0.0,23.7
2022-01-13,2.4,-6.2,0.0,15.8
2022-01-14,1.4,-7.3,0.0,11.1
2022-01-15,2.5,-6.1,0.0,32.5
2022-01-16,-0.9,-7.6,0.0,16.9
2022-01-17,3.4,-6.6,0.0,16.3
2022-01-18,2.7,-7.2,0.0,9.1
2022-01-19,-0.4,-5.6,0.0,15.5
2022-01-20,-1.8,-5.6,0.2,14.8
2022-01-21,-0.9,-6.3,0.2,10.5
2022-01-22,-0.4,-5.3,1.6,9.0
2022-01-23,0.7,-5.0,0.0,8.4
2022-01-24,1.8,-5.1,0.0,11.2
2022-01-25,5.2,-5.4,0.0,21.2
2022-01-26,1.3,-4.6,0.0,19.1
2022-01-27,1.9,-6.2,0.0,20.0
2022-01-28,1.7,-7.2,0.0,13.8
2022-01-29,2.9,-6.8,0.0,11.4
2022-01-30,4.5,-7.4,0.9,18.9
2022-01-31,1.0,-6.1,0.0,28.5
2022-02-01,0.5,-7.5,0.0,18.6
2022-02-02,2.5,-8.4,0.0,15.6
2022-02-03,2.8,-6.1,0.0,23.3
2022-02-04,0.6,-7.5,0.0,19.9
2022-02-05,4.8,-7.3,0.0,19.4
2022-02-06,6.1,-5.1,0.0,16.8
2022-02-07,3.8,-4.8,0.0,15.7
2022-02-08,6.7,-5.1,0.0,12.2
2022-02-09,6.8,-5.5,0.0,12.4
2022-02-10,8.4,-5.5,0.0,17.3
2022-02-11,7.2,-3.3,0.0,17.4
2022-02-12,1.0,-4.5,0.0,9.5
2022-02-13,-3.7,-5.7,3.1,11.3
2022-02-14,-0.9,-8.7,0.0,23.8
2022-02-15,-2.9,-11.7,0.0,15.3
2022-02-16,-2.0,-11.8,0.0,11.9
2022-02-17,-0.6,-9.9,0.0,17.9
2022-02-18,4.6,-6.1,0.0,25.8
2022-02-19,0.8,-7.9,0.0,26.0
2022-02-20,5.2,-8.1,0.0,20.2
2022-02-21,4.2,-7.5,0.0,20.5
2022-02-22,3.9,-7.3,0.0,14.4
2022-02-23,5.5,-7.1,0.0,11.6
2022-02-24,8.9,-5.6,0.0,12.6
2022-02-25,11.5,-3.9,0.0,14.3
2022-02-26,10.8,-1.2,0.0,25.5
2022-02-27,13.7,-2.9,0.0,13.8
2022-02-28,12.1,-0.8,0.0,39.4
2022-03-01,10.5,-2.3,0.0,26.1
2022-03-02,15.6,-3.9,0.0,15.5
2022-03-03,10.6,-2.7,0.0,12.9
2022-03-04,9.9,-3.3,0.0,41.2
2022-03-05,9.8,-3.8,0.0,19.3
2022-03-06,11.5,-5.3,0.0,18.7
2022-03-07,15.6,-2.8,0.0,12.7
2022-03-08,15.5,-1.9,0.0,11.9
2022-03-09,17.5,1.1,0.0,12.3
2022-03-10,20.0,2.5,0.0,10.0
2022-03-11,14.0,4.5,0.0,17.0
2022-03-12,14.5,4.6,2.1,12.9
2022-03-13,12.7,2.9,0.5,17.8
2022-03-14,18.5,1.6,1.1,17.6
2022-03-15,17.8,1.7,0.0,16.9
2022-03-16,14.1,4.9,0.0,19.0
2022-03-17,4.3,-1.1,1.1,13.4
2022-03-18,3.2,-3.5,2.6,13.9
2022-03-19,7.1,-2.7,0.0,17.6
2022-03-20,11.1,-1.9,0.0,18.1
2022-03-21,13.1,0.6,0.0,17.8
2022-03-22,10.3,-2.4,0.2,20.4
2022-03-23,10.3,-3.1,2.1,9.8
2022-03-24,13.3,0.2,0.3,13.2
2022-03-25,16.4,4.1,0.0,23.4
2022-03-26,20.3,-0.4,0.0,39.0
2022-03-27,15.1,-0.2,0.0,22.9
2022-03-28,17.2,3.1,0.0,25.8
2022-03-29,13.0,7.1,2.5,17.2
2022-03-30,10.7,3.2,2.6,13.4
2022-03-31,13.8,-0.1,0.0,35.7
2022-04-01,14.9,-0.6,0.2,17.7
2022-04-02,18.2,2.8,0.0,17.3
2022-04-03,21.3,2.1,0.0,30.3
2022-04-04,22.3,4.7,0.0,19.7
2022-04-05,24.4,8.3,0.0,26.9
2022-04-06,14.4,5.3,0.1,20.5
2022-04-07,24.4,1.1,0.0,18.7
2022-04-08,25.3,5.8,0.0,13.2
2022-04-09,26.5,11.4,0.0,17.3
2022-04-10,27.7,9.9,0.0,11.9
2022-04-11,27.2,13.5,0.5,32.6
2022-04-12,20.4,12.3,0.0,25.6
2022-04-13,19.3,8.0,0.0,25.2
2022-04-14,20.0,5.6,0.0,29.4
2022-04-15,20.6,6.8,0.0,23.6
2022-04-16,24.5,4.5,0.0,25.2
2022-04-17,20.0,7.3,0.0,14.5
2022-04-18,23.1,10.8,0.0,17.3
2022-04-19,27.4,8.2,0.0,28.6
2022-04-20,29.1,10.9,0.0,33.3
2022-04-21,28.5,14.7,0.0,31.6
2022-04-22,22.5,10.8,0.0,29.2
2022-04-23,28.7,10.9,0.0,28.3
2022-04-24,27.9,14.0,0.0,18.7
2022-04-25,28.9,13.6,0.1,18.2
2022-04-26,22.5,14.5,0.0,37.6
2022-04-27,14.7,9.5,1.3,14.4
2022-04-28,16.2,8.1,6.4,14.7
2022-04-29,20.3,5.4,0.0,28.0
2022-04-30,22.6,10.8,0.0,27.1
2022-05-01,25.5,8.2,0.0,29.6
2022-05-02,26.5,10.1,0.0,20.6
2022-05-03,32.8,10.9,0.0,33.2
2022-05-04,34.0,14.8,0.0,33.0
2022-05-05,30.2,18.0,0.0,22.5
2022-05-06,21.5,9.7,10.0,27.4
2022-05-07,18.7,8.3,1.3,26.6
2022-05-08,15.3,9.0,3.3,11.0
2022-05-09,19.7,7.3,0.0,17.6
2022-05-10,19.6,7.2,2.7,17.7
2022-05-11,22.4,8.7,0.0,22.4
2022-05-12,20.1,12.4,1.1,24.8
2022-05-13,23.7,9.2,0.0,23.9
2022-05-14,24.0,8.1,0.0,21.7
2022-05-15,26.3,8.4,0.0,17.6
2022-05-16,29.3,9.8,0.0,23.4
2022-05-17,29.9,12.0,0.0,20.4
2022-05-18,30.0,16.1,0.0,16.6
2022-05-19,30.6,15.4,0.0,15.3
2022-05-20,31.3,16.6,0.0,19.9
2022-05-21,34.3,17.3,0.0,20.9
2022-05-22,34.0,17.9,0.2,16.3
2022-05-23,32.4,18.5,0.0,22.7
2022-05-24,32.5,18.3,0.0,25.5
2022-05-25,29.8,18.2,0.0,24.2
2022-05-26,32.7,14.1,0.0,25.3
2022-05-27,34.6,15.7,0.0,31.4
2022-05-28,35.9,19.8,0.0,31.9
2022-05-29,28.2,21.3,0.3,35.4
2022-05-30,30.7,14.8,0.0,28.2
2022-05-31,31.1,14.8,0.0,14.1
2022-06-01,33.6,15.6,0.0,21.4
2022-06-02,35.6,18.0,0.0,23.8
2022-06-03,36.4,19.4,0.6,21.2
2022-06-04,32.2,22.2,6.7,18.4
2022-06-05,34.1,18.3,0.1,41.4
2022-06-06,28.1,20.0,0.0,29.1
2022-06-07,26.7,15.5,0.9,22.7
2022-06-08,25.8,17.0,0.0,22.1
2022-06-09,28.0,14.9,0.0,20.1
2022-06-10,29.4,17.8,0.2,13.8
2022-06-11,23.5,18.8,30.3,21.7
2022-06-12,27.5,18.5,4.4,18.2
