Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,25.5,19.0,10.9,17.8
2022-01-02,25.8,19.2,18.2,17.0
2022-01-03,25.0,18.7,14.8,18.3
2022-01-04,25.1,19.0,5.0,17.1
2022-01-05,25.9,19.2,10.8,22.3
2022-01-06,23.6,19.7,26.3,15.5
2022-01-07,21.6,19.5,54.6,16.7
2022-01-08,23.5,19.0,74.9,18.0
2022-01-09,22.0,18.4,87.8,15.9
2022-01-10,25.1,18.8,34.5,21.9
2022-01-11,25.1,18.9,30.0,23.4
2022-01-12,27.1,18.5,2.5,13.6
2022-01-13,28.0,18.5,1.9,12.0
2022-01-14,28.9,19.9,0.0,17.0
2022-01-15,27.8,18.5,0.0,12.3
2022-01-16,26.3,19.9,9.8,12.0
2022-01-17,27.4,18.7,3.5,13.2
2022-01-18,27.5,18.9,0.4,13.3
2022-01-19,28.4,19.3,0.1,16.3
2022-01-20,28.0,19.6,1.5,15.0
2022-01-21,27.3,19.4,0.7,10.9
2022-01-22,28.7,18.5,0.1,15.6
2022-01-23,28.3,18.1,0.0,15.8
2022-01-24,28.7,18.1,0.0,16.7
2022-01-25,27.9,18.1,0.1,15.2
2022-01-26,27.9,18.1,0.3,14.6
2022-01-27,28.5,18.3,0.4,13.5
2022-01-28,28.6,19.8,1.7,13.5
2022-01-29,28.0,18.5,12.7,17.3
2022-01-30,27.5,18.7,7.7,18.3
2022-01-31,24.7,19.3,30.2,21.0
2022-02-01,26.2,19.2,16.9,13.5
2022-02-02,25.2,19.3,21.1,11.8
2022-02-03,27.5,18.6,9.5,13.8
2022-02-04,27.2,19.6,3.7,11.2
2022-02-05,24.7,19.9,15.1,11.2
2022-02-06,24.7,19.8,31.4,11.7
2022-02-07,24.0,19.4,32.8,16.7
2022-02-08,25.7,19.3,12.2,15.7
2022-02-09,22.3,19.1,35.7,13.6
2022-02-10,24.4,18.7,36.1,12.8
2022-02-11,24.8,19.1,9.2,13.0
2022-02-12,23.7,19.0,17.3,13.7
2022-02-13,25.9,17.9,4.7,11.6
2022-02-14,27.2,18.7,2.8,16.4
2022-02-15,25.7,18.8,12.1,12.7
2022-02-16,26.6,18.8,4.2,16.7
2022-02-17,25.9,18.1,8.2,13.8
2022-02-18,23.9,18.2,17.7,11.0
2022-02-19,25.8,18.2,19.5,15.3
2022-02-20,25.5,18.6,29.4,10.0
2022-02-21,26.1,18.4,2.2,9.7
2022-02-22,27.3,18.8,7.1,12.4
2022-02-23,27.8,18.5,0.2,11.2
2022-02-24,27.4,19.4,2.7,11.0
2022-02-25,27.9,19.2,0.3,18.0
2022-02-26,28.4,19.1,0.2,16.7
2022-02-27,27.2,18.2,0.6,16.9
2022-02-28,27.2,17.7,0.0,16.9
2022-03-01,27.1,17.1,0.1,15.1
2022-03-02,28.2,18.3,0.0,12.1
2022-03-03,28.1,18.0,0.0,12.6
2022-03-04,28.1,18.7,0.8,13.4
2022-03-05,27.5,18.6,0.4,15.0
2022-03-06,28.5,17.6,0.0,14.8
2022-03-07,28.3,17.9,0.1,14.4
