Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,12.1,9.2,0.6,23.4
2022-01-02,11.7,7.7,2.3,29.2
2022-01-03,10.1,6.4,2.9,36.4
2022-01-04,7.3,5.2,2.3,16.2
2022-01-05,4.7,2.5,0.7,29.5
2022-01-06,3.7,-2.9,0.2,23.2
2022-01-07,2.6,-1.9,0.6,20.7
2022-01-08,2.8,-1.0,0.8,17.7
2022-01-09,2.3,-1.6,0.3,21.0
2022-01-10,4.3,-0.4,0.5,12.8
2022-01-11,-0.5,-4.8,0.0,12.5
2022-01-12,2.2,-2.5,0.0,16.3
2022-01-13,5.5,2.0,0.0,23.1
2022-01-14,6.9,1.7,0.1,32.5
2022-01-15,3.0,-1.2,0.0,10.9
2022-01-16,3.9,-1.6,0.3,23.6
2022-01-17,5.9,-0.8,2.1,36.0
2022-01-18,5.6,-1.3,0.0,17.4
2022-01-19,4.5,1.2,0.0,26.6
2022-01-20,4.6,-1.4,1.4,31.5
2022-01-21,1.9,-3.4,1.6,22.1
2022-01-22,3.8,1.0,1.6,19.5
2022-01-23,6.2,2.5,0.5,14.9
2022-01-24,5.6,4.4,0.0,11.6
2022-01-25,4.7,3.4,0.0,14.4
2022-01-26,4.1,2.1,0.5,22.7
2022-01-27,6.0,3.0,0.9,31.7
2022-01-28,6.3,1.7,0.1,36.6
2022-01-29,8.6,2.1,7.2,38.9
2022-01-30,7.1,2.5,0.2,44.4
2022-01-31,3.4,-1.4,0.8,21.6
2022-02-01,5.8,-1.4,5.5,31.3
2022-02-02,6.3,0.9,0.5,39.7
2022-02-03,6.3,0.1,2.7,16.8
2022-02-04,8.1,5.2,1.5,29.1
2022-02-05,6.1,2.2,2.0,34.4
2022-02-06,7.5,4.0,8.5,36.0
2022-02-07,6.0,1.6,1.8,32.4
2022-02-08,8.4,1.8,1.5,28.7
2022-02-09,9.4,6.8,0.9,24.5
2022-02-10,9.5,5.0,1.9,18.7
2022-02-11,5.4,0.9,0.7,18.6
2022-02-12,4.9,-3.3,0.0,16.8
2022-02-13,7.4,-1.1,0.0,18.4
2022-02-14,12.4,3.4,0.0,22.3
2022-02-15,8.8,4.4,0.1,23.5
2022-02-16,10.0,4.4,6.1,35.2
2022-02-17,11.9,5.1,7.6,49.7
2022-02-18,10.3,3.1,3.9,42.0
2022-02-19,7.5,3.3,0.7,46.8
2022-02-20,8.1,3.1,6.9,29.9
2022-02-21,9.0,2.5,6.0,42.7
2022-02-22,7.2,2.6,2.3,30.1
2022-02-23,9.0,2.7,1.6,32.7
2022-02-24,10.4,1.2,0.5,34.0
2022-02-25,6.4,1.2,3.1,32.8
2022-02-26,6.6,-0.2,0.1,19.8
2022-02-27,6.0,-2.8,0.0,12.9
2022-02-28,5.0,-2.8,0.0,12.8
2022-03-01,6.7,-3.3,0.0,14.7
2022-03-02,6.5,-3.6,0.0,8.9
2022-03-03,3.1,-5.0,0.0,13.0
2022-03-04,4.5,-2.5,0.0,15.8
2022-03-05,4.5,-3.4,0.1,11.7
2022-03-06,2.2,-4.5,0.0,13.5
2022-03-07,7.9,-2.6,0.0,17.7
2022-03-08,8.6,-3.7,0.0,8.7
2022-03-09,10.4,-3.3,0.0,10.1
2022-03-10,7.7,-1.9,0.0,22.1
2022-03-11,6.9,-2.8,0.0,27.2
2022-03-12,9.6,-1.4,0.0,21.3
2022-03-13,11.1,-1.1,0.0,21.5
2022-03-14,12.1,0.8,0.8,16.7
2022-03-15,11.9,3.6,0.7,15.2
2022-03-16,11.1,2.7,0.0,16.0
2022-03-17,12.3,3.0,0.2,18.7
2022-03-18,12.1,4.2,0.0,15.2
2022-03-19,9.7,0.7,0.2,24.3
2022-03-20,11.0,1.0,0.0,24.0
2022-03-21,12.7,0.6,0.0,19.7
2022-03-22,15.4,-0.4,0.0,12.5
2022-03-23,16.9,-0.4,0.0,13.4
2022-03-24,14.8,-1.8,0.0,12.2
2022-03-25,15.9,-0.7,0.0,13.6
2022-03-26,12.6,3.8,0.1,21.9
2022-03-27,14.6,0.3,0.0,9.8
2022-03-28,15.1,3.6,0.0,15.9
2022-03-29,11.8,4.3,0.0,21.4
2022-03-30,8.2,0.5,0.0,17.9
2022-03-31,6.5,-1.2,0.0,26.2
2022-04-01,7.1,0.7,0.5,28.4
