Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,13.4,10.9,0.4,28.8
2022-01-02,10.5,7.6,7.6,28.8
2022-01-03,9.4,5.6,0.0,30.4
2022-01-04,6.5,1.3,1.0,23.5
2022-01-05,5.1,-1.1,0.0,25.3
2022-01-06,6.4,-2.6,2.4,30.7
2022-01-07,4.7,0.9,0.1,22.8
2022-01-08,9.4,0.7,4.5,27.9
2022-01-09,6.4,1.1,0.0,25.1
2022-01-10,8.1,3.1,0.7,16.7
2022-01-11,8.6,1.0,1.5,15.0
2022-01-12,6.2,1.6,0.0,10.2
2022-01-13,4.7,1.0,0.0,10.2
2022-01-14,3.9,-0.8,0.0,8.7
2022-01-15,4.0,-2.1,0.0,16.1
2022-01-16,7.8,1.9,0.0,15.0
2022-01-17,7.2,0.1,0.0,16.1
2022-01-18,4.9,0.6,0.0,15.1
2022-01-19,8.3,2.7,0.5,27.4
2022-01-20,3.4,-1.1,0.0,18.1
2022-01-21,5.7,-1.6,0.0,20.5
2022-01-22,6.5,1.0,0.0,15.8
2022-01-23,4.4,1.3,0.0,10.4
2022-01-24,3.8,0.8,0.0,7.1
2022-01-25,3.7,0.7,0.0,13.5
2022-01-26,7.6,1.4,0.0,24.1
2022-01-27,10.4,3.9,0.0,27.8
2022-01-28,9.4,2.4,0.0,25.0
2022-01-29,11.7,5.9,0.0,38.6
2022-01-30,7.6,0.2,0.4,31.2
2022-01-31,6.4,4.1,0.2,34.4
2022-02-01,11.9,5.8,0.8,30.3
2022-02-02,10.0,7.1,0.7,19.8
2022-02-03,10.1,6.9,0.0,25.3
2022-02-04,8.9,1.7,5.9,28.8
2022-02-05,9.0,1.4,3.4,41.5
2022-02-06,8.4,4.3,6.0,36.4
2022-02-07,10.2,1.6,0.0,22.6
2022-02-08,12.0,7.7,0.0,30.2
2022-02-09,10.4,4.5,0.1,23.4
2022-02-10,6.4,2.7,0.0,23.8
2022-02-11,6.6,-0.4,0.0,16.6
2022-02-12,7.5,2.0,0.3,38.6
2022-02-13,8.9,6.5,13.9,32.4
2022-02-14,7.5,3.5,6.2,24.9
2022-02-15,8.2,1.7,4.5,30.9
2022-02-16,13.2,7.2,5.1,46.0
2022-02-17,8.7,5.1,0.7,32.8
2022-02-18,9.8,2.9,11.0,45.9
2022-02-19,8.3,1.5,3.3,35.5
2022-02-20,11.1,2.8,12.3,39.5
2022-02-21,9.1,2.2,0.1,44.7
2022-02-22,11.0,3.9,0.5,30.2
