Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,21.1,6.1,0.0,15.0
2022-01-02,22.1,7.0,0.5,9.1
2022-01-03,21.9,3.9,0.1,10.8
2022-01-04,20.3,6.8,1.4,13.1
2022-01-05,22.0,8.2,0.6,12.9
2022-01-06,19.8,8.1,0.2,17.6
2022-01-07,20.4,5.5,0.0,17.4
2022-01-08,21.5,5.1,2.6,14.8
2022-01-09,19.0,8.5,1.2,12.6
2022-01-10,19.2,8.6,2.0,14.0
2022-01-11,18.5,9.4,2.1,14.1
2022-01-12,18.8,10.0,1.6,13.1
2022-01-13,16.5,9.5,17.3,9.2
2022-01-14,18.7,7.1,0.7,7.2
2022-01-15,18.9,7.5,0.1,16.1
2022-01-16,19.5,7.1,0.8,13.5
2022-01-17,20.6,6.0,0.7,9.4
2022-01-18,19.6,6.5,0.2,15.2
2022-01-19,19.5,7.0,0.4,17.2
2022-01-20,18.5,8.4,0.0,17.4
2022-01-21,21.0,6.0,0.0,15.5
2022-01-22,21.9,7.2,0.0,9.4
2022-01-23,21.3,8.8,0.1,9.6
2022-01-24,21.1,10.3,0.9,13.5
2022-01-25,20.8,8.5,9.7,14.4
2022-01-26,21.5,9.0,0.8,10.1
2022-01-27,21.8,7.9,1.2,14.1
2022-01-28,20.9,9.2,1.4,13.8
2022-01-29,19.6,7.6,1.3,13.8
2022-01-30,20.5,7.0,0.1,11.6
2022-01-31,20.8,6.7,0.1,13.5
2022-02-01,21.4,7.9,0.0,11.7
2022-02-02,20.4,6.5,0.0,19.0
2022-02-03,21.2,4.3,0.3,14.1
2022-02-04,20.4,7.3,2.9,13.5
2022-02-05,17.5,9.7,5.3,12.7
2022-02-06,18.0,8.3,0.9,13.0
2022-02-07,18.8,8.8,1.4,9.2
2022-02-08,16.4,8.5,4.1,6.3
2022-02-09,18.0,6.9,10.0,9.8
2022-02-10,19.9,7.0,3.0,7.2
2022-02-11,21.2,7.6,4.3,13.1
2022-02-12,21.7,8.0,0.4,11.4
2022-02-13,20.2,7.3,0.1,11.0
2022-02-14,20.0,8.3,5.0,9.6
2022-02-15,19.1,10.6,0.9,10.3
2022-02-16,20.1,9.3,0.5,13.3
2022-02-17,21.5,5.9,0.1,13.2
2022-02-18,21.1,7.6,9.0,17.7
2022-02-19,18.4,8.8,7.1,10.8
2022-02-20,18.8,8.9,9.0,13.6
2022-02-21,19.1,8.7,10.7,9.5
2022-02-22,20.1,7.9,0.2,11.6
2022-02-23,21.2,6.9,6.4,12.6
2022-02-24,19.6,7.9,12.2,11.5
2022-02-25,20.3,8.5,6.6,12.6
2022-02-26,20.5,10.1,2.2,10.7
2022-02-27,17.0,8.9,17.1,7.1
2022-02-28,17.6,10.7,1.1,8.5
2022-03-01,17.5,8.3,1.1,14.0
2022-03-02,17.8,8.6,5.9,7.1
2022-03-03,19.2,8.4,6.3,12.4
2022-03-04,18.0,7.0,7.7,10.7
2022-03-05,19.0,8.7,12.2,11.4
2022-03-06,19.4,10.2,11.4,17.8
2022-03-07,18.0,9.9,2.1,9.8
2022-03-08,18.3,5.7,1.0,10.7
2022-03-09,19.5,8.2,2.2,11.5
2022-03-10,18.7,8.4,1.4,14.0
2022-03-11,20.2,8.0,13.9,16.0
2022-03-12,19.2,7.0,7.4,7.1
2022-03-13,18.3,7.6,12.1,11.5
2022-03-14,19.1,8.0,10.1,7.2
2022-03-15,19.5,6.8,3.4,10.1
2022-03-16,19.1,8.3,3.9,10.2
2022-03-17,20.1,7.0,10.0,10.7
2022-03-18,20.1,6.4,3.8,10.0
2022-03-19,20.3,6.9,10.7,12.3
2022-03-20,18.9,7.9,10.0,11.4
2022-03-21,19.5,7.1,9.0,11.8
2022-03-22,19.3,9.4,4.8,11.6
2022-03-23,19.2,9.1,4.3,15.8
2022-03-24,20.3,9.3,5.3,12.5
2022-03-25,20.0,8.5,2.1,12.8
2022-03-26,18.5,9.2,12.2,12.9
2022-03-27,18.7,7.8,12.0,9.5
2022-03-28,18.3,8.0,1.7,14.2
2022-03-29,16.7,9.3,1.5,15.6
2022-03-30,18.9,9.7,4.6,12.8
2022-03-31,18.3,10.0,1.7,15.8
2022-04-01,19.0,8.1,1.3,14.9
2022-04-02,20.3,7.1,0.3,13.0
2022-04-03,19.0,7.7,2.4,13.3
2022-04-04,19.8,7.1,2.6,11.6
2022-04-05,17.7,6.9,7.0,12.4
2022-04-06,19.3,10.1,0.5,15.0
2022-04-07,17.1,8.6,20.7,7.8
2022-04-08,20.0,8.5,1.6,14.3
2022-04-09,19.1,8.3,1.4,13.6
2022-04-10,20.0,5.4,0.0,18.4
2022-04-11,20.5,7.9,1.2,14.3
2022-04-12,19.7,9.5,0.7,14.8
2022-04-13,19.4,7.6,0.3,16.3
2022-04-14,19.8,5.2,1.4,16.4
2022-04-15,20.5,9.5,0.9,17.5
2022-04-16,20.1,9.1,7.2,14.4
2022-04-17,18.7,10.0,8.4,13.0
2022-04-18,18.8,10.8,9.8,10.8
2022-04-19,15.7,10.7,12.7,10.4
2022-04-20,16.5,9.8,2.7,8.2
2022-04-21,17.4,7.8,1.9,11.3
2022-04-22,18.1,9.2,7.2,11.0
2022-04-23,19.3,8.4,7.0,14.3
2022-04-24,18.8,8.6,15.0,7.7
2022-04-25,16.2,7.6,6.4,8.2
2022-04-26,19.5,5.4,0.9,14.1
2022-04-27,18.2,6.9,4.9,7.7
2022-04-28,19.2,9.6,5.1,11.3
2022-04-29,17.4,9.8,1.1,16.4
2022-04-30,17.2,9.3,0.1,21.4
2022-05-01,18.1,7.0,0.4,17.1
2022-05-02,18.5,8.1,1.0,14.8
2022-05-03,20.1,6.0,0.6,12.4
2022-05-04,20.2,7.2,0.4,15.3
2022-05-05,15.4,8.1,8.1,8.0
2022-05-06,19.0,7.1,0.7,10.9
2022-05-07,16.2,9.8,9.8,10.0
2022-05-08,20.1,8.1,3.8,9.0
2022-05-09,19.2,9.6,1.1,16.8
2022-05-10,19.5,9.5,3.4,12.0
2022-05-11,18.8,9.6,9.5,14.0
2022-05-12,18.3,9.9,8.3,9.8
2022-05-13,19.2,9.6,1.2,15.0
2022-05-14,19.3,7.8,2.1,13.8
2022-05-15,19.8,7.1,0.4,17.1
2022-05-16,19.1,7.9,1.5,16.4
2022-05-17,19.2,8.9,2.2,13.3
2022-05-18,17.3,6.8,6.3,8.1
2022-05-19,17.5,9.0,1.2,15.0
2022-05-20,17.4,9.4,3.2,13.1
