Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,11.3,4.8,2.6,11.4
2022-01-02,8.0,0.8,6.5,24.0
2022-01-03,-0.5,-5.4,0.3,29.0
2022-01-04,0.2,-9.4,0.0,22.1
2022-01-05,8.5,-4.1,5.6,28.6
2022-01-06,3.3,-0.7,0.0,20.9
2022-01-07,0.3,-4.2,16.7,28.8
2022-01-08,-3.1,-10.1,0.0,22.5
2022-01-09,6.2,-8.7,2.4,33.2
2022-01-10,3.8,-5.4,0.0,26.4
2022-01-11,-5.7,-13.0,0.1,29.6
2022-01-12,5.4,-12.0,0.0,29.5
2022-01-13,7.4,-2.9,0.0,12.8
2022-01-14,4.0,-7.8,0.4,34.8
2022-01-15,-10.8,-16.8,0.0,32.4
2022-01-16,-0.6,-14.1,0.0,18.1
2022-01-17,8.7,0.1,29.1,55.2
2022-01-18,1.3,-6.6,0.0,32.5
2022-01-19,7.9,-8.0,0.0,35.5
2022-01-20,3.7,-6.3,5.2,23.4
2022-01-21,-6.2,-11.9,0.0,22.6
2022-01-22,-3.7,-9.0,0.6,21.0
2022-01-23,1.9,-6.6,0.2,17.8
2022-01-24,-0.8,-5.7,0.5,14.3
2022-01-25,6.3,-3.5,1.7,19.3
2022-01-26,-3.7,-9.2,0.0,19.4
2022-01-27,-2.0,-11.9,0.0,17.4
2022-01-28,2.2,-4.7,0.0,16.4
2022-01-29,0.1,-12.2,41.3,51.2
2022-01-30,-6.6,-12.3,0.0,33.4
2022-01-31,-2.5,-14.4,0.0,14.3
2022-02-01,1.3,-8.7,0.0,17.6
2022-02-02,5.1,-0.8,0.0,11.8
2022-02-03,5.3,1.4,5.9,17.1
2022-02-04,8.0,-4.7,38.1,21.6
2022-02-05,-5.0,-10.5,2.0,25.4
2022-02-06,-2.8,-14.6,0.0,18.8
2022-02-07,3.6,-9.0,4.9,14.5
2022-02-08,3.5,0.2,12.0,22.1
2022-02-09,6.2,-4.0,0.0,23.1
2022-02-10,9.3,-1.1,0.2,28.9
2022-02-11,10.7,-2.0,0.0,24.1
2022-02-12,14.8,3.5,0.0,27.9
2022-02-13,2.8,-3.0,7.1,20.3
2022-02-14,-3.3,-10.7,3.1,26.5
2022-02-15,-2.6,-12.9,0.0,22.3
2022-02-16,6.0,-10.7,0.0,35.4
2022-02-17,14.5,6.1,0.0,35.3
2022-02-18,14.8,-3.3,12.0,45.8
2022-02-19,4.5,-6.9,1.2,33.6
2022-02-20,1.1,-9.2,0.0,33.2
2022-02-21,11.2,-0.7,0.0,31.7
2022-02-22,11.3,-1.1,8.3,40.1
2022-02-23,19.6,2.1,2.4,41.6
2022-02-24,0.2,-6.8,0.0,28.0
2022-02-25,1.6,-6.3,23.9,31.4
2022-02-26,-2.6,-11.0,0.0,15.4
2022-02-27,3.7,-8.0,0.1,26.7
2022-02-28,-3.9,-10.2,0.0,25.0
2022-03-01,2.9,-13.9,2.0,24.9
2022-03-02,6.0,-1.5,2.2,21.8
2022-03-03,2.9,-7.0,1.7,24.6
2022-03-04,0.9,-11.5,0.0,15.7
2022-03-05,5.3,-6.4,0.0,16.7
2022-03-06,16.0,1.3,0.6,37.3
2022-03-07,15.7,8.3,3.8,38.8
2022-03-08,14.6,-0.2,2.7,39.5
2022-03-09,3.1,-2.0,15.4,14.9
2022-03-10,10.1,-1.5,0.0,15.5
2022-03-11,9.9,-2.6,0.0,19.4
2022-03-12,8.1,-3.9,14.0,39.3
2022-03-13,2.9,-6.2,0.1,34.9
2022-03-14,10.8,-3.0,0.0,19.1
2022-03-15,13.8,4.8,2.0,25.4
2022-03-16,9.5,2.2,5.6,17.3
2022-03-17,12.8,2.9,3.6,16.3
2022-03-18,20.5,6.7,0.0,17.4
2022-03-19,14.0,6.1,14.1,17.7
2022-03-20,17.1,6.9,0.3,23.9
2022-03-21,12.6,4.4,0.2,32.8
2022-03-22,8.8,0.2,0.0,29.9
2022-03-23,5.6,-1.5,0.0,17.3
2022-03-24,7.0,3.0,14.1,25.0
2022-03-25,15.9,3.0,10.0,20.7
2022-03-26,11.0,3.3,4.2,15.2
2022-03-27,9.3,0.6,0.1,23.9
2022-03-28,0.3,-5.4,0.0,26.6
2022-03-29,3.3,-7.6,0.0,26.2
2022-03-30,8.9,-3.0,0.0,26.6
2022-03-31,18.6,2.8,0.7,35.9
2022-04-01,14.6,5.0,6.3,32.9
2022-04-02,10.4,1.2,0.0,29.7
2022-04-03,9.0,0.5,0.6,17.9
2022-04-04,12.8,2.6,0.8,23.6
2022-04-05,14.5,1.9,0.0,18.1
2022-04-06,6.8,3.9,7.6,22.6
2022-04-07,9.6,4.4,0.3,30.4
2022-04-08,17.2,6.8,4.8,34.4
2022-04-09,14.1,4.8,2.4,23.9
2022-04-10,12.3,3.7,0.2,24.8
2022-04-11,16.0,3.0,0.0,23.7
2022-04-12,19.0,7.3,1.2,23.1
2022-04-13,20.2,7.2,0.0,23.4
2022-04-14,11.4,6.6,2.5,15.2
2022-04-15,17.9,6.7,0.7,27.9
2022-04-16,18.8,6.6,6.8,32.7
2022-04-17,9.4,3.7,4.0,24.4
2022-04-18,9.5,1.7,0.0,25.1
2022-04-19,14.3,5.9,21.0,45.2
2022-04-20,13.0,4.5,0.0,29.3
2022-04-21,14.5,1.8,0.9,29.3
2022-04-22,16.2,7.9,0.0,25.6
2022-04-23,16.1,5.3,0.0,15.5
2022-04-24,8.6,5.8,0.2,21.0
2022-04-25,12.2,2.9,0.0,17.3
2022-04-26,13.1,5.6,12.8,13.0
2022-04-27,14.2,5.9,2.3,28.0
2022-04-28,9.4,3.1,0.0,30.9
2022-04-29,11.8,3.0,0.0,27.7
2022-04-30,11.2,3.0,0.0,15.2
2022-05-01,17.3,3.8,0.0,18.6
2022-05-02,14.2,5.7,4.2,17.8
2022-05-03,10.3,7.0,5.7,15.9
2022-05-04,11.2,7.1,8.7,11.5
2022-05-05,18.7,8.8,0.0,16.4
2022-05-06,15.0,7.9,0.0,13.9
2022-05-07,10.6,7.0,0.1,36.7
2022-05-08,9.6,6.5,0.0,33.2
2022-05-09,10.3,6.2,0.0,33.4
2022-05-10,11.7,7.7,0.0,30.6
2022-05-11,11.4,7.5,0.0,22.5
2022-05-12,16.1,8.8,0.0,10.4
2022-05-13,24.7,12.6,0.1,23.1
2022-05-14,28.8,17.4,0.3,23.4
2022-05-15,24.6,16.2,1.4,19.4
2022-05-16,24.9,15.7,7.0,24.5
2022-05-17,22.5,13.2,0.1,30.1
2022-05-18,21.6,11.1,0.0,22.4
2022-05-19,16.5,11.6,1.2,19.2
2022-05-20,21.9,10.9,2.4,17.5
2022-05-21,26.6,14.0,2.4,17.9
2022-05-22,32.1,20.5,0.6,21.7
2022-05-23,21.8,15.2,0.1,22.4
2022-05-24,15.2,10.3,0.0,20.4
2022-05-25,19.9,8.0,0.0,21.8
2022-05-26,21.7,9.6,0.0,26.6
2022-05-27,28.2,14.6,0.2,29.8
2022-05-28,25.0,17.6,2.7,23.2
2022-05-29,22.6,14.9,0.0,19.1
2022-05-30,30.5,14.9,0.0,21.3
2022-05-31,26.1,12.8,0.1,26.3
2022-06-01,17.0,13.0,1.4,16.0
2022-06-02,19.2,12.2,3.1,21.8
2022-06-03,17.2,12.4,1.7,14.5
2022-06-04,21.7,13.0,0.0,21.1
2022-06-05,24.2,12.1,0.0,18.6
2022-06-06,23.7,12.6,0.0,18.6
2022-06-07,26.3,15.4,0.0,28.6
2022-06-08,27.5,16.3,7.3,27.6
2022-06-09,27.4,16.5,11.7,28.6
2022-06-10,25.0,14.1,0.0,25.7
2022-06-11,26.5,14.7,0.0,14.5
2022-06-12,24.8,14.7,3.8,26.4
2022-06-13,27.1,17.1,5.1,18.2
2022-06-14,25.4,15.8,0.0,18.9
2022-06-15,20.6,16.2,0.0,16.1
2022-06-16,22.9,13.7,0.0,27.2
2022-06-17,29.5,17.9,0.6,25.6
2022-06-18,21.7,12.7,0.1,27.2
2022-06-19,16.8,10.7,11.8,22.7
2022-06-20,24.2,11.3,0.0,15.6
2022-06-21,23.2,10.5,0.0,18.7
2022-06-22,20.5,12.6,0.0,25.4
2022-06-23,21.9,14.4,1.0,20.9
2022-06-24,24.6,13.2,0.4,18.1
2022-06-25,27.4,17.0,0.0,13.8
2022-06-26,31.6,19.0,0.0,26.3
2022-06-27,27.7,19.7,5.8,34.2
2022-06-28,24.3,16.1,0.0,14.8
2022-06-29,27.0,15.2,0.0,26.9
2022-06-30,27.1,16.8,0.0,16.6
2022-07-01,32.6,18.3,0.0,27.3
2022-07-02,29.8,21.9,1.4,25.8
2022-07-03,30.5,19.6,0.0,14.4
2022-07-04,26.9,17.0,0.0,17.1
2022-07-05,27.4,18.4,0.2,26.8
2022-07-06,28.0,19.4,0.5,30.8
2022-07-07,25.0,17.6,0.5,20.7
2022-07-08,28.7,17.1,0.7,23.9
2022-07-09,22.9,16.8,0.0,18.7
2022-07-10,23.5,15.8,0.0,17.4
2022-07-11,30.3,15.9,0.0,31.1
2022-07-12,30.2,18.9,0.0,34.2
2022-07-13,29.9,20.3,0.0,19.2
2022-07-14,27.3,19.7,7.1,19.1
2022-07-15,26.8,16.7,0.0,23.1
2022-07-16,27.4,17.9,0.0,18.3
2022-07-17,29.0,19.3,1.9,18.1
2022-07-18,28.0,20.2,2.4,23.5
2022-07-19,33.4,22.5,0.3,27.5
2022-07-20,33.0,23.1,0.1,16.0
2022-07-21,32.9,23.1,0.5,31.0
2022-07-22,33.9,22.7,0.0,17.6
2022-07-23,33.3,23.2,0.0,17.4
2022-07-24,36.7,23.1,0.0,29.3
2022-07-25,31.3,21.9,18.6,29.5
2022-07-26,28.1,19.1,0.0,20.2
2022-07-27,28.2,17.7,0.0,15.6
2022-07-28,30.3,19.7,0.4,26.0
2022-07-29,34.1,21.9,0.3,20.2
2022-07-30,30.3,22.1,1.3,25.3
2022-07-31,29.4,18.9,0.0,17.3
2022-08-01,28.8,20.6,2.0,15.5
2022-08-02,33.2,19.8,0.0,20.2
2022-08-03,26.6,21.1,0.0,21.0
2022-08-04,36.2,21.0,0.0,25.3
2022-08-05,33.2,22.8,14.7,21.7
2022-08-06,32.1,22.8,0.6,20.8
2022-08-07,34.5,24.5,0.6,26.7
2022-08-08,34.4,25.2,1.0,24.8
2022-08-09,35.6,20.9,4.1,23.3
2022-08-10,22.2,20.0,0.9,17.1
2022-08-11,25.6,20.2,0.7,14.6
2022-08-12,25.0,19.3,0.0,19.1
2022-08-13,22.4,17.1,0.0,15.0
2022-08-14,26.3,15.7,0.0,25.0
2022-08-15,24.5,15.4,0.0,17.0
2022-08-16,22.4,17.2,0.1,19.8
2022-08-17,23.3,17.5,4.9,21.5
2022-08-18,28.1,17.0,0.7,26.1
2022-08-19,31.9,18.4,0.0,17.7
2022-08-20,29.0,19.8,4.5,17.2
2022-08-21,30.7,19.4,0.0,18.7
2022-08-22,23.2,18.4,10.2,15.5
2022-08-23,24.2,19.7,3.5,10.3
2022-08-24,27.5,18.8,1.0,10.3
2022-08-25,28.3,19.4,0.0,19.2
2022-08-26,30.1,19.1,3.6,26.4
2022-08-27,23.6,19.8,0.9,17.1
2022-08-28,24.4,18.1,0.0,18.5
2022-08-29,30.4,17.8,0.0,25.7
2022-08-30,31.2,21.5,0.0,27.2
2022-08-31,29.0,19.5,1.9,20.7
2022-09-01,26.4,18.1,0.0,23.1
2022-09-02,20.6,14.1,0.0,13.5
2022-09-03,24.3,14.0,0.0,18.8
2022-09-04,27.5,16.6,0.0,15.0
2022-09-05,22.1,18.3,22.4,15.3
2022-09-06,18.6,17.5,54.2,19.7
2022-09-07,19.5,16.5,2.0,20.5
2022-09-08,19.5,16.1,0.0,16.8
2022-09-09,23.5,14.8,0.0,11.4
