Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,21.0,17.8,24.2,17.3
2022-01-02,24.4,18.3,3.3,19.2
2022-01-03,25.2,18.8,4.8,14.8
2022-01-04,24.7,17.2,8.8,17.3
2022-01-05,26.2,19.1,4.6,15.5
2022-01-06,24.4,19.2,9.0,13.8
2022-01-07,23.2,19.3,4.8,20.2
2022-01-08,22.7,18.9,7.6,18.8
2022-01-09,21.6,18.5,18.6,21.0
2022-01-10,24.2,18.6,7.3,19.5
2022-01-11,23.6,18.1,7.7,18.5
2022-01-12,23.9,17.7,10.4,16.3
2022-01-13,25.4,15.8,8.5,15.0
2022-01-14,28.6,17.5,0.2,17.3
2022-01-15,28.3,16.7,0.0,16.6
2022-01-16,29.0,17.9,0.0,13.9
2022-01-17,27.7,18.5,0.4,13.9
2022-01-18,27.9,18.2,0.2,13.7
2022-01-19,27.9,18.5,0.0,13.7
2022-01-20,29.1,17.5,0.0,13.3
2022-01-21,26.7,19.1,7.6,14.7
2022-01-22,26.8,18.7,0.9,13.4
2022-01-23,27.9,18.4,0.0,13.3
2022-01-24,29.1,17.7,1.0,10.4
2022-01-25,27.1,18.8,1.3,12.3
2022-01-26,23.7,16.8,27.3,9.7
2022-01-27,24.8,18.1,5.7,17.3
2022-01-28,25.9,17.7,1.3,14.5
2022-01-29,26.2,17.7,0.8,19.5
2022-01-30,26.4,17.8,3.0,20.9
2022-01-31,24.7,17.6,3.0,16.8
2022-02-01,26.3,18.1,3.0,16.0
2022-02-02,26.9,17.8,1.1,8.0
2022-02-03,25.0,18.0,5.2,13.3
2022-02-04,26.3,18.2,0.7,13.9
2022-02-05,25.7,19.2,6.8,9.8
2022-02-06,24.5,18.5,10.2,13.0
2022-02-07,25.2,19.7,7.7,10.0
2022-02-08,26.4,19.3,12.0,11.4
2022-02-09,26.2,19.1,12.0,14.7
2022-02-10,24.3,19.3,1.7,15.8
2022-02-11,25.5,19.2,5.3,13.0
2022-02-12,26.4,19.4,15.2,11.0
2022-02-13,24.0,18.3,4.9,12.5
2022-02-14,25.9,17.8,7.3,12.1
2022-02-15,27.0,18.6,11.8,11.1
2022-02-16,25.5,18.5,17.4,11.6
2022-02-17,25.6,18.0,12.7,13.1
2022-02-18,25.1,17.5,10.7,17.9
2022-02-19,23.7,18.4,12.7,14.5
2022-02-20,23.3,18.1,16.2,8.9
2022-02-21,25.6,17.3,6.1,11.7
2022-02-22,26.4,18.3,7.2,12.4
2022-02-23,26.6,17.3,0.0,15.1
2022-02-24,26.9,17.1,0.8,9.2
2022-02-25,27.8,18.6,0.9,16.2
2022-02-26,27.3,17.7,0.4,16.2
2022-02-27,27.9,18.2,0.0,14.8
2022-02-28,27.2,17.5,0.0,15.3
2022-03-01,26.9,18.2,1.0,13.0
2022-03-02,26.8,17.0,2.9,24.9
2022-03-03,26.5,18.3,5.5,15.1
2022-03-04,26.1,17.3,3.6,16.9
2022-03-05,26.8,17.0,0.3,16.6
2022-03-06,26.3,16.9,0.2,15.6
2022-03-07,26.0,18.6,1.5,15.7
2022-03-08,26.7,18.7,0.4,19.4
2022-03-09,27.8,17.6,0.1,12.7
2022-03-10,27.3,18.9,0.0,8.4
2022-03-11,27.9,18.8,0.0,8.4
2022-03-12,27.1,18.3,14.6,13.7
2022-03-13,25.9,18.6,3.7,11.0
2022-03-14,25.8,19.0,9.4,9.5
2022-03-15,25.2,19.6,9.5,8.7
2022-03-16,26.2,19.7,1.0,13.0
2022-03-17,26.1,18.4,0.1,12.5
2022-03-18,26.7,18.6,2.4,17.6
2022-03-19,27.7,20.1,0.3,12.6
2022-03-20,28.8,16.9,0.0,11.8
2022-03-21,26.4,18.2,0.4,16.3
