Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,25.5,19.6,14.3,13.3
2022-01-02,27.6,18.5,2.6,21.1
2022-01-03,28.8,19.5,0.0,23.7
2022-01-04,30.5,21.7,3.6,27.9
2022-01-05,28.5,21.6,2.2,20.6
2022-01-06,28.2,22.3,6.2,23.1
2022-01-07,25.3,22.7,20.2,23.1
2022-01-08,26.0,22.7,9.5,15.9
2022-01-09,28.1,22.2,3.3,15.9
2022-01-10,29.0,21.0,0.0,15.7
2022-01-11,28.5,20.4,0.7,18.7
2022-01-12,28.3,18.0,0.7,17.9
2022-01-13,28.6,19.2,0.6,15.9
2022-01-14,27.2,17.4,3.7,15.5
2022-01-15,29.0,19.6,0.0,18.4
2022-01-16,31.0,21.7,1.1,17.2
2022-01-17,31.2,22.3,1.8,17.4
2022-01-18,29.8,22.8,0.7,15.6
2022-01-19,30.0,22.1,15.6,15.0
2022-01-20,24.0,20.1,18.6,19.3
2022-01-21,27.1,19.1,2.3,26.5
2022-01-22,25.5,19.0,1.0,18.5
2022-01-23,27.2,18.0,1.5,16.6
2022-01-24,28.5,18.2,0.7,13.4
2022-01-25,29.0,20.4,1.6,12.8
2022-01-26,25.8,21.3,13.0,12.8
2022-01-27,26.9,21.0,0.0,15.8
2022-01-28,28.4,21.0,1.4,16.4
2022-01-29,29.2,20.7,0.9,19.1
2022-01-30,29.5,19.9,1.1,17.0
2022-01-31,30.7,20.8,2.0,11.1
2022-02-01,34.7,21.9,2.0,14.6
2022-02-02,33.9,24.9,9.4,11.6
2022-02-03,30.1,21.2,52.6,16.1
2022-02-04,27.4,18.4,1.4,24.0
2022-02-05,26.9,17.9,0.0,24.0
2022-02-06,26.0,17.4,1.0,25.2
2022-02-07,27.0,17.4,0.0,19.3
2022-02-08,27.6,16.6,0.1,14.8
2022-02-09,28.5,16.3,0.7,16.9
2022-02-10,29.8,16.9,0.0,18.5
2022-02-11,30.6,16.7,1.1,19.2
2022-02-12,28.7,18.8,6.2,20.7
2022-02-13,27.3,17.2,0.4,20.2
2022-02-14,27.2,18.7,5.1,19.0
2022-02-15,26.5,18.5,0.5,19.5
2022-02-16,27.6,19.3,0.1,17.5
2022-02-17,28.5,17.5,0.3,13.8
2022-02-18,31.1,18.2,1.4,12.3
2022-02-19,31.0,19.6,1.5,19.5
2022-02-20,27.6,19.9,1.8,12.2
2022-02-21,28.9,19.7,1.3,14.3
2022-02-22,29.3,20.5,8.0,18.8
2022-02-23,27.6,21.0,67.6,19.6
2022-02-24,27.0,21.2,54.9,24.9
2022-02-25,23.1,21.7,76.3,20.5
2022-02-26,22.6,20.3,166.5,20.2
2022-02-27,23.0,20.8,113.0,25.7
2022-02-28,27.8,19.5,5.8,13.3
