Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,14.1,7.0,0.0,25.2
2022-01-02,11.6,3.8,0.0,14.9
2022-01-03,13.1,3.9,0.3,30.2
2022-01-04,10.5,4.6,0.2,26.7
2022-01-05,11.7,4.5,1.4,23.8
2022-01-06,6.0,-0.5,0.0,25.0
2022-01-07,2.0,-5.2,0.0,13.0
2022-01-08,1.4,-5.4,0.0,7.6
2022-01-09,0.8,-5.9,0.0,10.8
2022-01-10,4.4,-3.5,0.0,14.5
2022-01-11,3.5,-3.3,0.0,20.9
2022-01-12,0.8,-5.8,0.0,13.9
2022-01-13,3.6,-6.7,0.0,14.5
2022-01-14,7.3,-0.2,0.0,22.5
2022-01-15,5.9,-3.7,0.0,20.0
2022-01-16,1.5,-5.3,0.0,12.3
2022-01-17,6.3,0.0,2.0,34.8
2022-01-18,4.0,-1.0,0.0,26.0
2022-01-19,3.7,-4.4,0.0,11.8
2022-01-20,5.1,-4.2,0.7,24.6
2022-01-21,2.0,-2.5,0.4,30.1
2022-01-22,3.4,-3.7,1.1,22.4
2022-01-23,2.2,-4.4,0.0,15.7
2022-01-24,0.1,-6.4,0.0,8.3
2022-01-25,2.6,-6.7,0.0,14.6
2022-01-26,4.2,-0.3,0.0,18.9
2022-01-27,6.2,-1.3,0.0,22.6
2022-01-28,7.4,2.0,0.0,39.9
2022-01-29,5.9,-0.7,1.0,27.3
2022-01-30,9.0,2.6,1.0,43.5
2022-01-31,5.8,1.0,0.1,31.3
2022-02-01,5.4,-0.6,0.0,19.5
2022-02-02,7.3,0.1,3.1,28.3
2022-02-03,6.9,-0.5,0.0,28.0
2022-02-04,7.7,0.7,0.1,12.2
2022-02-05,8.4,0.0,0.0,26.1
2022-02-06,8.8,-0.7,0.4,22.7
2022-02-07,6.9,2.5,2.5,35.9
2022-02-08,7.8,1.2,0.0,29.5
2022-02-09,11.9,2.5,0.1,26.3
2022-02-10,12.3,0.4,0.0,11.3
2022-02-11,13.2,1.0,0.2,25.5
2022-02-12,9.0,-0.0,0.0,18.4
2022-02-13,6.9,-4.4,0.0,11.6
2022-02-14,7.8,-3.3,1.6,16.2
2022-02-15,13.4,2.6,0.6,13.0
2022-02-16,11.0,3.6,1.8,15.3
2022-02-17,14.8,5.3,1.9,36.1
2022-02-18,12.9,4.2,0.0,28.5
2022-02-19,12.0,5.8,0.0,30.5
2022-02-20,10.6,1.1,0.3,23.4
2022-02-21,8.7,2.1,2.8,20.5
2022-02-22,9.8,1.4,0.0,28.3
2022-02-23,10.4,0.9,0.7,32.6
2022-02-24,10.7,-1.1,0.0,14.7
2022-02-25,9.4,-1.3,0.0,27.3
2022-02-26,8.8,-0.0,0.0,17.6
2022-02-27,9.7,1.2,0.0,23.7
2022-02-28,5.8,0.4,1.7,24.8
2022-03-01,8.3,-1.7,0.0,17.4
2022-03-02,8.0,-3.1,0.0,10.8
2022-03-03,7.2,-3.4,0.0,8.9
2022-03-04,6.1,-1.9,0.8,11.0
2022-03-05,6.0,-1.5,0.0,15.1
2022-03-06,7.3,-2.2,0.0,13.3
2022-03-07,3.5,-3.3,0.0,16.3
2022-03-08,8.1,-2.9,0.0,13.1
