Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,27.3,22.3,5.7,25.2
2022-01-02,29.6,20.6,0.0,19.6
2022-01-03,31.3,22.1,0.0,23.4
2022-01-04,32.4,21.0,11.4,36.6
2022-01-05,26.2,16.1,0.0,32.8
2022-01-06,25.4,19.3,0.0,28.6
2022-01-07,26.7,21.1,0.0,27.2
2022-01-08,28.4,22.5,0.0,28.7
2022-01-09,29.0,21.6,0.0,28.9
2022-01-10,31.9,23.1,0.0,17.9
2022-01-11,37.6,24.9,0.0,32.5
2022-01-12,29.1,21.8,0.0,30.1
2022-01-13,33.4,23.7,0.0,20.9
2022-01-14,38.9,26.8,0.0,24.5
2022-01-15,36.2,26.8,5.0,38.6
2022-01-16,32.0,24.7,17.4,28.8
2022-01-17,25.3,20.4,11.7,35.5
2022-01-18,25.0,20.3,17.4,33.7
2022-01-19,26.3,22.3,12.7,33.3
2022-01-20,27.6,22.7,1.2,28.2
2022-01-21,28.5,24.2,4.1,27.4
2022-01-22,29.2,23.7,11.9,28.3
2022-01-23,27.3,21.8,0.1,13.3
2022-01-24,28.4,23.0,0.0,16.1
2022-01-25,28.7,23.9,3.0,19.2
2022-01-26,27.2,17.5,3.4,37.9
2022-01-27,22.8,14.5,0.0,28.7
2022-01-28,22.6,16.7,0.0,17.8
2022-01-29,26.8,19.8,0.0,17.5
2022-01-30,27.7,21.5,0.0,20.9
2022-01-31,24.8,17.5,0.3,31.9
2022-02-01,26.3,18.7,0.0,20.2
2022-02-02,30.6,22.5,0.0,17.3
2022-02-03,25.1,21.3,24.2,18.3
2022-02-04,27.1,19.7,0.0,15.3
2022-02-05,22.2,16.7,8.8,30.8
2022-02-06,20.8,13.5,0.1,33.2
2022-02-07,24.4,14.4,0.0,20.1
2022-02-08,22.7,15.6,0.0,18.8
2022-02-09,25.7,18.4,0.0,21.7
2022-02-10,28.0,20.3,0.0,21.1
2022-02-11,27.8,14.9,1.8,42.1
2022-02-12,21.2,14.2,2.6,28.6
2022-02-13,24.8,11.5,0.0,20.9
2022-02-14,29.0,15.9,0.0,15.6
2022-02-15,29.8,20.1,0.0,23.7
2022-02-16,32.0,22.7,0.4,21.8
2022-02-17,24.5,18.0,0.5,32.4
2022-02-18,24.6,16.3,0.0,24.5
2022-02-19,26.4,20.2,0.0,23.1
2022-02-20,22.9,17.7,32.2,27.8
2022-02-21,25.8,16.2,0.0,23.8
2022-02-22,24.3,16.6,0.6,16.9
2022-02-23,23.4,18.7,0.0,28.2
2022-02-24,23.7,19.5,18.1,29.8
2022-02-25,25.6,14.9,0.0,14.5
2022-02-26,28.6,22.3,17.8,19.2
2022-02-27,27.7,22.0,35.6,21.0
2022-02-28,26.4,18.0,0.0,26.2
2022-03-01,24.8,16.0,0.0,22.5
2022-03-02,28.2,18.6,0.0,25.1
2022-03-03,24.4,20.0,0.0,25.9
2022-03-04,26.0,22.0,2.0,18.6
2022-03-05,23.7,21.3,7.1,24.9
2022-03-06,25.1,20.7,6.5,26.1
2022-03-07,25.3,18.6,41.1,28.5
2022-03-08,24.5,15.9,0.0,15.5
2022-03-09,22.1,17.8,14.9,24.7
2022-03-10,23.4,15.9,0.0,20.9
2022-03-11,22.8,14.6,0.0,23.0
2022-03-12,21.4,13.0,0.0,13.5
2022-03-13,22.1,15.4,0.0,11.6
2022-03-14,25.1,15.5,0.0,18.7
2022-03-15,27.6,18.2,0.0,17.5
2022-03-16,26.8,19.9,0.0,20.7
2022-03-17,27.4,20.4,0.3,25.7
2022-03-18,21.7,13.7,22.0,35.5
2022-03-19,18.6,9.9,0.0,15.1
2022-03-20,18.8,13.4,0.1,31.4
2022-03-21,22.0,15.7,3.3,32.4
2022-03-22,22.2,18.0,2.7,28.2
2022-03-23,24.5,18.9,1.4,21.4
2022-03-24,20.5,12.4,27.3,44.1
2022-03-25,20.8,9.5,3.4,38.5
2022-03-26,21.3,16.4,0.0,31.3
2022-03-27,26.2,14.0,0.0,17.7
2022-03-28,24.8,17.3,0.0,24.5
2022-03-29,25.3,15.0,0.7,34.3
2022-03-30,16.0,9.3,0.0,31.4
2022-03-31,17.3,7.3,0.0,17.1
2022-04-01,17.3,7.4,0.0,17.6
2022-04-02,20.3,13.7,0.0,23.1
2022-04-03,22.0,16.7,2.8,22.1
2022-04-04,19.7,9.1,0.0,21.1
2022-04-05,21.2,12.0,0.0,15.3
2022-04-06,24.2,14.8,0.0,15.5
2022-04-07,23.1,17.5,0.0,19.9
2022-04-08,22.1,18.2,0.0,20.5
2022-04-09,21.4,17.0,0.0,22.3
2022-04-10,24.8,18.4,1.4,21.3
2022-04-11,22.6,15.1,8.4,25.7
2022-04-12,20.8,11.4,0.0,20.1
2022-04-13,18.7,9.1,0.0,17.1
2022-04-14,19.1,10.2,0.0,14.1
2022-04-15,17.3,12.8,0.1,17.1
2022-04-16,20.1,15.5,0.0,17.9
2022-04-17,19.7,16.7,0.0,19.1
2022-04-18,20.1,16.3,0.1,20.0
2022-04-19,21.5,15.1,0.0,15.3
2022-04-20,23.4,17.9,0.0,14.0
2022-04-21,20.2,12.9,0.3,18.6
2022-04-22,17.8,12.3,1.3,23.8
2022-04-23,20.8,8.6,0.0,26.5
2022-04-24,21.6,13.9,0.0,29.1
2022-04-25,22.6,17.5,18.5,40.4
2022-04-26,22.6,17.1,2.3,33.5
2022-04-27,21.9,14.4,28.2,36.5
2022-04-28,15.6,8.6,0.0,23.6
2022-04-29,13.4,5.2,0.0,14.7
2022-04-30,13.4,7.8,0.0,13.3
2022-05-01,16.3,6.6,0.0,17.6
2022-05-02,15.4,8.0,0.1,18.3
2022-05-03,15.1,5.9,0.0,12.1
2022-05-04,16.8,8.1,0.0,11.9
2022-05-05,19.3,11.4,0.0,15.2
2022-05-06,22.0,12.4,0.0,14.9
2022-05-07,21.9,14.5,0.0,19.5
2022-05-08,20.8,15.0,0.0,20.0
2022-05-09,20.2,12.1,0.0,13.2
2022-05-10,18.6,12.5,0.0,14.2
2022-05-11,16.5,9.8,0.0,17.8
2022-05-12,15.5,8.8,0.0,16.0
2022-05-13,18.2,12.7,0.0,18.7
2022-05-14,18.4,10.5,0.0,18.2
2022-05-15,14.2,6.9,0.0,24.4
2022-05-16,14.6,9.0,0.2,41.3
2022-05-17,13.9,8.6,0.0,43.1
2022-05-18,13.5,8.4,0.0,25.5
2022-05-19,14.2,6.9,0.0,12.1
2022-05-20,17.2,8.4,0.0,19.6
2022-05-21,19.4,10.8,0.0,17.3
2022-05-22,16.7,8.4,0.0,16.9
2022-05-23,18.5,12.0,0.0,15.9
2022-05-24,20.0,13.0,4.2,18.5
2022-05-25,13.1,8.2,16.0,34.0
2022-05-26,13.4,6.2,0.0,21.0
2022-05-27,14.7,7.3,0.0,16.9
2022-05-28,12.8,8.6,0.0,12.9
2022-05-29,10.4,4.5,0.0,22.5
2022-05-30,10.2,3.0,0.0,24.0
2022-05-31,10.3,0.4,0.0,9.5
2022-06-01,11.3,1.7,0.0,8.1
2022-06-02,11.1,2.1,0.0,11.2
