Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,18.3,8.7,0.2,13.8
2022-01-02,19.4,8.8,0.6,9.5
2022-01-03,20.6,10.3,0.0,9.8
2022-01-04,19.5,10.5,0.0,11.5
2022-01-05,20.3,10.3,0.0,8.2
2022-01-06,20.4,7.8,0.0,9.5
2022-01-07,19.6,7.4,0.0,8.4
2022-01-08,21.9,6.8,0.0,10.5
2022-01-09,18.1,8.9,0.0,20.9
2022-01-10,17.4,8.3,0.0,18.9
2022-01-11,20.2,8.4,0.0,20.0
2022-01-12,20.1,10.2,0.0,19.3
2022-01-13,19.7,8.6,0.0,21.8
2022-01-14,16.1,9.7,0.2,19.3
2022-01-15,16.9,8.1,0.0,19.2
2022-01-16,18.0,8.9,0.6,20.5
2022-01-17,15.8,5.8,0.0,19.5
2022-01-18,16.2,5.2,0.0,11.2
2022-01-19,14.4,8.3,3.2,18.9
2022-01-20,15.4,5.9,0.0,13.4
2022-01-21,16.0,3.7,0.0,11.8
2022-01-22,16.8,4.4,0.0,13.1
2022-01-23,17.4,7.6,0.0,21.4
2022-01-24,15.8,6.2,0.2,9.6
2022-01-25,16.0,4.2,0.0,15.6
2022-01-26,11.5,7.7,3.2,25.6
2022-01-27,15.0,6.3,0.0,19.2
2022-01-28,15.7,5.8,0.0,13.0
2022-01-29,17.0,5.4,0.0,11.0
2022-01-30,18.1,6.1,0.0,16.3
2022-01-31,17.1,8.2,1.0,22.5
2022-02-01,18.8,8.3,0.0,12.6
2022-02-02,20.3,7.2,0.0,16.3
2022-02-03,18.5,9.7,0.4,27.5
2022-02-04,16.8,9.7,1.2,30.8
2022-02-05,18.0,8.5,0.0,16.9
2022-02-06,19.5,6.5,0.0,9.1
2022-02-07,22.4,7.1,0.0,11.4
2022-02-08,23.9,7.7,0.0,13.1
2022-02-09,17.8,7.7,0.0,24.1
2022-02-10,16.6,8.7,0.0,23.0
2022-02-11,19.6,7.6,0.0,14.8
