Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,22.4,18.3,28.1,7.6
2022-01-02,25.4,17.9,12.2,9.0
2022-01-03,24.1,18.1,16.0,6.5
2022-01-04,24.5,17.4,33.9,6.4
2022-01-05,24.3,17.9,3.0,8.4
2022-01-06,22.7,17.2,2.9,8.9
2022-01-07,24.0,17.3,9.6,5.4
2022-01-08,25.0,16.0,13.9,7.4
2022-01-09,25.6,17.4,7.0,8.0
2022-01-10,21.6,17.8,10.5,12.0
2022-01-11,25.9,17.1,5.2,8.0
2022-01-12,25.5,18.0,4.8,5.2
2022-01-13,24.6,17.6,23.3,12.6
2022-01-14,24.8,17.4,7.4,5.5
2022-01-15,24.6,17.1,9.1,10.0
2022-01-16,24.4,17.1,8.9,9.3
2022-01-17,24.2,16.9,27.1,7.6
2022-01-18,25.8,16.8,10.7,7.2
2022-01-19,26.3,17.5,2.5,9.7
2022-01-20,26.4,18.4,2.3,8.9
2022-01-21,25.5,16.3,6.8,9.0
2022-01-22,23.9,17.6,11.3,9.7
2022-01-23,25.4,18.1,11.9,6.5
2022-01-24,26.9,18.1,3.5,9.3
2022-01-25,23.8,18.0,16.7,7.3
2022-01-26,25.1,17.1,12.4,8.7
2022-01-27,25.6,18.3,21.4,8.2
2022-01-28,25.9,17.3,19.4,10.3
2022-01-29,25.5,17.0,15.6,8.6
2022-01-30,24.8,17.8,10.7,8.4
2022-01-31,24.9,17.2,6.1,11.2
2022-02-01,26.6,17.0,0.5,6.4
2022-02-02,25.5,16.6,4.2,8.5
2022-02-03,25.7,17.2,9.1,9.9
2022-02-04,24.2,17.0,15.7,7.8
2022-02-05,24.9,17.1,9.4,8.2
2022-02-06,24.4,17.6,10.1,5.6
2022-02-07,23.8,17.8,28.3,5.8
2022-02-08,22.5,18.0,15.8,6.5
2022-02-09,23.9,17.2,18.9,6.7
2022-02-10,24.4,17.7,16.2,11.5
2022-02-11,25.6,17.1,10.1,11.9
2022-02-12,25.6,17.3,24.7,8.3
2022-02-13,25.3,17.5,15.7,9.0
2022-02-14,24.7,17.9,8.0,10.1
2022-02-15,25.4,17.5,3.0,9.7
2022-02-16,25.7,17.4,13.5,13.6
2022-02-17,26.6,17.5,15.2,10.2
2022-02-18,21.6,18.2,42.2,5.8
2022-02-19,26.2,16.5,2.4,7.6
2022-02-20,23.8,18.0,22.9,10.4
2022-02-21,26.4,17.6,2.4,15.3
2022-02-22,26.3,17.2,18.2,7.6
2022-02-23,26.6,17.9,23.7,9.2
2022-02-24,24.4,17.8,8.8,7.1
2022-02-25,24.9,17.3,8.8,6.3
2022-02-26,24.2,17.4,47.0,4.9
2022-02-27,24.2,17.8,27.2,6.0
2022-02-28,24.8,18.5,18.8,7.6
2022-03-01,24.2,17.7,43.2,7.1
2022-03-02,22.2,18.1,33.1,7.4
2022-03-03,24.9,17.6,24.1,6.9
2022-03-04,24.8,17.9,17.4,7.1
2022-03-05,24.5,18.4,8.4,7.6
2022-03-06,22.5,17.4,18.4,6.6
2022-03-07,25.3,16.7,2.3,8.2
2022-03-08,26.1,16.8,0.0,12.9
2022-03-09,26.6,17.5,2.4,11.1
2022-03-10,26.7,17.5,4.3,7.7
2022-03-11,25.9,17.9,4.3,8.2
2022-03-12,25.8,17.5,3.8,8.4
2022-03-13,26.8,17.4,0.7,6.6
2022-03-14,26.6,18.1,11.5,11.2
2022-03-15,23.8,17.8,37.8,7.4
2022-03-16,24.9,18.2,15.9,7.4
2022-03-17,24.7,18.1,15.4,7.1
2022-03-18,24.3,17.3,31.2,8.5
2022-03-19,23.8,17.1,39.2,9.7
2022-03-20,25.2,17.4,53.0,8.4
2022-03-21,24.7,17.7,17.5,8.1
2022-03-22,26.0,17.8,17.3,9.0
2022-03-23,24.7,18.2,18.8,11.1
2022-03-24,25.0,17.9,26.6,8.8
2022-03-25,25.5,17.9,23.9,9.7
2022-03-26,24.9,17.4,15.5,7.4
2022-03-27,23.6,17.5,41.2,9.8
2022-03-28,25.0,18.5,16.4,9.8
2022-03-29,24.5,18.2,27.9,8.7
2022-03-30,25.3,17.6,12.3,9.8
2022-03-31,24.5,18.0,14.9,8.0
2022-04-01,24.8,18.1,14.4,7.9
2022-04-02,25.7,17.2,17.6,8.3
2022-04-03,24.7,17.4,19.4,10.7
2022-04-04,24.7,17.9,11.5,10.7
2022-04-05,26.4,18.1,26.9,7.2
2022-04-06,24.9,18.1,35.6,8.2
2022-04-07,25.0,17.7,40.4,7.1
2022-04-08,24.9,18.4,41.1,8.7
2022-04-09,24.1,17.9,22.1,8.9
2022-04-10,25.2,18.0,36.6,7.9
2022-04-11,25.3,18.3,11.9,9.2
2022-04-12,25.2,17.4,26.7,7.3
2022-04-13,25.4,17.4,15.0,9.0
2022-04-14,26.3,17.5,29.9,9.0
2022-04-15,27.0,18.0,13.9,7.6
2022-04-16,21.8,18.7,11.3,6.9
2022-04-17,23.9,18.7,17.9,9.1
2022-04-18,25.1,18.6,43.8,6.8
2022-04-19,22.0,18.1,20.3,6.6
2022-04-20,23.9,17.5,7.6,9.4
2022-04-21,26.4,17.6,1.7,10.0
2022-04-22,24.3,17.6,4.0,10.9
2022-04-23,25.7,16.7,8.8,11.3
2022-04-24,24.6,17.9,18.1,6.9
2022-04-25,24.3,18.2,6.3,8.3
2022-04-26,24.4,17.2,8.8,6.0
2022-04-27,25.5,17.6,12.5,7.3
2022-04-28,24.4,18.1,46.3,4.7
2022-04-29,25.7,18.1,14.2,8.6
2022-04-30,26.5,18.4,14.3,6.6
2022-05-01,25.2,17.7,10.5,12.0
2022-05-02,26.4,17.3,5.4,7.1
2022-05-03,26.7,17.6,8.2,9.8
2022-05-04,23.8,17.9,24.5,14.2
2022-05-05,22.1,17.6,41.1,8.1
2022-05-06,24.1,17.4,30.8,8.0
2022-05-07,24.0,17.7,9.6,5.6
2022-05-08,26.3,17.1,5.6,6.2
2022-05-09,27.2,18.8,1.1,9.3
2022-05-10,25.9,18.7,10.1,10.7
2022-05-11,25.9,18.1,3.6,6.4
2022-05-12,25.4,18.5,26.0,7.6
2022-05-13,23.6,18.3,25.6,10.5
2022-05-14,24.7,17.9,40.3,7.6
2022-05-15,24.9,17.2,29.6,8.9
2022-05-16,25.1,17.9,92.2,7.9
2022-05-17,21.5,17.9,73.3,9.6
2022-05-18,22.6,17.1,25.1,9.8
2022-05-19,23.9,16.5,16.0,9.9
2022-05-20,22.8,17.6,21.9,9.2
