Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,4.1,-1.3,9.1,42.7
2022-01-02,-1.7,-11.7,3.4,38.0
2022-01-03,-6.3,-15.7,0.0,21.9
2022-01-04,0.7,-6.8,0.0,29.4
2022-01-05,-0.5,-12.2,0.1,44.9
2022-01-06,-10.5,-15.5,0.0,29.3
2022-01-07,-10.9,-19.5,0.0,23.8
2022-01-08,0.6,-13.0,0.7,28.4
2022-01-09,1.0,-12.5,0.6,31.1
2022-01-10,-8.4,-14.1,0.2,23.0
2022-01-11,1.5,-15.0,0.0,38.0
2022-01-12,4.8,-1.8,0.2,26.3
2022-01-13,3.5,-3.3,0.0,16.6
2022-01-14,1.1,-3.0,0.4,28.8
2022-01-15,-3.2,-6.1,1.0,31.2
2022-01-16,-3.1,-11.4,0.4,14.7
2022-01-17,-1.4,-5.4,0.0,27.3
2022-01-18,5.8,-7.4,0.0,37.7
2022-01-19,4.2,-10.4,0.0,35.0
2022-01-20,-7.8,-13.8,0.0,24.5
2022-01-21,-3.8,-10.3,0.0,21.2
2022-01-22,0.7,-7.8,0.4,30.3
2022-01-23,-4.2,-17.2,6.9,31.2
2022-01-24,-2.8,-17.5,3.5,25.4
2022-01-25,-12.5,-19.1,0.0,22.3
2022-01-26,-12.7,-24.5,0.0,25.5
2022-01-27,-0.9,-12.4,0.4,28.4
2022-01-28,-2.7,-14.9,4.1,25.3
2022-01-29,-7.9,-18.8,0.0,17.9
2022-01-30,-1.7,-14.1,0.1,16.7
2022-01-31,-1.1,-7.5,0.0,25.8
2022-02-01,6.0,-1.9,5.2,29.8
2022-02-02,0.5,-6.1,16.7,39.1
2022-02-03,-3.6,-5.2,2.5,38.9
2022-02-04,-5.3,-10.4,0.3,24.6
2022-02-05,-10.2,-17.3,0.0,31.7
2022-02-06,-2.8,-9.8,0.0,29.9
2022-02-07,-3.3,-13.1,0.0,22.1
2022-02-08,2.1,-15.7,0.0,27.3
2022-02-09,3.9,-1.4,0.1,24.5
2022-02-10,-0.1,-4.7,0.2,29.2
2022-02-11,5.9,-2.5,3.1,40.3
2022-02-12,-2.7,-11.1,0.3,33.5
2022-02-13,-8.0,-13.3,0.0,17.2
2022-02-14,-2.5,-11.0,0.0,14.1
2022-02-15,3.1,-8.1,0.0,33.9
2022-02-16,13.0,4.5,14.6,42.7
2022-02-17,6.0,-7.2,20.4,45.5
2022-02-18,-1.6,-17.5,0.1,44.3
2022-02-19,-0.9,-14.2,0.3,40.4
2022-02-20,10.2,-10.2,0.0,41.4
2022-02-21,11.2,-2.3,0.0,21.7
2022-02-22,11.5,-4.5,12.8,29.4
2022-02-23,-3.9,-8.3,0.1,27.9
2022-02-24,-2.3,-4.5,2.6,24.5
2022-02-25,-2.8,-6.0,3.1,21.0
2022-02-26,1.3,-13.0,0.0,24.6
2022-02-27,5.9,-3.9,0.0,27.5
2022-02-28,12.0,-4.0,0.0,32.4
2022-03-01,7.5,0.3,0.0,19.9
2022-03-02,12.1,-1.9,0.5,26.0
2022-03-03,0.9,-2.7,0.0,27.2
2022-03-04,2.9,-4.0,0.0,22.6
2022-03-05,19.9,2.1,5.7,43.1
2022-03-06,14.5,1.7,3.5,42.8
2022-03-07,2.0,-1.6,13.0,25.9
2022-03-08,3.2,-7.3,0.0,18.8
2022-03-09,5.8,-3.4,0.0,20.8
2022-03-10,-2.6,-5.5,1.2,20.8
2022-03-11,1.6,-8.1,2.2,34.6
2022-03-12,-4.6,-12.3,0.0,25.7
2022-03-13,10.8,-7.6,0.1,26.4
2022-03-14,15.2,-0.1,0.0,26.7
2022-03-15,5.6,-1.0,0.0,16.9
2022-03-16,19.2,0.1,0.0,29.1
2022-03-17,17.4,5.0,4.1,19.9
2022-03-18,4.8,3.1,18.5,30.2
2022-03-19,5.2,1.9,6.7,27.3
2022-03-20,14.8,-1.2,0.0,16.7
2022-03-21,21.1,3.9,0.0,26.6
2022-03-22,12.2,7.3,6.2,34.0
2022-03-23,15.6,7.7,19.8,32.8
2022-03-24,8.0,3.6,3.4,30.3
2022-03-25,8.8,1.7,1.1,35.8
2022-03-26,1.2,-2.4,0.0,32.5
2022-03-27,0.6,-4.8,0.0,26.4
2022-03-28,-1.6,-5.0,0.0,21.7
2022-03-29,4.6,-2.6,0.2,30.5
2022-03-30,16.1,4.1,34.9,49.8
2022-03-31,11.2,1.2,16.9,27.3
2022-04-01,4.3,-1.9,0.6,21.7
2022-04-02,5.7,-1.2,5.3,20.8
2022-04-03,6.4,-2.2,1.1,14.5
2022-04-04,12.4,3.8,9.7,28.5
2022-04-05,9.5,1.0,0.0,22.2
2022-04-06,13.6,7.0,15.2,41.4
2022-04-07,7.9,4.1,2.0,36.1
2022-04-08,4.0,1.1,5.1,25.9
2022-04-09,6.0,-1.4,0.2,22.7
2022-04-10,13.9,-1.3,0.0,32.6
2022-04-11,14.7,5.6,2.5,33.1
2022-04-12,18.2,3.0,0.6,36.7
2022-04-13,21.7,6.9,18.7,42.1
2022-04-14,10.0,1.7,0.0,53.5
2022-04-15,12.0,3.0,1.1,28.0
2022-04-16,7.9,-0.0,0.0,22.6
2022-04-17,3.6,-0.7,0.0,21.0
2022-04-18,6.6,1.2,6.6,34.7
2022-04-19,6.7,0.8,0.0,26.3
2022-04-20,10.4,3.6,5.1,38.4
2022-04-21,19.5,9.1,1.7,32.7
2022-04-22,14.4,7.0,3.8,32.9
2022-04-23,25.8,13.9,0.0,36.7
2022-04-24,21.9,13.7,5.0,41.7
2022-04-25,12.3,4.9,0.0,31.0
2022-04-26,10.8,2.7,0.0,33.6
2022-04-27,3.7,0.9,0.1,25.3
2022-04-28,8.6,2.2,1.2,23.5
2022-04-29,14.3,7.5,1.5,27.7
2022-04-30,19.8,9.4,29.8,34.7
2022-05-01,14.1,9.4,0.0,35.5
2022-05-02,13.1,7.3,0.1,19.1
2022-05-03,9.1,5.8,26.3,41.2
2022-05-04,8.9,4.1,0.0,35.4
2022-05-05,9.9,4.4,10.8,20.1
2022-05-06,8.6,7.4,7.7,32.7
2022-05-07,12.3,6.0,0.0,26.1
2022-05-08,16.4,6.0,0.0,25.2
2022-05-09,23.5,11.2,0.0,38.0
2022-05-10,29.3,17.7,2.5,29.9
2022-05-11,23.9,16.6,0.8,22.1
2022-05-12,29.6,19.5,0.0,24.6
2022-05-13,28.9,17.1,0.0,21.7
2022-05-14,24.2,16.2,0.0,16.9
2022-05-15,20.9,14.8,0.8,19.1
2022-05-16,24.6,12.2,0.1,30.0
2022-05-17,16.0,10.0,0.0,21.6
2022-05-18,15.8,11.2,7.2,22.1
2022-05-19,28.4,11.2,0.2,30.2
2022-05-20,30.5,13.9,17.8,46.7
2022-05-21,16.3,12.9,22.2,17.5
2022-05-22,16.1,10.1,0.1,22.4
2022-05-23,13.3,9.0,0.0,20.9
2022-05-24,15.3,8.8,0.0,26.2
2022-05-25,23.7,12.2,9.0,26.6
2022-05-26,23.6,16.6,3.8,25.5
2022-05-27,15.9,10.8,30.6,42.3
2022-05-28,20.5,9.2,0.0,22.3
2022-05-29,27.0,15.5,0.0,32.1
2022-05-30,29.0,19.7,0.0,33.8
2022-05-31,28.5,21.3,7.8,32.1
2022-06-01,20.7,14.7,1.3,18.7
2022-06-02,21.3,14.4,0.7,13.1
2022-06-03,26.7,14.0,0.0,24.6
2022-06-04,19.6,12.5,0.0,17.1
2022-06-05,21.8,15.1,0.6,16.7
2022-06-06,25.8,13.6,24.1,23.3
2022-06-07,15.1,11.6,0.2,28.4
2022-06-08,19.1,12.8,6.4,23.3
2022-06-09,24.6,11.3,0.0,21.9
2022-06-10,25.1,13.8,0.6,18.2
2022-06-11,23.1,13.1,0.0,16.6
2022-06-12,18.2,12.2,2.2,24.8
2022-06-13,29.4,12.5,7.7,29.8
2022-06-14,35.8,21.5,0.0,26.8
2022-06-15,35.8,25.6,0.0,39.0
2022-06-16,34.9,22.7,0.0,38.4
2022-06-17,28.3,18.7,0.0,22.7
2022-06-18,19.0,13.5,0.0,23.8
2022-06-19,29.7,12.9,0.0,22.3
2022-06-20,35.0,18.4,0.0,25.3
2022-06-21,37.4,22.3,0.0,30.1
2022-06-22,29.7,22.5,0.0,20.7
2022-06-23,26.0,18.5,0.0,18.8
2022-06-24,31.0,17.7,0.0,19.4
2022-06-25,26.1,20.1,18.4,25.8
2022-06-26,27.0,19.1,0.4,28.3
