Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,23.4,-1.9,25.0,35.2
2022-01-02,2.9,-7.1,0.0,34.5
2022-01-03,10.5,-2.9,0.0,18.1
2022-01-04,15.1,1.8,0.0,30.1
2022-01-05,14.2,2.7,0.0,21.4
2022-01-06,5.7,-1.3,0.0,29.6
2022-01-07,8.5,-5.6,0.0,18.3
2022-01-08,17.0,7.6,1.8,21.1
2022-01-09,16.4,6.7,0.2,32.1
2022-01-10,10.9,0.7,0.0,22.3
2022-01-11,13.4,0.1,0.4,18.8
2022-01-12,15.7,4.2,0.0,15.8
2022-01-13,20.4,3.7,0.0,13.3
2022-01-14,23.2,5.4,0.1,24.1
2022-01-15,14.9,-0.6,0.0,46.2
2022-01-16,10.3,-1.6,0.0,26.2
2022-01-17,15.8,-0.6,0.0,16.0
2022-01-18,21.9,8.7,0.0,34.6
2022-01-19,18.2,2.5,1.3,35.3
2022-01-20,1.8,-3.9,0.0,33.5
2022-01-21,4.1,-6.4,0.0,13.7
2022-01-22,8.9,-3.9,0.0,10.1
2022-01-23,16.8,-0.1,0.0,16.4
2022-01-24,13.7,6.4,4.3,15.9
2022-01-25,13.8,4.0,0.0,21.7
2022-01-26,8.3,-0.2,0.0,21.7
2022-01-27,11.6,4.0,0.6,19.8
2022-01-28,12.5,0.4,0.0,22.7
2022-01-29,18.7,0.5,0.0,21.7
2022-01-30,20.1,6.6,0.0,18.0
2022-01-31,17.9,9.4,0.5,21.6
2022-02-01,21.6,11.7,1.0,20.9
2022-02-02,13.9,0.9,21.1,27.5
2022-02-03,0.6,-5.9,15.5,30.0
2022-02-04,2.2,-6.0,0.0,26.8
2022-02-05,7.0,-7.7,0.0,15.8
2022-02-06,12.3,-1.5,0.0,16.0
2022-02-07,13.2,0.5,0.0,22.0
2022-02-08,18.0,2.5,0.0,20.9
2022-02-09,19.1,2.8,0.0,16.5
2022-02-10,20.5,2.8,0.0,13.6
2022-02-11,24.3,10.5,0.0,25.8
2022-02-12,13.7,0.7,0.9,33.8
2022-02-13,17.3,-1.4,0.0,17.7
2022-02-14,20.9,2.8,0.0,23.0
2022-02-15,21.3,8.3,0.0,36.5
2022-02-16,22.1,14.8,3.8,36.4
2022-02-17,18.9,1.1,10.0,41.6
2022-02-18,10.6,-3.3,0.0,21.2
2022-02-19,17.0,0.0,0.0,12.0
2022-02-20,19.2,7.2,0.0,29.0
2022-02-21,26.9,13.7,0.5,30.5
2022-02-22,20.9,3.6,0.7,34.1
2022-02-23,2.4,-3.1,3.3,26.0
2022-02-24,2.5,-5.1,3.0,15.2
2022-02-25,5.7,-5.5,0.2,23.9
2022-02-26,4.6,-0.7,4.3,14.2
2022-02-27,11.9,-1.1,0.0,18.7
2022-02-28,17.4,-3.0,0.0,9.7
2022-03-01,21.6,2.8,0.0,12.6
2022-03-02,23.8,7.4,0.0,13.3
2022-03-03,24.9,7.6,0.0,13.6
2022-03-04,22.8,12.7,0.4,26.9
2022-03-05,25.5,17.7,0.5,34.9
2022-03-06,26.2,6.2,7.0,42.0
2022-03-07,10.3,3.7,3.0,28.6
2022-03-08,6.6,1.2,10.9,15.7
2022-03-09,13.5,-1.3,0.0,15.0
2022-03-10,18.4,3.6,0.0,13.9
2022-03-11,9.6,1.4,0.0,35.9
2022-03-12,12.3,-4.2,0.0,17.7
2022-03-13,17.4,4.0,0.0,29.7
2022-03-14,25.0,9.9,6.3,33.9
2022-03-15,20.9,8.3,0.0,27.6
2022-03-16,25.6,8.2,0.0,19.9
2022-03-17,23.2,12.8,0.7,39.3
2022-03-18,18.3,8.2,0.0,36.4
2022-03-19,23.4,4.8,0.0,13.5
2022-03-20,26.3,11.8,0.0,29.3
2022-03-21,20.6,15.2,72.3,38.1
2022-03-22,17.0,9.2,0.0,35.0
2022-03-23,16.3,8.2,0.0,31.5
2022-03-24,18.2,2.6,0.0,19.1
2022-03-25,24.6,4.8,0.0,13.9
2022-03-26,28.3,9.3,0.0,14.4
2022-03-27,32.8,14.0,0.0,28.1
2022-03-28,29.2,15.2,0.0,30.9
2022-03-29,28.6,18.8,0.5,45.6
2022-03-30,21.9,9.2,12.1,43.8
2022-03-31,19.6,6.4,0.0,19.3
2022-04-01,22.3,7.5,0.0,25.0
2022-04-02,23.4,11.8,1.8,21.1
2022-04-03,28.5,12.5,0.0,24.9
2022-04-04,26.7,14.8,17.1,34.9
2022-04-05,32.3,15.7,10.9,33.5
2022-04-06,25.0,13.8,0.0,45.7
2022-04-07,20.0,8.3,0.0,46.0
2022-04-08,18.8,8.2,0.0,31.6
2022-04-09,28.8,6.8,0.0,32.1
2022-04-10,29.3,15.7,0.0,40.6
2022-04-11,30.6,19.8,1.0,36.2
2022-04-12,29.1,19.7,4.4,37.9
2022-04-13,24.0,15.6,19.9,41.9
2022-04-14,24.2,10.4,0.0,20.5
2022-04-15,27.9,14.4,0.1,30.9
2022-04-16,31.4,15.5,0.4,29.5
2022-04-17,24.7,14.2,11.0,24.8
2022-04-18,22.7,10.9,0.0,20.9
2022-04-19,24.1,12.2,4.2,33.7
2022-04-20,31.6,18.6,2.9,40.8
2022-04-21,30.2,20.1,1.4,33.0
2022-04-22,30.8,20.4,0.6,36.8
2022-04-23,29.0,19.3,1.3,40.0
2022-04-24,28.7,16.6,59.4,31.7
2022-04-25,21.6,15.0,26.6,26.4
2022-04-26,21.9,10.8,0.0,17.4
2022-04-27,24.7,11.6,0.0,19.2
2022-04-28,27.6,17.4,0.3,30.4
2022-04-29,28.2,19.3,0.8,36.5
2022-04-30,28.4,19.4,0.7,29.9
2022-05-01,30.2,14.6,0.0,21.5
2022-05-02,30.2,21.0,6.7,41.2
