Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,30.4,25.6,12.3,16.4
2022-01-02,30.5,26.6,1.0,17.6
2022-01-03,31.0,26.6,0.1,17.3
2022-01-04,30.8,26.6,0.5,19.5
2022-01-05,30.5,26.3,0.8,19.5
2022-01-06,31.3,27.1,0.6,18.4
2022-01-07,31.9,27.1,0.2,22.5
2022-01-08,31.8,26.9,0.4,21.3
2022-01-09,31.7,26.7,1.4,21.7
2022-01-10,31.5,26.8,0.4,22.2
2022-01-11,30.0,26.3,4.1,23.9
2022-01-12,31.1,26.6,2.2,25.3
2022-01-13,31.6,26.6,0.5,21.6
2022-01-14,31.6,26.6,0.3,20.5
2022-01-15,32.0,25.5,0.1,17.1
2022-01-16,32.5,25.3,0.0,18.2
2022-01-17,33.2,26.3,0.3,17.1
2022-01-18,31.1,26.5,0.5,18.5
2022-01-19,27.6,24.3,12.4,15.5
2022-01-20,30.1,24.3,10.7,13.8
2022-01-21,29.2,24.3,6.2,14.0
2022-01-22,29.7,25.7,1.9,17.3
2022-01-23,30.1,25.2,1.3,16.3
2022-01-24,30.9,26.4,0.0,26.3
2022-01-25,30.4,26.6,0.4,25.7
2022-01-26,29.8,26.5,0.4,20.5
2022-01-27,29.7,25.8,0.2,18.9
2022-01-28,30.5,25.3,0.4,15.5
2022-01-29,30.5,25.4,3.0,17.2
2022-01-30,28.8,24.7,4.8,13.8
2022-01-31,30.1,24.3,0.7,13.2
2022-02-01,30.6,24.5,1.5,13.5
2022-02-02,30.3,24.2,9.3,12.4
2022-02-03,30.0,25.7,0.5,20.3
2022-02-04,31.4,26.4,0.1,16.2
2022-02-05,28.5,23.8,19.2,14.8
2022-02-06,29.8,25.7,0.3,13.7
2022-02-07,31.0,25.4,4.4,17.0
2022-02-08,31.2,26.3,0.0,21.1
2022-02-09,31.1,26.1,0.0,22.9
2022-02-10,30.8,25.7,0.4,19.3
2022-02-11,31.0,26.3,1.6,19.1
2022-02-12,31.1,26.0,0.5,14.1
2022-02-13,30.8,26.1,1.4,16.9
2022-02-14,31.5,26.0,0.4,15.8
2022-02-15,32.4,24.9,0.6,19.0
2022-02-16,31.7,26.0,0.0,13.3
2022-02-17,30.6,25.4,1.2,12.6
2022-02-18,31.4,25.4,4.9,14.4
2022-02-19,31.0,25.9,0.8,14.5
2022-02-20,32.5,25.7,0.0,12.7
2022-02-21,33.4,27.0,0.0,17.6
2022-02-22,33.4,27.1,0.0,19.6
2022-02-23,30.7,27.1,4.3,20.5
2022-02-24,29.4,24.7,6.8,20.3
2022-02-25,29.8,25.9,0.1,16.3
2022-02-26,31.6,26.2,0.3,15.0
2022-02-27,29.9,26.0,1.4,17.2
2022-02-28,30.8,25.4,0.8,13.4
2022-03-01,31.5,25.7,0.0,17.7
2022-03-02,31.4,26.2,0.1,19.3
2022-03-03,31.0,25.8,0.2,17.1
2022-03-04,31.8,26.7,0.0,20.8
2022-03-05,31.1,26.3,1.0,18.5
2022-03-06,30.6,26.4,0.1,15.5
2022-03-07,31.0,25.5,1.5,15.1
2022-03-08,31.6,26.0,0.3,17.8
2022-03-09,31.5,26.3,0.9,17.7
2022-03-10,31.8,26.3,0.0,17.6
2022-03-11,31.9,26.5,0.1,19.0
2022-03-12,31.9,26.3,0.4,19.9
2022-03-13,31.8,26.1,0.1,17.5
2022-03-14,31.4,25.4,0.4,19.0
2022-03-15,32.5,26.2,0.0,20.0
2022-03-16,32.2,26.4,0.0,19.2
2022-03-17,31.5,27.0,1.2,19.5
2022-03-18,31.3,25.8,3.2,15.5
2022-03-19,31.5,26.7,0.6,15.3
2022-03-20,31.6,26.0,2.1,17.8
2022-03-21,30.3,23.7,12.6,13.3
2022-03-22,30.0,24.4,2.0,16.2
2022-03-23,30.7,24.3,9.8,16.3
2022-03-24,31.4,24.6,2.9,14.1
2022-03-25,32.7,24.6,0.8,16.3
2022-03-26,30.7,25.3,1.3,14.8
2022-03-27,30.8,24.3,0.5,14.6
2022-03-28,30.8,25.0,4.5,16.5
2022-03-29,29.1,25.4,12.5,12.6
2022-03-30,29.0,23.2,21.3,13.0
2022-03-31,29.6,22.8,8.9,14.5
2022-04-01,29.8,24.2,5.3,11.5
2022-04-02,29.9,24.5,1.4,13.8
2022-04-03,30.9,24.7,1.1,13.3
2022-04-04,31.0,24.6,0.9,15.1
2022-04-05,31.1,24.4,0.1,16.8
2022-04-06,30.6,24.6,0.3,14.5
2022-04-07,31.0,25.6,0.1,13.8
2022-04-08,31.3,24.7,0.4,13.6
2022-04-09,31.4,25.0,1.0,15.8
2022-04-10,31.3,24.9,4.7,16.5
2022-04-11,31.4,24.7,1.3,19.4
2022-04-12,29.3,24.5,5.6,21.6
2022-04-13,28.0,23.4,23.5,15.0
2022-04-14,28.2,23.4,18.8,14.8
2022-04-15,29.4,23.6,10.7,19.1
2022-04-16,28.8,22.8,37.9,15.3
2022-04-17,29.5,23.8,13.5,16.6
2022-04-18,30.9,23.8,0.6,17.0
2022-04-19,29.7,24.1,4.0,16.6
2022-04-20,29.3,24.6,7.0,17.7
2022-04-21,31.6,24.2,4.8,14.6
2022-04-22,29.7,23.9,4.6,11.0
2022-04-23,28.9,24.0,14.5,10.4
2022-04-24,29.2,25.0,8.3,12.6
2022-04-25,30.2,23.9,7.3,10.0
2022-04-26,25.6,23.7,18.7,15.7
2022-04-27,29.3,23.4,20.5,14.5
2022-04-28,28.0,23.5,14.9,18.2
2022-04-29,29.2,23.8,0.9,17.7
2022-04-30,27.8,24.3,2.4,19.6
2022-05-01,28.4,24.2,10.4,20.5
2022-05-02,29.9,24.1,0.0,23.5
2022-05-03,30.1,23.1,0.0,22.0
2022-05-04,29.9,23.6,1.3,22.2
2022-05-05,27.5,23.1,10.5,21.9
2022-05-06,27.9,23.0,1.2,21.3
2022-05-07,30.1,23.4,0.6,18.1
2022-05-08,30.5,23.5,0.0,17.3
2022-05-09,30.7,24.2,0.0,15.2
2022-05-10,30.8,23.8,0.5,19.6
2022-05-11,30.1,22.9,0.0,21.0
2022-05-12,29.7,22.9,0.8,17.5
2022-05-13,30.3,23.2,0.5,18.4
2022-05-14,30.2,23.0,0.5,16.6
2022-05-15,29.9,23.4,0.6,18.6
2022-05-16,29.9,23.2,0.3,20.0
2022-05-17,30.2,23.2,1.4,20.9
2022-05-18,29.3,23.2,0.6,21.2
2022-05-19,29.9,22.5,0.3,13.4
2022-05-20,28.8,23.2,2.6,14.9
2022-05-21,29.7,22.9,0.8,15.9
2022-05-22,31.3,22.7,0.1,13.2
2022-05-23,31.8,22.9,0.0,17.8
2022-05-24,31.0,23.6,0.0,17.7
2022-05-25,30.3,23.2,1.8,19.5
2022-05-26,31.2,23.4,0.3,16.8
2022-05-27,31.0,23.7,0.4,17.9
2022-05-28,30.7,23.6,0.0,24.1
2022-05-29,30.1,22.8,0.6,21.1
2022-05-30,29.5,22.7,0.9,20.6
2022-05-31,29.7,22.9,1.8,15.9
2022-06-01,30.1,23.1,0.0,26.9
2022-06-02,29.8,23.6,0.6,27.8
2022-06-03,30.7,23.1,0.0,24.2
2022-06-04,30.3,22.1,0.8,22.3
2022-06-05,27.5,22.9,2.8,20.5
2022-06-06,29.7,22.7,0.2,27.4
2022-06-07,30.3,23.6,0.0,22.3
2022-06-08,30.8,22.7,0.0,24.2
2022-06-09,30.6,22.5,0.0,21.3
2022-06-10,29.4,22.9,0.5,21.4
2022-06-11,29.7,22.8,0.0,26.1
2022-06-12,29.8,23.1,0.0,22.8
2022-06-13,29.5,22.2,0.2,20.0
2022-06-14,29.7,22.0,0.6,17.1
2022-06-15,30.3,22.1,0.3,17.5
2022-06-16,30.1,21.7,0.6,16.7
2022-06-17,30.4,22.1,0.2,18.7
2022-06-18,29.8,22.1,0.1,22.7
2022-06-19,29.2,22.5,0.2,20.6
2022-06-20,29.6,21.8,0.4,19.2
2022-06-21,29.9,22.4,0.2,24.5
2022-06-22,28.8,23.2,0.4,26.2
2022-06-23,28.2,22.1,0.6,21.6
2022-06-24,28.0,22.4,0.3,21.6
2022-06-25,29.3,21.7,0.0,17.8
2022-06-26,28.7,21.4,0.2,27.3
2022-06-27,29.4,22.6,0.0,26.3
2022-06-28,27.8,22.4,0.4,23.9
2022-06-29,28.1,21.4,0.2,21.1
2022-06-30,27.8,21.2,0.7,23.3
2022-07-01,27.3,21.4,0.8,21.3
2022-07-02,24.9,21.3,5.3,19.8
2022-07-03,28.1,20.6,2.4,21.0
2022-07-04,27.5,22.0,1.3,21.4
2022-07-05,25.2,21.3,3.3,19.5
2022-07-06,28.8,20.4,0.2,20.6
2022-07-07,28.6,22.2,0.8,17.0
2022-07-08,28.4,21.2,0.3,22.4
2022-07-09,28.3,20.3,0.3,22.0
2022-07-10,26.6,21.0,2.0,18.4
2022-07-11,26.8,20.6,1.0,16.4
2022-07-12,28.5,21.1,0.1,16.4
2022-07-13,29.5,20.2,1.3,21.2
2022-07-14,27.3,23.1,2.8,17.4
2022-07-15,28.4,23.0,0.1,21.1
2022-07-16,27.9,22.2,0.3,22.0
2022-07-17,28.0,20.7,0.4,20.4
2022-07-18,27.4,21.6,0.8,19.6
2022-07-19,26.7,20.9,2.4,22.6
2022-07-20,28.2,20.5,0.9,20.2
2022-07-21,26.9,20.5,1.4,19.5
2022-07-22,28.0,20.3,0.4,14.6
2022-07-23,26.7,20.4,0.9,14.6
2022-07-24,28.8,20.3,0.3,19.6
2022-07-25,28.8,20.9,0.5,18.8
2022-07-26,28.6,21.1,0.8,22.9
2022-07-27,27.6,21.6,0.8,19.0
2022-07-28,27.3,21.0,0.6,20.8
2022-07-29,27.7,21.0,0.3,19.5
2022-07-30,28.1,21.1,0.4,14.6
2022-07-31,27.5,21.3,0.6,16.1
2022-08-01,28.5,21.1,0.5,15.9
2022-08-02,27.6,20.7,1.2,20.3
2022-08-03,28.3,21.0,0.5,18.7
2022-08-04,28.9,20.8,0.5,17.6
2022-08-05,28.4,21.0,0.1,17.1
2022-08-06,27.8,20.2,0.5,17.1
2022-08-07,28.7,20.1,0.6,17.7
2022-08-08,27.6,21.0,0.7,19.2
2022-08-09,28.0,20.4,0.2,16.0
2022-08-10,28.7,22.2,0.8,16.9
2022-08-11,28.2,21.3,0.6,19.3
2022-08-12,27.4,20.9,0.4,20.8
2022-08-13,28.4,20.1,1.1,17.5
2022-08-14,27.8,22.0,1.5,19.5
2022-08-15,27.1,21.3,2.6,16.7
2022-08-16,29.7,20.9,0.1,18.4
2022-08-17,29.1,20.5,1.2,18.5
2022-08-18,28.9,21.8,0.8,20.5
2022-08-19,28.0,20.5,0.2,19.0
2022-08-20,27.5,20.8,0.4,18.7
2022-08-21,29.5,20.3,0.0,20.3
2022-08-22,27.9,20.2,2.5,20.5
2022-08-23,28.4,20.9,1.8,19.6
2022-08-24,29.4,20.7,0.3,22.8
2022-08-25,26.4,21.1,4.9,15.1
2022-08-26,27.6,20.4,0.8,20.6
2022-08-27,28.6,21.5,1.2,20.2
2022-08-28,27.8,20.2,0.8,19.0
2022-08-29,28.8,20.1,0.2,18.8
2022-08-30,28.7,20.1,0.0,19.4
2022-08-31,29.0,21.1,0.9,18.5
2022-09-01,29.0,21.5,0.3,28.2
2022-09-02,29.1,22.4,0.2,25.5
2022-09-03,29.1,20.6,0.4,19.9
2022-09-04,27.9,20.4,4.4,18.4
2022-09-05,27.7,20.4,1.7,18.0
2022-09-06,28.2,21.6,1.0,20.4
2022-09-07,29.4,22.0,0.6,19.7
2022-09-08,29.0,20.7,0.4,19.8
2022-09-09,29.0,20.9,0.2,21.0
2022-09-10,28.7,21.6,1.3,20.4
2022-09-11,27.4,21.2,2.0,18.1
2022-09-12,27.9,21.3,1.2,19.4
2022-09-13,29.4,21.6,0.3,19.4
2022-09-14,29.0,21.9,0.4,18.3
2022-09-15,28.2,21.4,0.9,18.8
2022-09-16,28.5,22.1,1.6,19.0
2022-09-17,27.2,21.8,0.6,14.4
2022-09-18,28.8,22.7,1.4,20.0
2022-09-19,29.0,22.0,0.7,21.3
2022-09-20,27.3,21.9,2.5,18.1
