Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,23.8,14.2,0.0,13.8
2022-01-02,23.9,13.6,0.0,11.0
2022-01-03,23.9,13.6,0.0,9.4
2022-01-04,23.7,12.7,0.0,9.4
2022-01-05,23.8,12.4,0.0,9.5
2022-01-06,24.0,12.2,0.0,9.0
2022-01-07,25.2,13.6,0.0,9.5
2022-01-08,25.9,14.3,0.0,10.0
2022-01-09,26.1,14.0,0.0,10.2
2022-01-10,26.3,14.5,0.0,9.4
2022-01-11,25.7,15.8,1.9,13.0
2022-01-12,23.9,17.5,3.5,16.6
2022-01-13,24.4,15.9,1.1,9.0
2022-01-14,22.2,15.9,0.0,11.6
2022-01-15,23.2,15.1,0.0,9.5
2022-01-16,22.9,13.5,0.0,13.4
2022-01-17,23.7,12.3,0.0,11.8
2022-01-18,23.8,13.1,0.0,9.4
2022-01-19,23.5,14.0,0.1,10.0
2022-01-20,22.6,13.2,0.0,12.3
2022-01-21,23.2,13.0,0.0,8.5
2022-01-22,21.7,13.2,0.2,8.2
2022-01-23,22.6,13.8,0.1,10.1
2022-01-24,20.7,16.1,4.3,12.2
2022-01-25,23.5,13.6,0.0,7.6
2022-01-26,24.3,15.0,1.1,10.2
2022-01-27,22.8,14.1,0.4,13.0
2022-01-28,21.0,10.6,0.0,15.9
2022-01-29,20.8,9.0,0.0,13.3
2022-01-30,21.2,9.7,0.0,11.4
2022-01-31,23.0,10.6,0.0,10.2
2022-02-01,24.4,14.3,0.5,17.1
2022-02-02,24.5,12.0,0.0,11.5
2022-02-03,24.5,15.6,6.7,11.6
2022-02-04,24.4,15.5,17.7,14.6
2022-02-05,22.4,13.7,5.1,16.6
2022-02-06,21.5,10.6,0.0,9.4
2022-02-07,21.9,10.6,0.0,13.8
2022-02-08,23.3,11.9,0.0,8.2
2022-02-09,23.9,12.8,0.1,8.7
2022-02-10,19.3,14.8,0.8,9.3
2022-02-11,23.5,12.5,0.2,11.5
