Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,29.3,23.9,1.1,12.2
2022-01-02,30.7,23.1,0.3,15.8
2022-01-03,29.1,24.1,0.3,13.8
2022-01-04,29.4,23.6,1.2,14.6
2022-01-05,31.5,23.8,0.5,13.5
2022-01-06,30.6,23.4,0.1,15.6
2022-01-07,30.3,23.6,0.6,14.8
2022-01-08,30.4,24.7,0.3,16.1
2022-01-09,29.8,24.6,0.9,17.4
2022-01-10,28.7,24.3,1.2,16.0
2022-01-11,28.8,24.2,1.1,19.6
2022-01-12,30.8,23.9,0.0,16.4
2022-01-13,28.9,24.5,1.5,18.9
2022-01-14,28.9,23.8,0.6,13.3
2022-01-15,29.3,23.8,0.7,19.6
2022-01-16,28.3,23.5,1.9,17.5
2022-01-17,27.9,23.4,0.8,16.1
2022-01-18,30.2,22.9,3.7,13.8
2022-01-19,30.9,23.8,3.8,13.0
2022-01-20,31.3,24.4,0.8,13.8
2022-01-21,29.5,23.9,0.3,16.6
2022-01-22,30.2,23.8,0.1,16.8
2022-01-23,30.3,23.6,0.3,14.8
2022-01-24,30.9,24.2,0.2,15.9
2022-01-25,29.6,24.1,0.7,17.9
2022-01-26,30.1,23.8,1.2,16.6
2022-01-27,29.4,24.0,0.2,16.3
2022-01-28,31.7,23.3,0.0,18.1
2022-01-29,30.4,23.5,1.0,16.3
2022-01-30,31.7,22.9,0.0,17.1
2022-01-31,30.6,22.9,0.2,16.8
2022-02-01,29.2,23.7,1.4,16.1
2022-02-02,29.7,23.9,0.1,17.7
2022-02-03,29.8,24.0,0.5,18.2
2022-02-04,30.7,24.0,3.6,15.3
2022-02-05,30.9,24.1,0.6,16.2
2022-02-06,30.2,23.6,0.6,15.8
2022-02-07,32.2,23.7,0.0,17.9
2022-02-08,30.9,24.4,0.0,17.8
2022-02-09,30.2,24.4,0.5,19.8
2022-02-10,31.2,24.6,2.0,19.4
2022-02-11,29.9,24.6,1.9,16.1
2022-02-12,30.4,24.5,1.8,17.6
2022-02-13,31.0,24.4,0.1,20.3
2022-02-14,30.8,24.3,0.5,18.1
2022-02-15,30.1,24.2,1.2,20.4
2022-02-16,29.4,24.0,2.0,18.1
2022-02-17,30.5,23.9,0.0,17.5
2022-02-18,31.5,24.2,0.3,16.6
2022-02-19,29.4,25.0,1.4,18.0
2022-02-20,31.1,24.7,1.5,17.7
2022-02-21,30.2,24.6,1.1,19.2
2022-02-22,31.1,23.6,0.0,19.5
2022-02-23,30.2,25.0,1.3,18.3
2022-02-24,31.0,24.6,0.0,20.2
2022-02-25,31.2,24.5,0.3,17.6
2022-02-26,31.4,25.0,1.6,18.4
2022-02-27,30.4,25.6,1.2,17.8
2022-02-28,30.8,25.3,1.0,19.2
2022-03-01,31.1,24.7,0.0,18.2
2022-03-02,30.0,25.5,0.8,17.9
2022-03-03,29.9,24.9,4.4,18.4
2022-03-04,30.2,24.2,3.6,10.0
2022-03-05,30.8,23.5,0.2,16.8
2022-03-06,30.6,24.3,0.1,16.2
2022-03-07,31.2,23.4,0.0,14.5
2022-03-08,30.9,24.9,0.5,14.7
2022-03-09,29.6,24.5,2.8,11.2
2022-03-10,29.7,24.5,12.1,15.3
2022-03-11,30.1,24.5,0.8,11.6
2022-03-12,30.2,24.6,15.1,10.0
2022-03-13,31.1,23.5,0.2,13.2
2022-03-14,30.9,24.2,0.0,17.1
2022-03-15,28.8,25.1,3.6,18.3
2022-03-16,30.1,24.0,0.5,16.6
2022-03-17,30.7,24.7,0.6,16.8
2022-03-18,31.0,24.6,0.5,16.1
2022-03-19,28.9,24.7,1.0,16.5
2022-03-20,30.2,24.2,1.9,18.3
2022-03-21,30.8,24.2,0.3,15.8
2022-03-22,30.1,25.2,0.7,17.1
2022-03-23,30.8,26.1,0.7,14.4
2022-03-24,31.1,24.7,0.4,15.3
2022-03-25,31.1,24.7,4.5,11.2
2022-03-26,31.1,24.8,0.4,16.1
2022-03-27,31.4,24.9,0.4,17.6
2022-03-28,29.9,25.5,0.8,23.3
2022-03-29,31.1,24.7,0.7,18.2
2022-03-30,31.2,25.3,0.9,17.8
2022-03-31,30.9,24.9,2.6,16.9
2022-04-01,29.4,25.1,3.9,18.5
2022-04-02,30.6,24.5,3.3,18.0
2022-04-03,30.4,25.3,0.8,14.6
2022-04-04,30.2,24.2,1.0,10.4
2022-04-05,31.7,24.2,11.1,17.1
2022-04-06,33.1,24.4,1.2,16.5
2022-04-07,30.7,24.6,0.9,14.3
2022-04-08,28.9,24.8,8.0,17.2
2022-04-09,28.0,24.0,1.8,14.3
2022-04-10,30.6,23.5,0.0,14.3
2022-04-11,30.6,24.4,10.7,14.3
2022-04-12,29.9,24.1,14.5,15.1
2022-04-13,29.1,23.9,6.3,12.8
2022-04-14,27.7,24.1,11.3,9.2
2022-04-15,29.5,23.7,3.2,10.5
2022-04-16,31.6,23.8,0.1,14.3
2022-04-17,29.8,24.5,5.6,11.2
2022-04-18,28.9,24.3,7.1,9.9
2022-04-19,27.2,23.9,8.0,5.5
2022-04-20,30.5,23.2,0.0,9.7
2022-04-21,30.3,23.8,0.0,13.6
2022-04-22,31.0,24.0,0.4,13.4
2022-04-23,30.8,24.3,5.3,14.5
2022-04-24,28.6,23.4,20.2,11.5
2022-04-25,30.1,24.5,1.2,11.0
2022-04-26,30.9,23.9,3.0,13.8
2022-04-27,26.8,23.5,7.4,11.7
2022-04-28,30.9,23.3,0.0,13.5
2022-04-29,26.7,23.7,4.3,7.8
2022-04-30,30.2,23.6,0.4,11.3
2022-05-01,31.2,24.1,8.4,11.6
2022-05-02,27.9,23.4,33.3,12.8
2022-05-03,31.1,22.9,1.7,14.7
2022-05-04,30.6,23.4,9.8,10.5
2022-05-05,30.0,24.5,10.6,10.9
2022-05-06,32.1,23.7,13.6,14.3
2022-05-07,29.2,24.2,0.9,14.0
2022-05-08,31.0,24.3,4.5,15.9
2022-05-09,31.1,24.2,23.4,9.0
2022-05-10,29.2,23.8,8.3,12.4
2022-05-11,29.6,24.2,2.8,14.1
2022-05-12,30.9,24.5,4.9,12.0
2022-05-13,30.1,24.3,5.4,11.6
2022-05-14,31.6,23.9,10.4,9.7
2022-05-15,29.5,25.0,17.1,15.3
2022-05-16,29.7,24.2,9.1,13.3
2022-05-17,31.3,23.4,24.7,9.0
2022-05-18,29.4,23.7,8.8,18.2
2022-05-19,29.2,23.3,12.7,11.5
2022-05-20,27.2,24.1,11.9,10.5
2022-05-21,27.5,23.6,62.9,7.1
2022-05-22,27.6,23.4,5.6,10.8
2022-05-23,25.7,22.9,18.5,7.0
2022-05-24,28.2,23.2,2.6,10.3
2022-05-25,29.4,22.7,1.8,12.1
2022-05-26,28.3,22.6,6.7,12.0
2022-05-27,27.4,23.0,1.1,11.0
2022-05-28,28.8,22.1,0.4,13.3
2022-05-29,28.9,22.9,2.6,14.1
2022-05-30,28.5,23.4,9.3,14.1
2022-05-31,28.6,23.4,14.8,7.1
2022-06-01,29.2,23.4,0.5,13.8
2022-06-02,29.7,24.2,1.4,9.2
2022-06-03,29.2,24.1,0.8,13.2
2022-06-04,28.8,23.0,28.5,12.0
2022-06-05,28.6,23.2,29.3,8.4
2022-06-06,29.3,22.9,12.3,11.0
2022-06-07,28.1,23.1,10.4,16.4
2022-06-08,27.8,23.8,8.3,12.1
2022-06-09,28.9,23.7,3.3,9.7
2022-06-10,29.5,22.3,8.8,13.0
2022-06-11,27.5,23.1,5.8,12.8
2022-06-12,29.8,22.1,1.3,11.9
2022-06-13,26.8,23.2,5.3,13.8
2022-06-14,28.9,23.1,2.0,13.6
2022-06-15,27.1,23.4,7.5,9.3
2022-06-16,26.2,23.0,10.1,12.3
2022-06-17,26.8,22.3,4.4,11.2
2022-06-18,27.9,22.3,8.2,8.2
2022-06-19,27.8,22.6,5.3,13.8
2022-06-20,27.0,22.7,10.4,9.5
2022-06-21,26.7,22.4,9.4,12.3
2022-06-22,27.5,22.4,3.2,15.9
2022-06-23,28.0,22.5,0.1,14.6
2022-06-24,27.9,23.6,4.7,14.3
2022-06-25,27.5,22.9,5.0,13.8
2022-06-26,27.1,23.6,3.2,14.8
2022-06-27,27.7,23.5,6.7,8.4
2022-06-28,27.8,23.1,8.7,13.6
2022-06-29,28.8,22.9,0.6,13.2
2022-06-30,25.4,22.7,8.9,16.1
2022-07-01,28.5,22.6,8.9,11.2
2022-07-02,29.2,22.6,6.1,13.2
2022-07-03,28.0,22.6,6.2,15.3
2022-07-04,25.2,22.2,13.8,12.1
2022-07-05,27.8,22.3,15.4,11.5
2022-07-06,29.2,22.4,0.3,14.5
2022-07-07,27.0,23.7,5.5,15.1
2022-07-08,27.3,23.1,2.7,16.6
2022-07-09,25.8,23.1,13.6,11.5
2022-07-10,27.8,22.9,17.2,12.6
2022-07-11,26.1,23.0,2.0,17.3
2022-07-12,26.5,23.0,6.4,15.3
2022-07-13,26.8,23.4,0.7,17.3
2022-07-14,27.2,22.8,5.2,14.8
2022-07-15,27.2,22.6,1.2,18.2
2022-07-16,26.7,22.8,1.9,17.1
2022-07-17,27.7,22.8,1.8,12.0
2022-07-18,28.3,22.6,1.5,16.8
2022-07-19,27.5,22.7,1.9,16.5
2022-07-20,27.2,22.9,1.7,13.5
2022-07-21,24.2,22.4,24.5,6.2
2022-07-22,24.6,22.2,9.8,10.5
2022-07-23,24.5,22.3,14.1,9.2
