Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,29.3,23.7,8.4,21.3
2022-01-02,27.9,23.3,3.8,16.8
2022-01-03,28.3,24.4,4.0,23.5
2022-01-04,29.7,24.2,3.1,20.5
2022-01-05,28.1,22.8,17.1,17.7
2022-01-06,29.6,24.4,1.6,18.7
2022-01-07,29.6,24.0,2.3,20.9
2022-01-08,29.5,25.6,1.1,22.3
2022-01-09,29.5,25.2,2.1,20.9
2022-01-10,29.6,25.4,3.8,19.7
2022-01-11,27.5,23.4,11.9,14.1
2022-01-12,28.4,23.9,5.2,16.2
2022-01-13,29.6,23.2,0.1,14.1
2022-01-14,29.4,23.8,1.2,17.3
2022-01-15,27.7,22.7,5.7,15.5
2022-01-16,27.4,23.8,7.5,15.9
2022-01-17,28.6,22.9,4.6,21.6
2022-01-18,29.4,25.0,2.6,23.8
2022-01-19,30.0,24.9,0.6,20.7
2022-01-20,29.3,22.8,1.4,20.1
2022-01-21,30.1,24.8,0.8,18.7
2022-01-22,28.8,24.2,1.5,16.9
2022-01-23,30.2,25.6,0.2,19.1
2022-01-24,30.0,25.7,0.6,18.8
2022-01-25,28.8,24.9,1.6,21.0
2022-01-26,29.3,24.9,3.1,22.7
2022-01-27,25.7,22.2,44.4,14.3
2022-01-28,25.6,22.4,14.7,13.6
2022-01-29,28.5,23.1,3.6,14.6
2022-01-30,28.7,24.0,2.7,19.6
2022-01-31,29.8,25.4,0.5,25.3
2022-02-01,30.3,24.7,0.8,24.2
2022-02-02,29.8,24.2,2.5,18.7
2022-02-03,29.1,23.4,2.7,20.6
2022-02-04,28.9,24.6,3.7,19.1
2022-02-05,29.1,23.5,3.9,19.8
2022-02-06,29.6,24.9,0.2,17.7
2022-02-07,29.6,25.5,1.1,17.3
2022-02-08,29.6,24.3,1.8,19.5
2022-02-09,29.9,25.0,1.4,18.3
2022-02-10,29.7,25.3,0.7,17.8
2022-02-11,29.9,24.3,2.0,20.9
2022-02-12,29.9,23.6,3.7,20.0
2022-02-13,29.1,25.5,2.1,20.3
2022-02-14,30.0,25.3,1.6,21.2
2022-02-15,29.3,23.9,1.2,20.3
2022-02-16,29.3,25.8,1.7,15.4
2022-02-17,29.9,24.5,0.3,14.3
2022-02-18,29.9,25.1,1.4,18.3
