Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,17.7,8.8,0.1,14.3
2022-01-02,18.5,9.1,0.4,9.7
2022-01-03,19.8,9.9,0.1,9.8
2022-01-04,19.0,10.9,0.0,10.9
2022-01-05,19.7,10.1,0.0,8.7
2022-01-06,20.3,8.6,0.0,8.0
2022-01-07,19.7,8.0,0.0,9.2
2022-01-08,21.5,7.4,0.0,12.3
2022-01-09,18.0,8.1,0.0,23.7
2022-01-10,17.4,7.6,0.0,20.3
2022-01-11,20.4,8.0,0.0,22.8
2022-01-12,20.0,9.3,0.0,21.0
2022-01-13,19.8,8.9,0.0,21.2
2022-01-14,16.3,8.1,0.0,20.5
2022-01-15,16.5,6.6,0.0,19.1
2022-01-16,17.5,7.7,0.8,19.8
2022-01-17,15.7,5.0,0.0,21.4
2022-01-18,15.8,5.3,0.0,13.3
2022-01-19,14.5,7.6,3.1,18.7
2022-01-20,14.7,5.6,0.0,12.4
2022-01-21,15.9,3.7,0.0,14.0
2022-01-22,16.7,5.7,0.0,14.2
2022-01-23,17.5,6.0,0.0,23.1
2022-01-24,15.3,5.1,0.0,9.1
2022-01-25,15.7,4.1,0.0,15.4
2022-01-26,11.0,6.4,8.5,24.5
2022-01-27,14.3,4.3,0.0,18.4
2022-01-28,15.3,5.3,0.0,12.3
2022-01-29,16.7,4.8,0.0,12.2
2022-01-30,18.0,6.4,0.0,17.4
2022-01-31,16.6,7.3,3.5,22.8
2022-02-01,18.2,8.1,0.0,13.1
2022-02-02,19.9,6.6,0.0,15.0
2022-02-03,18.3,8.8,0.0,28.3
2022-02-04,16.7,9.0,0.6,31.4
2022-02-05,17.4,6.7,0.0,15.0
2022-02-06,18.6,6.0,0.0,9.7
2022-02-07,21.7,7.4,0.0,11.1
2022-02-08,23.4,7.8,0.0,13.2
2022-02-09,17.6,8.5,0.0,23.7
2022-02-10,16.4,6.1,0.0,23.0
2022-02-11,19.1,8.8,0.0,17.2
2022-02-12,21.3,8.3,0.0,24.0
2022-02-13,21.5,7.7,0.0,21.6
2022-02-14,19.8,7.7,0.0,17.3
2022-02-15,19.8,8.8,0.0,18.0
2022-02-16,19.7,7.1,0.0,14.3
2022-02-17,18.9,10.3,0.0,17.1
2022-02-18,19.6,7.6,3.6,14.9
2022-02-19,15.5,9.3,9.0,22.5
2022-02-20,19.0,7.6,0.0,10.1
2022-02-21,21.3,9.1,0.0,8.6
2022-02-22,23.0,9.8,0.0,11.6
2022-02-23,23.9,10.9,0.5,15.2
2022-02-24,17.5,8.5,1.1,28.6
2022-02-25,18.0,9.7,0.0,26.9
2022-02-26,19.7,9.7,0.0,14.4
2022-02-27,21.1,9.1,0.0,16.3
2022-02-28,23.1,9.2,0.0,15.4
2022-03-01,25.8,11.1,0.0,16.1
2022-03-02,28.9,13.6,0.0,20.6
2022-03-03,19.8,11.9,0.0,23.2
2022-03-04,20.1,8.9,0.4,11.0
2022-03-05,24.4,10.6,0.0,16.0
2022-03-06,30.9,16.9,0.2,30.4
2022-03-07,23.6,14.1,0.0,19.9
2022-03-08,25.6,13.5,0.0,20.0
2022-03-09,23.3,13.5,0.1,20.1
2022-03-10,19.6,11.3,0.0,30.6
2022-03-11,16.7,8.6,0.0,22.8
2022-03-12,17.1,7.7,0.0,20.6
2022-03-13,17.9,6.0,0.0,21.0
2022-03-14,15.5,5.1,0.0,20.3
2022-03-15,15.7,4.8,0.0,26.9
2022-03-16,18.0,7.6,0.0,16.3
2022-03-17,19.8,7.1,0.0,18.4
2022-03-18,21.7,8.3,0.0,18.0
2022-03-19,20.9,8.4,0.0,24.5
2022-03-20,18.6,9.0,1.1,26.5
2022-03-21,18.7,8.7,0.2,22.2
2022-03-22,17.1,5.8,0.0,13.0
2022-03-23,17.8,6.6,0.0,22.0
2022-03-24,18.3,7.8,0.2,23.3
2022-03-25,18.9,7.3,0.0,20.7
2022-03-26,23.2,9.2,0.0,14.4
2022-03-27,24.2,10.2,0.0,18.2
2022-03-28,23.5,9.5,0.0,25.5
2022-03-29,27.4,10.2,0.0,20.1
2022-03-30,28.5,10.0,0.0,24.5
2022-03-31,30.2,14.7,0.0,20.2
2022-04-01,33.7,12.0,0.0,15.2
2022-04-02,35.5,19.2,0.0,16.0
2022-04-03,30.7,16.9,0.0,29.5
2022-04-04,33.7,16.4,0.0,30.9
2022-04-05,40.1,18.9,0.0,22.4
2022-04-06,37.9,22.3,0.0,23.2
2022-04-07,38.7,19.0,0.0,14.3
2022-04-08,30.8,19.2,0.0,23.3
2022-04-09,28.8,13.0,0.0,22.4
2022-04-10,30.8,15.0,0.0,22.5
2022-04-11,29.8,14.4,0.0,22.1
2022-04-12,24.0,13.4,0.0,20.6
2022-04-13,25.5,11.3,0.0,22.7
2022-04-14,26.7,13.3,0.0,24.0
2022-04-15,28.1,12.2,0.0,25.5
2022-04-16,32.1,14.3,0.0,21.0
2022-04-17,41.4,20.4,0.0,28.0
2022-04-18,30.7,21.8,0.0,17.9
2022-04-19,27.5,16.1,3.5,21.6
2022-04-20,25.9,13.4,0.0,22.2
2022-04-21,26.7,13.4,0.0,24.1
2022-04-22,27.8,13.1,0.0,23.5
2022-04-23,31.4,14.9,0.0,19.6
2022-04-24,32.3,14.7,0.0,18.4
2022-04-25,33.9,16.4,0.0,21.5
2022-04-26,34.7,17.3,0.0,22.9
2022-04-27,33.1,16.1,0.0,25.6
2022-04-28,33.0,15.9,0.0,22.7
2022-04-29,39.6,18.0,0.0,21.4
2022-04-30,32.4,21.9,0.0,25.0
2022-05-01,31.3,16.2,0.0,14.3
2022-05-02,34.0,18.8,0.0,21.2
2022-05-03,32.4,21.4,0.0,23.4
2022-05-04,28.2,18.2,0.0,20.6
2022-05-05,27.2,14.7,0.0,22.5
2022-05-06,28.8,14.3,0.0,16.2
2022-05-07,29.2,14.4,0.0,15.8
2022-05-08,33.5,17.5,0.0,21.3
2022-05-09,34.9,22.0,0.0,23.4
2022-05-10,31.6,17.3,0.0,28.5
2022-05-11,31.4,18.1,0.0,24.1
2022-05-12,31.4,17.1,0.0,23.7
2022-05-13,34.0,17.5,0.0,29.9
2022-05-14,33.8,19.0,0.0,26.8
2022-05-15,31.3,17.7,0.0,21.0
2022-05-16,29.2,17.4,0.0,19.9
2022-05-17,33.2,16.7,0.0,20.3
2022-05-18,34.4,17.8,0.0,21.4
2022-05-19,35.7,19.2,0.0,25.5
2022-05-20,37.0,23.1,0.0,23.9
2022-05-21,30.5,19.3,0.0,19.0
2022-05-22,29.2,16.8,0.0,23.8
2022-05-23,32.5,17.4,0.0,18.8
2022-05-24,34.6,17.2,0.0,21.1
2022-05-25,34.9,19.2,0.0,27.1
2022-05-26,35.6,19.5,0.0,25.1
2022-05-27,37.1,20.0,0.0,25.2
2022-05-28,37.7,20.7,0.0,20.9
2022-05-29,38.6,21.0,0.0,24.6
2022-05-30,40.9,22.8,0.0,20.4
2022-05-31,37.4,22.5,0.0,23.3
2022-06-01,33.5,20.0,0.0,19.2
2022-06-02,33.8,19.7,0.0,14.8
2022-06-03,35.2,19.9,0.0,23.5
2022-06-04,37.3,22.5,0.0,22.1
2022-06-05,36.9,22.5,0.0,20.7
2022-06-06,35.5,21.9,0.0,18.5
2022-06-07,35.8,22.1,0.0,20.5
2022-06-08,38.4,21.8,0.0,18.0
2022-06-09,41.8,25.8,0.0,26.0
2022-06-10,40.6,24.8,0.0,25.3
2022-06-11,43.6,24.9,0.0,30.4
2022-06-12,34.9,24.0,0.0,19.5
2022-06-13,33.3,21.7,0.0,16.1
2022-06-14,34.3,23.3,0.0,19.6
2022-06-15,36.2,22.3,0.0,27.0
2022-06-16,36.0,22.4,0.0,24.8
2022-06-17,36.7,21.8,0.0,22.0
2022-06-18,36.1,22.5,0.0,22.8
2022-06-19,35.6,20.4,0.0,22.4
2022-06-20,35.8,20.5,0.0,20.8
2022-06-21,34.5,20.6,0.0,21.9
2022-06-22,35.9,20.4,0.0,20.9
2022-06-23,38.4,21.1,0.0,23.2
2022-06-24,40.2,23.7,0.0,21.9
2022-06-25,37.2,24.0,0.0,23.5
2022-06-26,37.1,21.8,0.0,18.3
2022-06-27,36.4,23.6,0.0,23.1
2022-06-28,35.1,21.9,0.0,22.7
2022-06-29,35.1,22.8,0.0,17.3
2022-06-30,34.5,23.4,0.0,20.3
2022-07-01,35.2,23.2,0.0,20.7
2022-07-02,36.3,22.9,0.0,21.6
2022-07-03,37.2,23.4,0.0,20.7
2022-07-04,37.9,24.9,0.0,17.3
2022-07-05,37.6,24.1,0.0,19.9
2022-07-06,37.4,22.7,0.0,18.8
2022-07-07,36.7,21.7,0.0,18.6
2022-07-08,36.3,22.3,0.0,21.0
2022-07-09,39.2,22.9,0.0,22.5
2022-07-10,37.5,23.7,0.0,21.1
2022-07-11,34.6,23.0,0.0,18.9
2022-07-12,37.0,22.0,0.0,20.6
2022-07-13,36.0,22.7,0.0,23.3
2022-07-14,36.3,22.5,0.0,21.3
2022-07-15,34.9,20.3,0.0,17.0
2022-07-16,36.6,22.0,0.0,21.8
2022-07-17,37.8,22.9,0.0,20.6
2022-07-18,39.4,22.2,0.0,22.4
2022-07-19,38.7,24.0,0.0,21.1
2022-07-20,38.0,25.1,0.0,23.8
2022-07-21,37.4,23.1,0.0,22.6
2022-07-22,37.2,22.6,0.0,23.1
2022-07-23,38.7,22.6,0.0,23.6
2022-07-24,39.0,22.1,0.0,22.5
2022-07-25,39.2,22.0,0.0,19.4
2022-07-26,38.6,22.4,0.0,15.7
2022-07-27,38.9,22.8,0.0,20.0
2022-07-28,39.3,23.2,0.0,22.2
2022-07-29,39.3,23.8,0.0,27.2
2022-07-30,38.1,24.1,0.0,17.2
2022-07-31,37.5,22.6,0.0,21.1
2022-08-01,39.8,23.8,0.0,21.1
2022-08-02,38.7,24.2,0.0,21.2
2022-08-03,38.0,23.4,0.0,16.5
2022-08-04,38.1,22.9,0.0,21.2
2022-08-05,37.3,23.8,0.0,24.0
2022-08-06,37.8,23.4,0.0,21.7
2022-08-07,35.8,23.3,0.0,18.5
2022-08-08,38.1,24.1,0.0,22.7
2022-08-09,37.7,25.2,0.0,26.7
2022-08-10,36.8,24.8,0.0,20.0
2022-08-11,36.6,24.6,0.0,19.3
2022-08-12,36.0,23.7,0.0,23.8
2022-08-13,36.7,23.8,0.0,19.0
2022-08-14,36.7,22.7,0.0,21.5
2022-08-15,35.7,23.3,0.0,23.1
2022-08-16,36.3,23.2,0.0,20.7
2022-08-17,36.0,22.9,0.0,21.0
2022-08-18,37.5,22.4,0.0,21.7
2022-08-19,36.9,23.3,0.0,16.2
2022-08-20,39.7,23.8,0.0,22.4
2022-08-21,37.5,24.1,0.0,14.8
2022-08-22,38.4,23.6,0.0,20.5
2022-08-23,40.2,26.0,0.0,28.1
2022-08-24,40.7,27.0,0.0,27.2
2022-08-25,37.2,25.1,0.1,23.1
2022-08-26,35.9,23.5,0.0,25.3
2022-08-27,36.9,22.6,0.0,25.3
2022-08-28,37.3,24.2,0.0,23.1
2022-08-29,37.2,23.8,0.0,21.9
2022-08-30,36.8,24.9,0.0,22.4
2022-08-31,37.1,24.8,0.1,24.8
2022-09-01,36.2,23.4,0.0,22.4
2022-09-02,35.3,22.9,0.0,23.9
2022-09-03,36.3,23.6,0.0,21.3
2022-09-04,36.4,23.7,0.0,20.1
2022-09-05,35.6,23.3,0.0,19.3
2022-09-06,35.9,23.5,0.0,19.3
2022-09-07,35.1,22.7,0.0,22.7
2022-09-08,36.1,23.5,0.0,24.7
2022-09-09,36.4,23.9,0.0,22.1
2022-09-10,36.1,22.6,0.0,19.6
2022-09-11,37.0,21.1,0.0,19.4
2022-09-12,36.0,22.8,0.0,20.4
2022-09-13,34.5,22.9,0.0,20.1
2022-09-14,33.6,21.5,0.0,19.5
2022-09-15,32.1,20.9,0.0,18.9
2022-09-16,32.0,20.2,0.0,22.5
2022-09-17,33.6,21.6,0.0,20.5
2022-09-18,33.3,22.2,0.0,16.6
2022-09-19,33.2,21.3,0.0,19.2
2022-09-20,32.8,21.8,0.0,24.0
2022-09-21,33.1,21.6,0.0,16.4
2022-09-22,35.1,22.7,0.0,10.4
2022-09-23,35.4,23.7,0.0,24.5
2022-09-24,37.5,22.9,0.0,29.0
2022-09-25,37.3,23.0,0.0,23.8
2022-09-26,37.7,22.9,0.0,21.1
2022-09-27,37.9,22.8,0.0,25.4
2022-09-28,37.0,23.1,0.0,21.7
2022-09-29,38.4,24.0,0.0,22.7
2022-09-30,38.1,25.0,0.0,24.7
2022-10-01,39.6,24.6,0.0,22.3
2022-10-02,37.7,21.4,0.0,19.0
2022-10-03,33.5,23.3,0.0,18.7
2022-10-04,31.7,20.9,0.0,16.3
2022-10-05,33.2,20.0,0.0,21.9
2022-10-06,31.8,21.6,0.0,19.9
2022-10-07,29.3,18.3,0.0,15.8
2022-10-08,29.7,18.8,0.0,18.6
2022-10-09,29.6,18.1,0.0,16.8
2022-10-10,30.4,18.2,0.0,18.0
2022-10-11,30.7,18.7,0.0,18.9
2022-10-12,30.1,19.5,0.0,20.3
2022-10-13,30.7,17.7,0.0,18.7
2022-10-14,29.5,17.7,0.0,13.0
2022-10-15,31.9,18.1,0.0,12.5
2022-10-16,30.6,21.5,0.0,19.8
2022-10-17,29.4,19.0,0.0,16.8
2022-10-18,28.6,18.5,0.0,17.0
2022-10-19,28.8,18.5,0.0,15.8
2022-10-20,29.4,18.6,0.0,14.3
2022-10-21,29.4,18.6,0.0,19.2
2022-10-22,28.9,17.7,0.0,23.2
2022-10-23,28.0,18.6,0.1,14.5
2022-10-24,28.6,17.8,0.0,19.4
2022-10-25,25.3,17.5,1.2,19.5
2022-10-26,28.2,16.7,3.8,16.1
2022-10-27,29.2,18.9,0.0,14.5
2022-10-28,29.5,19.5,0.0,19.1
2022-10-29,28.6,17.0,0.0,19.8
2022-10-30,27.6,17.5,0.1,14.7
2022-10-31,27.9,16.8,0.0,15.2
2022-11-01,27.0,17.2,0.0,12.8
2022-11-02,26.4,15.8,0.0,16.8
2022-11-03,27.1,15.6,0.0,15.0
2022-11-04,27.1,15.7,0.0,19.2
2022-11-05,26.0,15.2,0.0,12.4
2022-11-06,25.8,15.0,0.0,11.5
2022-11-07,27.8,14.7,0.0,20.6
2022-11-08,25.7,15.7,0.0,14.4
2022-11-09,26.0,16.2,0.0,18.4
2022-11-10,25.0,13.7,0.0,13.0
2022-11-11,26.7,14.6,0.0,18.0
2022-11-12,27.1,14.7,0.0,20.3
2022-11-13,28.4,15.1,0.0,21.1
2022-11-14,27.5,16.5,0.0,17.2
2022-11-15,24.1,14.6,0.0,15.8
2022-11-16,23.3,13.2,0.0,10.8
2022-11-17,24.4,12.8,0.0,10.8
2022-11-18,25.8,15.2,0.0,9.7
2022-11-19,26.6,13.9,0.0,17.9
2022-11-20,27.9,15.9,0.0,19.7
2022-11-21,27.3,13.0,0.0,12.4
