Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,25.5,9.4,0.0,12.1
2022-01-02,26.6,10.7,0.0,12.7
2022-01-03,24.9,8.2,0.0,10.8
2022-01-04,27.2,11.8,0.0,13.7
2022-01-05,28.4,11.0,0.0,13.4
2022-01-06,27.9,10.4,0.0,11.1
2022-01-07,27.0,11.0,0.0,10.1
2022-01-08,26.6,11.5,0.0,10.8
2022-01-09,26.5,12.0,0.0,11.8
2022-01-10,24.3,9.5,0.0,15.2
2022-01-11,24.1,10.8,0.0,12.2
2022-01-12,25.2,10.1,0.0,10.9
2022-01-13,26.0,10.2,0.0,9.0
2022-01-14,26.7,8.5,0.0,15.5
2022-01-15,25.9,10.0,0.0,11.9
2022-01-16,24.8,9.5,0.0,12.8
2022-01-17,25.2,10.7,0.0,15.0
2022-01-18,26.0,10.3,0.0,15.5
2022-01-19,25.9,9.1,0.0,13.7
2022-01-20,25.4,12.4,0.0,21.9
2022-01-21,21.2,13.2,0.2,15.9
2022-01-22,24.5,9.4,0.4,14.8
2022-01-23,25.6,10.4,0.0,17.4
2022-01-24,21.8,11.5,0.0,22.9
2022-01-25,24.4,11.0,0.0,16.9
2022-01-26,25.5,9.5,0.0,16.5
2022-01-27,27.0,12.2,0.0,17.1
2022-01-28,27.4,11.8,0.0,12.3
2022-01-29,26.1,10.1,0.0,14.5
2022-01-30,27.2,9.8,0.0,18.3
2022-01-31,26.6,9.6,0.0,22.1
2022-02-01,26.7,8.5,0.0,21.3
2022-02-02,26.5,8.8,0.0,18.8
2022-02-03,25.9,9.1,0.0,24.2
2022-02-04,26.1,9.8,0.1,16.1
2022-02-05,25.8,9.7,0.0,13.8
2022-02-06,26.4,10.6,0.0,21.6
2022-02-07,24.5,10.4,0.0,19.1
2022-02-08,24.3,7.6,0.0,10.8
2022-02-09,24.5,9.1,0.0,16.0
2022-02-10,24.2,8.4,0.0,17.7
2022-02-11,23.5,7.7,0.0,18.3
2022-02-12,22.8,10.4,0.0,12.6
2022-02-13,24.8,8.9,0.0,13.6
2022-02-14,25.3,11.5,1.5,16.5
2022-02-15,27.6,9.5,0.0,18.2
2022-02-16,28.3,10.8,0.0,20.5
2022-02-17,28.7,10.3,0.0,16.3
2022-02-18,29.2,12.1,0.0,15.1
2022-02-19,28.0,12.5,0.0,15.5
2022-02-20,28.0,13.1,0.1,21.2
2022-02-21,29.2,12.2,0.0,21.3
2022-02-22,28.8,12.6,0.0,17.7
2022-02-23,30.2,12.0,0.0,20.9
2022-02-24,30.1,12.5,0.0,18.9
2022-02-25,29.6,13.3,0.0,14.1
2022-02-26,30.6,15.5,0.0,17.3
2022-02-27,30.0,13.6,0.0,17.0
2022-02-28,28.9,13.5,0.0,15.2
2022-03-01,30.4,12.3,0.0,17.8
2022-03-02,30.2,11.9,0.0,20.9
2022-03-03,30.8,12.3,0.0,20.1
2022-03-04,30.1,11.7,0.0,19.7
2022-03-05,29.9,11.9,0.0,18.4
2022-03-06,30.4,11.1,0.0,18.1
2022-03-07,30.3,12.0,0.0,18.4
2022-03-08,29.3,11.6,0.0,21.1
2022-03-09,28.2,11.5,0.0,23.2
2022-03-10,28.6,11.0,0.0,25.6
2022-03-11,29.3,11.5,0.0,21.3
2022-03-12,29.9,10.5,0.0,18.9
2022-03-13,30.1,10.4,0.0,22.8
2022-03-14,30.3,12.1,0.0,18.1
2022-03-15,30.6,13.3,0.0,14.0
