Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,20.3,11.5,0.0,11.2
2022-01-02,20.9,12.0,0.0,16.8
2022-01-03,22.4,12.2,0.0,9.4
2022-01-04,23.4,12.5,0.0,10.2
2022-01-05,24.2,14.2,0.0,10.3
2022-01-06,23.3,14.9,0.0,19.9
2022-01-07,20.6,11.4,0.0,20.4
2022-01-08,20.6,10.0,0.0,15.6
2022-01-09,19.3,12.8,0.7,14.4
2022-01-10,18.7,11.7,1.2,22.4
2022-01-11,17.4,10.4,0.8,27.3
2022-01-12,16.5,7.3,0.0,14.2
2022-01-13,18.4,12.3,0.0,19.2
2022-01-14,19.3,10.6,0.8,13.3
2022-01-15,19.0,13.3,0.4,11.1
2022-01-16,23.3,13.3,0.0,21.3
2022-01-17,18.1,12.8,0.0,21.3
2022-01-18,17.9,11.4,4.3,17.5
2022-01-19,19.4,9.4,0.0,17.4
2022-01-20,21.0,8.6,0.0,13.4
2022-01-21,22.8,11.4,0.0,12.3
2022-01-22,19.7,15.7,2.3,12.5
2022-01-23,21.7,17.0,0.2,11.3
2022-01-24,18.5,13.6,1.7,19.1
2022-01-25,21.4,12.5,5.1,18.1
2022-01-26,22.1,15.0,0.3,12.0
2022-01-27,24.5,17.0,2.0,8.2
2022-01-28,21.9,14.1,0.6,17.3
2022-01-29,16.2,9.5,0.5,24.2
2022-01-30,15.9,7.1,1.5,23.3
2022-01-31,12.1,7.0,2.5,21.4
2022-02-01,13.0,8.1,38.0,20.2
2022-02-02,12.9,9.0,12.6,19.4
2022-02-03,13.3,7.8,22.4,24.5
2022-02-04,15.5,8.4,0.0,22.7
2022-02-05,14.5,5.7,0.0,19.6
2022-02-06,15.0,10.3,0.8,14.6
2022-02-07,17.4,12.6,16.5,25.2
2022-02-08,13.0,8.1,5.4,25.1
2022-02-09,12.3,8.2,0.6,17.3
2022-02-10,16.4,9.5,0.6,12.5
2022-02-11,21.1,13.9,0.6,15.8
2022-02-12,20.9,13.5,0.1,17.0
2022-02-13,13.9,10.8,1.6,21.8
2022-02-14,18.9,8.9,0.3,20.9
2022-02-15,18.3,11.4,0.0,15.0
2022-02-16,20.0,13.1,0.8,15.0
2022-02-17,18.4,14.3,4.0,18.5
2022-02-18,17.2,11.7,3.8,22.3
2022-02-19,11.4,6.8,47.4,29.8
2022-02-20,6.7,5.5,37.9,27.3
2022-02-21,7.3,4.8,28.1,22.1
2022-02-22,12.1,5.9,4.1,22.3
2022-02-23,15.8,6.5,0.4,24.6
2022-02-24,15.1,4.6,0.0,23.6
2022-02-25,18.2,7.2,0.0,17.3
2022-02-26,21.6,8.1,0.0,8.7
2022-02-27,23.3,11.6,0.0,17.1
2022-02-28,24.0,13.9,0.1,14.0
2022-03-01,25.8,14.7,0.0,10.2
2022-03-02,25.1,15.4,0.0,19.1
2022-03-03,24.9,16.4,0.0,16.9
2022-03-04,25.8,14.9,0.0,10.6
2022-03-05,27.2,17.0,0.0,19.2
2022-03-06,24.4,17.6,0.2,20.4
2022-03-07,22.0,15.3,13.3,27.0
2022-03-08,21.4,11.0,0.0,18.5
2022-03-09,22.5,10.2,0.0,11.2
2022-03-10,24.9,12.6,0.0,13.5
2022-03-11,25.4,15.2,0.0,11.0
2022-03-12,27.7,16.6,0.0,16.9
2022-03-13,28.0,18.6,0.6,13.8
2022-03-14,29.2,18.5,0.0,9.7
2022-03-15,29.4,19.4,0.1,18.4
2022-03-16,26.5,20.0,0.0,20.1
2022-03-17,29.8,21.1,2.4,14.9
2022-03-18,27.4,19.2,0.0,23.3
2022-03-19,28.3,20.6,2.7,19.7
2022-03-20,25.0,20.9,3.2,27.3
2022-03-21,29.9,20.2,0.4,25.3
2022-03-22,24.2,18.8,21.2,23.9
2022-03-23,17.9,13.3,39.4,25.4
2022-03-24,17.4,13.9,25.2,15.3
2022-03-25,27.2,17.3,12.6,33.8
2022-03-26,25.2,19.5,13.8,22.7
2022-03-27,20.6,15.3,0.6,22.7
2022-03-28,18.4,14.0,6.4,19.9
2022-03-29,21.6,13.8,6.8,11.6
2022-03-30,26.5,17.7,0.6,12.0
2022-03-31,28.7,21.0,23.6,20.2
2022-04-01,21.6,14.0,2.0,28.8
2022-04-02,15.7,12.2,1.7,25.1
2022-04-03,22.8,13.8,0.0,17.7
2022-04-04,24.0,11.1,0.0,12.4
2022-04-05,25.8,12.4,0.0,10.5
2022-04-06,27.2,15.5,0.0,15.0
2022-04-07,28.2,18.9,0.2,16.4
2022-04-08,27.7,15.7,0.0,17.9
2022-04-09,27.3,16.6,0.0,15.5
2022-04-10,28.4,15.9,0.0,12.3
2022-04-11,28.9,18.0,0.0,12.2
2022-04-12,30.2,20.0,0.1,18.6
2022-04-13,28.6,21.5,4.7,19.5
2022-04-14,28.4,17.9,0.0,20.9
2022-04-15,28.2,19.4,0.0,17.6
2022-04-16,24.9,17.0,2.0,20.4
2022-04-17,23.8,16.0,0.5,19.1
2022-04-18,20.4,16.4,6.5,18.8
2022-04-19,20.9,15.5,13.3,15.9
2022-04-20,23.1,17.3,2.0,7.6
