Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,28.4,23.0,0.0,15.1
2022-01-02,28.0,22.7,0.6,13.3
2022-01-03,30.6,23.1,0.0,13.6
2022-01-04,32.4,22.7,0.0,20.0
2022-01-05,31.5,21.6,0.0,20.6
2022-01-06,30.8,21.9,0.0,18.3
2022-01-07,29.6,22.4,0.6,15.5
2022-01-08,30.0,22.8,0.0,16.1
2022-01-09,30.8,23.2,0.1,13.9
2022-01-10,32.5,23.2,0.0,18.2
2022-01-11,30.7,23.6,2.2,10.9
2022-01-12,26.6,23.6,12.3,9.8
2022-01-13,29.7,22.9,0.9,13.7
2022-01-14,28.7,23.1,0.8,15.8
2022-01-15,26.8,23.3,1.0,13.0
2022-01-16,28.7,23.4,0.0,10.6
2022-01-17,30.8,22.2,0.0,13.7
2022-01-18,28.1,23.1,0.0,12.6
2022-01-19,30.5,22.1,0.0,17.7
2022-01-20,30.1,22.7,0.0,17.1
2022-01-21,30.8,22.5,0.0,10.9
2022-01-22,30.0,23.6,13.4,18.0
2022-01-23,29.2,22.3,43.1,13.9
2022-01-24,28.8,23.7,0.0,14.3
2022-01-25,28.0,23.6,25.7,11.5
2022-01-26,28.7,22.7,3.7,9.0
2022-01-27,28.2,23.4,18.8,11.2
2022-01-28,26.6,23.0,14.2,15.6
2022-01-29,27.1,22.9,12.6,13.7
2022-01-30,27.3,23.2,48.0,10.5
2022-01-31,26.6,23.2,5.9,7.1
2022-02-01,28.1,22.4,1.6,12.1
2022-02-02,28.8,23.2,0.0,14.1
2022-02-03,29.5,23.1,3.1,8.3
2022-02-04,30.1,23.4,7.5,12.4
2022-02-05,28.4,23.5,11.8,10.8
2022-02-06,28.5,22.8,26.9,6.9
2022-02-07,27.9,23.4,50.0,10.5
2022-02-08,26.5,23.0,52.3,13.7
2022-02-09,26.7,23.1,1.9,13.0
2022-02-10,28.3,23.2,0.4,11.3
2022-02-11,29.2,22.4,0.0,11.9
2022-02-12,29.4,22.6,0.0,11.9
2022-02-13,30.0,23.1,1.8,13.9
2022-02-14,28.6,23.7,0.9,11.2
2022-02-15,28.7,23.9,0.9,14.0
2022-02-16,29.4,24.1,1.0,9.6
2022-02-17,30.3,23.5,1.1,13.0
2022-02-18,29.6,23.9,0.9,13.0
2022-02-19,30.3,24.2,4.3,10.9
2022-02-20,29.0,24.0,2.5,8.9
2022-02-21,28.0,23.9,2.9,12.7
2022-02-22,28.2,23.6,4.0,11.2
2022-02-23,29.3,23.3,4.2,11.2
2022-02-24,28.8,23.0,2.3,5.7
2022-02-25,28.7,23.6,0.5,10.8
2022-02-26,29.0,23.4,1.4,12.4
2022-02-27,27.3,23.5,4.1,8.7
2022-02-28,27.7,23.3,10.8,10.0
2022-03-01,28.7,23.7,17.5,13.4
2022-03-02,28.5,23.8,7.0,10.7
2022-03-03,29.1,23.7,6.9,11.6
2022-03-04,28.6,24.2,0.0,13.9
