Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,12.1,9.2,1.4,22.1
2022-01-02,12.3,8.0,10.3,31.4
2022-01-03,8.8,6.5,11.8,28.0
2022-01-04,7.1,2.0,0.6,22.1
2022-01-05,4.7,1.3,1.2,27.7
2022-01-06,3.6,-3.0,0.2,18.2
2022-01-07,3.7,0.5,2.3,20.0
2022-01-08,3.3,-0.5,1.2,22.3
2022-01-09,4.7,1.8,8.1,22.9
2022-01-10,3.8,0.8,0.3,12.4
2022-01-11,4.2,0.7,0.0,13.1
2022-01-12,4.9,2.3,0.1,18.3
2022-01-13,6.6,4.0,0.0,23.1
2022-01-14,7.4,1.4,0.0,23.5
2022-01-15,5.5,0.2,0.0,8.6
2022-01-16,6.2,1.7,0.1,24.3
2022-01-17,7.4,1.6,0.7,34.5
2022-01-18,7.4,1.2,0.0,18.9
2022-01-19,5.8,3.2,0.3,29.3
2022-01-20,3.9,-2.3,0.4,29.3
2022-01-21,5.8,-2.5,0.2,18.4
2022-01-22,6.2,5.3,0.3,19.6
2022-01-23,7.6,5.3,0.0,15.3
2022-01-24,6.0,4.0,0.1,14.5
2022-01-25,5.2,3.5,0.0,14.8
2022-01-26,4.6,2.8,0.0,22.2
2022-01-27,8.1,4.2,3.0,33.3
2022-01-28,6.5,2.8,0.0,32.8
2022-01-29,9.9,3.9,5.2,43.7
2022-01-30,7.1,4.0,0.3,45.3
2022-01-31,3.8,0.9,2.7,15.5
2022-02-01,6.8,0.6,6.7,34.0
2022-02-02,6.3,1.7,0.5,32.8
2022-02-03,7.9,1.9,4.1,20.4
2022-02-04,8.7,1.7,4.9,28.1
2022-02-05,5.4,1.8,5.5,31.4
2022-02-06,7.5,3.1,29.9,31.5
2022-02-07,6.1,1.8,0.9,34.7
2022-02-08,8.9,3.5,2.5,27.2
2022-02-09,9.8,7.2,1.4,30.9
2022-02-10,7.2,2.6,7.7,18.4
2022-02-11,6.0,-1.6,0.3,24.5
2022-02-12,5.0,-3.6,0.0,20.5
2022-02-13,7.4,-0.6,0.0,22.4
2022-02-14,12.3,6.1,0.1,30.4
2022-02-15,7.9,5.3,2.0,31.7
2022-02-16,11.7,5.5,15.0,35.0
2022-02-17,11.3,4.0,16.6,41.8
2022-02-18,10.2,2.8,7.5,44.3
2022-02-19,5.8,2.8,5.8,44.8
2022-02-20,9.0,1.6,13.7,32.9
2022-02-21,9.4,2.5,9.5,37.9
2022-02-22,7.4,3.6,2.5,36.6
2022-02-23,10.0,4.7,0.9,28.5
2022-02-24,9.6,2.8,2.9,32.1
2022-02-25,5.7,1.8,3.3,32.4
2022-02-26,8.8,-0.0,0.0,20.8
2022-02-27,7.6,-2.3,0.0,17.3
2022-02-28,6.8,-1.6,0.0,18.4
2022-03-01,7.5,-2.3,0.0,17.6
2022-03-02,8.2,-2.2,0.0,9.8
2022-03-03,4.9,-3.7,0.0,15.6
2022-03-04,5.7,-3.5,0.0,13.5
2022-03-05,5.5,-3.7,0.0,13.5
2022-03-06,4.5,-1.8,0.0,12.5
2022-03-07,7.8,-4.4,0.0,11.2
2022-03-08,9.3,-3.8,0.0,11.0
2022-03-09,11.1,-3.1,0.0,11.8
2022-03-10,11.3,-0.9,0.0,21.3
2022-03-11,8.2,-0.8,0.0,28.2
2022-03-12,10.9,-0.1,0.0,25.0
2022-03-13,11.7,-0.8,0.0,18.7
2022-03-14,9.3,0.6,1.0,15.0
2022-03-15,11.2,2.2,2.3,11.5
2022-03-16,10.2,2.2,0.1,17.1
2022-03-17,9.6,2.1,2.3,24.1
2022-03-18,12.7,-1.9,0.0,14.3
2022-03-19,10.0,-0.7,0.0,24.5
2022-03-20,11.8,1.5,0.0,30.9
2022-03-21,13.3,2.6,0.0,20.7
2022-03-22,16.1,1.5,0.0,10.7
2022-03-23,16.3,-0.3,0.0,11.2
2022-03-24,15.1,1.0,0.0,10.7
2022-03-25,16.0,1.2,0.0,12.4
2022-03-26,12.8,4.1,0.0,21.3
2022-03-27,14.2,0.1,0.0,13.6
2022-03-28,11.2,4.0,0.0,20.9
2022-03-29,9.1,4.7,0.0,20.5
2022-03-30,6.7,2.5,1.3,11.4
2022-03-31,6.0,-0.1,6.6,26.2
2022-04-01,4.6,1.2,0.9,30.9
2022-04-02,5.8,-2.0,0.0,21.8
2022-04-03,7.8,-3.5,0.4,24.3
2022-04-04,7.5,2.0,9.0,39.3
2022-04-05,7.9,3.8,4.3,24.0
2022-04-06,9.9,4.8,5.7,33.1
2022-04-07,10.3,5.0,11.2,34.4
2022-04-08,9.1,3.0,3.4,28.5
2022-04-09,7.0,1.8,5.3,31.8
2022-04-10,7.8,1.9,1.7,29.8
2022-04-11,11.6,0.3,0.0,12.8
2022-04-12,15.8,2.1,0.1,23.4
2022-04-13,20.8,7.4,0.1,18.1
2022-04-14,16.1,7.3,0.6,19.4
2022-04-15,10.9,6.2,0.4,18.4
2022-04-16,11.9,0.6,0.0,15.1
2022-04-17,14.1,-0.1,0.0,9.8
2022-04-18,15.2,2.4,0.0,12.2
2022-04-19,14.0,2.2,0.0,17.7
2022-04-20,14.7,3.6,0.0,16.7
2022-04-21,13.8,4.4,0.2,19.1
2022-04-22,15.0,4.2,0.0,25.3
2022-04-23,16.1,5.3,0.0,24.8
2022-04-24,12.6,4.8,0.3,24.5
2022-04-25,13.7,5.1,0.0,18.8
2022-04-26,15.5,2.2,0.0,13.6
2022-04-27,13.5,4.4,0.0,15.1
2022-04-28,15.2,1.3,0.0,18.7
2022-04-29,14.1,1.8,0.0,17.3
2022-04-30,13.6,2.2,0.0,14.2
2022-05-01,13.0,6.3,0.0,10.7
2022-05-02,15.8,5.3,0.0,16.1
2022-05-03,13.6,3.0,0.0,18.6
2022-05-04,15.1,1.3,0.0,17.7
2022-05-05,16.3,2.0,0.0,12.7
2022-05-06,19.3,4.6,0.1,13.0
2022-05-07,18.5,8.4,0.2,18.1
2022-05-08,16.9,3.8,0.0,12.8
2022-05-09,20.6,4.8,0.0,13.8
2022-05-10,24.4,11.9,1.8,24.8
2022-05-11,21.9,10.3,0.3,25.6
2022-05-12,17.9,9.3,4.3,27.6
2022-05-13,16.4,8.4,0.8,25.2
2022-05-14,17.2,9.3,0.1,25.3
2022-05-15,20.0,6.2,0.0,16.9
2022-05-16,23.7,9.9,0.0,18.6
2022-05-17,19.4,12.8,11.9,12.3
2022-05-18,27.6,13.4,0.0,17.2
2022-05-19,28.1,17.6,6.0,22.6
2022-05-20,19.9,12.5,8.7,18.0
2022-05-21,17.0,9.9,4.5,42.2
2022-05-22,17.7,9.3,0.3,15.3
2022-05-23,22.2,9.7,1.6,25.3
2022-05-24,17.5,11.4,6.0,22.7
2022-05-25,18.4,9.4,0.2,24.5
2022-05-26,17.6,12.7,2.6,31.7
2022-05-27,15.3,9.0,4.1,34.7
2022-05-28,14.2,7.5,7.4,35.4
2022-05-29,13.4,9.1,2.1,17.3
2022-05-30,12.9,8.0,1.7,12.0
2022-05-31,15.4,5.3,0.3,9.6
2022-06-01,15.2,8.6,4.2,13.6
2022-06-02,17.0,7.6,0.4,24.2
2022-06-03,20.3,6.3,0.0,9.7
2022-06-04,20.5,8.8,0.0,13.1
2022-06-05,23.6,9.1,0.2,21.5
2022-06-06,21.3,15.5,5.8,26.0
2022-06-07,16.5,12.4,3.0,24.0
2022-06-08,21.1,8.5,1.2,10.9
2022-06-09,19.8,13.4,1.1,21.1
2022-06-10,20.9,8.9,0.3,19.3
2022-06-11,22.6,13.7,1.0,21.8
2022-06-12,22.2,11.2,0.0,21.6
2022-06-13,17.9,11.2,0.7,26.0
2022-06-14,17.9,9.8,0.2,17.0
2022-06-15,21.8,10.0,0.0,17.2
2022-06-16,21.2,10.5,0.0,20.2
2022-06-17,23.1,9.5,0.0,10.9
2022-06-18,25.4,16.2,0.3,19.2
2022-06-19,20.7,13.3,0.4,17.1
2022-06-20,17.8,11.7,0.7,25.9
2022-06-21,22.3,10.8,0.0,15.3
2022-06-22,25.0,9.0,0.0,17.4
2022-06-23,28.7,11.7,0.0,16.2
2022-06-24,31.1,18.2,1.9,25.0
2022-06-25,27.2,16.8,0.3,8.9
2022-06-26,27.4,18.8,1.2,15.1
2022-06-27,23.9,15.6,3.7,15.3
2022-06-28,22.2,14.6,0.3,12.9
2022-06-29,25.8,14.6,0.0,16.8
2022-06-30,27.0,14.7,0.0,13.6
2022-07-01,21.2,15.4,5.4,20.1
2022-07-02,23.9,12.1,0.0,17.7
