Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,32.4,23.1,0.0,14.4
2022-01-02,32.7,23.0,0.0,10.5
2022-01-03,31.6,24.6,0.1,10.6
2022-01-04,32.6,23.4,1.9,12.0
2022-01-05,31.7,23.7,0.7,13.1
2022-01-06,31.7,24.6,0.8,13.9
2022-01-07,32.3,24.1,0.2,14.8
2022-01-08,33.4,23.6,0.1,16.8
2022-01-09,32.7,22.9,0.0,20.1
2022-01-10,31.6,24.1,2.0,13.3
2022-01-11,33.5,23.3,0.1,22.1
2022-01-12,32.3,21.7,0.0,19.2
2022-01-13,32.2,22.2,0.0,18.4
2022-01-14,31.9,21.2,0.0,15.5
2022-01-15,32.4,22.3,0.0,17.5
2022-01-16,33.0,21.7,0.0,19.5
2022-01-17,32.0,23.1,0.0,16.2
2022-01-18,33.8,22.7,0.0,20.0
2022-01-19,32.7,22.9,0.1,17.1
2022-01-20,32.6,22.9,0.1,17.3
2022-01-21,32.8,23.0,0.0,18.1
2022-01-22,33.0,23.1,0.0,22.1
2022-01-23,32.4,23.2,0.1,16.5
2022-01-24,32.9,23.3,0.0,17.9
2022-01-25,31.7,23.4,1.7,15.2
2022-01-26,34.5,23.4,0.2,19.7
2022-01-27,34.5,23.7,0.1,22.6
2022-01-28,34.4,22.8,0.0,12.1
2022-01-29,33.3,23.8,0.0,19.8
2022-01-30,31.9,24.5,0.9,20.6
2022-01-31,33.9,23.5,0.0,22.3
2022-02-01,35.2,23.6,0.0,23.6
2022-02-02,35.5,23.8,0.0,20.6
2022-02-03,34.9,23.5,0.0,19.0
2022-02-04,35.3,24.4,0.2,16.9
2022-02-05,34.4,24.4,0.0,13.3
2022-02-06,35.3,23.8,0.6,20.2
2022-02-07,35.5,24.5,0.1,19.5
2022-02-08,35.2,25.1,0.7,17.7
2022-02-09,35.1,24.6,0.0,20.9
2022-02-10,35.7,24.6,0.6,18.3
