Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,28.6,21.7,1.5,35.9
2022-01-02,21.5,-0.2,0.3,35.8
2022-01-03,9.9,-1.1,0.0,13.9
2022-01-04,18.8,2.6,0.0,19.3
2022-01-05,23.7,10.9,0.0,20.5
2022-01-06,19.3,8.5,0.0,23.7
2022-01-07,12.6,3.2,0.1,17.3
2022-01-08,21.7,9.8,68.0,33.4
2022-01-09,21.6,12.6,31.9,32.6
2022-01-10,14.1,8.4,0.0,27.1
2022-01-11,13.1,4.4,0.9,16.6
2022-01-12,13.9,8.3,0.0,8.9
2022-01-13,19.9,6.6,0.0,11.2
2022-01-14,22.0,5.9,0.0,16.2
2022-01-15,15.6,3.6,0.2,39.4
2022-01-16,12.0,1.0,0.0,28.3
2022-01-17,17.0,0.6,0.0,14.0
2022-01-18,22.1,8.1,0.0,27.4
2022-01-19,20.9,15.3,38.3,18.2
2022-01-20,15.1,2.7,4.0,31.4
2022-01-21,9.6,2.6,0.4,21.4
2022-01-22,11.1,-0.6,0.0,14.7
2022-01-23,12.4,3.5,0.0,10.5
2022-01-24,12.8,9.1,22.8,19.8
2022-01-25,15.8,6.1,0.1,17.8
2022-01-26,12.2,4.1,0.0,17.6
2022-01-27,14.5,4.5,0.0,14.8
2022-01-28,13.0,6.9,0.0,21.8
2022-01-29,15.3,0.9,0.0,16.0
2022-01-30,18.9,5.2,0.0,14.7
2022-01-31,19.0,13.5,30.5,25.7
2022-02-01,19.9,14.0,8.5,26.1
2022-02-02,23.5,10.7,5.8,22.1
2022-02-03,16.7,-1.1,8.7,32.8
2022-02-04,5.4,-3.8,0.0,26.5
2022-02-05,8.8,-3.1,0.0,15.2
2022-02-06,13.9,-1.7,0.0,14.6
2022-02-07,15.4,5.3,0.0,17.8
2022-02-08,15.6,1.1,0.0,15.3
2022-02-09,19.1,2.6,0.0,14.9
2022-02-10,19.9,3.8,0.0,13.0
2022-02-11,21.1,5.1,0.0,18.7
2022-02-12,15.9,5.2,6.3,38.5
2022-02-13,14.0,-1.0,0.0,19.6
2022-02-14,17.9,2.4,0.0,16.8
2022-02-15,21.1,7.3,0.1,26.8
2022-02-16,23.6,15.5,2.4,36.9
2022-02-17,25.4,6.3,6.6,32.4
2022-02-18,13.5,2.0,0.0,29.7
2022-02-19,16.7,3.2,0.0,11.5
2022-02-20,20.7,6.4,0.6,19.6
2022-02-21,25.7,15.3,0.8,36.6
2022-02-22,26.1,20.2,2.5,29.3
2022-02-23,21.1,3.7,4.2,23.3
2022-02-24,13.2,4.3,1.1,23.2
2022-02-25,8.9,2.3,4.7,25.7
2022-02-26,7.8,4.3,5.6,19.2
2022-02-27,14.6,4.9,0.5,23.5
2022-02-28,16.6,1.2,0.0,13.8
2022-03-01,18.7,2.1,0.0,14.2
2022-03-02,20.1,5.4,0.0,14.1
2022-03-03,23.1,10.2,0.0,21.0
2022-03-04,22.2,14.5,2.0,24.6
2022-03-05,26.0,17.1,2.8,33.6
2022-03-06,26.9,20.0,0.6,34.2
2022-03-07,22.0,10.7,3.4,27.9
2022-03-08,10.0,7.3,21.1,19.5
2022-03-09,14.2,4.1,0.1,22.6
2022-03-10,19.7,4.8,0.0,14.8
2022-03-11,17.5,3.8,3.8,37.1
2022-03-12,12.3,0.3,0.0,35.9
2022-03-13,16.6,1.4,0.0,22.7
2022-03-14,24.0,12.8,4.1,27.8
2022-03-15,21.6,12.7,11.0,23.5
2022-03-16,23.2,9.0,0.0,19.9
2022-03-17,24.6,11.5,1.9,32.5
2022-03-18,20.3,13.0,0.0,28.9
2022-03-19,21.9,8.0,0.0,10.6
2022-03-20,21.5,7.4,0.0,29.0
2022-03-21,24.3,16.8,8.9,45.8
2022-03-22,22.6,12.2,38.6,31.5
2022-03-23,18.5,8.0,0.0,21.1
2022-03-24,18.3,9.6,0.0,25.9
2022-03-25,25.0,8.0,0.0,13.8
2022-03-26,27.3,11.0,0.0,18.7
2022-03-27,27.5,15.3,0.0,24.5
2022-03-28,26.9,17.2,0.0,26.6
2022-03-29,27.6,19.3,1.4,36.9
2022-03-30,27.8,17.5,21.1,34.5
2022-03-31,22.7,9.9,0.0,19.0
2022-04-01,23.9,11.4,0.0,22.5
2022-04-02,27.8,15.5,0.4,14.3
2022-04-03,27.0,14.7,0.0,24.6
2022-04-04,26.7,17.8,3.3,27.7
2022-04-05,30.8,20.3,0.4,20.0
2022-04-06,26.8,19.3,0.3,30.8
2022-04-07,23.3,13.4,0.0,28.1
2022-04-08,23.6,10.5,0.0,28.8
2022-04-09,28.3,9.9,0.0,25.8
2022-04-10,27.4,17.8,1.1,41.8
2022-04-11,28.7,19.9,9.1,39.1
2022-04-12,29.1,21.3,0.9,30.3
2022-04-13,30.7,21.0,3.0,31.5
2022-04-14,26.4,15.1,0.0,22.3
2022-04-15,27.1,17.9,2.5,26.9
2022-04-16,29.8,22.2,2.9,25.0
2022-04-17,31.1,21.2,2.1,17.4
2022-04-18,26.6,17.3,0.4,20.8
2022-04-19,23.8,13.4,0.0,31.6
2022-04-20,28.3,20.9,2.9,37.6
2022-04-21,29.3,21.4,1.7,27.5
2022-04-22,28.5,21.4,0.4,28.8
2022-04-23,29.2,20.9,0.7,31.7
2022-04-24,30.6,21.1,1.9,30.0
2022-04-25,27.4,17.9,18.1,22.3
2022-04-26,26.0,17.4,0.7,22.2
2022-04-27,25.5,16.6,0.0,14.9
2022-04-28,28.1,17.4,0.4,22.6
2022-04-29,29.2,19.8,0.2,27.2
2022-04-30,28.8,22.0,3.2,19.5
2022-05-01,28.9,21.6,1.5,20.1
2022-05-02,30.6,22.5,0.6,34.0
2022-05-03,30.0,23.0,4.7,24.1
2022-05-04,30.8,23.9,1.0,33.6
2022-05-05,31.7,21.8,11.6,35.9
2022-05-06,32.5,19.2,0.0,18.6
2022-05-07,34.2,23.1,0.0,18.9
2022-05-08,34.0,24.4,0.0,27.0
2022-05-09,33.7,24.9,0.0,28.4
2022-05-10,32.1,25.2,0.0,26.2
2022-05-11,31.8,22.8,0.1,22.8
2022-05-12,32.1,19.9,0.0,21.3
2022-05-13,33.7,19.6,0.0,20.8
2022-05-14,33.1,21.9,0.8,19.9
2022-05-15,34.0,21.4,0.2,20.3
2022-05-16,34.6,21.9,0.0,20.7
2022-05-17,34.6,22.2,0.0,23.9
2022-05-18,35.0,23.2,0.0,25.2
2022-05-19,33.3,23.6,0.0,29.8
2022-05-20,33.9,24.8,0.0,34.7
2022-05-21,33.9,21.1,12.8,28.3
2022-05-22,29.7,21.5,1.2,22.4
2022-05-23,27.9,20.0,0.2,16.7
2022-05-24,26.8,21.1,16.1,22.1
2022-05-25,27.7,18.4,17.8,25.0
2022-05-26,31.8,16.2,0.0,15.7
2022-05-27,33.5,21.2,0.0,15.1
2022-05-28,34.0,19.7,0.0,18.2
2022-05-29,32.6,22.9,0.0,27.1
2022-05-30,31.9,24.6,1.8,29.6
2022-05-31,32.6,24.6,2.1,25.7
2022-06-01,31.4,23.9,2.6,17.8
2022-06-02,33.1,22.9,0.9,20.2
2022-06-03,33.6,21.6,0.0,16.6
2022-06-04,31.5,22.7,2.2,18.4
2022-06-05,32.9,21.8,0.3,22.1
2022-06-06,33.8,24.9,0.3,26.9
2022-06-07,34.1,25.2,0.0,23.7
2022-06-08,35.5,25.3,0.3,27.1
2022-06-09,35.4,25.3,0.3,22.7
2022-06-10,36.1,24.7,0.2,23.0
2022-06-11,36.9,25.4,0.0,22.0
2022-06-12,36.7,25.6,0.0,23.2
2022-06-13,36.2,25.9,0.0,24.2
2022-06-14,35.4,26.1,1.3,26.0
2022-06-15,36.4,25.9,1.1,22.7
2022-06-16,36.1,24.4,0.0,14.2
2022-06-17,34.5,25.2,1.6,14.0
2022-06-18,34.8,25.2,0.9,16.1
2022-06-19,37.0,24.6,0.0,14.8
2022-06-20,36.0,26.1,0.2,22.5
2022-06-21,35.0,24.4,1.5,23.1
2022-06-22,35.4,25.5,0.3,11.9
2022-06-23,36.6,25.5,0.0,20.9
2022-06-24,36.6,25.2,0.0,19.1
2022-06-25,37.0,24.5,0.0,21.5
2022-06-26,37.5,24.8,0.2,20.0
2022-06-27,36.3,24.0,6.7,22.7
2022-06-28,35.0,23.2,0.8,14.9
2022-06-29,32.5,23.9,10.5,19.3
2022-06-30,27.5,24.2,6.1,20.1
2022-07-01,30.1,23.1,12.1,14.9
2022-07-02,32.9,22.6,5.4,15.9
2022-07-03,34.1,25.3,0.5,21.9
