Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,9.3,5.4,1.8,16.6
2022-01-02,11.7,5.2,0.9,21.0
2022-01-03,11.3,4.1,0.0,22.9
2022-01-04,12.5,7.6,0.0,15.7
2022-01-05,15.0,10.6,0.0,33.3
2022-01-06,16.2,12.5,0.0,33.9
2022-01-07,12.7,9.0,0.7,23.2
2022-01-08,13.3,7.8,0.7,21.3
2022-01-09,15.0,7.5,0.1,12.6
2022-01-10,12.9,8.1,0.2,16.5
2022-01-11,10.3,7.0,2.3,39.3
2022-01-12,6.7,1.9,18.4,43.4
2022-01-13,2.1,0.5,0.2,29.8
2022-01-14,4.2,-0.4,0.0,17.2
2022-01-15,8.0,0.6,0.1,25.6
2022-01-16,6.1,-0.9,0.3,18.5
2022-01-17,8.0,-1.6,0.5,29.6
2022-01-18,7.0,-0.2,6.7,29.8
2022-01-19,3.3,-1.0,1.3,28.0
2022-01-20,7.5,-0.3,0.0,32.7
2022-01-21,9.7,1.6,30.5,29.5
2022-01-22,2.7,-1.9,3.8,15.1
2022-01-23,2.6,-1.6,3.0,30.7
2022-01-24,3.3,-1.6,4.6,33.4
2022-01-25,1.4,-1.8,3.7,31.2
2022-01-26,2.4,-1.6,0.2,18.1
2022-01-27,4.8,-0.7,0.7,11.1
2022-01-28,6.6,-0.9,0.1,25.9
2022-01-29,7.4,2.0,0.2,17.7
2022-01-30,6.6,-1.5,0.0,17.5
2022-01-31,7.8,-0.3,0.2,17.6
2022-02-01,9.4,2.8,2.0,20.9
2022-02-02,10.9,4.9,16.4,22.0
2022-02-03,5.8,2.3,19.3,28.6
2022-02-04,5.8,-0.3,0.0,20.4
2022-02-05,7.1,-0.4,0.0,20.2
2022-02-06,10.7,2.6,0.0,12.7
2022-02-07,12.6,3.1,7.2,34.3
2022-02-08,10.4,4.3,54.9,40.5
2022-02-09,6.5,2.7,4.6,34.5
2022-02-10,9.1,1.4,0.0,18.2
2022-02-11,9.2,0.1,0.0,12.2
2022-02-12,12.3,2.2,0.0,24.6
2022-02-13,8.4,5.9,0.0,29.6
2022-02-14,7.2,3.5,0.0,17.1
2022-02-15,8.5,0.1,0.0,11.2
2022-02-16,12.3,1.5,0.0,11.0
2022-02-17,13.1,4.4,0.0,16.5
2022-02-18,10.5,3.9,4.9,24.0
2022-02-19,10.3,0.9,0.0,10.9
2022-02-20,11.9,3.9,0.0,10.8
2022-02-21,14.7,5.6,0.0,11.2
2022-02-22,16.9,8.0,0.7,16.2
2022-02-23,10.4,7.6,13.2,24.3
2022-02-24,7.4,5.2,14.6,32.6
2022-02-25,7.3,5.8,5.8,35.5
2022-02-26,11.3,3.9,0.0,18.8
2022-02-27,10.1,5.9,2.4,28.6
2022-02-28,7.3,3.7,2.4,26.6
2022-03-01,4.6,1.3,0.9,20.9
2022-03-02,5.3,0.6,0.2,20.5
2022-03-03,6.1,2.6,1.4,22.5
2022-03-04,8.5,2.4,0.8,15.5
2022-03-05,9.7,1.3,0.3,22.1
2022-03-06,9.3,5.7,1.0,33.0
2022-03-07,6.8,5.0,3.5,19.8
2022-03-08,6.0,3.3,3.6,24.8
2022-03-09,5.2,1.8,0.8,26.3
2022-03-10,3.8,-0.3,1.7,35.1
2022-03-11,1.4,-1.8,3.2,35.4
2022-03-12,0.8,-3.4,5.5,26.1
2022-03-13,2.6,-3.5,1.3,18.7
