Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,30.9,24.8,0.2,19.1
2022-01-02,31.8,24.7,1.6,16.0
2022-01-03,31.2,24.0,0.9,12.8
2022-01-04,31.0,23.5,0.4,12.0
2022-01-05,30.1,23.9,19.1,11.9
2022-01-06,29.7,23.5,9.9,11.7
2022-01-07,31.4,24.3,3.9,16.8
2022-01-08,31.3,24.5,6.0,16.4
2022-01-09,29.2,24.7,8.9,14.4
2022-01-10,29.5,23.8,17.4,16.3
2022-01-11,29.5,23.3,18.0,18.5
2022-01-12,28.0,23.8,25.0,15.1
2022-01-13,28.4,23.3,13.4,15.9
2022-01-14,28.5,22.4,18.5,17.1
2022-01-15,28.8,23.6,2.8,17.6
2022-01-16,28.3,23.6,3.8,18.3
2022-01-17,29.7,23.2,2.3,14.4
2022-01-18,27.8,23.1,19.8,14.7
2022-01-19,28.5,22.4,15.1,18.4
2022-01-20,25.6,22.7,8.1,15.0
2022-01-21,30.1,23.9,9.7,16.4
2022-01-22,29.0,23.5,14.6,14.3
2022-01-23,30.6,24.5,1.0,17.1
2022-01-24,31.3,24.9,2.2,21.4
2022-01-25,29.2,24.7,10.6,18.4
2022-01-26,28.4,23.6,7.8,17.6
2022-01-27,30.2,24.5,1.3,17.4
2022-01-28,29.9,23.9,3.6,12.4
2022-01-29,29.4,24.2,0.5,13.4
2022-01-30,30.0,24.1,4.2,13.4
2022-01-31,29.4,24.0,6.5,16.3
2022-02-01,29.8,23.9,7.4,12.2
2022-02-02,29.2,23.5,4.3,15.0
2022-02-03,29.6,23.9,21.4,10.8
2022-02-04,30.0,24.1,10.2,13.9
2022-02-05,26.6,24.4,20.9,14.6
2022-02-06,28.5,23.3,6.6,17.3
2022-02-07,29.1,24.1,5.3,19.1
2022-02-08,28.2,24.0,3.9,13.0
2022-02-09,29.8,24.4,11.8,16.4
2022-02-10,28.5,24.0,5.5,22.7
2022-02-11,29.4,23.6,0.7,18.3
2022-02-12,29.3,24.8,1.7,14.5
2022-02-13,29.1,24.7,1.8,12.2
2022-02-14,29.0,23.6,0.7,5.9
2022-02-15,31.0,23.1,1.8,11.0
2022-02-16,31.2,24.6,20.5,14.8
2022-02-17,28.4,23.6,8.8,13.0
2022-02-18,28.0,24.1,16.9,15.3
2022-02-19,29.3,23.8,10.0,10.9
2022-02-20,29.5,23.6,5.1,10.6
2022-02-21,30.4,24.3,1.2,12.8
2022-02-22,31.3,24.0,2.0,16.6
2022-02-23,31.0,24.6,1.4,14.4
2022-02-24,30.5,24.4,0.7,16.5
2022-02-25,27.1,24.6,8.0,15.6
2022-02-26,30.3,23.7,9.9,16.0
2022-02-27,30.3,23.6,2.1,23.1
2022-02-28,29.9,24.7,1.1,18.4
2022-03-01,25.9,24.4,11.3,17.7
2022-03-02,30.9,24.1,0.9,20.5
2022-03-03,30.0,24.0,2.9,20.6
2022-03-04,29.5,24.2,6.4,13.5
2022-03-05,30.1,24.4,4.4,16.3
2022-03-06,30.1,24.0,28.3,19.7
2022-03-07,30.2,24.5,7.2,15.9
2022-03-08,30.7,23.8,8.1,13.5
2022-03-09,29.2,24.4,3.9,13.2
2022-03-10,30.1,24.0,11.5,13.1
2022-03-11,28.8,24.1,8.3,14.8
2022-03-12,30.5,24.7,4.8,19.0
2022-03-13,30.3,24.3,7.7,11.6
2022-03-14,30.9,24.4,16.5,11.9
2022-03-15,28.4,24.4,14.3,9.4
2022-03-16,30.1,23.8,4.4,12.0
2022-03-17,30.7,24.4,9.4,11.5
2022-03-18,30.3,24.4,5.8,15.0
2022-03-19,31.4,24.4,1.4,21.7
2022-03-20,32.1,24.6,0.0,22.8
2022-03-21,31.3,25.3,0.4,20.7
2022-03-22,31.1,25.1,2.5,12.3
2022-03-23,30.2,24.8,8.1,13.5
2022-03-24,30.6,24.3,2.6,15.6
2022-03-25,30.6,24.8,0.3,13.8
2022-03-26,29.0,24.6,21.4,16.6
2022-03-27,31.2,23.8,17.0,14.1
2022-03-28,30.2,23.1,12.2,13.4
2022-03-29,29.5,23.7,2.6,15.1
2022-03-30,31.0,24.9,11.0,14.1
2022-03-31,31.5,23.8,12.2,16.3
2022-04-01,30.3,24.0,1.6,13.4
2022-04-02,31.3,24.8,4.1,13.9
2022-04-03,30.1,24.9,15.9,15.6
2022-04-04,31.7,24.3,8.0,11.9
2022-04-05,30.9,24.2,7.8,15.0
2022-04-06,32.6,24.1,0.9,12.4
2022-04-07,31.5,24.5,1.9,10.0
2022-04-08,31.7,24.7,3.2,15.6
2022-04-09,31.1,23.7,6.7,14.8
2022-04-10,30.3,23.7,6.1,13.6
2022-04-11,30.6,24.2,2.2,12.0
2022-04-12,29.5,24.4,9.2,11.6
2022-04-13,30.9,24.0,2.8,15.1
2022-04-14,30.7,24.3,2.3,14.5
2022-04-15,30.9,24.5,5.1,12.2
