Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,24.3,13.9,0.0,26.7
2022-01-02,26.5,14.4,0.6,20.4
2022-01-03,25.9,12.9,0.0,19.3
2022-01-04,24.4,14.2,0.9,18.6
2022-01-05,26.4,13.2,4.0,17.4
2022-01-06,22.7,14.1,20.6,18.8
2022-01-07,23.3,14.2,17.7,17.0
2022-01-08,22.5,14.3,9.6,12.7
2022-01-09,22.4,12.8,5.0,12.3
2022-01-10,22.8,12.6,1.6,15.3
2022-01-11,24.6,14.0,6.9,13.8
2022-01-12,23.8,14.8,15.5,12.0
2022-01-13,24.2,13.7,7.8,14.2
2022-01-14,23.6,14.7,6.0,18.5
2022-01-15,21.8,15.0,13.3,13.6
2022-01-16,21.5,14.2,9.4,22.0
2022-01-17,21.8,13.6,3.8,13.0
2022-01-18,21.5,14.3,2.2,12.9
2022-01-19,23.7,14.0,7.4,14.5
2022-01-20,23.3,12.7,0.1,14.6
2022-01-21,24.8,11.5,0.0,21.6
2022-01-22,21.6,10.4,0.1,19.6
2022-01-23,20.7,10.2,0.0,23.2
2022-01-24,23.9,10.3,0.0,12.2
2022-01-25,26.2,14.1,0.0,16.0
2022-01-26,25.2,12.5,0.1,16.9
2022-01-27,22.7,15.9,2.0,13.6
2022-01-28,23.0,15.5,11.1,18.8
2022-01-29,22.1,14.5,6.0,15.3
2022-01-30,18.6,14.1,6.8,14.6
2022-01-31,22.8,13.9,1.2,16.0
2022-02-01,23.9,12.4,0.0,17.3
2022-02-02,25.5,13.2,0.0,14.5
2022-02-03,27.0,15.3,0.5,20.6
2022-02-04,24.7,15.1,18.5,20.1
2022-02-05,19.5,14.0,8.5,21.9
2022-02-06,23.1,13.3,0.8,22.1
2022-02-07,23.8,11.2,0.1,17.3
2022-02-08,23.9,12.7,7.0,18.7
2022-02-09,24.9,13.0,0.2,12.1
2022-02-10,25.3,13.9,1.9,10.2
2022-02-11,25.8,14.0,2.4,11.5
2022-02-12,25.2,13.8,0.0,13.3
2022-02-13,26.0,12.3,0.0,11.5
2022-02-14,26.5,15.8,0.5,20.1
2022-02-15,25.1,12.8,0.0,16.2
2022-02-16,25.8,13.9,1.7,13.0
2022-02-17,25.6,13.7,0.5,11.3
2022-02-18,22.8,13.8,0.8,14.8
2022-02-19,23.0,14.5,9.5,19.9
2022-02-20,25.5,13.2,0.6,13.5
2022-02-21,27.0,14.5,0.0,17.4
2022-02-22,24.6,13.0,1.5,16.4
2022-02-23,24.2,13.5,5.6,14.3
2022-02-24,25.5,13.7,0.3,14.5
2022-02-25,25.2,14.1,4.2,17.7
2022-02-26,24.6,13.7,2.5,22.3
2022-02-27,23.7,13.3,14.2,16.2
2022-02-28,25.0,13.0,1.9,18.3
