Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,22.6,13.9,0.0,23.4
2022-01-02,23.8,13.7,0.0,27.0
2022-01-03,24.5,15.2,0.0,23.1
2022-01-04,24.6,15.8,6.7,17.2
2022-01-05,20.5,16.2,22.6,22.2
2022-01-06,20.2,15.2,13.0,16.9
2022-01-07,19.5,14.5,3.1,18.6
2022-01-08,19.0,12.6,0.0,17.2
2022-01-09,20.5,11.5,0.0,13.6
2022-01-10,19.2,11.8,0.0,12.6
2022-01-11,20.3,12.3,0.0,14.2
2022-01-12,20.6,11.9,0.0,13.9
2022-01-13,20.6,12.2,0.0,13.3
2022-01-14,21.8,12.1,0.0,17.4
2022-01-15,21.5,12.9,0.0,24.1
2022-01-16,21.8,13.7,0.0,26.6
2022-01-17,23.8,14.3,0.0,19.4
2022-01-18,24.7,14.1,0.0,19.0
2022-01-19,23.7,13.3,0.0,25.6
2022-01-20,25.4,20.5,0.0,27.9
2022-01-21,25.6,21.6,0.0,44.6
2022-01-22,21.3,15.1,0.0,41.9
2022-01-23,19.8,11.1,0.0,27.0
2022-01-24,20.0,10.2,0.0,15.0
2022-01-25,20.2,10.3,0.0,12.7
2022-01-26,22.0,11.1,0.0,14.2
2022-01-27,21.8,10.9,0.0,12.9
2022-01-28,22.0,11.1,0.0,13.5
2022-01-29,23.5,15.1,0.0,19.1
2022-01-30,23.6,16.1,0.0,18.0
2022-01-31,25.6,19.5,0.0,22.4
2022-02-01,25.0,15.3,0.0,13.6
2022-02-02,25.5,17.2,0.0,31.8
2022-02-03,26.5,17.0,0.0,31.5
2022-02-04,24.6,14.9,0.0,20.9
2022-02-05,23.5,17.6,0.0,22.7
2022-02-06,24.5,18.6,0.0,24.4
2022-02-07,25.0,18.0,0.7,20.3
2022-02-08,24.5,19.7,1.5,20.6
2022-02-09,24.1,15.8,0.0,21.5
2022-02-10,24.5,15.8,0.0,16.5
2022-02-11,25.6,15.1,0.0,17.7
2022-02-12,25.7,14.6,0.0,19.1
2022-02-13,23.6,17.0,0.0,18.8
