Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,28.5,14.3,0.0,21.9
2022-01-02,25.5,14.5,0.0,25.9
2022-01-03,24.5,12.8,0.0,23.8
2022-01-04,27.3,12.4,0.0,24.5
2022-01-05,28.4,13.9,0.0,21.5
2022-01-06,29.7,14.8,0.0,20.3
2022-01-07,32.4,16.1,0.0,22.3
2022-01-08,33.8,18.6,0.0,24.7
2022-01-09,36.0,20.5,0.0,16.8
2022-01-10,34.8,22.2,0.0,26.8
2022-01-11,35.5,21.5,0.0,28.2
2022-01-12,38.2,22.7,0.0,20.3
2022-01-13,38.0,22.4,0.0,23.1
2022-01-14,34.4,22.6,0.0,24.5
2022-01-15,31.1,19.2,0.0,24.4
2022-01-16,29.4,17.0,0.0,23.9
2022-01-17,26.3,15.4,0.0,27.7
2022-01-18,24.6,14.0,0.0,24.0
2022-01-19,23.4,11.7,0.0,26.3
2022-01-20,24.4,9.8,0.0,25.0
2022-01-21,29.0,12.2,0.0,22.4
2022-01-22,29.6,13.6,0.0,22.4
2022-01-23,30.5,14.5,0.0,20.8
2022-01-24,30.9,15.5,0.0,21.5
2022-01-25,31.9,16.8,0.0,28.3
2022-01-26,29.8,16.9,0.0,33.5
2022-01-27,26.4,13.5,0.0,31.9
2022-01-28,26.6,12.0,0.0,28.1
2022-01-29,26.8,11.9,0.0,24.5
2022-01-30,27.9,12.7,0.0,22.9
2022-01-31,25.1,13.7,0.0,30.8
2022-02-01,26.8,11.6,0.0,24.1
2022-02-02,31.7,13.0,0.0,16.4
2022-02-03,34.6,17.4,0.0,27.4
2022-02-04,28.1,17.7,0.0,34.7
2022-02-05,24.7,12.7,0.0,30.4
2022-02-06,26.6,11.0,0.0,27.3
2022-02-07,28.5,13.0,0.0,27.1
2022-02-08,31.0,14.6,0.0,19.4
2022-02-09,32.6,16.4,0.0,23.0
2022-02-10,32.1,18.8,0.0,26.4
2022-02-11,29.3,15.5,0.0,28.5
2022-02-12,32.8,14.6,0.0,25.2
2022-02-13,32.8,16.4,0.0,26.1
2022-02-14,32.9,17.3,0.0,24.5
2022-02-15,33.4,17.8,0.0,24.6
2022-02-16,32.8,17.1,0.0,25.9
2022-02-17,32.8,16.0,0.0,20.3
2022-02-18,32.5,15.9,0.0,24.7
2022-02-19,28.1,16.9,0.0,34.5
2022-02-20,28.3,13.8,0.0,31.9
2022-02-21,29.5,14.3,0.0,26.0
2022-02-22,31.6,15.9,0.0,22.2
2022-02-23,32.6,16.9,0.0,21.0
2022-02-24,33.3,20.6,0.0,24.9
2022-02-25,30.1,16.9,0.0,29.2
2022-02-26,30.4,16.0,0.0,24.4
2022-02-27,33.1,16.3,0.0,21.3
2022-02-28,34.9,18.5,0.0,24.9
2022-03-01,36.5,20.9,0.0,19.4
2022-03-02,40.7,22.1,0.0,21.6
2022-03-03,39.3,23.1,0.0,23.8
2022-03-04,37.6,21.9,0.0,26.1
2022-03-05,37.8,23.1,0.0,23.1
2022-03-06,39.5,23.0,0.0,19.2
2022-03-07,39.8,23.0,0.0,21.1
2022-03-08,40.3,24.5,0.0,23.8
2022-03-09,42.1,23.2,0.0,20.0
2022-03-10,41.4,25.3,0.0,35.3
2022-03-11,34.5,21.7,0.0,35.3
2022-03-12,33.8,19.5,0.0,27.5
2022-03-13,34.8,20.0,0.0,29.4
2022-03-14,34.4,20.0,0.0,34.2
2022-03-15,30.9,18.6,0.0,35.8
2022-03-16,27.7,15.1,0.0,33.9
2022-03-17,30.7,15.3,0.0,28.4
2022-03-18,34.2,17.4,0.0,21.6
2022-03-19,35.8,19.3,0.0,18.6
2022-03-20,36.2,20.9,0.0,21.1
2022-03-21,36.5,19.1,0.0,20.0
2022-03-22,38.0,18.8,0.0,21.7
2022-03-23,38.1,21.5,0.0,29.2
2022-03-24,35.1,20.1,0.0,32.2
2022-03-25,32.9,18.2,0.0,33.3
2022-03-26,32.3,17.0,0.0,32.0
2022-03-27,33.8,18.2,0.0,27.8
2022-03-28,35.5,19.2,0.0,23.2
2022-03-29,37.6,20.6,0.0,21.4
2022-03-30,39.3,22.9,0.0,24.4
2022-03-31,42.0,24.6,0.0,22.7
2022-04-01,40.7,24.8,0.0,23.1
2022-04-02,41.2,24.1,0.0,18.7
2022-04-03,42.4,26.3,0.0,18.3
2022-04-04,44.3,27.3,0.0,27.7
2022-04-05,43.7,27.4,0.0,22.7
2022-04-06,42.6,26.1,0.0,20.5
2022-04-07,41.8,27.1,0.0,26.8
2022-04-08,41.9,27.5,0.0,21.0
2022-04-09,42.6,29.3,0.0,22.1
2022-04-10,43.1,25.2,0.0,23.4
2022-04-11,42.7,27.1,0.0,21.4
2022-04-12,41.5,24.5,0.0,28.7
2022-04-13,41.9,27.1,0.0,19.8
2022-04-14,41.3,29.0,0.0,33.2
2022-04-15,42.0,27.0,0.0,27.4
2022-04-16,41.7,28.4,0.0,23.0
2022-04-17,40.9,24.2,0.0,22.7
2022-04-18,42.8,26.3,0.0,20.9
2022-04-19,44.2,27.2,0.0,26.1
2022-04-20,43.1,27.5,0.0,34.0
2022-04-21,42.8,28.5,0.0,30.7
2022-04-22,41.4,28.1,0.0,30.0
2022-04-23,39.8,26.7,0.0,24.8
2022-04-24,40.1,24.0,0.0,20.3
2022-04-25,42.2,23.3,0.0,18.3
2022-04-26,41.9,24.7,0.0,19.5
2022-04-27,42.7,26.8,0.0,22.5
2022-04-28,41.9,25.8,0.0,32.9
2022-04-29,42.0,25.5,0.0,23.2
2022-04-30,43.7,25.2,0.0,30.3
2022-05-01,44.5,27.1,0.0,31.3
2022-05-02,44.5,29.0,0.0,28.8
2022-05-03,42.8,28.9,0.0,22.0
2022-05-04,44.0,27.5,0.0,19.6
2022-05-05,42.6,29.4,0.0,22.0
2022-05-06,42.5,30.2,0.0,30.2
2022-05-07,41.5,25.7,0.0,28.8
2022-05-08,42.4,27.1,0.0,27.1
2022-05-09,42.4,27.3,0.0,24.6
2022-05-10,42.9,27.6,0.0,24.0
2022-05-11,43.2,28.9,0.0,30.5
2022-05-12,43.7,27.1,0.0,26.9
2022-05-13,41.3,30.1,0.0,13.8
2022-05-14,43.0,29.6,0.0,14.8
2022-05-15,42.6,29.9,0.0,24.9
2022-05-16,44.1,29.5,0.0,23.7
2022-05-17,42.0,26.9,0.0,18.7
2022-05-18,43.3,30.0,0.0,19.7
2022-05-19,44.0,28.4,0.0,21.3
2022-05-20,43.9,28.2,0.0,17.4
2022-05-21,41.7,28.8,0.0,24.6
2022-05-22,41.0,28.9,0.0,29.5
2022-05-23,40.5,28.1,0.0,28.9
