Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,28.7,22.5,8.5,9.2
2022-01-02,30.4,22.2,0.1,7.9
2022-01-03,28.4,22.5,14.1,11.9
2022-01-04,26.2,22.4,29.8,7.2
2022-01-05,29.6,22.9,0.6,5.6
2022-01-06,30.7,23.1,0.0,6.6
2022-01-07,30.5,22.9,0.0,10.0
2022-01-08,29.7,23.4,11.7,8.8
2022-01-09,29.9,23.7,0.7,9.2
2022-01-10,29.2,23.0,0.3,6.9
2022-01-11,31.3,23.5,0.3,11.6
2022-01-12,28.3,22.3,27.2,12.8
2022-01-13,27.0,22.8,6.2,9.8
2022-01-14,29.8,22.5,9.2,8.1
2022-01-15,28.4,22.5,2.5,9.4
2022-01-16,27.8,21.3,0.3,9.8
2022-01-17,28.5,21.8,8.8,12.8
2022-01-18,29.9,22.9,0.6,7.9
2022-01-19,28.9,22.6,0.2,12.8
2022-01-20,28.1,22.0,6.6,13.1
2022-01-21,29.5,22.3,0.1,7.9
2022-01-22,30.6,22.4,0.6,8.1
2022-01-23,31.9,22.9,0.0,7.6
2022-01-24,32.1,23.7,0.3,11.6
2022-01-25,25.8,22.5,19.3,10.0
2022-01-26,29.0,23.3,0.2,8.9
2022-01-27,31.1,21.6,0.0,6.5
2022-01-28,31.6,23.0,0.0,8.4
2022-01-29,31.3,23.4,0.0,10.7
2022-01-30,31.5,22.3,26.9,10.6
2022-01-31,29.6,22.5,1.0,12.5
2022-02-01,32.1,23.1,0.1,11.3
2022-02-02,27.2,22.6,26.5,9.9
2022-02-03,28.3,22.6,2.0,10.9
2022-02-04,28.2,21.9,6.8,9.2
2022-02-05,29.4,22.4,4.0,14.3
2022-02-06,29.4,22.7,2.2,7.6
2022-02-07,31.8,23.4,0.1,4.7
2022-02-08,30.6,22.2,9.5,7.9
2022-02-09,31.2,23.3,1.1,6.6
2022-02-10,29.6,23.5,0.3,8.4
2022-02-11,32.0,23.7,0.0,7.0
2022-02-12,30.6,23.1,2.7,17.1
2022-02-13,28.3,22.9,17.6,20.7
2022-02-14,29.0,22.0,0.7,9.4
2022-02-15,31.1,23.2,0.5,9.2
2022-02-16,29.8,22.3,17.9,10.0
2022-02-17,30.1,23.2,0.6,11.0
2022-02-18,31.7,23.3,9.8,20.3
2022-02-19,25.5,22.8,26.0,7.9
2022-02-20,27.7,23.3,0.0,8.5
2022-02-21,29.8,21.6,1.1,12.8
2022-02-22,29.5,22.4,19.2,10.9
2022-02-23,31.8,22.5,0.0,13.8
2022-02-24,31.3,22.7,0.6,12.6
2022-02-25,30.2,23.7,0.2,9.8
2022-02-26,30.3,23.2,0.2,9.1
2022-02-27,28.7,23.2,2.5,9.0
2022-02-28,32.6,23.8,0.0,9.2
2022-03-01,26.2,21.8,8.2,10.8
2022-03-02,31.8,22.0,0.0,5.6
2022-03-03,32.4,22.5,0.6,14.5
2022-03-04,28.7,22.5,4.1,11.4
2022-03-05,31.7,21.6,4.2,8.0
2022-03-06,28.1,24.1,2.3,9.5
2022-03-07,31.5,22.8,0.1,6.2
2022-03-08,31.9,24.5,0.2,8.6
2022-03-09,32.2,24.6,0.1,7.9
2022-03-10,30.3,24.9,2.4,8.0
2022-03-11,32.3,23.7,2.1,13.4
2022-03-12,30.7,23.1,2.0,14.6
2022-03-13,29.1,23.5,4.1,10.7
2022-03-14,31.2,23.3,10.1,14.0
2022-03-15,31.7,22.8,6.9,10.5
2022-03-16,29.0,23.6,7.6,9.7
2022-03-17,29.6,22.9,4.0,10.0
2022-03-18,31.3,23.3,0.0,8.2
2022-03-19,32.4,22.8,0.0,13.5
2022-03-20,31.1,23.6,8.9,8.2
2022-03-21,29.3,23.8,3.8,10.9
2022-03-22,28.4,24.1,3.1,10.4
2022-03-23,32.9,24.0,0.0,9.3
2022-03-24,32.6,23.8,0.0,8.5
2022-03-25,34.1,24.0,2.1,18.1
2022-03-26,31.7,23.5,0.0,10.0
2022-03-27,34.8,24.0,3.7,7.5
2022-03-28,34.6,24.4,4.1,10.7
2022-03-29,30.6,23.4,5.7,12.6
2022-03-30,32.5,24.0,0.1,9.2
2022-03-31,34.4,23.8,0.2,13.6
2022-04-01,31.5,23.6,3.3,15.5
2022-04-02,31.1,23.5,13.2,11.8
2022-04-03,29.5,22.6,0.2,7.6
2022-04-04,30.6,23.4,1.1,9.7
2022-04-05,29.3,22.2,0.5,12.3
2022-04-06,32.8,22.8,0.0,10.4
2022-04-07,31.0,23.8,0.3,15.0
2022-04-08,31.5,23.6,0.4,6.5
2022-04-09,30.5,23.4,8.8,13.7
2022-04-10,29.5,23.2,1.9,7.7
2022-04-11,28.6,23.1,19.0,15.3
2022-04-12,32.2,22.4,3.5,9.4
2022-04-13,29.8,22.8,4.0,8.3
2022-04-14,31.3,23.3,2.2,9.4
2022-04-15,27.9,22.6,1.3,5.8
2022-04-16,29.8,22.4,0.0,9.5
2022-04-17,31.3,22.6,0.2,14.7
2022-04-18,31.3,23.1,0.0,7.4
2022-04-19,30.1,23.4,3.6,9.9
2022-04-20,29.1,23.0,2.3,7.6
2022-04-21,31.1,23.0,2.3,15.3
2022-04-22,31.1,23.3,6.8,9.8
2022-04-23,25.9,22.8,24.9,8.6
2022-04-24,29.0,22.9,2.5,5.0
2022-04-25,30.3,22.5,1.6,7.0
2022-04-26,30.0,23.1,10.2,12.6
2022-04-27,29.4,21.9,0.8,8.3
2022-04-28,29.2,22.8,2.0,7.2
2022-04-29,29.6,23.0,4.9,18.0
2022-04-30,30.1,22.4,7.5,10.1
2022-05-01,29.7,22.4,0.7,13.0
2022-05-02,29.0,23.2,0.1,6.6
2022-05-03,30.9,22.5,0.1,13.0
2022-05-04,31.9,23.1,0.2,8.8
2022-05-05,30.0,23.1,4.8,8.4
2022-05-06,30.9,23.6,1.3,8.2
2022-05-07,29.7,24.4,1.6,6.6
2022-05-08,29.6,22.6,0.3,14.9
2022-05-09,31.7,23.3,1.1,7.6
2022-05-10,31.5,23.8,14.4,18.4
2022-05-11,30.4,23.5,6.2,10.5
2022-05-12,31.0,23.8,0.9,9.5
2022-05-13,29.9,23.0,2.4,9.0
2022-05-14,31.3,23.1,0.0,6.6
2022-05-15,31.9,23.5,0.1,10.8
2022-05-16,31.5,23.8,0.2,7.3
2022-05-17,32.2,23.2,0.1,6.2
2022-05-18,31.3,24.1,0.7,11.1
2022-05-19,30.6,23.7,1.2,7.2
2022-05-20,30.4,24.3,0.0,9.5
2022-05-21,29.4,22.9,1.2,11.2
2022-05-22,29.9,22.3,0.0,9.0
2022-05-23,25.7,21.9,0.0,9.2
2022-05-24,28.1,21.8,0.0,7.3
2022-05-25,30.5,21.7,0.0,10.7
2022-05-26,26.6,22.6,0.5,6.1
2022-05-27,29.4,21.9,0.1,7.2
2022-05-28,28.5,21.8,0.1,9.7
2022-05-29,30.6,21.5,0.0,12.0
2022-05-30,31.0,21.7,0.0,8.1
2022-05-31,30.7,23.1,0.0,9.3
2022-06-01,31.4,21.8,0.1,9.8
2022-06-02,29.6,21.9,4.0,6.8
2022-06-03,33.1,22.2,0.0,6.8
2022-06-04,34.2,22.0,0.0,8.7
2022-06-05,33.5,21.3,0.0,9.8
2022-06-06,32.0,21.9,0.0,9.2
2022-06-07,32.7,21.1,0.0,11.6
2022-06-08,31.9,21.9,0.0,9.2
2022-06-09,33.1,21.2,0.0,8.7
2022-06-10,34.1,20.0,0.0,8.9
2022-06-11,33.3,19.7,0.0,10.2
2022-06-12,32.2,19.9,0.0,12.0
2022-06-13,32.1,21.4,0.0,10.0
2022-06-14,30.9,20.8,0.0,7.1
2022-06-15,30.9,20.5,0.0,11.0
2022-06-16,31.4,22.2,0.0,11.3
2022-06-17,27.4,21.6,0.0,13.8
2022-06-18,28.2,20.5,0.0,9.5
2022-06-19,30.9,19.8,0.0,9.5
2022-06-20,30.2,21.1,0.0,14.3
2022-06-21,30.7,20.6,0.0,8.0
