Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,5.4,1.9,4.1,25.9
2022-01-02,2.4,-4.2,0.9,28.8
2022-01-03,6.4,-0.3,5.4,28.8
2022-01-04,5.9,2.1,0.4,20.0
2022-01-05,8.6,2.6,4.3,26.5
2022-01-06,3.2,0.7,0.6,18.2
2022-01-07,0.9,-4.4,0.7,22.1
2022-01-08,0.3,-6.0,0.0,19.1
2022-01-09,-0.0,-3.2,6.7,17.1
2022-01-10,-0.4,-5.9,0.8,17.4
2022-01-11,-3.6,-9.4,0.8,19.8
2022-01-12,-10.1,-13.6,0.6,18.9
2022-01-13,0.5,-15.0,1.1,23.3
2022-01-14,3.6,-0.7,2.5,36.0
2022-01-15,1.9,-1.4,0.8,34.5
2022-01-16,0.5,-2.7,0.0,23.7
2022-01-17,2.0,-2.8,3.0,29.0
2022-01-18,-0.9,-4.3,1.1,35.2
2022-01-19,0.2,-6.7,0.0,23.2
2022-01-20,2.1,-2.4,0.6,19.7
2022-01-21,-0.9,-3.9,0.9,38.5
2022-01-22,-0.6,-5.0,1.5,22.5
2022-01-23,-2.6,-5.1,2.3,18.1
2022-01-24,-5.2,-7.4,0.0,21.3
2022-01-25,-4.7,-7.8,0.7,16.2
2022-01-26,-1.6,-4.7,2.0,18.4
2022-01-27,0.3,-8.1,1.5,14.7
2022-01-28,3.0,-0.3,2.5,19.5
2022-01-29,0.9,-2.0,1.8,23.8
2022-01-30,3.7,-4.2,5.3,29.5
2022-01-31,0.7,-1.7,3.3,29.8
2022-02-01,-0.7,-5.8,0.0,19.5
2022-02-02,2.6,-6.0,0.0,26.4
2022-02-03,1.5,-5.3,1.2,25.4
2022-02-04,-1.7,-8.4,0.0,18.9
2022-02-05,1.2,-8.4,1.0,20.9
2022-02-06,3.8,-2.2,0.2,22.1
2022-02-07,4.4,-1.1,0.8,20.1
2022-02-08,1.9,0.1,2.2,21.9
2022-02-09,5.3,-1.0,1.2,27.1
2022-02-10,7.5,-0.9,1.4,23.9
2022-02-11,6.8,1.4,0.8,22.7
2022-02-12,2.6,-3.2,7.6,22.0
2022-02-13,3.8,-4.4,0.0,17.9
2022-02-14,4.6,-3.1,0.0,18.7
2022-02-15,5.2,-3.5,0.0,15.8
2022-02-16,5.9,-3.1,0.0,13.7
2022-02-17,7.2,0.4,2.4,29.4
2022-02-18,6.5,0.4,0.8,23.9
2022-02-19,8.2,-0.9,0.7,31.3
2022-02-20,7.2,0.9,0.0,25.1
2022-02-21,9.9,0.5,0.0,25.8
2022-02-22,9.8,2.9,0.3,22.7
2022-02-23,5.2,0.7,0.9,16.3
2022-02-24,5.2,0.8,0.9,9.0
2022-02-25,6.8,-0.6,0.1,14.6
2022-02-26,6.3,0.4,0.2,22.3
2022-02-27,4.0,-1.4,0.2,14.8
2022-02-28,3.6,-3.8,0.0,21.8
2022-03-01,1.9,-1.2,1.3,19.9
2022-03-02,3.3,0.3,3.4,16.0
