Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,16.5,6.1,0.5,15.3
2022-01-02,18.0,6.3,0.0,13.9
2022-01-03,16.8,5.8,0.5,16.0
2022-01-04,16.2,6.5,2.5,16.0
2022-01-05,16.5,5.9,5.1,21.8
2022-01-06,14.2,6.4,8.8,13.3
2022-01-07,15.8,4.0,9.6,9.6
2022-01-08,16.4,6.6,6.6,15.7
2022-01-09,14.7,6.8,8.4,19.7
2022-01-10,14.8,6.4,10.4,18.4
2022-01-11,13.4,5.5,8.9,14.2
2022-01-12,14.0,6.6,4.8,18.4
2022-01-13,14.3,5.5,2.8,21.1
2022-01-14,13.1,3.6,1.2,14.8
2022-01-15,14.2,4.3,2.0,12.3
2022-01-16,13.2,6.4,4.9,20.5
2022-01-17,13.6,5.0,4.1,15.8
2022-01-18,15.0,6.3,9.3,14.5
2022-01-19,14.4,6.4,6.1,16.6
2022-01-20,15.9,4.6,4.7,14.5
2022-01-21,13.9,6.1,6.1,13.8
2022-01-22,14.5,6.5,12.3,10.4
2022-01-23,14.8,7.2,14.6,13.0
2022-01-24,13.8,6.5,6.6,17.3
2022-01-25,15.4,5.9,0.7,13.0
2022-01-26,14.7,4.5,7.1,11.2
2022-01-27,14.7,6.8,10.5,13.8
2022-01-28,14.4,5.5,4.9,14.1
2022-01-29,14.8,7.9,9.4,15.1
2022-01-30,13.4,8.1,8.9,12.6
2022-01-31,13.7,7.6,15.0,13.2
2022-02-01,13.5,6.6,2.2,19.5
2022-02-02,14.5,5.5,7.7,10.5
2022-02-03,13.0,7.0,14.0,16.1
2022-02-04,15.2,6.0,11.6,18.4
2022-02-05,15.8,4.5,0.0,13.4
2022-02-06,10.3,6.6,11.5,19.2
2022-02-07,14.5,5.4,2.8,15.5
2022-02-08,15.0,5.1,8.6,11.5
2022-02-09,12.7,6.0,6.4,10.2
2022-02-10,13.0,6.4,7.5,17.3
2022-02-11,15.0,4.8,6.6,16.6
2022-02-12,13.3,5.2,7.2,18.3
2022-02-13,15.0,4.8,2.0,17.8
2022-02-14,15.4,3.9,4.7,13.9
2022-02-15,14.3,5.9,3.2,18.0
2022-02-16,15.5,5.5,0.5,20.9
2022-02-17,16.2,5.1,0.8,18.0
2022-02-18,13.7,4.6,1.3,17.9
2022-02-19,17.0,4.8,0.2,19.9
2022-02-20,15.4,6.2,0.6,11.0
2022-02-21,13.8,6.7,8.6,14.7
2022-02-22,16.0,5.0,0.7,17.7
2022-02-23,14.0,5.4,4.3,16.1
2022-02-24,15.3,5.4,6.9,15.6
2022-02-25,15.8,5.9,3.2,19.5
2022-02-26,16.5,5.1,0.7,19.8
2022-02-27,16.0,4.5,0.6,12.5
2022-02-28,16.5,5.6,5.5,18.2
2022-03-01,15.4,4.8,1.1,14.5
2022-03-02,15.7,3.9,1.9,12.5
2022-03-03,14.8,5.4,1.2,12.6
2022-03-04,15.1,6.2,4.0,13.5
2022-03-05,15.8,5.3,0.4,18.0
2022-03-06,16.6,4.2,0.5,17.4
2022-03-07,15.7,5.7,7.9,18.8
2022-03-08,14.8,4.3,1.3,18.0
2022-03-09,15.5,4.7,1.9,15.4
2022-03-10,15.3,5.4,7.8,13.0
2022-03-11,14.6,5.6,9.2,11.6
2022-03-12,12.7,5.9,18.2,11.7
2022-03-13,14.6,6.2,5.5,16.3
2022-03-14,12.1,4.8,11.5,14.8
2022-03-15,8.8,3.5,19.7,12.5
2022-03-16,11.2,3.5,2.2,12.0
2022-03-17,13.8,3.6,1.4,12.5
2022-03-18,14.2,5.8,5.7,13.5
2022-03-19,15.2,4.1,1.1,20.2
2022-03-20,14.0,6.1,5.6,16.0
2022-03-21,14.5,4.1,5.3,13.7
2022-03-22,15.4,5.4,8.4,14.0
2022-03-23,15.2,4.9,7.1,16.9
2022-03-24,14.8,4.4,1.4,11.5
2022-03-25,14.3,5.5,4.3,10.5
2022-03-26,12.9,6.1,1.4,13.9
2022-03-27,13.8,5.8,8.1,19.8
2022-03-28,13.3,4.4,8.7,13.7
2022-03-29,14.9,3.6,0.7,15.6
2022-03-30,15.2,4.5,0.0,18.4
2022-03-31,14.3,4.3,1.1,18.9
2022-04-01,14.1,5.7,7.1,15.1
2022-04-02,13.1,4.2,8.6,24.6
2022-04-03,13.0,4.5,9.5,9.8
2022-04-04,14.7,5.9,2.0,18.9
2022-04-05,13.8,4.4,3.6,13.6
2022-04-06,14.7,2.8,1.3,14.6
2022-04-07,13.4,4.9,3.1,9.9
2022-04-08,13.5,4.5,3.0,10.8
2022-04-09,13.6,5.2,7.3,12.0
2022-04-10,14.4,5.0,1.7,20.5
2022-04-11,15.4,5.7,0.0,19.3
2022-04-12,15.5,2.8,0.0,22.7
2022-04-13,15.3,4.0,0.0,18.7
2022-04-14,14.7,1.7,0.0,18.6
2022-04-15,15.7,1.9,0.0,19.9
2022-04-16,16.4,2.6,0.0,18.7
2022-04-17,16.2,2.0,0.0,19.0
2022-04-18,15.9,2.8,0.0,14.5
2022-04-19,16.1,2.7,0.0,10.3
2022-04-20,15.8,5.0,0.4,10.1
2022-04-21,15.9,5.6,1.0,10.9
2022-04-22,17.4,3.7,0.1,16.6
2022-04-23,16.7,4.4,0.0,17.6
2022-04-24,16.8,3.0,0.0,17.1
2022-04-25,17.3,3.6,0.0,21.9
2022-04-26,18.0,4.1,0.0,20.7
2022-04-27,18.0,5.8,0.0,16.6
2022-04-28,18.6,6.7,0.0,20.0
2022-04-29,15.7,2.0,0.2,18.0
2022-04-30,16.1,4.8,0.3,13.5
2022-05-01,15.0,5.7,1.9,28.9
2022-05-02,16.1,3.7,0.2,25.9
2022-05-03,17.4,3.7,0.1,31.0
2022-05-04,16.0,5.1,0.0,13.2
2022-05-05,16.5,3.6,0.0,13.9
2022-05-06,17.2,4.8,0.0,19.8
2022-05-07,16.5,1.5,0.0,17.7
2022-05-08,15.9,3.4,0.0,26.3
2022-05-09,16.1,3.0,0.0,27.1
2022-05-10,15.0,4.0,0.0,20.6
2022-05-11,15.1,3.1,0.0,22.3
2022-05-12,14.9,2.1,0.0,19.2
2022-05-13,15.9,3.6,0.0,29.9
2022-05-14,16.1,3.8,0.0,28.2
2022-05-15,16.1,3.2,0.0,24.7
2022-05-16,16.3,1.2,0.0,22.0
2022-05-17,17.4,1.1,0.0,23.1
2022-05-18,17.3,1.7,0.0,20.5
2022-05-19,15.5,1.6,0.0,21.9
2022-05-20,15.3,2.5,0.0,18.8
2022-05-21,15.6,3.0,0.0,22.7
2022-05-22,14.6,3.1,0.0,29.0
2022-05-23,13.5,0.6,0.0,15.3
2022-05-24,14.7,1.0,0.0,19.2
2022-05-25,15.0,3.8,0.0,17.8
2022-05-26,15.1,3.5,0.0,14.0
2022-05-27,14.9,1.4,0.0,22.2
2022-05-28,15.1,2.5,0.0,25.1
2022-05-29,15.2,1.8,0.0,23.2
2022-05-30,15.6,4.0,0.0,27.2
2022-05-31,15.1,3.5,0.2,37.7
2022-06-01,14.5,4.5,2.9,36.9
2022-06-02,15.2,3.1,0.0,25.5
2022-06-03,13.8,5.4,0.3,22.7
2022-06-04,14.9,5.0,0.5,14.4
2022-06-05,13.1,4.7,1.3,15.8
2022-06-06,14.4,4.2,0.6,28.1
2022-06-07,14.0,1.7,0.0,23.9
2022-06-08,12.9,0.1,0.0,17.3
2022-06-09,12.5,0.2,0.0,19.6
2022-06-10,12.0,1.1,0.0,17.4
2022-06-11,11.8,-1.3,0.0,14.1
2022-06-12,12.9,-0.7,0.0,17.4
2022-06-13,11.7,-0.6,0.0,13.0
2022-06-14,13.9,-1.2,0.0,16.2
2022-06-15,15.0,3.5,0.0,22.3
2022-06-16,14.9,1.1,0.0,39.9
2022-06-17,14.2,0.6,0.0,28.7
2022-06-18,14.0,0.1,0.1,30.8
2022-06-19,13.7,-0.0,0.0,21.4
2022-06-20,14.2,2.0,0.0,29.6
2022-06-21,14.2,3.2,1.0,34.7
2022-06-22,14.4,0.9,0.0,29.4
2022-06-23,12.8,1.2,0.8,15.6
2022-06-24,12.8,1.7,0.4,13.6
2022-06-25,14.7,-0.1,0.0,27.1
2022-06-26,15.7,0.9,0.0,23.9
2022-06-27,15.4,2.0,0.0,23.0
2022-06-28,15.3,3.0,0.0,16.5
2022-06-29,16.1,4.6,0.0,15.2
2022-06-30,16.2,5.3,0.0,12.0
2022-07-01,16.7,2.0,0.0,16.2
2022-07-02,18.0,4.4,0.0,15.1
2022-07-03,16.6,1.2,0.0,24.6
2022-07-04,15.4,4.3,0.0,12.2
2022-07-05,16.0,4.1,0.0,16.9
2022-07-06,15.6,3.6,0.0,11.9
2022-07-07,16.4,4.7,0.9,19.8
2022-07-08,16.6,1.5,0.0,26.8
2022-07-09,15.1,2.1,0.0,24.7
2022-07-10,15.6,2.2,0.0,30.9
2022-07-11,15.3,0.7,0.0,24.4
2022-07-12,16.6,0.6,0.0,24.4
2022-07-13,15.5,3.4,0.0,31.1
2022-07-14,15.3,1.4,0.0,30.6
2022-07-15,15.3,-0.0,0.0,32.2
2022-07-16,14.8,1.8,0.0,25.0
2022-07-17,15.7,1.0,0.1,23.2
2022-07-18,14.9,2.0,0.2,18.4
2022-07-19,17.1,1.7,0.0,19.1
2022-07-20,16.4,3.3,0.0,19.7
2022-07-21,16.5,2.0,0.0,13.5
2022-07-22,17.0,1.5,0.0,13.9
2022-07-23,16.3,3.8,0.0,12.3
2022-07-24,16.6,3.5,0.0,15.0
2022-07-25,17.0,4.8,0.0,31.3
2022-07-26,17.7,3.4,0.0,20.4
2022-07-27,17.9,2.3,0.0,20.8
2022-07-28,17.7,4.5,0.0,16.7
2022-07-29,17.4,4.9,0.0,11.0
2022-07-30,18.5,2.5,0.0,17.3
2022-07-31,18.8,4.8,0.0,14.7
2022-08-01,18.4,3.6,0.0,23.8
2022-08-02,17.8,2.3,0.2,23.8
2022-08-03,16.6,3.5,0.0,22.1
2022-08-04,17.2,1.7,0.1,17.6
2022-08-05,15.6,3.5,0.2,26.9
2022-08-06,14.0,4.4,3.3,27.2
2022-08-07,12.6,2.2,0.0,26.7
2022-08-08,12.6,3.9,2.2,30.4
2022-08-09,14.4,2.5,0.4,28.2
2022-08-10,14.5,1.0,0.0,15.6
2022-08-11,17.0,1.6,0.0,19.2
2022-08-12,16.9,1.6,0.0,17.1
2022-08-13,17.8,3.1,0.0,17.8
2022-08-14,17.5,3.7,0.0,25.1
2022-08-15,17.1,3.8,0.0,27.5
2022-08-16,17.2,1.7,0.0,26.0
2022-08-17,16.9,1.1,0.0,32.5
2022-08-18,15.3,-0.8,0.0,15.5
2022-08-19,14.9,1.7,0.0,26.9
2022-08-20,15.4,1.6,0.0,20.2
2022-08-21,16.2,2.6,0.0,21.7
2022-08-22,16.7,1.4,0.1,25.7
2022-08-23,17.5,2.5,0.0,19.3
2022-08-24,17.8,4.1,0.0,14.9
2022-08-25,17.7,1.8,0.0,15.9
2022-08-26,17.7,3.8,0.1,15.9
2022-08-27,16.8,4.7,0.2,13.4
2022-08-28,15.2,3.1,0.0,23.3
2022-08-29,14.6,1.6,0.5,23.3
2022-08-30,16.0,2.0,0.4,13.2
2022-08-31,16.1,2.1,7.6,15.0
2022-09-01,16.9,3.9,0.5,24.9
2022-09-02,15.7,4.7,12.5,22.3
2022-09-03,15.0,4.7,0.5,25.3
2022-09-04,15.1,3.3,2.6,28.0
2022-09-05,16.1,2.3,0.0,30.1
2022-09-06,16.5,1.5,0.0,12.8
2022-09-07,17.8,1.9,0.0,22.7
2022-09-08,18.3,4.4,0.0,24.5
2022-09-09,18.1,3.0,0.5,19.3
2022-09-10,18.4,4.2,0.2,17.0
2022-09-11,18.4,4.0,0.0,23.7
2022-09-12,19.3,3.3,0.0,27.8
2022-09-13,18.4,4.9,0.0,28.8
2022-09-14,17.1,4.5,1.4,26.1
2022-09-15,18.0,4.8,0.3,27.8
2022-09-16,16.2,3.9,0.3,20.1
2022-09-17,17.6,3.7,0.2,22.9
2022-09-18,18.4,4.9,0.0,24.2
2022-09-19,19.2,4.5,0.0,15.5
2022-09-20,19.1,5.1,0.0,23.8
2022-09-21,20.1,3.7,0.0,19.1
2022-09-22,19.5,4.2,0.0,26.2
2022-09-23,20.5,3.8,0.0,21.4
2022-09-24,17.4,4.0,5.7,25.1
2022-09-25,16.3,4.2,1.5,26.9
2022-09-26,16.4,3.2,0.0,28.9
2022-09-27,18.3,4.4,0.1,30.7
2022-09-28,18.4,0.9,0.0,27.6
2022-09-29,18.1,1.8,0.0,27.0
2022-09-30,18.6,1.9,0.1,25.9
2022-10-01,17.7,2.2,1.5,23.5
2022-10-02,17.0,3.2,1.6,15.6
2022-10-03,15.6,4.6,4.5,18.6
2022-10-04,16.1,4.1,0.0,14.5
2022-10-05,17.5,3.9,0.0,31.0
2022-10-06,17.4,0.4,0.0,22.7
2022-10-07,17.0,0.4,0.0,22.0
2022-10-08,20.3,2.2,0.0,18.9
2022-10-09,20.8,4.1,0.0,28.2
2022-10-10,19.2,4.4,0.0,24.9
2022-10-11,18.2,3.2,0.0,30.8
2022-10-12,16.7,1.5,0.0,29.2
2022-10-13,16.3,2.3,0.0,26.7
2022-10-14,16.7,3.1,3.0,29.2
2022-10-15,15.4,4.6,1.7,15.7
2022-10-16,15.4,6.0,1.0,15.3
2022-10-17,16.9,5.4,1.6,23.2
2022-10-18,15.3,4.8,2.2,19.4
2022-10-19,17.5,5.7,0.8,23.8
2022-10-20,18.8,5.0,0.0,27.6
2022-10-21,19.6,2.7,0.0,27.7
2022-10-22,20.3,3.6,0.4,30.6
2022-10-23,18.7,4.6,0.0,24.3
2022-10-24,19.6,6.5,1.1,26.4
2022-10-25,19.5,6.7,1.2,21.4
2022-10-26,22.2,5.7,0.3,29.0
2022-10-27,21.2,6.0,0.0,23.6
2022-10-28,21.6,5.6,0.0,26.9
2022-10-29,21.0,5.9,0.0,28.3
2022-10-30,20.6,5.3,0.0,32.4
2022-10-31,21.6,5.4,0.0,33.8
2022-11-01,20.4,5.8,0.0,27.0
2022-11-02,20.8,2.9,0.0,20.4
2022-11-03,20.5,4.0,0.4,25.0
2022-11-04,20.9,5.5,0.1,27.5
2022-11-05,21.4,6.3,0.0,27.0
2022-11-06,20.1,5.3,0.3,31.4
2022-11-07,19.8,5.2,0.3,32.6
2022-11-08,20.1,3.9,0.0,25.0
2022-11-09,18.2,4.5,2.6,29.5
2022-11-10,18.4,4.7,0.0,28.5
2022-11-11,19.3,4.7,0.0,30.3
2022-11-12,19.1,4.0,0.0,31.1
2022-11-13,20.3,2.3,0.0,23.1
2022-11-14,20.4,5.2,0.0,28.1
2022-11-15,20.3,6.2,0.7,22.7
2022-11-16,20.1,8.4,0.4,26.6
2022-11-17,19.3,3.8,0.2,23.1
2022-11-18,20.4,5.2,0.0,22.0
2022-11-19,21.7,7.2,2.5,30.4
2022-11-20,22.5,6.9,0.2,33.6
2022-11-21,20.3,4.9,0.0,29.2
2022-11-22,17.9,8.2,0.3,16.7
2022-11-23,17.6,6.8,0.7,23.7
2022-11-24,17.3,4.5,0.3,22.5
2022-11-25,17.3,3.9,0.2,21.4
2022-11-26,17.3,4.9,1.5,20.0
2022-11-27,17.8,3.4,0.2,25.7
2022-11-28,17.5,4.2,0.6,16.1
2022-11-29,20.0,4.6,0.2,18.2
2022-11-30,20.1,4.1,0.0,28.0
2022-12-01,18.8,4.6,0.0,31.7
2022-12-02,18.6,1.5,0.0,33.6
2022-12-03,17.8,4.1,0.0,25.7
2022-12-04,14.7,4.2,5.1,24.8
2022-12-05,15.8,4.8,4.2,21.4
2022-12-06,13.3,6.2,1.7,17.0
2022-12-07,14.9,6.1,2.3,22.1
2022-12-08,15.6,4.8,7.0,11.8
2022-12-09,16.0,5.9,2.0,19.6
2022-12-10,18.2,5.3,3.1,18.4
2022-12-11,14.8,5.5,7.7,15.0
2022-12-12,13.6,6.4,9.4,16.2
2022-12-13,14.5,5.5,1.7,27.6
2022-12-14,14.3,4.4,10.0,19.4
2022-12-15,16.2,5.8,1.1,22.4
2022-12-16,15.8,4.0,6.5,17.4
2022-12-17,15.7,6.4,6.6,15.4
2022-12-18,16.1,5.7,1.5,13.1
2022-12-19,14.7,4.6,3.4,18.9
2022-12-20,14.9,4.0,2.8,19.9
2022-12-21,15.9,6.3,1.3,15.4
2022-12-22,16.7,6.6,1.1,13.6
2022-12-23,16.8,5.8,6.7,17.4
2022-12-24,21.1,5.3,0.0,25.9
2022-12-25,15.5,4.8,0.0,18.0
2022-12-26,17.2,3.0,3.0,12.5
2022-12-27,18.5,5.3,6.0,21.7
2022-12-28,17.2,6.3,1.5,16.4
2022-12-29,16.2,5.9,1.4,16.1
2022-12-30,16.0,7.1,8.7,15.1
2022-12-31,16.6,4.7,7.2,16.3
2023-01-01,15.6,5.9,6.6,12.5
2023-01-02,13.6,5.9,8.9,25.3
2023-01-03,13.9,6.5,13.5,15.5
2023-01-04,14.6,5.4,6.9,15.9
2023-01-05,12.6,5.8,2.2,16.0
2023-01-06,13.8,4.5,0.6,13.6
2023-01-07,15.8,4.4,2.1,18.6
2023-01-08,15.7,5.4,4.3,18.4
2023-01-09,15.9,4.9,1.6,14.0
2023-01-10,16.5,5.4,0.3,19.8
2023-01-11,17.6,5.0,0.1,17.9
2023-01-12,14.9,6.6,2.1,17.7
2023-01-13,19.1,5.6,0.1,22.1
2023-01-14,19.4,1.3,0.0,24.5
2023-01-15,17.6,3.6,3.3,24.5
2023-01-16,17.5,4.0,0.8,22.4
2023-01-17,17.5,4.9,0.6,26.3
2023-01-18,16.8,6.0,0.4,24.3
2023-01-19,13.8,6.1,3.2,28.3
2023-01-20,16.0,3.7,1.9,14.9
2023-01-21,18.2,5.4,0.1,24.5
2023-01-22,17.2,4.4,2.0,23.4
2023-01-23,19.3,3.6,0.2,19.5
2023-01-24,14.7,5.3,4.0,20.2
2023-01-25,17.6,7.2,1.6,22.0
2023-01-26,16.8,5.4,0.9,25.8
2023-01-27,17.0,6.9,1.0,18.9
2023-01-28,16.1,6.6,0.3,23.6
2023-01-29,13.7,6.2,2.0,17.4
2023-01-30,15.0,6.2,1.5,19.1
2023-01-31,16.0,5.2,9.3,21.9
2023-02-01,14.7,5.9,10.6,19.2
2023-02-02,14.5,5.7,9.2,14.8
2023-02-03,14.8,7.2,4.0,19.6
2023-02-04,13.4,6.2,3.4,21.2
2023-02-05,12.0,5.2,7.1,12.3
2023-02-06,13.6,5.7,9.9,13.9
2023-02-07,12.4,6.1,9.6,12.3
2023-02-08,12.9,5.7,11.5,12.8
2023-02-09,13.4,6.5,9.9,10.4
2023-02-10,14.5,6.0,8.1,15.5
2023-02-11,15.9,7.2,5.4,17.0
2023-02-12,14.6,6.2,9.0,14.3
2023-02-13,16.0,6.5,3.5,13.0
2023-02-14,14.8,6.6,7.7,17.9
2023-02-15,15.8,5.4,6.9,13.7
2023-02-16,16.6,6.9,2.1,13.6
2023-02-17,16.0,4.3,2.2,16.0
2023-02-18,13.0,7.1,7.7,13.0
2023-02-19,15.7,6.0,1.6,13.4
2023-02-20,15.5,4.4,1.2,18.1
2023-02-21,15.5,5.7,1.6,10.7
2023-02-22,15.2,5.7,1.6,11.1
2023-02-23,15.9,5.0,2.0,12.2
2023-02-24,15.8,4.9,4.3,12.9
2023-02-25,15.3,5.7,1.0,18.4
2023-02-26,18.4,5.9,0.3,19.6
2023-02-27,14.4,6.5,1.6,24.1
2023-02-28,17.6,3.6,1.1,18.8
2023-03-01,17.8,5.0,1.7,17.7
2023-03-02,18.5,6.5,1.4,19.4
2023-03-03,17.5,7.4,5.8,17.4
2023-03-04,17.0,5.7,4.9,14.9
2023-03-05,17.9,6.3,0.7,22.2
2023-03-06,18.1,5.1,0.5,10.1
2023-03-07,18.3,6.1,7.6,16.9
2023-03-08,16.1,8.3,4.4,21.2
2023-03-09,14.6,6.3,5.0,20.9
2023-03-10,16.1,5.1,4.5,19.1
2023-03-11,16.2,6.7,1.7,15.1
2023-03-12,16.1,3.8,3.5,18.4
2023-03-13,15.1,5.5,3.4,13.2
2023-03-14,15.3,5.4,3.6,19.6
2023-03-15,16.1,5.0,0.5,17.8
2023-03-16,15.4,4.3,4.7,19.8
2023-03-17,14.4,6.5,0.7,13.6
2023-03-18,14.4,5.2,0.7,16.1
2023-03-19,15.0,4.1,2.2,15.6
2023-03-20,14.8,5.5,4.3,19.8
2023-03-21,14.9,5.8,1.7,17.7
2023-03-22,15.8,5.5,0.1,22.0
2023-03-23,16.2,5.9,2.3,21.1
2023-03-24,13.9,6.2,5.3,18.4
2023-03-25,15.6,3.3,2.2,10.5
2023-03-26,16.0,4.5,5.1,18.3
2023-03-27,13.7,6.0,4.4,15.3
2023-03-28,14.5,4.8,7.3,10.2
2023-03-29,15.0,4.8,8.7,14.4
2023-03-30,14.6,5.0,0.6,18.1
2023-03-31,14.0,4.0,0.8,21.5
2023-04-01,14.5,4.0,0.5,15.3
2023-04-02,16.0,4.4,0.0,19.5
2023-04-03,15.0,4.8,1.6,18.9
2023-04-04,13.8,5.4,7.5,15.1
2023-04-05,14.9,4.2,0.3,14.8
2023-04-06,14.2,2.9,0.5,14.3
2023-04-07,13.6,3.8,2.0,14.2
2023-04-08,14.3,4.4,0.7,12.7
2023-04-09,14.1,3.3,3.8,10.7
