Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,30.1,24.9,1.0,15.8
2022-01-02,30.7,24.6,0.6,16.8
2022-01-03,32.8,25.2,0.0,17.9
2022-01-04,30.1,24.6,0.0,17.5
2022-01-05,30.3,25.0,0.0,14.2
2022-01-06,30.8,22.9,0.0,18.2
2022-01-07,30.6,24.9,0.0,18.7
2022-01-08,30.8,24.7,1.9,18.2
2022-01-09,31.3,25.5,0.1,19.1
2022-01-10,30.1,24.7,0.0,16.6
2022-01-11,30.1,25.5,0.3,18.4
2022-01-12,30.5,25.8,1.2,19.6
2022-01-13,28.6,24.0,12.8,19.4
2022-01-14,28.8,25.4,1.6,18.8
2022-01-15,30.1,25.3,0.1,21.8
2022-01-16,29.7,25.5,0.5,17.9
2022-01-17,29.1,23.8,0.3,18.8
2022-01-18,30.1,24.4,0.3,17.6
2022-01-19,30.2,23.9,0.6,15.9
2022-01-20,30.1,22.8,0.0,15.0
2022-01-21,30.1,21.8,0.0,12.5
2022-01-22,31.5,22.1,0.0,18.4
2022-01-23,31.7,23.1,0.0,16.3
2022-01-24,30.9,24.0,0.0,16.9
2022-01-25,31.6,23.5,0.0,14.2
2022-01-26,30.3,21.6,0.0,14.8
2022-01-27,30.7,22.6,0.0,18.1
2022-01-28,30.4,24.3,0.0,19.6
2022-01-29,31.5,23.1,0.0,17.8
2022-01-30,30.1,20.8,0.0,15.3
2022-01-31,30.0,21.5,0.0,17.6
2022-02-01,31.1,21.3,0.0,16.1
2022-02-02,31.3,21.5,0.0,20.5
2022-02-03,30.2,23.7,0.1,17.8
2022-02-04,29.8,24.4,0.6,17.4
2022-02-05,30.2,24.8,2.8,19.9
2022-02-06,30.5,24.0,0.0,17.8
2022-02-07,30.2,24.4,0.0,18.6
2022-02-08,30.5,24.5,0.3,20.1
2022-02-09,30.9,25.0,0.4,20.0
2022-02-10,30.6,25.1,0.1,20.0
2022-02-11,30.6,25.5,0.3,19.2
2022-02-12,29.9,25.2,0.2,17.4
2022-02-13,30.8,25.2,1.9,19.6
2022-02-14,30.9,25.9,1.5,21.2
2022-02-15,30.9,26.5,0.8,21.3
2022-02-16,30.0,26.3,1.9,20.7
2022-02-17,29.9,26.4,1.0,17.4
2022-02-18,30.6,26.8,0.3,22.4
2022-02-19,28.2,26.6,1.4,25.5
2022-02-20,28.6,26.5,0.8,18.7
2022-02-21,29.7,25.4,1.0,20.2
2022-02-22,30.4,25.6,0.5,21.8
2022-02-23,30.9,26.9,0.2,20.6
2022-02-24,30.8,26.3,0.3,19.6
2022-02-25,30.9,26.1,0.5,20.5
2022-02-26,31.1,26.1,0.1,21.2
2022-02-27,30.9,26.3,2.0,22.0
2022-02-28,31.3,26.7,0.1,22.5
2022-03-01,31.3,27.2,0.4,22.2
2022-03-02,31.2,25.9,1.0,22.4
2022-03-03,30.0,26.4,5.5,22.8
2022-03-04,29.7,25.4,17.6,19.6
2022-03-05,30.1,24.9,0.4,18.1
2022-03-06,29.3,26.9,2.1,18.2
2022-03-07,30.4,27.4,0.3,17.1
2022-03-08,30.7,27.4,0.2,18.9
2022-03-09,30.8,27.3,3.2,24.0
2022-03-10,31.0,27.1,3.5,27.7
2022-03-11,30.6,25.8,4.4,20.8
2022-03-12,29.1,23.9,10.5,15.3
2022-03-13,28.8,25.6,7.5,12.9
2022-03-14,29.6,25.2,3.1,21.5
2022-03-15,30.2,26.3,6.2,22.4
2022-03-16,29.9,26.2,1.8,17.9
2022-03-17,30.5,26.7,0.8,20.0
2022-03-18,30.8,27.2,1.5,20.0
2022-03-19,30.8,27.3,0.2,23.3
2022-03-20,30.9,27.0,0.9,25.0
2022-03-21,30.8,27.2,1.6,23.7
2022-03-22,30.4,25.5,8.0,20.5
2022-03-23,30.7,27.7,1.2,21.5
2022-03-24,30.3,25.2,3.7,18.6
2022-03-25,30.6,26.6,0.3,16.5
2022-03-26,30.6,26.9,1.4,19.6
2022-03-27,30.9,27.3,1.7,19.9
2022-03-28,30.7,27.3,1.4,23.3
2022-03-29,30.4,27.0,2.2,21.0
2022-03-30,29.7,27.1,0.1,19.1
2022-03-31,31.4,27.5,0.4,20.6
2022-04-01,29.8,27.2,5.6,23.0
2022-04-02,30.0,26.3,2.8,22.3
2022-04-03,31.0,27.6,0.2,21.1
2022-04-04,30.9,27.1,0.8,21.7
2022-04-05,31.0,27.1,2.9,19.3
2022-04-06,29.3,27.1,0.3,19.8
2022-04-07,30.7,27.0,0.9,21.9
2022-04-08,30.0,27.4,1.0,26.0
2022-04-09,30.3,26.7,0.8,16.0
2022-04-10,30.1,25.3,0.0,12.4
2022-04-11,31.3,27.3,0.3,18.7
2022-04-12,29.2,26.0,10.1,17.4
2022-04-13,28.9,24.8,4.3,16.1
2022-04-14,30.6,26.5,0.4,21.4
2022-04-15,29.6,26.5,2.3,18.8
2022-04-16,30.5,23.9,12.8,17.2
2022-04-17,30.5,24.6,13.0,19.7
2022-04-18,28.3,24.6,4.5,12.3
2022-04-19,29.6,26.9,0.8,12.7
2022-04-20,30.3,25.9,0.5,17.8
2022-04-21,29.9,27.2,6.1,17.7
2022-04-22,30.2,26.1,0.0,16.7
2022-04-23,30.7,26.9,0.0,22.8
2022-04-24,29.9,25.5,0.7,20.8
2022-04-25,30.0,26.2,0.6,17.9
2022-04-26,29.2,25.1,3.8,26.4
2022-04-27,29.2,25.3,16.2,22.1
2022-04-28,28.6,24.5,4.1,14.1
2022-04-29,30.2,25.7,0.5,21.4
2022-04-30,29.9,25.0,3.0,15.6
2022-05-01,30.2,27.1,0.9,17.7
2022-05-02,30.0,27.1,1.4,22.3
2022-05-03,30.4,25.2,0.1,18.4
2022-05-04,31.5,26.1,9.6,22.8
2022-05-05,30.8,25.0,0.8,18.7
2022-05-06,28.2,25.4,8.5,14.8
2022-05-07,29.1,24.5,0.6,12.0
2022-05-08,30.0,25.8,1.0,20.9
2022-05-09,29.9,27.0,6.4,21.7
2022-05-10,29.1,26.0,1.6,16.6
2022-05-11,30.0,25.9,2.6,16.5
2022-05-12,29.5,26.6,0.7,16.6
2022-05-13,30.4,26.0,1.4,16.8
2022-05-14,30.4,27.2,0.4,16.6
2022-05-15,29.7,25.9,0.5,19.3
2022-05-16,30.8,26.3,1.5,17.9
2022-05-17,31.1,27.0,0.4,14.8
2022-05-18,30.0,26.9,2.0,22.5
2022-05-19,28.5,24.9,11.8,17.9
2022-05-20,29.2,25.4,1.8,20.1
2022-05-21,27.5,24.6,23.3,14.6
2022-05-22,29.0,24.9,17.2,18.1
2022-05-23,29.0,24.7,6.1,17.1
2022-05-24,28.4,25.1,0.3,15.6
2022-05-25,28.3,24.8,3.6,18.0
2022-05-26,28.1,24.5,11.7,18.0
2022-05-27,28.4,24.1,2.5,17.6
2022-05-28,29.2,24.7,2.0,17.2
2022-05-29,29.5,26.0,2.3,19.2
2022-05-30,28.8,25.2,2.8,18.5
2022-05-31,28.1,25.5,2.6,17.3
2022-06-01,29.2,25.4,0.4,13.3
2022-06-02,29.7,26.2,1.1,20.2
2022-06-03,27.7,24.4,9.1,19.2
2022-06-04,28.8,24.7,17.9,18.0
2022-06-05,27.7,24.1,21.7,24.2
2022-06-06,28.1,23.7,6.1,12.9
2022-06-07,29.4,24.2,5.3,13.7
2022-06-08,28.9,25.4,3.8,18.4
2022-06-09,29.2,26.0,2.7,20.9
2022-06-10,28.2,24.7,7.9,19.4
2022-06-11,26.1,23.2,7.5,15.9
2022-06-12,28.6,24.0,2.2,12.2
2022-06-13,29.3,24.7,4.6,20.5
2022-06-14,28.3,23.8,14.3,20.0
2022-06-15,27.2,23.8,26.5,18.9
2022-06-16,25.5,23.1,40.3,19.1
2022-06-17,26.4,23.4,9.2,14.3
2022-06-18,26.2,23.8,7.9,12.5
2022-06-19,27.5,23.0,0.5,10.0
2022-06-20,27.8,24.0,4.5,17.2
2022-06-21,27.5,24.2,11.3,22.4
2022-06-22,26.2,23.1,3.2,18.2
2022-06-23,27.7,23.7,0.6,13.8
2022-06-24,26.3,24.8,1.6,14.2
2022-06-25,28.0,23.7,0.3,15.3
2022-06-26,26.7,24.1,3.4,14.3
2022-06-27,28.0,24.1,3.2,15.0
2022-06-28,27.7,24.1,7.6,15.5
2022-06-29,27.7,24.3,5.7,20.9
2022-06-30,26.0,23.8,21.7,24.6
2022-07-01,27.0,23.8,11.5,18.8
2022-07-02,27.6,24.0,1.1,16.6
2022-07-03,27.9,23.6,0.5,22.7
2022-07-04,27.3,24.9,4.9,26.9
2022-07-05,26.3,23.7,8.7,21.7
2022-07-06,27.3,23.8,2.3,16.4
2022-07-07,27.8,24.6,0.7,19.2
2022-07-08,25.7,23.3,33.8,19.6
2022-07-09,26.0,23.7,11.7,19.8
2022-07-10,27.2,24.0,2.0,24.0
2022-07-11,26.2,24.3,3.8,21.9
2022-07-12,25.5,24.5,7.8,17.3
2022-07-13,26.8,24.2,1.7,24.5
2022-07-14,27.2,24.5,0.6,23.1
2022-07-15,27.4,24.3,1.9,21.4
2022-07-16,26.7,24.6,3.2,23.8
2022-07-17,27.0,24.1,5.8,19.8
2022-07-18,26.7,23.3,3.4,24.2
2022-07-19,27.0,24.0,0.6,22.1
2022-07-20,26.9,24.2,1.5,22.5
2022-07-21,27.0,24.1,0.8,23.3
2022-07-22,27.6,24.5,0.9,20.8
2022-07-23,27.1,24.2,2.9,20.7
2022-07-24,26.9,23.9,2.2,18.4
2022-07-25,27.2,24.4,1.3,22.6
2022-07-26,26.2,23.0,10.2,23.4
2022-07-27,26.8,24.7,1.5,25.2
2022-07-28,26.6,24.8,1.0,28.9
2022-07-29,26.8,24.6,1.1,28.0
2022-07-30,27.0,24.1,0.1,25.1
2022-07-31,26.7,24.3,0.6,32.1
2022-08-01,25.8,24.0,3.0,28.3
2022-08-02,26.0,23.1,0.2,21.0
2022-08-03,26.4,22.9,0.5,22.0
2022-08-04,26.7,23.3,0.2,22.4
2022-08-05,26.9,23.2,0.5,19.4
2022-08-06,27.1,22.9,0.9,20.1
2022-08-07,27.0,23.4,0.3,20.7
2022-08-08,27.4,24.0,0.2,25.3
2022-08-09,27.7,24.2,0.5,22.1
2022-08-10,27.7,24.0,0.6,22.9
2022-08-11,28.1,24.0,9.4,24.7
2022-08-12,27.1,23.7,1.8,23.7
2022-08-13,27.5,23.8,0.2,30.2
2022-08-14,26.4,24.2,2.3,33.6
2022-08-15,25.9,23.9,4.7,31.4
2022-08-16,25.4,23.4,3.5,21.6
