Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,22.3,17.6,0.0,23.9
2022-01-02,22.3,18.7,0.0,21.5
2022-01-03,22.3,19.1,0.8,22.9
2022-01-04,22.7,18.0,0.0,21.2
2022-01-05,22.1,18.4,0.0,20.2
2022-01-06,22.4,18.7,0.0,19.7
2022-01-07,22.1,18.0,0.0,17.1
2022-01-08,23.3,18.4,0.0,20.5
2022-01-09,24.1,18.7,0.0,23.5
2022-01-10,23.5,18.6,0.0,25.2
2022-01-11,23.3,19.2,0.0,20.5
2022-01-12,22.6,19.2,0.4,18.1
2022-01-13,22.5,19.6,1.9,22.4
2022-01-14,22.9,19.4,0.0,19.6
2022-01-15,22.6,18.9,0.0,16.3
2022-01-16,25.2,19.7,0.0,25.6
2022-01-17,24.3,19.4,0.9,20.7
2022-01-18,23.1,19.8,0.0,14.2
2022-01-19,24.3,19.5,0.0,21.5
2022-01-20,23.3,19.4,0.0,24.9
2022-01-21,22.5,20.0,0.1,20.9
2022-01-22,22.7,19.1,0.0,19.9
2022-01-23,23.8,18.5,0.0,20.5
2022-01-24,23.1,19.1,0.0,21.9
2022-01-25,22.7,18.7,0.0,23.1
2022-01-26,23.5,19.3,0.0,24.6
2022-01-27,22.7,18.5,0.0,23.5
2022-01-28,22.8,18.5,0.0,25.5
2022-01-29,23.4,18.3,0.0,21.0
2022-01-30,23.6,18.7,0.0,20.2
2022-01-31,23.4,18.1,0.0,19.0
2022-02-01,23.8,18.8,0.0,23.2
2022-02-02,23.9,18.6,0.0,23.8
2022-02-03,23.8,19.0,0.0,21.8
2022-02-04,23.2,18.2,0.0,19.5
2022-02-05,22.9,17.7,0.0,19.5
2022-02-06,22.4,17.7,0.0,20.0
2022-02-07,22.8,18.0,0.0,22.9
2022-02-08,22.3,17.7,0.6,15.5
2022-02-09,22.6,17.6,0.0,14.7
2022-02-10,22.9,18.6,0.0,19.2
2022-02-11,23.4,18.6,0.0,25.1
2022-02-12,23.0,18.8,0.0,20.7
2022-02-13,23.9,18.7,0.0,19.7
2022-02-14,23.8,18.7,0.0,17.1
2022-02-15,22.7,18.2,0.2,20.8
2022-02-16,21.9,19.1,0.2,21.3
2022-02-17,21.6,17.8,0.3,15.3
2022-02-18,22.5,18.3,0.0,14.8
2022-02-19,23.4,19.0,0.4,16.7
2022-02-20,23.2,18.6,0.0,21.3
2022-02-21,22.6,18.3,0.0,17.7
2022-02-22,23.3,19.1,0.0,19.1
2022-02-23,23.4,19.4,0.1,21.7
2022-02-24,22.3,18.9,0.0,16.4
2022-02-25,22.1,18.6,0.0,18.5
2022-02-26,21.6,18.2,1.6,16.0
2022-02-27,21.7,18.7,1.6,18.5
2022-02-28,22.1,19.1,8.7,17.2
2022-03-01,22.6,18.6,0.0,13.0
2022-03-02,22.5,18.3,6.5,13.1
2022-03-03,22.8,19.6,1.2,13.5
2022-03-04,23.4,19.2,3.4,12.6
2022-03-05,21.6,18.5,0.0,14.7
2022-03-06,22.1,18.5,2.0,16.3
2022-03-07,22.7,19.1,1.6,10.1
2022-03-08,25.1,19.9,1.3,14.1
2022-03-09,24.1,19.9,0.9,19.3
2022-03-10,23.0,19.2,0.0,18.8
2022-03-11,22.9,19.0,0.0,12.9
2022-03-12,23.2,19.5,1.0,18.2
2022-03-13,24.8,19.8,0.0,19.9
2022-03-14,24.6,19.7,0.0,19.8
2022-03-15,25.2,20.1,0.0,21.8
2022-03-16,25.1,19.8,0.0,21.8
2022-03-17,24.3,18.7,0.0,20.4
2022-03-18,22.6,17.8,0.0,18.7
2022-03-19,21.8,17.9,0.0,15.8
2022-03-20,21.1,17.4,0.0,17.1
2022-03-21,21.1,18.0,1.1,17.9
2022-03-22,21.3,17.4,2.3,18.2
2022-03-23,21.1,17.2,0.0,18.2
2022-03-24,21.8,16.9,0.0,19.0
2022-03-25,21.5,17.2,0.0,16.2
2022-03-26,22.0,17.9,0.0,17.5
2022-03-27,22.0,17.2,0.0,18.2
2022-03-28,22.8,18.0,0.1,20.8
2022-03-29,22.9,18.4,0.0,23.5
2022-03-30,22.0,17.7,0.0,20.7
2022-03-31,21.9,16.8,0.0,22.1
2022-04-01,22.0,17.3,0.0,22.7
2022-04-02,22.1,17.6,0.0,24.8
2022-04-03,22.0,17.7,0.0,22.9
2022-04-04,21.5,17.0,0.0,16.6
2022-04-05,22.2,17.9,0.0,20.3
2022-04-06,22.4,17.2,0.0,21.4
2022-04-07,22.0,17.1,0.0,23.5
2022-04-08,21.2,17.9,0.0,20.6
2022-04-09,21.3,17.2,0.0,15.0
2022-04-10,21.5,17.5,0.0,20.8
2022-04-11,21.4,16.0,0.0,24.9
2022-04-12,20.1,16.2,0.0,20.6
2022-04-13,19.1,16.2,0.0,17.1
2022-04-14,20.0,16.0,0.0,24.2
2022-04-15,20.1,16.0,0.0,23.1
2022-04-16,19.7,15.4,0.0,24.1
2022-04-17,19.1,15.1,0.0,19.1
2022-04-18,19.8,15.9,0.0,19.5
2022-04-19,20.4,16.0,0.0,23.5
2022-04-20,21.6,15.8,0.0,19.3
2022-04-21,21.4,16.8,0.0,28.9
2022-04-22,20.1,15.7,0.0,25.1
2022-04-23,20.4,15.8,0.0,22.5
2022-04-24,20.3,15.5,0.0,22.3
2022-04-25,19.5,16.4,0.0,17.6
2022-04-26,19.8,16.7,0.0,19.6
2022-04-27,19.3,16.8,0.0,16.1
2022-04-28,19.0,15.8,0.0,19.4
2022-04-29,19.9,16.0,0.0,20.4
2022-04-30,19.6,15.7,0.0,21.6
2022-05-01,19.0,15.4,0.0,23.0
2022-05-02,19.4,14.9,0.0,17.9
2022-05-03,19.6,14.6,0.0,15.4
2022-05-04,19.5,15.3,0.0,22.3
2022-05-05,19.7,14.9,0.0,19.9
2022-05-06,19.9,15.1,0.0,21.7
2022-05-07,20.1,15.1,0.0,20.8
2022-05-08,19.3,15.0,0.0,24.5
2022-05-09,19.7,15.5,0.0,25.6
2022-05-10,19.1,15.0,0.0,21.1
2022-05-11,18.6,14.3,0.0,20.6
2022-05-12,19.1,14.4,0.0,21.0
2022-05-13,18.3,14.4,0.0,20.9
2022-05-14,18.4,13.9,0.0,21.1
2022-05-15,18.1,13.7,0.0,16.4
2022-05-16,19.0,13.3,0.0,18.8
2022-05-17,18.7,13.9,0.0,14.2
2022-05-18,19.1,15.0,0.0,18.9
2022-05-19,18.9,14.0,0.0,23.2
2022-05-20,18.9,14.8,0.0,18.7
2022-05-21,18.5,14.1,0.0,14.1
2022-05-22,18.4,13.7,0.0,18.5
2022-05-23,18.5,14.4,0.0,15.4
2022-05-24,18.5,13.7,0.0,15.3
2022-05-25,17.9,13.9,0.0,15.5
2022-05-26,17.7,13.6,0.0,15.4
2022-05-27,17.9,13.4,0.0,21.6
2022-05-28,18.5,13.4,0.0,22.7
2022-05-29,18.0,13.4,0.0,20.8
2022-05-30,18.3,12.9,0.0,20.3
2022-05-31,18.9,13.2,0.0,22.1
2022-06-01,18.8,13.7,0.0,29.1
2022-06-02,17.5,13.8,0.0,16.1
2022-06-03,17.8,13.2,0.0,17.9
2022-06-04,19.3,14.9,0.0,24.2
2022-06-05,18.9,14.5,0.0,29.0
2022-06-06,18.5,14.1,0.0,18.1
2022-06-07,18.8,14.9,0.0,23.8
2022-06-08,17.8,13.8,0.0,22.0
2022-06-09,18.3,13.8,0.0,22.2
2022-06-10,17.5,13.1,0.0,15.5
2022-06-11,17.1,12.7,0.0,23.7
2022-06-12,17.1,12.5,0.0,25.1
2022-06-13,17.1,12.7,0.0,24.8
2022-06-14,17.1,13.2,0.0,22.5
2022-06-15,17.4,12.8,0.0,23.4
2022-06-16,17.8,13.4,0.0,28.7
2022-06-17,16.8,13.0,0.0,14.0
2022-06-18,17.2,12.4,0.0,15.1
2022-06-19,17.4,12.5,0.0,23.7
2022-06-20,17.6,12.8,0.0,28.8
2022-06-21,17.0,12.1,0.0,24.7
2022-06-22,17.4,13.0,0.0,24.6
2022-06-23,16.9,11.8,0.0,28.1
2022-06-24,17.0,12.3,0.0,17.2
2022-06-25,18.4,12.9,0.0,24.3
2022-06-26,17.1,12.5,0.0,19.2
2022-06-27,18.3,12.2,0.0,29.2
2022-06-28,17.0,13.8,0.0,25.5
2022-06-29,18.5,13.2,0.0,17.8
2022-06-30,16.8,12.6,0.0,15.5
2022-07-01,17.6,12.5,0.0,20.9
2022-07-02,18.0,12.6,0.0,19.3
2022-07-03,17.2,12.5,0.0,17.9
2022-07-04,17.9,12.4,0.0,18.7
2022-07-05,16.7,13.6,0.0,19.1
2022-07-06,17.3,13.3,0.0,16.3
2022-07-07,17.6,12.6,0.0,15.6
2022-07-08,18.0,12.7,0.0,17.2
2022-07-09,17.1,12.9,0.0,22.5
2022-07-10,17.4,13.5,0.0,23.7
2022-07-11,17.7,13.9,0.0,24.5
2022-07-12,16.7,12.1,0.0,14.5
2022-07-13,17.6,12.2,0.0,24.8
2022-07-14,16.8,12.8,0.0,28.0
2022-07-15,16.2,13.4,0.4,26.4
2022-07-16,16.7,13.7,0.0,23.1
2022-07-17,16.0,11.5,0.0,15.3
2022-07-18,16.9,12.8,0.0,19.2
2022-07-19,17.5,12.5,0.0,21.7
2022-07-20,17.4,12.3,0.0,21.3
2022-07-21,17.0,12.8,0.0,19.8
2022-07-22,17.0,12.4,0.0,19.3
2022-07-23,17.5,12.7,0.0,16.5
2022-07-24,17.6,12.5,0.0,24.6
2022-07-25,17.6,12.3,0.0,23.7
2022-07-26,17.5,13.2,0.0,21.3
2022-07-27,17.5,12.9,0.0,19.9
2022-07-28,17.4,12.7,0.2,19.8
2022-07-29,17.6,13.3,0.5,18.8
2022-07-30,17.6,12.2,0.0,19.9
2022-07-31,16.9,12.8,0.0,18.0
2022-08-01,16.4,12.4,0.0,17.6
2022-08-02,17.0,12.5,0.0,21.9
2022-08-03,16.8,13.4,0.0,22.0
2022-08-04,17.5,13.4,0.2,13.7
2022-08-05,17.1,12.4,0.0,21.4
2022-08-06,17.0,12.4,0.0,21.7
2022-08-07,16.8,13.2,0.0,20.7
2022-08-08,16.7,13.5,0.0,23.3
2022-08-09,16.2,11.6,0.0,14.8
2022-08-10,16.8,12.7,0.0,17.3
2022-08-11,17.0,12.7,0.0,20.3
2022-08-12,16.5,12.4,0.0,18.8
2022-08-13,16.4,12.2,0.0,14.7
2022-08-14,16.5,13.5,0.0,21.0
2022-08-15,17.4,12.9,0.0,28.6
2022-08-16,16.4,13.0,0.1,18.1
2022-08-17,16.7,13.1,0.0,21.8
2022-08-18,16.3,12.8,0.0,14.0
2022-08-19,16.8,12.7,0.0,21.2
2022-08-20,16.3,12.2,0.0,18.6
2022-08-21,16.5,12.2,0.0,21.6
2022-08-22,16.5,12.3,0.0,21.9
2022-08-23,16.9,11.6,0.0,22.7
2022-08-24,16.5,12.1,0.0,19.6
2022-08-25,16.7,12.3,0.0,17.9
2022-08-26,16.5,12.7,0.0,22.3
2022-08-27,16.5,12.3,0.0,24.8
2022-08-28,16.6,12.1,0.0,20.4
2022-08-29,17.2,11.5,0.0,23.0
2022-08-30,16.9,12.4,0.0,19.5
2022-08-31,16.7,12.7,0.0,26.6
2022-09-01,17.9,12.6,0.0,20.0
2022-09-02,16.2,12.0,0.0,16.9
2022-09-03,17.0,12.0,0.0,19.9
2022-09-04,17.0,12.1,0.0,13.3
2022-09-05,17.2,12.1,0.0,22.3
2022-09-06,16.9,11.4,0.0,23.0
2022-09-07,16.7,12.7,0.0,24.9
2022-09-08,16.7,13.1,0.0,25.9
2022-09-09,17.0,12.5,0.0,25.1
2022-09-10,17.4,13.0,0.0,22.0
2022-09-11,17.2,13.2,0.0,23.1
2022-09-12,16.3,13.9,0.4,26.5
2022-09-13,16.9,13.3,0.1,25.8
2022-09-14,16.9,12.6,0.1,15.3
2022-09-15,16.4,12.9,0.0,14.5
2022-09-16,17.4,12.5,0.0,18.8
2022-09-17,18.0,12.9,0.0,26.8
2022-09-18,16.5,13.0,0.0,21.7
2022-09-19,16.5,14.0,0.0,19.9
2022-09-20,17.3,13.6,0.0,25.3
2022-09-21,16.2,13.3,0.0,19.8
2022-09-22,16.9,13.1,0.0,21.5
2022-09-23,17.1,12.5,0.0,20.7
2022-09-24,17.3,12.5,0.0,21.3
2022-09-25,17.6,12.7,0.0,22.7
2022-09-26,16.7,12.7,0.0,18.7
2022-09-27,17.3,13.0,0.0,26.1
2022-09-28,16.7,11.8,0.0,16.7
2022-09-29,16.6,12.3,0.0,20.0
2022-09-30,17.0,12.4,0.0,21.6
2022-10-01,17.9,12.1,0.0,24.7
2022-10-02,17.1,12.6,0.0,18.4
2022-10-03,17.5,13.0,0.1,24.0
2022-10-04,17.0,12.7,0.0,24.6
2022-10-05,17.3,13.2,0.0,19.3
2022-10-06,17.0,11.9,0.0,16.9
2022-10-07,16.9,13.2,0.0,19.9
2022-10-08,17.3,12.5,0.0,23.7
2022-10-09,17.5,12.7,0.0,18.9
2022-10-10,17.5,13.2,0.0,22.3
2022-10-11,18.2,13.2,0.0,25.6
2022-10-12,17.0,12.5,0.0,20.5
2022-10-13,16.5,13.4,0.0,18.5
2022-10-14,18.0,13.1,0.0,28.2
2022-10-15,17.6,12.8,0.0,24.6
2022-10-16,17.8,12.7,0.0,28.1
2022-10-17,17.5,12.8,0.2,24.0
2022-10-18,17.9,13.2,0.0,23.5
2022-10-19,17.6,13.0,0.0,22.5
2022-10-20,17.7,12.5,0.0,20.5
2022-10-21,17.3,12.3,0.0,18.7
2022-10-22,17.9,12.1,0.0,21.3
2022-10-23,18.0,12.7,0.0,27.3
2022-10-24,17.9,12.9,0.0,19.7
2022-10-25,18.1,13.9,0.0,23.9
2022-10-26,17.7,13.3,0.0,18.6
2022-10-27,18.5,14.0,0.0,22.0
2022-10-28,18.0,13.2,0.0,22.0
2022-10-29,17.6,12.8,0.0,20.8
2022-10-30,18.0,12.5,0.0,21.4
2022-10-31,18.2,13.3,0.0,23.5
2022-11-01,18.4,13.2,0.0,24.1
2022-11-02,17.9,13.6,0.0,24.1
2022-11-03,18.9,13.9,0.0,27.0
2022-11-04,18.8,14.5,0.0,24.6
2022-11-05,18.5,13.6,0.0,21.5
2022-11-06,18.0,13.7,0.0,21.0
2022-11-07,19.0,12.8,0.0,19.5
2022-11-08,19.4,13.6,0.0,22.5
2022-11-09,18.7,13.4,0.0,24.2
2022-11-10,19.1,13.5,0.0,24.9
2022-11-11,19.0,13.6,0.0,23.2
2022-11-12,18.7,13.8,0.0,21.2
2022-11-13,19.1,15.6,0.1,16.2
2022-11-14,18.5,15.6,0.0,22.4
2022-11-15,19.6,14.1,0.0,24.6
2022-11-16,20.0,14.7,0.1,25.2
2022-11-17,19.7,14.1,0.0,23.6
2022-11-18,20.4,13.7,0.0,24.2
2022-11-19,19.6,14.0,0.0,21.3
2022-11-20,19.4,15.5,0.0,20.2
2022-11-21,20.3,15.3,0.0,19.4
2022-11-22,20.3,15.8,0.0,19.2
2022-11-23,20.8,16.3,0.0,20.2
2022-11-24,20.5,15.7,0.0,20.8
2022-11-25,21.0,15.3,0.0,23.1
2022-11-26,20.7,16.6,0.7,20.9
2022-11-27,20.6,17.6,0.0,21.0
2022-11-28,20.6,17.1,0.0,16.1
2022-11-29,21.6,17.4,0.0,19.8
2022-11-30,21.6,16.4,0.0,22.9
2022-12-01,21.5,16.5,0.0,23.0
2022-12-02,21.2,16.4,0.0,25.3
2022-12-03,20.8,15.8,0.0,19.2
2022-12-04,20.9,16.4,0.0,18.2
2022-12-05,20.7,16.3,0.0,23.9
2022-12-06,21.0,15.4,0.0,24.3
2022-12-07,21.2,16.0,0.0,24.7
2022-12-08,20.6,16.8,0.0,23.9
2022-12-09,21.8,16.7,0.3,25.8
2022-12-10,21.0,17.4,2.5,19.5
2022-12-11,21.0,16.6,0.7,19.3
2022-12-12,22.6,17.9,0.0,17.6
2022-12-13,22.5,18.8,0.0,14.1
2022-12-14,22.8,18.4,0.0,20.8
2022-12-15,22.6,18.6,0.0,19.9
2022-12-16,23.4,19.4,1.3,25.5
2022-12-17,22.5,18.2,0.4,24.6
2022-12-18,22.7,19.0,0.0,23.8
2022-12-19,23.2,19.0,0.0,21.5
2022-12-20,22.9,18.5,0.0,20.5
2022-12-21,23.0,18.8,0.0,23.0
2022-12-22,23.0,18.7,0.0,26.4
2022-12-23,21.3,18.7,3.5,19.8
2022-12-24,21.5,18.5,0.0,16.9
2022-12-25,22.8,17.8,0.0,21.0
2022-12-26,23.8,19.4,0.0,23.8
2022-12-27,23.2,18.2,0.0,21.0
2022-12-28,23.0,18.7,0.0,20.3
2022-12-29,22.2,18.5,0.0,19.6
2022-12-30,23.8,18.4,5.7,27.3
2022-12-31,22.8,18.6,0.0,22.6
2023-01-01,22.7,18.5,0.0,21.2
2023-01-02,23.5,17.8,0.2,26.2
2023-01-03,22.6,18.4,2.2,21.8
2023-01-04,21.9,18.5,0.0,20.6
2023-01-05,23.9,17.9,0.0,24.8
