Date,Max Temperature (°C),Min Temperature (°C),Total Rainfall (mm),Max Wind Speed (m/s)
2022-01-01,14.9,11.7,0.2,25.3
2022-01-02,13.1,8.9,2.0,29.5
2022-01-03,10.2,7.2,0.0,24.4
2022-01-04,8.0,1.2,2.5,21.0
2022-01-05,5.7,-1.6,0.0,21.3
2022-01-06,6.8,-3.8,2.2,30.9
2022-01-07,6.2,1.2,0.3,28.8
2022-01-08,9.6,0.7,7.9,27.4
2022-01-09,7.4,0.3,0.0,21.2
2022-01-10,8.3,-0.5,0.6,12.6
2022-01-11,9.5,7.8,2.5,15.6
2022-01-12,7.6,1.3,0.0,9.2
2022-01-13,5.6,-0.6,0.0,9.3
2022-01-14,3.8,-1.5,0.0,10.7
2022-01-15,5.5,-1.6,0.0,12.9
2022-01-16,7.8,0.3,0.0,11.3
2022-01-17,7.3,-0.3,0.0,9.8
2022-01-18,6.6,-1.4,0.0,10.7
2022-01-19,9.0,2.4,0.0,18.5
2022-01-20,5.2,-0.7,0.0,16.0
2022-01-21,5.0,-2.9,0.0,14.1
2022-01-22,6.6,-1.6,0.0,12.5
2022-01-23,5.9,3.0,0.0,5.8
2022-01-24,4.9,0.4,0.0,8.5
2022-01-25,3.1,0.6,0.0,8.0
2022-01-26,7.9,0.4,0.0,17.3
2022-01-27,12.0,2.0,0.0,21.4
2022-01-28,8.9,-0.5,0.0,20.8
2022-01-29,13.0,4.9,0.1,38.2
2022-01-30,7.3,-0.7,0.0,26.4
2022-01-31,8.0,3.4,0.7,33.9
2022-02-01,13.1,3.3,0.7,33.4
2022-02-02,11.6,5.8,0.0,23.9
2022-02-03,10.2,6.1,0.0,19.5
2022-02-04,9.2,3.1,3.7,29.8
2022-02-05,10.1,1.3,0.0,35.8
2022-02-06,10.8,6.0,4.0,39.2
2022-02-07,10.7,1.2,0.0,27.7
2022-02-08,12.3,8.9,0.0,30.1
2022-02-09,12.2,7.4,3.2,22.8
2022-02-10,8.6,2.6,0.6,18.4
2022-02-11,7.9,-0.9,0.0,14.7
2022-02-12,8.1,1.5,0.0,30.6
2022-02-13,9.6,6.7,10.5,36.2
2022-02-14,9.6,5.0,4.2,29.7
2022-02-15,9.7,2.1,6.6,34.5
2022-02-16,15.7,9.0,5.9,42.5
2022-02-17,11.1,6.8,0.1,38.3
2022-02-18,11.4,4.1,2.6,68.0
2022-02-19,9.0,2.7,5.2,41.4
2022-02-20,12.2,3.9,3.0,47.2
2022-02-21,10.4,3.9,0.3,42.9
2022-02-22,13.6,4.5,0.5,38.3
2022-02-23,10.5,2.2,0.1,31.4
2022-02-24,8.4,3.1,3.6,33.8
2022-02-25,10.4,1.1,0.0,26.8
2022-02-26,10.1,-0.3,0.0,22.0
2022-02-27,9.5,1.8,0.0,20.4
2022-02-28,12.6,5.2,3.0,26.1
2022-03-01,10.0,6.6,9.8,21.5
2022-03-02,8.0,4.6,9.2,16.2
2022-03-03,12.6,4.3,0.1,15.7
2022-03-04,9.1,5.0,2.3,14.1
2022-03-05,8.1,4.1,1.4,33.4
2022-03-06,7.1,2.6,0.3,28.5
2022-03-07,6.9,1.9,0.0,26.0
2022-03-08,10.8,0.1,0.0,20.6
2022-03-09,11.9,6.3,0.1,27.6
2022-03-10,14.3,7.7,0.0,21.3
2022-03-11,12.4,8.1,3.2,29.4
2022-03-12,11.7,6.8,1.6,29.4
2022-03-13,11.7,5.3,1.7,23.9
2022-03-14,12.4,2.0,1.2,16.3
2022-03-15,14.5,3.0,0.0,11.3
2022-03-16,12.8,6.5,10.7,20.8
2022-03-17,13.1,1.7,0.0,20.1
2022-03-18,14.7,2.9,0.0,18.8
2022-03-19,13.0,6.5,0.0,28.4
2022-03-20,10.5,2.4,0.1,21.6
2022-03-21,15.7,-0.7,0.0,12.2
2022-03-22,18.3,6.3,0.1,16.3
2022-03-23,18.5,3.5,0.0,10.6
2022-03-24,17.2,4.3,0.0,9.8
2022-03-25,16.3,2.0,0.0,16.2
2022-03-26,16.9,2.6,0.0,19.4
2022-03-27,12.4,5.1,0.0,19.5
2022-03-28,16.1,1.3,0.1,12.0
2022-03-29,12.6,7.0,0.3,18.0
2022-03-30,11.1,3.7,3.3,24.8
2022-03-31,7.4,0.4,0.7,34.7
2022-04-01,7.4,1.0,2.4,35.5
2022-04-02,8.5,-0.9,0.8,15.0
2022-04-03,9.3,-3.0,0.1,14.4
2022-04-04,14.8,4.1,3.4,29.9
2022-04-05,14.1,8.5,0.1,25.7
2022-04-06,13.6,8.1,2.4,35.4
2022-04-07,12.6,4.4,4.5,45.2
2022-04-08,10.8,2.2,1.6,16.9
2022-04-09,10.7,1.0,0.9,17.7
2022-04-10,13.5,1.6,0.0,16.6
2022-04-11,16.2,4.6,0.0,24.7
2022-04-12,18.6,9.3,5.0,24.5
2022-04-13,17.5,8.8,0.4,23.3
2022-04-14,18.1,5.9,0.0,9.4
